gene	Amp	Del	tumor
DPP4	0.0454545454545455	-0.378787878787879	KICH
ATP5G3	0.0454545454545455	-0.378787878787879	KICH
NFE2L2	0.0454545454545455	-0.378787878787879	KICH
FANCD2	0.151515151515152	-0.106060606060606	KICH
TFRC	0.196969696969697	-0.0606060606060606	KICH
SLC7A11	0.454545454545455	-0.0606060606060606	KICH
CDKN1A	0.0303030303030303	-0.393939393939394	KICH
HSPB1	0.454545454545455	-0.0606060606060606	KICH
FDFT1	0.318181818181818	-0.106060606060606	KICH
EMC2	0.348484848484849	-0.121212121212121	KICH
RPL8	0.318181818181818	-0.151515151515152	KICH
HSPA5	0.181818181818182	-0.121212121212121	KICH
NCOA4	0.0454545454545455	-0.378787878787879	KICH
CISD1	0.0454545454545455	-0.378787878787879	KICH
CARS	0.272727272727273	-0.0757575757575758	KICH
LPCAT3	0.333333333333333	-0.0757575757575758	KICH
CS	0.363636363636364	-0.0303030303030303	KICH
GLS2	0.363636363636364	-0.0303030303030303	KICH
MT1G	0.348484848484849	-0.0606060606060606	KICH
ALOX15	0.0151515151515152	-0.333333333333333	KICH
GPX4	0.393939393939394	-0.121212121212121	KICH
SLC1A5	0.348484848484849	-0.121212121212121	KICH
SAT1	0.151515151515152	-0.393939393939394	KICH
ACSL4	0.136363636363636	-0.409090909090909	KICH
