"","x","runningScore","position","ymin","ymax","geneList","Description"
"1",1,-8.07754442649435e-05,0,0,0,4.57261268231107,"DNA replication"
"2",2,-0.000161550888529887,0,0,0,4.51459371540294,"DNA replication"
"3",3,-0.00024232633279483,0,0,0,4.41821798112707,"DNA replication"
"4",4,-0.000323101777059774,0,0,0,4.14407518193211,"DNA replication"
"5",5,-0.000403877221324717,0,0,0,3.87625800905113,"DNA replication"
"6",6,-0.000484652665589661,0,0,0,3.67785700608222,"DNA replication"
"7",7,-0.000565428109854604,0,0,0,3.50196257182422,"DNA replication"
"8",8,-0.000646203554119548,0,0,0,3.29181180475379,"DNA replication"
"9",9,-0.000726978998384491,0,0,0,3.28622327553642,"DNA replication"
"10",10,-0.000807754442649435,0,0,0,3.21976069787127,"DNA replication"
"11",11,-0.000888529886914378,0,0,0,3.21343469687452,"DNA replication"
"12",12,-0.000969305331179322,0,0,0,3.20837276367322,"DNA replication"
"13",13,-0.00105008077544426,0,0,0,3.19773690427129,"DNA replication"
"14",14,-0.00113085621970921,0,0,0,3.12523889932218,"DNA replication"
"15",15,-0.00121163166397415,0,0,0,3.08683552846105,"DNA replication"
"16",16,-0.0012924071082391,0,0,0,3.06832474317075,"DNA replication"
"17",17,-0.00137318255250404,0,0,0,2.98049240045984,"DNA replication"
"18",18,-0.00145395799676898,0,0,0,2.96722291461667,"DNA replication"
"19",19,-0.00153473344103393,0,0,0,2.95109339365107,"DNA replication"
"20",20,-0.00161550888529887,0,0,0,2.94906631520437,"DNA replication"
"21",21,-0.00169628432956381,0,0,0,2.93319655454591,"DNA replication"
"22",22,-0.00177705977382876,0,0,0,2.90489607718438,"DNA replication"
"23",23,-0.0018578352180937,0,0,0,2.87700194081485,"DNA replication"
"24",24,-0.00193861066235864,0,0,0,2.82552513642048,"DNA replication"
"25",25,-0.00201938610662359,0,0,0,2.82428129851976,"DNA replication"
"26",26,-0.00210016155088853,0,0,0,2.7922676355156,"DNA replication"
"27",27,-0.00218093699515347,0,0,0,2.78798248037097,"DNA replication"
"28",28,-0.00226171243941842,0,0,0,2.78423832455259,"DNA replication"
"29",29,-0.00234248788368336,0,0,0,2.76613060129854,"DNA replication"
"30",30,-0.0024232633279483,0,0,0,2.69747346495945,"DNA replication"
"31",31,-0.00250403877221325,0,0,0,2.67972647035974,"DNA replication"
"32",32,-0.00258481421647819,0,0,0,2.6762895491481,"DNA replication"
"33",33,-0.00266558966074313,0,0,0,2.67431001864876,"DNA replication"
"34",34,-0.00274636510500808,0,0,0,2.66888169680278,"DNA replication"
"35",35,-0.00282714054927302,0,0,0,2.63284766251006,"DNA replication"
"36",36,-0.00290791599353796,0,0,0,2.62958382800576,"DNA replication"
"37",37,-0.00298869143780291,0,0,0,2.62682683929664,"DNA replication"
"38",38,-0.00306946688206785,0,0,0,2.59570027852039,"DNA replication"
"39",39,-0.0031502423263328,0,0,0,2.5931269224252,"DNA replication"
"40",40,-0.00323101777059774,0,0,0,2.57645511923366,"DNA replication"
"41",41,-0.00331179321486268,0,0,0,2.55386811529543,"DNA replication"
"42",42,-0.00339256865912763,0,0,0,2.54667075821139,"DNA replication"
"43",43,-0.00347334410339257,0,0,0,2.54315315665556,"DNA replication"
"44",44,-0.00355411954765751,0,0,0,2.52745370307114,"DNA replication"
"45",45,-0.00363489499192246,0,0,0,2.52436734092944,"DNA replication"
"46",46,-0.0037156704361874,0,0,0,2.51458743183147,"DNA replication"
"47",47,-0.00379644588045234,0,0,0,2.493021394596,"DNA replication"
"48",48,-0.00387722132471729,0,0,0,2.49256708560016,"DNA replication"
"49",49,-0.00395799676898223,0,0,0,2.49100137654174,"DNA replication"
"50",50,-0.00403877221324717,0,0,0,2.46952002313472,"DNA replication"
