,cox1,cox2,cox3,cox4,cox5,cox6
1,0.727555840783116,0.595943535292609,0.680072189508969,0.720312578475643,0.731723894005282,0.771768350032035
1.5,0.739254550219285,0.574271752816171,0.686347371488009,0.717619843134884,0.73802823182523,0.782163157055216
2,0.740612915621463,0.593090713722769,0.67282227585014,0.716948087492679,0.740008215905394,0.780664069060585
2.5,0.71912714377352,0.592768137059318,0.68039305373967,0.724321362062639,0.719156161397996,0.766693905987381
3,0.722057327142124,0.581811077735167,0.690998026170976,0.72935215589423,0.718109921975901,0.770346894679364
3.5,0.726628009275575,0.603077254181465,0.678624944606849,0.733277102546444,0.726747685742496,0.775447972836661
4,0.711750182285896,0.607546478136716,0.668421280766368,0.727339585921247,0.717360227505888,0.764709893561936
4.5,0.704551640807984,0.617986976141711,0.659491528964711,0.727446916529764,0.715672679520307,0.760168066803997
5,0.703381863761028,0.614129096998594,0.665544987439845,0.732522076087039,0.713449787411173,0.762205176218939
5.5,0.692826299793055,0.602432778261158,0.662473365703737,0.72271689970334,0.699227458452725,0.750095891307054
6,0.694501569053282,0.607601720365549,0.657341912715121,0.722110666332389,0.702340471532941,0.750454489878069
6.5,0.694501569053282,0.607601720365549,0.657341912715121,0.722110666332389,0.702340471532941,0.750454489878069
7,0.69551865213738,0.609071413370495,0.652547851970739,0.718360202635768,0.704271736656289,0.748950328607097
7.5,0.69551865213738,0.609071413370495,0.652547851970739,0.718360202635768,0.704271736656289,0.748950328607097
8,0.697617136239337,0.610717561984646,0.65015239928291,0.717515353104387,0.706329375946243,0.749511882063811
8.5,0.698100652307958,0.609893601867272,0.647082271297957,0.714111406842967,0.708234929627856,0.748591356805444
9,0.698100652307958,0.609893601867272,0.647082271297957,0.714111406842967,0.708234929627856,0.748591356805444
9.5,0.698100652307958,0.609893601867272,0.647082271297957,0.714111406842967,0.708234929627856,0.748591356805444
10,0.698100652307958,0.609893601867272,0.647082271297957,0.714111406842967,0.708234929627856,0.748591356805444
10.5,0.698100652307958,0.609893601867272,0.647082271297957,0.714111406842967,0.708234929627856,0.748591356805444
11,0.698100652307958,0.609893601867272,0.647082271297957,0.714111406842967,0.708234929627856,0.748591356805444
