"","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4"
"AL",29,39,10,78,5634,3757,317,135,218,138,94
"PB",10,2459,751,1306,39,5,1,7,2,1,0
"T",64,17,22,35,426,1225,1653,8557,1822,3121,2335
