"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","subtype"
"ATP5J",0.00202740834621443,0.688933866915894,1,0.991,1,"Y","ATP5J","C1"
"MTHFD2",0.00228885862066092,1.21580057549212,0.831,0.724,1,"Y","MTHFD2","C1"
"ND5",0.00247176299383272,0.784095597077052,1,1,1,"Y","ND5","C1"
"SPINT2",0.00248869668331576,0.866650982323155,0.983,0.983,1,"Y","SPINT2","C1"
"DNMT1",0.00277173123655303,1.21125630666319,1,0.974,1,"Y","DNMT1","C1"
"INPP4B",0.00292923451523956,1.41514478461179,0.966,0.948,1,"Y","INPP4B","C1"
"ERCC-00096",0.00295504636532421,2.47483002060551,0.932,1,1,"Y","ERCC-00096","C1"
"HSBP1L1",0.00305230086654643,1.07726048715582,0.797,0.836,1,"Y","HSBP1L1","C1"
"ERCC-00002",0.0030942726074517,2.13888434454856,0.898,0.991,1,"Y","ERCC-00002","C1"
"SLC15A3",0.00330400906974013,1.00074780611289,0.729,0.647,1,"Y","SLC15A3","C1"
"COX11",0.00332445973475775,1.22235277656698,0.729,0.672,1,"Y","COX11","C1"
"SERPINE2",0.00365094400943012,1.54989122642655,0.814,0.698,1,"Y","SERPINE2","C1"
"NPM2",0.003716537273117,0.690489638783586,1,1,1,"Y","NPM2","C1"
"MYBL2",0.00490091522210888,0.912986660111713,0.847,0.776,1,"Y","MYBL2","C1"
"CD99",0.004914855102495,0.928815285345996,0.949,0.957,1,"Y","CD99","C1"
"TMEM132D",0.00504490617073297,1.07077791611432,0.78,0.672,1,"Y","TMEM132D","C1"
"REV3L",0.00525206519403722,0.901642313883897,0.712,0.888,1,"Y","REV3L","C1"
"WRNIP1",0.00555499698141924,0.567287349166279,0.525,0.776,1,"Y","WRNIP1","C1"
"SUV39H2",0.00619965045428684,0.891000582719684,0.746,0.922,1,"Y","SUV39H2","C1"
"PPA1",0.00674195475400384,1.31071589902162,0.898,0.888,1,"Y","PPA1","C1"
"TAOK1",0.00704858398982994,0.573139398338615,0.576,0.819,1,"Y","TAOK1","C1"
"ENSMFAG00000029870",0.0073988926621437,0.853982861151868,0.915,0.931,1,"Y","ENSMFAG00000029870","C1"
"DOCK9",0.00742386663362473,0.592583636128863,0.508,0.793,1,"Y","DOCK9","C1"
"ARMC2",0.00799747491695036,2.08794166122302,0.983,0.983,1,"Y","ARMC2","C1"
"INCA1",0.00816722618705844,0.677154671037213,0.814,0.776,1,"Y","INCA1","C1"
"YES1",0.00826565620443719,0.87432393466773,0.864,0.974,1,"Y","YES1","C1"
"PPP1R10",0.00860218018147685,0.928705035868854,0.712,0.888,1,"Y","PPP1R10","C1"
"UBE2Q1",0.00893937052190918,0.527281117045356,0.797,0.931,1,"Y","UBE2Q1","C1"
"GDF9",0.00932858456484281,0.697846361663423,1,1,1,"Y","GDF9","C1"
"RRM2",0.0099508327706488,1.25583441742219,0.814,0.802,1,"Y","RRM2","C1"
"GSTP1",4.54482183583493e-15,1.85858531066356,0.931,0.39,9.60593543222071e-11,"O","GSTP1","C1"
"CACNA1E",1.79131803837234e-14,1.86649803528486,0.922,0.508,3.78612980590378e-10,"O","CACNA1E","C1"
"ENSMFAG00000034301",2.00347925018042e-14,1.96452648262653,0.81,0.407,4.23455374318134e-10,"O","ENSMFAG00000034301","C1"
"NHLRC3",3.69991579363108e-14,1.8437650568974,1,0.898,7.82014202141866e-10,"O","NHLRC3","C1"
"TXNIP",2.06134167487095e-12,2.30571835710429,0.862,0.559,4.35685176400724e-08,"O","TXNIP","C1"
"UHRF1BP1L",4.85735228093735e-12,1.60864484354884,0.948,0.712,1.02664997809892e-07,"O","UHRF1BP1L","C1"
"FBP1",7.52370811555785e-12,2.0047875778044,0.853,0.508,1.59021094730431e-07,"O","FBP1","C1"
"KIAA2012",1.58294342884735e-11,1.83305238978594,0.931,0.576,3.34570923121175e-07,"O","KIAA2012","C1"
"CST6",2.62214082371824e-11,1.48854798094213,0.948,0.475,5.54215684501087e-07,"O","CST6","C1"
