"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","subtype"
"SDC2",0.0011588816561521,0.631623278796265,0.985,1,1,"Y","SDC2","C2"
"ABRACL",0.00116932926824821,0.902894786805751,0.939,0.875,1,"Y","ABRACL","C2"
"ENSMFAG00000039035",0.00122443698360674,0.88369458599785,0.758,0.525,1,"Y","ENSMFAG00000039035","C2"
"TMEM86A",0.00125647094814624,0.592091792892133,0.803,0.5,1,"Y","TMEM86A","C2"
"ENSMFAG000000457121",0.00127162048989803,1.12279936482144,0.894,0.9,1,"Y","ENSMFAG00000045712","C2"
"ENSMFAG00000031149",0.00128671527076736,0.603891588295272,0.894,0.6,1,"Y","ENSMFAG00000031149","C2"
"GFPT2",0.00129076734562641,1.46839130063157,0.803,0.75,1,"Y","GFPT2","C2"
"HHAT",0.00130325441986765,0.722110139066052,0.955,0.925,1,"Y","HHAT","C2"
"FAM53C",0.00130477503514971,0.844897120765544,0.924,0.85,1,"Y","FAM53C","C2"
"SEC14L3",0.0013216415618606,0.941831538586217,0.833,0.725,1,"Y","SEC14L3","C2"
"ARL1",0.00134536263220748,0.618271094732746,1,0.975,1,"Y","ARL1","C2"
"AKR7A2",0.0013531001735626,0.659020441444174,0.985,1,1,"Y","AKR7A2","C2"
"HAUS8",0.00138978535314354,0.695352699557449,0.985,0.95,1,"Y","HAUS8","C2"
"FBXO7",0.00141999993639917,0.655439817193312,0.97,1,1,"Y","FBXO7","C2"
"AP2A2",0.00143940733066838,0.943407490867641,0.939,0.9,1,"Y","AP2A2","C2"
"PTRH1",0.00144182208011372,0.699599344864967,0.97,0.95,1,"Y","PTRH1","C2"
"SPATS2L",0.00147778083967487,0.876679617314929,0.864,0.8,1,"Y","SPATS2L","C2"
"BCKDHA",0.00147941859436267,0.824859575136359,0.955,0.95,1,"Y","BCKDHA","C2"
"PTDSS1",0.00149282037174229,0.926881337575975,0.864,0.775,1,"Y","PTDSS1","C2"
"DSCR8",0.00150688553388788,0.693103624052327,0.924,0.85,1,"Y","DSCR8","C2"
"ENSMFAG00000028787",0.00150878891317912,0.752918061145703,0.985,0.95,1,"Y","ENSMFAG00000028787","C2"
"MORC41",0.00153992235283031,0.759628752608283,0.894,0.875,1,"Y","MORC4","C2"
"ICAM3",0.00154134221765194,0.71777780153784,0.848,0.675,1,"Y","ICAM3","C2"
"ENSMFAG00000043452",0.00155797471686604,0.530018842725968,1,0.975,1,"Y","ENSMFAG00000043452","C2"
"ENSMFAG00000030042",0.00157275504379249,0.65941637161959,0.985,0.975,1,"Y","ENSMFAG00000030042","C2"
"FXYD6",0.00162316494782896,0.575062986133619,0.879,0.6,1,"Y","FXYD6","C2"
"SAT1",0.00163456299784246,1.04423643754818,1,0.925,1,"Y","SAT1","C2"
"MBD3",0.00164217738372441,0.718990358218016,0.742,0.55,1,"Y","MBD3","C2"
"SMG5",0.00164785649183059,0.787841393769527,0.864,0.7,1,"Y","SMG5","C2"
"RCL1",0.00165489766364221,0.700053114664164,0.985,0.975,1,"Y","RCL1","C2"
"ATIC1",0.00170614315634866,0.651106706001262,1,0.95,1,"Y","ATIC","C2"
"MAP3K11",0.00173050180972119,0.636819804299033,0.909,0.875,1,"Y","MAP3K11","C2"
"REXO5",0.00174085723041081,0.876936445532807,0.939,0.85,1,"Y","REXO5","C2"
"SLC13A5",0.00174397490252092,0.811240000295626,0.848,0.7,1,"Y","SLC13A5","C2"
"TSPAN14",0.00174473630857472,0.729136788507557,0.909,0.825,1,"Y","TSPAN14","C2"
"BEND5",0.0017495751251836,0.654069161315552,0.864,0.775,1,"Y","BEND5","C2"
"TBL3",0.00175467444901047,0.629832363595226,0.909,0.675,1,"Y","TBL3","C2"
"ENSMFAG00000039608",0.00176454388708534,0.500127233256016,1,0.975,1,"Y","ENSMFAG00000039608","C2"
"CDCA3",0.00179192656401557,0.67136306808698,0.955,0.95,1,"Y","CDCA3","C2"
"DDX39A",0.00180505027740714,0.571859681064928,1,0.975,1,"Y","DDX39A","C2"
"DAZAP2",0.00181345373261456,0.504295801905473,1,0.975,1,"Y","DAZAP2","C2"
"BAHD1",0.001828469403898,0.723961911356558,0.848,0.65,1,"Y","BAHD1","C2"
"EIF3K",0.00183116342757738,0.587885086599637,1,0.95,1,"Y","EIF3K","C2"
"EGFL71",0.00186815951116805,0.750522164312134,0.985,0.975,1,"Y","EGFL7","C2"
"EEFSEC",0.00189837113165102,0.742984866839642,0.924,0.875,1,"Y","EEFSEC","C2"
"OIP5",0.00190023795366797,0.715931615682791,1,0.975,1,"Y","OIP5","C2"
"NCKAP1",0.00192631072727997,0.97645068502652,0.924,0.9,1,"Y","NCKAP1","C2"
"DES",0.00194841761822207,0.61040525656957,0.985,0.925,1,"Y","DES","C2"
"TMED3",0.00197355109043314,0.814935594496315,0.97,0.975,1,"Y","TMED3","C2"
"DUSP10",0.00197894250823428,0.66377942732779,0.97,0.95,1,"Y","DUSP10","C2"
"ATF4",0.00200990691913316,0.586202669118521,1,1,1,"Y","ATF4","C2"
"MEIKIN",0.00201161645784611,0.740494842811286,0.848,0.825,1,"Y","MEIKIN","C2"
"ARL6IP41",0.00202607713836223,0.791828974048042,0.97,0.925,1,"Y","ARL6IP4","C2"
"MED21",0.00205217060213005,0.501296577934396,1,0.975,1,"Y","MED21","C2"
"RAD21L1",0.00207554024174225,0.900030988061952,0.864,0.8,1,"Y","RAD21L1","C2"
"COMMD3",0.0021092087569609,0.565123213674744,1,0.975,1,"Y","COMMD3","C2"
"TMEM80",0.00212582769836758,0.809937159497087,0.864,0.7,1,"Y","TMEM80","C2"
"MDH2",0.00217956124074493,0.7102967811793,1,0.95,1,"Y","MDH2","C2"
"NDUFB9",0.00218030242085111,0.656781218380319,0.97,0.975,1,"Y","NDUFB9","C2"
"C11orf80",0.00219094640279615,0.72134739115953,0.909,0.875,1,"Y","C11orf80","C2"
"TP53INP2",0.00220624583325434,0.979853067992042,0.818,0.65,1,"Y","TP53INP2","C2"
"KIF25",0.00221640765237249,0.573496080146203,0.909,0.8,1,"Y","KIF25","C2"
"ENSMFAG000000321271",0.00221913136308545,0.524708579777681,0.939,0.725,1,"Y","ENSMFAG00000032127","C2"
"MTR",0.00224603643939631,0.730446730297997,0.97,0.95,1,"Y","MTR","C2"
"BRF2",0.00227611601435862,0.783816507605027,0.879,0.775,1,"Y","BRF2","C2"
"CKB",0.00227981911372624,1.00611149004251,0.939,0.875,1,"Y","CKB","C2"
"GNA13",0.0022855968670162,0.797139468154571,0.955,0.9,1,"Y","GNA13","C2"
"SCD",0.002296425130209,1.43794976014535,0.788,0.55,1,"Y","SCD","C2"
"GPAA1",0.00231549935662439,0.890667517691227,0.955,0.95,1,"Y","GPAA1","C2"
"GNB5",0.00234005437076224,0.524236577158868,1,0.975,1,"Y","GNB5","C2"
"MARCH5",0.00236407573150627,0.681525240647157,0.97,0.975,1,"Y","MARCH5","C2"
"UAP1",0.00237249872792819,0.725382511509279,0.955,0.975,1,"Y","UAP1","C2"
"EIF3L",0.00239665059760253,0.579870813980333,1,0.975,1,"Y","EIF3L","C2"
"TMEM123",0.0024092195217364,0.82931342634522,0.955,0.975,1,"Y","TMEM123","C2"
"ENSMFAG000000033151",0.00250557360269245,0.931693442681558,0.97,0.95,1,"Y","ENSMFAG00000003315","C2"
"NSDHL",0.00252531806092202,0.539425808865349,1,1,1,"Y","NSDHL","C2"
"ZNF85",0.00256535325633552,0.688454974842978,0.864,0.7,1,"Y","ZNF85","C2"
"ENSMFAG00000032534",0.00256544434522765,1.05697647766243,0.879,0.6,1,"Y","ENSMFAG00000032534","C2"
"ENSMFAG00000043602",0.002571959912615,0.620581050035583,0.97,0.9,1,"Y","ENSMFAG00000043602","C2"
"KDELR1",0.00264665647052209,0.724723331869053,0.909,0.9,1,"Y","KDELR1","C2"
"DDX47",0.00266817348562634,0.505346229614908,0.864,0.9,1,"Y","DDX47","C2"
"CTSC",0.00267444146728585,0.944848102187936,0.909,0.95,1,"Y","CTSC","C2"
"SDF2L1",0.00271075308597011,0.71308713295523,0.97,0.9,1,"Y","SDF2L1","C2"
"CNDP2",0.00276284238926634,0.512628548740159,0.773,0.45,1,"Y","CNDP2","C2"
"KCTD20",0.00277010995314663,0.757611940042358,0.848,0.725,1,"Y","KCTD20","C2"
"SPAG1",0.00278049801016936,0.878360871860701,0.864,0.725,1,"Y","SPAG1","C2"
"USO1",0.00279252323739696,0.631395488190378,0.985,0.95,1,"Y","USO1","C2"
"GPX4",0.00281290778311239,0.765760104904945,0.955,0.925,1,"Y","GPX4","C2"
"ZNF618",0.00283457189544843,0.667992240871553,0.848,0.675,1,"Y","ZNF618","C2"
"ARAF",0.00285069421403578,0.737105031905252,0.939,0.85,1,"Y","ARAF","C2"
"SPAG4",0.00285268566301363,0.626458121306568,0.712,0.4,1,"Y","SPAG4","C2"
"LOXL4",0.0028550821205472,1.38447144357155,0.803,0.6,1,"Y","LOXL4","C2"
"PRIM1",0.00290335277312342,0.716558592071627,0.955,0.975,1,"Y","PRIM1","C2"
"ERP29",0.00292969858732538,0.85595219891856,1,0.975,1,"Y","ERP29","C2"
"NUDT1",0.00293235876371714,0.652677464969362,0.955,0.975,1,"Y","NUDT1","C2"
"INTS4",0.0029887587507185,0.683524948851918,0.939,0.65,1,"Y","INTS4","C2"
"TMEM117",0.00300913896504643,1.0220692896479,0.818,0.8,1,"Y","TMEM117","C2"
"NUP205",0.00314415040827627,0.920346031507137,0.864,0.725,1,"Y","NUP205","C2"
"ENSMFAG00000033161",0.00314481332216018,0.689177204757817,0.955,0.9,1,"Y","ENSMFAG00000033161","C2"
"FAF1",0.00315348184428709,0.711830709487086,0.955,0.875,1,"Y","FAF1","C2"
"GBX2",0.00317187495341234,0.677970807804609,0.939,0.875,1,"Y","GBX2","C2"
"DPEP1",0.00319083186211089,0.707979581034694,0.985,0.975,1,"Y","DPEP1","C2"
"ENSMFAG00000037340",0.00325468958158362,0.62761250706328,0.955,0.95,1,"Y","ENSMFAG00000037340","C2"
"DDX49",0.00328040906321063,0.697703241171438,0.955,1,1,"Y","DDX49","C2"
"DGAT1",0.00331604325756758,0.57076341407395,0.758,0.475,1,"Y","DGAT1","C2"
"FAM207A",0.00334123903959318,0.970498758210055,0.864,0.875,1,"Y","FAM207A","C2"
"BOD1",0.00335641950688649,0.654739001031094,1,1,1,"Y","BOD1","C2"
"MAN2C1",0.0033666376322933,0.55407392515502,0.788,0.525,1,"Y","MAN2C1","C2"
"ARL3",0.00337874686979497,0.579383471226062,0.985,0.975,1,"Y","ARL3","C2"
"TIMMDC1",0.00342116155292541,0.702040891067769,0.939,0.85,1,"Y","TIMMDC1","C2"
"ABHD4",0.00344855446341868,0.633359822793701,0.955,0.925,1,"Y","ABHD4","C2"
"ENSMFAG00000030388",0.00351226069807323,0.57245685066506,0.97,0.875,1,"Y","ENSMFAG00000030388","C2"
"POC1A",0.00352630772472774,0.507486104128554,0.924,0.75,1,"Y","POC1A","C2"
"BUD23",0.00360164000530446,0.509363472608543,0.985,0.975,1,"Y","BUD23","C2"
"CKAP4",0.00360323390163825,0.545106162381959,0.97,0.925,1,"Y","CKAP4","C2"
"RAD54L",0.00361077603864914,0.66992447727095,0.803,0.625,1,"Y","RAD54L","C2"
"LYPD5",0.00368127952968624,0.548461865018213,0.955,0.95,1,"Y","LYPD5","C2"
"GRK2",0.00369612140586182,0.825347373873243,0.833,0.625,1,"Y","GRK2","C2"
"CCDC115",0.00370934532015754,0.810057957420888,0.864,0.7,1,"Y","CCDC115","C2"
"NDFIP1",0.00377428522658465,0.516618627614175,1,1,1,"Y","NDFIP1","C2"
"EML6",0.00378399859832155,1.37544977316723,0.985,0.95,1,"Y","EML6","C2"
"RPS6KA6",0.00384905288781916,0.756878286437664,0.788,0.6,1,"Y","RPS6KA6","C2"
"ENSMFAG00000034651",0.00397303427855077,0.528560032335135,1,0.95,1,"Y","ENSMFAG00000034651","C2"
"CDK2AP1",0.00398621468405789,0.688565655528119,0.985,0.95,1,"Y","CDK2AP1","C2"
"ATG13",0.00401039255702019,0.694951706789313,0.894,0.7,1,"Y","ATG13","C2"
"MAPK12",0.00401534608024253,0.708575691275285,0.894,0.9,1,"Y","MAPK12","C2"
"CTNNAL1",0.00411166882846327,0.753013575328499,0.848,0.775,1,"Y","CTNNAL1","C2"
"HSPA12A",0.00412853373617695,0.955656647256896,0.894,0.9,1,"Y","HSPA12A","C2"
"ENSMFAG00000034226",0.00416537293499271,0.587680169524704,0.803,0.55,1,"Y","ENSMFAG00000034226","C2"
"LRP10",0.004230094248166,0.537375175060228,0.712,0.45,1,"Y","LRP10","C2"
"VIM",0.00424266126965634,0.744177448860402,0.955,0.875,1,"Y","VIM","C2"
"CD991",0.00424567689911337,0.531107095313999,1,1,1,"Y","CD99","C2"
"ENSMFAG00000002099",0.00425604295387807,0.547274620707046,0.833,0.725,1,"Y","ENSMFAG00000002099","C2"
"ZNF597",0.0043068214152822,0.650646174207671,0.864,0.725,1,"Y","ZNF597","C2"
"CHST9",0.00433420951169715,0.740194040244265,0.97,0.925,1,"Y","CHST9","C2"
"ALOXE3",0.00438018131000405,0.573580599970915,1,0.975,1,"Y","ALOXE3","C2"
"NFIC",0.00441649406373712,0.783873561070849,0.758,0.625,1,"Y","NFIC","C2"
"GLRX2",0.0044233492470957,0.615631177024775,0.985,0.975,1,"Y","GLRX2","C2"
"ERCC1",0.00448578190380955,0.681231730397734,0.939,0.95,1,"Y","ERCC1","C2"
"CLN3",0.0046064490435995,0.644106273223824,0.818,0.65,1,"Y","CLN3","C2"
"DENND5A",0.00463256414657047,0.670695488958069,0.727,0.55,1,"Y","DENND5A","C2"
"FAM216A",0.00469411024560315,0.818099718473781,0.939,0.975,1,"Y","FAM216A","C2"
"MDGA1",0.00474494636217526,0.64921534900037,0.818,0.6,1,"Y","MDGA1","C2"
"RPAP1",0.00475270136267574,0.707894236822872,0.742,0.55,1,"Y","RPAP1","C2"
"ENSMFAG00000032886",0.0048394857315202,0.527248449321444,1,0.975,1,"Y","ENSMFAG00000032886","C2"
"PDF",0.00484928487246786,0.620972837432699,0.97,0.975,1,"Y","PDF","C2"
"DENND4C",0.00489829551065424,0.670885659147054,0.712,0.55,1,"Y","DENND4C","C2"
"WBP1",0.00492515850171026,0.734670909343127,0.924,0.75,1,"Y","WBP1","C2"
"AGTRAP",0.00493380776411576,0.599690999687613,0.985,0.975,1,"Y","AGTRAP","C2"
"ENSMFAG000000420711",0.00505443649900387,1.29535734839835,0.97,0.875,1,"Y","ENSMFAG00000042071","C2"
"AFMID",0.00509031744057676,0.586171053255888,0.712,0.45,1,"Y","AFMID","C2"
"CDK5",0.00510746186659612,0.886180068079812,1,0.975,1,"Y","CDK5","C2"
"ENSMFAG00000042321",0.00514231386077428,0.585936220357834,0.985,0.975,1,"Y","ENSMFAG00000042321","C2"
"YBX3",0.00516488599038759,0.877114621744371,0.97,0.975,1,"Y","YBX3","C2"
"SLC6A20",0.00517071500688057,0.703984535661931,0.773,0.7,1,"Y","SLC6A20","C2"
"TULP3",0.00523046885207374,0.550040690524955,0.909,0.9,1,"Y","TULP3","C2"
"EBNA1BP2",0.00523424555595811,0.569847649299373,0.985,0.95,1,"Y","EBNA1BP2","C2"
"UBE3B",0.00524165922502032,0.60957513132992,0.955,0.95,1,"Y","UBE3B","C2"
"MAP3K3",0.0052978421460092,0.753874801775617,0.788,0.65,1,"Y","MAP3K3","C2"
"FOSL2",0.00530213390603162,0.716117609054397,0.955,0.975,1,"Y","FOSL2","C2"
"CSRNP2",0.00535484310885854,0.562972699109825,0.833,0.675,1,"Y","CSRNP2","C2"
"UQCRB",0.00537295478419315,0.579843985384692,0.985,0.975,1,"Y","UQCRB","C2"
"RABL3",0.00539647517446337,0.801391712390655,0.939,0.95,1,"Y","RABL3","C2"
"ITFG1",0.00541508180652932,0.571998423007212,0.97,0.95,1,"Y","ITFG1","C2"
"ACTR5",0.00546174189810161,0.574071235767331,0.894,0.875,1,"Y","ACTR5","C2"
"HSPA5",0.00559171932014748,0.844093721353265,0.97,0.975,1,"Y","HSPA5","C2"
"RIOX2",0.00563749284245849,0.611290352546207,0.985,1,1,"Y","RIOX2","C2"
"FAM168B",0.00564615790000462,0.678683192151851,0.955,0.95,1,"Y","FAM168B","C2"
"ENSMFAG000000461781",0.00569082210502862,1.11584765787767,1,1,1,"Y","ENSMFAG00000046178","C2"
"SIGMAR1",0.00574395740248639,0.778339830138242,0.894,0.9,1,"Y","SIGMAR1","C2"
"ZSCAN25",0.00575854178931011,0.708339943779311,0.712,0.55,1,"Y","ZSCAN25","C2"
"CUTA",0.00579272548445611,0.584612730368008,1,0.975,1,"Y","CUTA","C2"
"RCC2",0.00585220781556627,0.594582913814616,0.985,0.925,1,"Y","RCC2","C2"
"ELMOD1",0.00589127456008484,0.508893537039942,0.818,0.65,1,"Y","ELMOD1","C2"
"CCDC40",0.0059742713745832,0.6594243577487,0.712,0.5,1,"Y","CCDC40","C2"
"TRRAP",0.00603900882014987,0.792948521783901,0.864,0.75,1,"Y","TRRAP","C2"
"FKBP2",0.00605394017865428,0.582916140013934,1,0.975,1,"Y","FKBP2","C2"
"ARMC7",0.00606320498662442,0.678376517812767,0.894,0.825,1,"Y","ARMC7","C2"
"AAMDC",0.00610046857835541,0.732841678090387,0.955,0.975,1,"Y","AAMDC","C2"
"NAPRT",0.00611400033470812,0.980883271749011,0.773,0.675,1,"Y","NAPRT","C2"
"IQCD",0.00616507128173371,0.698727575422196,0.848,0.775,1,"Y","IQCD","C2"
"SPAG16",0.0062011871360177,0.605633559981987,0.97,0.95,1,"Y","SPAG16","C2"
"PXMP2",0.00624678627534578,0.694256854810429,0.803,0.6,1,"Y","PXMP2","C2"
"IQCB1",0.00630746348638621,0.644853456158921,0.955,0.975,1,"Y","IQCB1","C2"
"KRT32",0.00631990529043629,0.961216786641236,0.788,0.65,1,"Y","KRT32","C2"
"NELFA1",0.0063239134434889,0.556811311699281,0.985,0.95,1,"Y","NELFA","C2"
"NDUFAF3",0.00635188154287301,0.577734480803059,0.985,0.95,1,"Y","NDUFAF3","C2"
"KLHL21",0.00639264356170666,0.622499913622383,0.848,0.65,1,"Y","KLHL21","C2"
"ENSMFAG00000040091",0.00642271420880898,0.719769876528433,0.985,0.95,1,"Y","ENSMFAG00000040091","C2"
"TXNDC5",0.00646274620584258,0.732126870375675,0.955,0.95,1,"Y","TXNDC5","C2"
"ARRB2",0.00650977838089202,0.705494562304574,0.818,0.775,1,"Y","ARRB2","C2"
"XKR6",0.00652594053357788,0.795592131696755,0.712,0.575,1,"Y","XKR6","C2"
"RPRD2",0.00654146038257311,0.64906091516966,0.939,0.85,1,"Y","RPRD2","C2"
"HACD3",0.00660766006005144,0.68913187707249,0.773,0.675,1,"Y","HACD3","C2"
"HSD11B1L",0.00674915776357946,0.576076148050582,1,0.975,1,"Y","HSD11B1L","C2"
"FBXO6",0.00675548299852284,0.610671020614326,0.894,0.925,1,"Y","FBXO6","C2"
"MAP1A",0.00689161296041581,0.560687003681216,0.712,0.525,1,"Y","MAP1A","C2"
"LY6E",0.00699990025921009,0.849121257108698,0.955,0.925,1,"Y","LY6E","C2"
"WDTC1",0.00703306589306715,0.674711902201629,0.879,0.775,1,"Y","WDTC1","C2"
"ENSMFAG00000043916",0.00713860855086876,0.638091757157742,0.924,0.95,1,"Y","ENSMFAG00000043916","C2"
"CIB1",0.00714755491949861,0.604847116521624,0.985,0.95,1,"Y","CIB1","C2"
"DDIT3",0.00723068928710286,0.562375556563466,0.97,0.95,1,"Y","DDIT3","C2"
"ENSMFAG00000036434",0.00736445869219378,0.807617738044685,0.985,0.95,1,"Y","ENSMFAG00000036434","C2"
"UBP1",0.00761234460667573,0.562086114383889,0.879,0.8,1,"Y","UBP1","C2"
"HMGN3",0.00773577134214952,0.782132214088733,0.909,0.95,1,"Y","HMGN3","C2"
"DCLRE1A",0.00776837989351395,0.667018516987729,0.955,0.9,1,"Y","DCLRE1A","C2"
"SUPV3L1",0.00788966796490546,0.681369083626484,0.939,0.925,1,"Y","SUPV3L1","C2"
"ENSMFAG00000036557",0.00788981103268365,0.561102016946243,0.894,0.725,1,"Y","ENSMFAG00000036557","C2"
"ENSMFAG00000028505",0.00793715416741851,0.715640693192676,0.924,0.9,1,"Y","ENSMFAG00000028505","C2"
"RELT",0.00794363782959387,0.578275654019225,0.712,0.55,1,"Y","RELT","C2"
"MRPL21",0.0079854513179434,0.696988879602434,0.955,1,1,"Y","MRPL21","C2"
"SLC9B2",0.00805274306195542,0.590434545604338,0.894,0.85,1,"Y","SLC9B2","C2"
"RBSN",0.00811943661208597,0.538906180664656,0.924,0.9,1,"Y","RBSN","C2"
"TACC2",0.008231027841393,0.671844866534309,0.924,0.85,1,"Y","TACC2","C2"
"SURF1",0.00825908969344779,0.525526416695559,0.939,0.975,1,"Y","SURF1","C2"
"NEFL",0.00836827310024238,1.10887888474102,0.955,0.95,1,"Y","NEFL","C2"
"ENSMFAG000000298701",0.00844486532839926,0.520768459107221,0.985,0.975,1,"Y","ENSMFAG00000029870","C2"
"LTBP3",0.00851288163266357,0.872932675447017,0.909,0.875,1,"Y","LTBP3","C2"
"IFT52",0.008535354817505,0.672183822244909,0.955,0.925,1,"Y","IFT52","C2"
"NDUFAF2",0.00861646293174808,0.526896106440561,0.712,0.525,1,"Y","NDUFAF2","C2"
"CRACR2B",0.0086357336859059,0.842334870817101,0.864,0.825,1,"Y","CRACR2B","C2"
"TMEM223",0.00866430478693713,0.640461952941798,0.924,0.85,1,"Y","TMEM223","C2"
"RHBDF2",0.00867322926578732,0.813586637440928,0.773,0.575,1,"Y","RHBDF2","C2"
"POP7",0.0086764000097466,0.911916682488442,0.97,0.95,1,"Y","POP7","C2"
"ENSMFAG00000039451",0.00869821938763502,0.555260391509562,0.758,0.55,1,"Y","ENSMFAG00000039451","C2"
"TMEM208",0.00875482371701443,0.616526927416028,0.97,1,1,"Y","TMEM208","C2"
"HSD17B4",0.00880970837094597,0.534100420115083,0.97,0.975,1,"Y","HSD17B4","C2"
"RP1",0.00881662481722144,0.523449072348427,0.833,0.675,1,"Y","RP1","C2"
"AGA",0.00885061746314818,0.595357918959154,0.985,1,1,"Y","AGA","C2"
"CD302",0.00889304619502657,0.751607218180749,0.818,0.65,1,"Y","CD302","C2"
"BCAS4",0.00890622357978448,0.643807100257503,0.939,0.925,1,"Y","BCAS4","C2"
"POLR3C",0.00895087074900344,0.558378744870097,0.985,0.975,1,"Y","POLR3C","C2"
"SLC36A4",0.00900898124002483,0.603713982854643,0.773,0.625,1,"Y","SLC36A4","C2"
"ENSMFAG00000041149",0.00902257201502496,0.566184044448111,0.909,0.85,1,"Y","ENSMFAG00000041149","C2"
"NCS1",0.00904093150820987,0.571818499715409,0.818,0.625,1,"Y","NCS1","C2"
"LHFPL6",0.0091545470735891,0.746536815595862,0.818,0.825,1,"Y","LHFPL6","C2"
"RRAGD",0.00920759665030955,0.643089940961451,0.894,0.825,1,"Y","RRAGD","C2"
"SEMA4D",0.00922302995457706,0.729092571270967,0.833,0.75,1,"Y","SEMA4D","C2"
"BRD4",0.00926039739014204,0.631961864886616,0.955,0.925,1,"Y","BRD4","C2"
"STARD10",0.00937285915936828,0.670932765141162,0.833,0.65,1,"Y","STARD10","C2"
"SPOCD1",0.00945666861514194,0.564677250592426,0.758,0.55,1,"Y","SPOCD1","C2"
"GALNT18",0.00945817882238349,0.697751658467903,0.97,0.85,1,"Y","GALNT18","C2"
"B4GALT31",0.0094802113456142,0.539943496980535,0.955,0.95,1,"Y","B4GALT3","C2"
"ZNF568",0.00958991595223802,0.574075643509929,0.818,0.725,1,"Y","ZNF568","C2"
"OPA3",0.00960447895001169,0.591886207685796,0.955,0.9,1,"Y","OPA3","C2"
"BCL7B",0.00962438442572992,0.555307342062872,0.803,0.7,1,"Y","BCL7B","C2"
"NSUN7",0.00973386106896899,0.638003553217614,0.818,0.775,1,"Y","NSUN7","C2"
"NR2F2",0.00980141114532754,0.750708506462018,0.848,0.75,1,"Y","NR2F2","C2"
"MRPL44",0.00983035249967,0.513531183537565,0.985,0.95,1,"Y","MRPL44","C2"
"ESS2",0.00985833140335547,0.708744668809886,0.97,0.975,1,"Y","ESS2","C2"
"EIF51",1.60762882169903e-14,0.99869989147803,1,1,3.39788427754307e-10,"O","EIF5","C2"
"GSTP11",1.27359040028359e-13,1.98654421652606,0.975,0.712,2.69186067003939e-09,"O","GSTP1","C2"
"FBP11",3.23901803620632e-13,2.43181074604272,1,0.803,6.84598852132567e-09,"O","FBP1","C2"
"PCCA",3.3298378899199e-13,0.936096058669321,1,1,7.0379453641347e-09,"O","PCCA","C2"
"HOXC9",3.44079452655637e-13,1.6800464184039,1,0.652,7.27246331132954e-09,"O","HOXC9","C2"
"ENSMFAG00000032173",1.63289432490071e-11,1.20252411896269,1,0.985,3.45128544511013e-07,"O","ENSMFAG00000032173","C2"
"EPSTI11",5.89205921174961e-11,1.01964142478173,1,1,1.2453456349954e-06,"O","EPSTI1","C2"
"DCDC2",8.68263772097093e-11,1.08643852172604,1,1,1.83516230870442e-06,"O","DCDC2","C2"
"TMEM2601",9.2001398688458e-11,1.55056959810056,1,0.955,1.94454156267925e-06,"O","TMEM260","C2"
"GPR1581",1.40260220224562e-10,1.68584907737439,0.975,0.727,2.96454001466634e-06,"O","GPR158","C2"
"TGS1",3.48081760464322e-10,1.01426957574212,1,0.955,7.35705608917391e-06,"O","TGS1","C2"
"ENSMFAG000000419701",5.76862233909489e-10,1.3188076155884,1,0.97,1.2192560175911e-05,"O","ENSMFAG00000041970","C2"
"SLC30A81",7.47360889238718e-10,1.40041828818714,0.925,0.773,1.57962197549496e-05,"O","SLC30A8","C2"
"RBM17",1.18571892656943e-09,0.826840118598071,1,1,2.50613552319715e-05,"O","RBM17","C2"
"ARHGAP181",1.86665109335411e-09,0.735100527378783,1,1,3.94535375091325e-05,"O","ARHGAP18","C2"
"ENSMFAG00000000540",2.62564548867379e-09,0.630096490212812,1,1,5.54956430486093e-05,"O","ENSMFAG00000000540","C2"
"NFATC2",3.28826605789827e-09,1.02270720616321,1,0.939,6.95007913997378e-05,"O","NFATC2","C2"
"AREG1",3.3119373477801e-09,1.92758304872057,0.875,0.424,7.00011077826802e-05,"O","AREG","C2"
"OSBPL101",4.81290856499544e-09,0.990577493598574,1,0.97,0.000101725635429744,"O","OSBPL10","C2"
"GTF3A",6.1558616038193e-09,0.601311597833842,1,1,0.000130110290858325,"O","GTF3A","C2"
"SUPT3H",6.33102542736523e-09,1.18116689065252,1,0.985,0.000133812553432791,"O","SUPT3H","C2"
"WDR761",6.33556650018125e-09,1.44431271943921,0.975,0.97,0.000133908533547831,"O","WDR76","C2"
"DHTKD1",6.83468137619833e-09,1.53207279165428,0.925,0.652,0.000144457825567328,"O","DHTKD1","C2"
"CGNL11",8.14002546073974e-09,0.964583946937018,1,0.97,0.000172047578138195,"O","CGNL1","C2"
"MS4A4A",9.56093490735433e-09,1.11507690114252,1,0.955,0.000202079920201841,"O","MS4A4A","C2"
"SDE21",2.81670928796018e-08,1.56804870897507,1,0.97,0.000595339675103263,"O","SDE2","C2"
"MYH101",2.94701536786442e-08,0.608292193583488,1,1,0.000622881168151823,"O","MYH10","C2"
"PLCE11",3.37588111663499e-08,1.31925810175773,1,0.97,0.000713526232811972,"O","PLCE1","C2"
"ND31",3.5139868084419e-08,1.99912935066435,1,1,0.000742716251832279,"O","ND3","C2"
"PFN1",3.72271790166228e-08,1.1073342558779,1,0.985,0.00078683365569534,"O","PFN1","C2"
"C1QTNF6",3.74046583706851e-08,0.83109466459204,1,1,0.000790584859322801,"O","C1QTNF6","C2"
