tumor	event	beta	hr	lower	upper	p
ACC	OS	-1.34307686804518	0.261041242201446	0.0936630914922439	0.727528090781807	0.0102215625663569
ACC	DSS	-1.4968846769851	0.223826366562521	0.0735015785539842	0.681594101163211	0.00842264414484325
ACC	PFI	-1.19073087704776	0.303998996962215	0.131621916880633	0.702127672535294	0.00530383907562222
BLCA	OS	-0.113208526750815	0.89296443372814	0.631887326046944	1.26191086137432	0.521139546030281
BLCA	DSS	-0.193855611002614	0.823776839993861	0.542968466306301	1.24981158984554	0.362041236023089
BLCA	PFI	-0.0757183583750063	0.927077273343779	0.655121161852723	1.31192872524511	0.669077880687794
BRCA	OS	-0.0827204935865097	0.920608427222466	0.629321519547501	1.34671999915467	0.669950807067091
BRCA	DSS	-0.576094292554334	0.562089441848715	0.327943467580627	0.96341159947064	0.0361220721631932
BRCA	PFI	-0.322184229024983	0.724564692186386	0.488856375619828	1.07392277025641	0.108550709576972
CESC	OS	-0.513045384751104	0.598669620517436	0.343954025728446	1.04201517563703	0.0696143436865854
CESC	DSS	-0.435092054658929	0.647205086092265	0.344769717097162	1.21493971973661	0.175719249232759
CESC	PFI	-0.322355242064212	0.724440792770767	0.412146008704342	1.27337024051304	0.262638502326146
CHOL	OS	-0.26128082748191	0.770064633934963	0.246904533598333	2.40173613580578	0.652559387387759
CHOL	DSS	-0.259308044192972	0.771585304059309	0.22153396678756	2.68737065504361	0.683801525734117
CHOL	PFI	0.0502157796800483	1.05149796379265	0.352025896325446	3.14081429633782	0.928332855996847
COAD	OS	0.267279538541764	1.30640558600543	0.760992898698136	2.24272205176411	0.332360374370315
COAD	DSS	0.372565732162895	1.45145388321065	0.685461069088734	3.07343256982921	0.330392809151183
COAD	PFI	0.377176323491609	1.45816139481392	0.892811104902147	2.38150560813053	0.131819406997051
DLBC	OS	0.341569338228331	1.40715415949989	0.234955943257539	8.42746432009788	0.708391408447585
DLBC	DSS	0.615742421076792	1.85103033348408	0.167667758586416	20.4351350812163	0.615294612393933
