	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DQ-5631-01	0	0	0.07642646109545	0	0	0.130796343757944	0	0.00417379608826966	0.0406919698618415	0	0	0.0188412450740716	0	0.180669369017004	0.00310671341895438	0.0534177737474491	0.112545342091662	0.0241598771682842	0	0.355171108679069	0	0	0	0.298461574304958	0.978729108554879
TCGA-CV-5431-01	0	0	0.0820752762898791	0.142079441359142	0	0.160234035454617	0.00528477312466318	0.059792624359167	0.0313595756646768	0.00912915360584794	0	0.0670094169174919	0	0.0992661130098673	0.0731092676972198	0.0317753048631667	0.0365649837427778	0.00114891862646132	0	0.200030972707222	0	0.00114014257779955	0	0.275682206597559	0.974714056688554
TCGA-QK-A6IG-01	0	0	0.0527697997982867	0.115884663406476	0	0.132202665283704	0.108517871204135	0	0	0	0.0510247936484115	0.0264192015401051	0.00189628816835492	0.0237028498901202	0.102068369619926	0.0882843878226495	0.00139992196315105	0	0	0.266803576403316	0	0.029025611251364	0	0.356581938451577	0.938607977686933
TCGA-CQ-7063-01	0.0420188266730181	0	0	0.120876851776756	0	0.0196037230244106	0.0882282317629689	0.110910258034159	0	0	0	0.0756148378704851	0	0.143033307090856	0.135801965281794	0.101646626742272	0.0643714238391456	0.00859658225614862	0	0.0892973656479861	0	0	0	0.400513072813289	0.916744004452935
TCGA-TN-A7HI-01	0	0.0466147119807288	0.0932363998549417	0.19572492843975	0	0	0.0897975955268155	0.0435702272283368	0.0496619966678723	0.035066317219435	0	0.0468496974745121	0	0.130091564924243	0.0728300686101881	0.0758030496106096	0.00267940789816099	0	0	0.118074034564406	0	0	0	0.596556197385428	0.821625192445418
TCGA-D6-6826-01	0.0176363479786557	0	0	0.00171815773920646	0	0.103377291796056	0	0.00767115062491927	0.0196381100167827	0.0319162196148456	0	0	0	0.156212962356452	0.0471727798770458	0.107559575654174	0	0.0117544846742433	0	0.444606689893526	0	0.0507362297740928	0	0.26042135074197	1.02062910480893
TCGA-CR-6492-01	0	0	0.0545446791942632	0.0446473733667883	0	0.159426718089211	0.0700165659843715	0.0119204472230525	0	0	0	0.0692354841080658	0.00534105899873732	0.0584743808685521	0.154552224907227	0.109127003052946	0.0282667950738321	0.018484734298903	0	0.171376621468461	0	0.0445859133655887	0	0.336094805151202	0.948382153189962
TCGA-P3-A6T2-01	0	0	0.00611733235234114	0	0	0.121116241658996	0	0	0.0199847757703101	0	0	0.00457651121863776	0	0.0332885728704197	0.00987034552548023	0.0510585596490206	0	0.0207098901599637	0	0.73327777079483	0	0	0	0.2436035909644	1.11625644161158
TCGA-BA-6871-01	0	0	0.00272552587182248	0.233682843603898	0	0.0761051527757651	0.131149374551835	0.036984120449167	0	0	0.121747691903072	0	0.0195960267379846	0.0473656580487082	0.0727982373424669	0.0382051464379902	0	0.0454092166990185	0	0.141944785507359	0	0.0322862200709128	0	0.402880530534996	0.917354314298177
TCGA-TN-A7HL-01	0	0.0202772631418439	0.0167969407089586	0.259881695555525	0	0	0.177824991115501	0.075610497309248	0.0132556208988853	0	0.100415149537024	0.00762886293733812	0.00237188056100535	0.0580174224744358	0.138078251379906	0.084525221126537	0.0351724664050568	0.00021627617866675	0	0.00992746067006914	0	0	0	0.695997812671967	0.744145743259202
TCGA-CQ-5331-01	0.0356240250626849	0	0.000319912680559289	0.11962786157857	0	0	0.179922635636123	0.032194298371279	0	0	0	0.0789111774422191	0.00508911019736707	0	0.254943288696095	0.134831242324817	0.0187218347505189	0.0139257071767833	0	0.116358405289227	0	0.00953050079375618	0	0.567384678390523	0.823666369992247
TCGA-CV-A45T-01	0.0461685605739181	0	0.00457040909627063	0.10367904844334	0	0.00455388272211033	0.0480377582824305	0.0609513194821129	0.0167699283041477	0.122465259124291	0	0.0728633011014695	0	0.0975650021661244	0.163854602078363	0.0907671514611743	0.0299654860924233	0	0	0.130566731823051	0	0.00722155924877347	0	0.575227037800224	0.821720316683075
TCGA-CN-5369-01	0	0	0.0454624877318859	0.0953643073509422	0	0.0572640267681409	0.142633316342942	0	0	0.0295256791649323	0.00874409596281702	0.00822414563150728	0	0.0909777309898631	0.209792134023792	0.0926098839209963	0.00686209253598575	0	0	0.193615216140879	0	0.018924883435316	0	0.56719578624922	0.824525913723283
TCGA-HD-A6I0-01	0	0.0156878082344486	0.0147102758193696	0.125447741169023	0	0	0.129140848618888	0	0	0	0.0747383905446355	0.0502198942926193	0.00796103477720612	0.0460750468092475	0.0718917963908803	0.113756444429119	0	0.00135049058263628	0	0.344782727672779	0	0.00423750065914829	0	0.30154727322743	0.974582736798345
TCGA-CV-7416-01	0	0	0.0401377662165699	0	0	0.173231200254692	0	0	0	0	0.00419070140447007	0.0332749189945819	0.028523787136059	0.0556649081646875	0	0.191123021508745	0.0804639853605434	0.128323837532902	0	0.26506587342675	0	0	0	0.317694836008307	0.957548249131417
TCGA-CR-7376-01	0.02543525616608	0	0.00440198955350601	0.0643105038987015	0	0.174116179248954	0.0541624800926523	0.0951314540312838	0	0.0219351090929156	0	0.0373837912648066	0	0.15993033461197	0.146067894858199	0.120203516475878	0.0150153816087601	0	0	0.0704684368150072	0	0.011437672281286	0	0.491904055912781	0.869910681822297
TCGA-CN-5373-01	0.0347845521976477	0	0	0.0453771619255021	0	0.119623793985361	0.0771086624555049	0.106461257478951	0.000424043417120954	0.0124377247405431	0	0	0	0.0819057043787313	0.161138898674833	0.180070537139708	0.0603685667084676	0.0573187209184385	0	0.0520829943788045	0	0.0108973816003865	0	0.339176406588793	0.949123564384941
TCGA-F7-A61S-01	0	0	0.0245630234361842	0.112471525444473	0	0.0599334840030635	0.147729903401046	0	0	0	0.0228432185678715	0.0173016611221661	0	0.0996212360048972	0.0972296348403609	0.0822595188587295	0.00399270029712682	0.00496219232711953	0	0.327091901696962	0	0	0	0.301126153253631	0.971878502429412
TCGA-P3-A6T4-01	0	0.00641227422853297	0	0.109568225786636	0	0.128402744118533	0	0.0446218357627069	0	0	0	0	0	0.224651901318432	0.00774834926420622	0	0	0.0997542642953582	0	0.359461253837525	0	0.0193791513880691	0.09	0.132759386482412	1.07587356616719
TCGA-CN-5365-01	0	0	0	0.154795153069997	0	0	0.0914881335279049	0.0466980660246044	0.0136040865783766	0.00373912949026052	0	0.0849992011804955	0	0.0924159992350333	0.138925897638035	0.133323371312956	0.142472120083742	0	0	0.0832004601364918	0	0.0143383817221025	0	0.316445536591876	0.958168679566265
TCGA-CN-A642-01	0	0	0.00376748489524413	0.263021873164189	0	0	0.184539850083541	0.0214995000018338	0	0	0.00336236806798634	0.0344484386629389	0.00203365088997779	0	0.176843881238321	0.0882071024348891	0.12844345797876	0	0.0334835405151532	0.0603488520671666	0	0	0	0.49320240363698	0.869058696924451
TCGA-CV-7252-01	0	0	0.0622187807094367	0.050600725313785	0	0.0886980416826619	0	0.00351445493982401	0.0307017142505666	0.0183858111591682	0	0.0381067449651923	0	0.0996773565399825	0.11124827625529	0.0613084624161425	0.152790398386726	0.0116747347139197	0	0.264446603044544	0	0.00662789562275953	0	0.286141381558125	0.973194823111954
TCGA-CN-4739-01	0	0.0340760534473481	0.146070382771634	0.221512426813259	0	0	0.0760189558326028	0.0405621118115402	0.0350936814686408	0.0246662348470293	0.0547007302307567	0	0	0.00117308243963872	0.0361793510154717	0.0460090263384216	0.0176360049521557	0.014120772628431	0	0.173256576475067	0	0.0789246089280035	0.01	0.235883784756815	0.984297995638864
TCGA-CQ-5334-01	0	0	0	0.244714656103854	0	0	0.143335027824582	0.0257667178826732	0	0	0.0892166651756676	0	0	0.141794510563002	0.180502865147096	0.129138468863759	0.00138190524465591	0	0	0.0441491831947093	0	0	0	0.596782378490176	0.805161975623316
TCGA-BB-4228-01	0.016869126032588	0	0	0.15134168097379	0	0	0.0157662739461402	0.122812977191036	0.0308750740351296	0.00970562029706156	0	0	0	0.157990323492784	0.123289437063639	0.0138623122194756	0.102244947815739	0	0	0.220332142065503	0.0349100848671136	0	0	0.395561954958014	0.920138091797544
TCGA-RS-A6TP-01	0.0383181266149544	0	0	0.101244916574677	0	0	0.0773863326571097	0.0901632006912199	0	0	0	0.11726712145358	0	0.118472044476468	0.1692079527125	0.0354388144455986	0	0.00387730477588902	0	0.248624185598004	0	0	0	0.292256916924885	0.98305430357467
TCGA-CQ-5324-01	0	0	0.0647981388650236	0.1472747272975	0	0	0.114964867412002	0.0506327704499608	0	0	0.0433990099480572	0.0220824170784438	0	0.0946938612456261	0.112733828786435	0.100412732388771	0.00283927686703757	0.0427081762572439	0	0.203255089579396	0	0.000205103824502693	0	0.385573214883261	0.923525273674312
TCGA-CN-6022-01	0	0	0	0	0.0135196212316116	0.0826980510770652	0	0	0.0684615924655415	0	0.0253927215367726	0	0	0.336972565055326	0.0566168773413011	0.144757487466308	0.0435478278452394	0	0	0.227888247802658	0	0.000145008178176235	0	0.559475818513695	0.82790027718429
TCGA-BB-A5HU-01	0	0	0.0115997839732249	0	0	0.144097788915142	0	0.000587784457898488	0.0268255304990861	0	0.00804630468391105	0	0.00294781338919035	0.0608177089684096	0.0240926449036252	0.0155411385550013	0.0460037273800931	0.0324940966696686	0	0.617681989662748	0	0.00926368794200182	0.01	0.234576463815313	1.07337969352982
TCGA-UF-A7JF-01	0	0.0108278388947035	0.0223756253611461	0.0222960685944639	0	0.0241425956013276	0	0.0581889378001405	0.0568666662534758	0.00624960216177185	0	0.099370117839864	0	0.198818898767222	0.0233052857278052	0.0976725818279855	0.103023029925057	0	0	0.276862751245037	0	0	0	0.270554525194401	0.988281108645542
TCGA-UF-A7JA-01	0	0	0.120489759609318	0.0230397344403933	0	0.0731760178668838	0.00994708095055319	0.0033963930866063	0	0	0.00523949023673963	0.0463750936997661	0	0.443721284945015	0.0515800392005905	0.0904551347495565	0	0.00792146725518183	0	0.11777618088568	0	0.00688232307371612	0	0.522963661179529	0.853584140344106
TCGA-P3-A6T5-01	0	0	0	0.0185670284284702	0	0.0281953133542294	0	0.0753505116848577	0.060100513815299	0.00606582261541332	0	0.0417297494691209	0	0.413767203069547	0.0188977271253149	0.0531814627380452	0.0314714178781349	0.0526577048984306	0	0.200015544923137	0	0	0	0.55627359801271	0.830521861059682
TCGA-CV-6943-01	0.0142356527304516	0	0	0.338733144502406	0	0	0.0930085795742147	0.0546056678774463	0.0530543390023305	0.00950956117874134	0	0.00228555346281694	0	0.00914942698418577	0.219556779585136	0.119899439582121	0.014501330721239	0.00232083249892754	0.0691396922999831	0	0	0	0	0.593039321542823	0.806038220880785
TCGA-CN-6013-01	0	0	0.0248459494533109	0.104840093694315	0	0.0848917073258387	0.135186079711941	0.0814018152062913	0	0	0.0551005950159127	0.00649242919894993	0	0.155312358692811	0.152288413327392	0.118404439064213	0.00758716261107519	0.0230021249907155	0	0.0506468317072334	0	0	0	0.531545952817684	0.84797158548405
TCGA-CR-5247-01	0	0	0.0875053733563566	0	0.0469119611560815	0.109680240247964	0	0	0	0	0	0.0164741036647505	0	0.291718627983311	0	0.00865877250252848	0	0.0334086755990354	0	0.405642245489972	0	0	0	0.456547254273014	0.900664512521276
TCGA-CN-4734-01	0.0273510550009917	0	0.0441497489646565	0.142310336133821	0	0	0.0604192708678086	0.0935036591725358	0	0	0	0.108721935208034	0.00922391449859358	0.11721464417243	0.124200777375407	0.0658659614538529	0.0375393376995631	0.0358932666249207	0	0.133606092827386	0	0	0	0.475808658249446	0.878873420124155
TCGA-CR-6481-01	0.0766008374401596	0	0	0.161479524624957	0	0.00869509354591939	0.0394183442651718	0.0618451872806254	0.0903170166826314	0.0473592728315865	0	0.0531559125574848	0	0.219986955750066	0.108054496328046	0.0733916579418553	0.021083604981194	0	0.038612095770303	0	0	0	0	0.554363463293304	0.835582050476472
TCGA-BA-5153-01	0.0107082428302071	0	0.0646671058085788	0.228392569130832	0	0.0445353615888622	0.158800422548186	0.0751893665218618	0.069429610098593	0	0.094174466494371	0	0.0142415859630978	0.0319349782802634	0.0300795234772855	0.0296651423263786	0.0386613341145621	0.0174772930169777	0	0.0920429977999437	0	0	0	0.302837983799076	0.963344802751911
TCGA-CQ-5323-01	0	0	0.0703457267355435	0.141750002486072	0	0.00322264566799668	0.0535268041031564	0.156216230538574	0	0.0118027048137018	0	0.0299925467602036	0.00420814664522064	0.100090904785725	0.151211423736412	0.0869568952080651	0.0147179801505952	0.0842064848908333	0	0.0837735795741771	0	0.00797792390372311	0	0.338608701068498	0.948880794014443
TCGA-P3-A6SX-01	0	0	0.0238072355039842	0	0	0.138131593080206	0	0.0311450580289446	0.0577602149393101	0	0.145617961409702	0	0	0.534039158759473	0.00327859813879738	0	0	0	0	0.0517628233523408	0	0.0144573567872426	0	0.325692749767228	0.993613191227103
TCGA-CQ-6229-01	0.0153399179390369	0	0.0985955158596879	0.124703946250245	0	0	0.0536151909267744	0.11532512558246	0	0.0568263548058699	0.00429937878100366	0.0369751576983887	0	0.072865073378513	0.226325303456863	0.0649864187818319	0.0530166729231058	0.0362208454778183	0	0.0409050981384013	0	0	0	0.465012371962659	0.886825063258273
TCGA-CV-7245-01	0.00134389013980044	0	0.0281783356269851	0.0354828962642416	0.017839759177717	0	0	0.0541986600398554	0.0239717390796322	0.00516429251760071	0.0143539508350741	0.00672054061269504	0.00664246355326335	0.237572336397338	0	0.039481937213541	0	0.0358131069162971	0	0.493236091625959	0	0	0.05	0.14526591939218	1.10882734916503
TCGA-CN-5358-01	0.016191816550887	0	0.0485893950817925	0.060370072456657	0	0.134706147927492	0.0374171232944413	0.0437755345653675	0.0190755843098865	0.0880291968729399	0	0	0	0.155047122999165	0.0726582862486354	0.13148603097073	0.0231752820406236	0.00898721179740469	0	0.139054501432244	0	0.0214366934517339	0	0.609030794899292	0.812020310940938
TCGA-CR-7383-01	0	0.0170991736992678	0.0440547747015591	0.0978998907598959	0	0.0421993865125927	0.0351123830232575	0.030484361203568	0.014654023600224	0.000350560544490772	0	0.0663045816782855	0.00625270483559206	0.129123143198756	0.141044782957565	0.141185109205556	0.137851976309416	0.0159998841499685	0.0380558698687837	0.0342310018368962	0.00434480690811043	0.00375158500621491	0	0.565369297474132	0.831787856341855
TCGA-UF-A7JJ-01	0.0118391858455739	0	0.0620572330561377	0.169538509442181	0	0.0642295229364074	0.0479695177616594	0.020945331609133	0.0211587485174677	0.0928658051756514	0	0	0	0.235509974005442	0.0473512133729078	0.128512099466885	0.0230319400770251	0.0365314319133399	0	0.0176391119977272	0	0.0208203748224618	0	0.562024576123984	0.831697447871489
TCGA-CV-7242-01	0.0345394179920462	0	0.0276076827760314	0.165034046817392	0	0.0695052023694213	0.0693595312816905	0.0506818612255514	0	0.0443879170182654	0	0.0776990432740499	0	0.0933854868890387	0.119663227824321	0.0200718158217692	0.0573493609824017	0	0.117905615079242	0.0528097906487798	0	0	0	0.543958525250455	0.843064864982122
TCGA-BB-4227-01	0	0	0.138322740677722	0	0.0509828104414478	0.124443386968252	0	0	0	0.00848292710758492	0.00918861849789798	0	0	0	0	0.170328300694676	0	0.116059028051474	0	0.35440052929614	0.0179019617899492	0.00988969647485617	0.04	0.15339026250271	1.03636577645752
TCGA-D6-6516-01	0.0321595232798857	0	0.000153963908120532	0.191445055596306	0	0.00761538942353325	0.0653982218782821	0.0546685955328928	0.0104560933683934	0	0	0.0798582963325634	0.0096381127273303	0.0224639178983156	0.127069648003438	0.0688564206043119	0.034166978003397	0.0463526567101133	0	0.233495721712048	0	0.0162014050210684	0	0.448822884580174	0.893459079072849
TCGA-CQ-7071-01	0	0	0.0280818242783646	0.104707523688943	0	0.0599247293577027	0.0881736651734	0.00889889608886731	0	0	0.00328733507659357	0.0221692387467175	0	0.0780642045668928	0.16479988660269	0.0928050040271934	0.131328692878102	0.0280098971289894	0	0.183363999870334	0.0063851025152096	0	0	0.383629660352505	0.926853625132576
TCGA-IQ-7632-01	0	0.00515435119970208	0.179046122750899	0.074398884071217	0.0246801662142898	0.0597857664519605	0.154492961669443	0	0	0	0.0302299487554895	0	0	0.0922289005931742	0.0551261805166402	0	0.0145213113111594	0.0182149441551215	0	0.276927142452233	0	0.0151933198586697	0.0600000000000001	0.140375891637637	1.02675398209422
TCGA-CV-A6JT-01	0	0	0	0.150970491597924	0	0.0183345094939867	0	0.0854494041651986	0.0635308414991054	0	0	0.137703393770765	0.00369816309724414	0.112116354293045	0.0769611126782548	0.11459901846681	0.181047215900215	0	0	0.0448083427741494	0	0.010781152263302	0	0.394047762866838	0.920523934960174
TCGA-BA-A4IG-01	0.125154926616702	0	0	0.128417493097064	0.02668274671589	0	0.131384164941451	0.0720816003339708	0	0.143693490066583	0	0	0	0.102289372693557	0.159933295092339	0.00992235766325461	0.0357488183139103	0	0	0.0551185402230044	0.00957319424227417	0	0	0.369056223805281	0.934929644052799
TCGA-BA-6870-01	0.0122941231985892	0.0264255508726241	0.277087496168165	0.0177041224347258	0.0521967350658466	0.0290282534472934	0.0098269416809575	0.01879925858006	0.0325585515278355	0.0125184670661113	0	0.0728622894368051	0	0.0493414896618084	0.00110043776548685	0.0163624482019149	0.0675173008920639	0.0460553163620318	0.00123502425832622	0.235657671928404	0	0.0214285214509502	0	0.308173063875027	0.952976060733127
TCGA-BA-4076-01	0	0	0	0	0	0.0621108978548952	0	0.0251435579784646	0.0331476943594872	0.0342195734000472	0	0.0210572845033917	0	0.282174959828488	0	0	0.0409260688906529	0.0642281943801752	0	0.429734919101159	0	0.00725684970323852	0	0.276175387137167	1.02150840639479
TCGA-CV-5441-01	0	0	0	0.18723961099325	0	0	0.0455133565237809	0.0805183292625786	0.0174702554287485	0.0188118291023498	0.0329797611709696	0	0	0.240890133209185	0.0729202991679583	0.0985364741548885	0.0277406605429569	0	0	0.149675903018129	0.027703387425204	0	0	0.337698403871907	0.950384105998956
TCGA-CQ-6228-01	0.0379487907249647	0.00194090378743911	0.0126636787852909	0	0	0.0295533424539581	0	0.0131018230692027	0.0461518597635702	0.0336532610385319	0.00574481192462958	0	0	0.313921513703034	0.0100460344240464	0.0493820919455199	0	0.0339089151910395	0	0.411982973188773	0	0	0	0.345853635880543	0.979725464614763
TCGA-CN-5367-01	0	0	0	0.00781788659047315	0	0.147737956454872	0	0.0224625563899611	0.0131262623173128	0	0.0327257410303209	0	0	0.149804705073055	0.1062604838843	0.0922386154310898	0.335370390917483	0	0	0.092455401911132	0	0	0	0.495599400493984	0.867373349453851
TCGA-CN-6010-01	0.0111696997224105	0.00796169917162659	0.0632554059173136	0.153759447127962	0	0.0645151492753584	0.0401837145292226	0	0.00947629738095875	0	0.0681280522566206	0.00842734571822205	0	0.116652752720195	0.120020830789011	0.110108897398542	0.0385124317692377	0	0.187828276223319	0	0	0	0	0.343005110363167	0.941843708643201
TCGA-CV-5971-01	0.0659137039737547	0	0	0.106916833164878	0	0.0551594192060459	0	0.0773691139364952	0.0321811374149115	0.0293388235517798	0	0.0823731073112095	0	0.0808516997370724	0.125295105578345	0.180941219405435	0.0100664950696242	0.0182380354405852	0	0.126943341376743	0	0.00841196483312105	0	0.41992887166941	0.907592161954698
TCGA-IQ-A6SG-01	0.0129310921803146	0	0	0	0	0.0768910184227021	0	0.00051931247619613	0.0151640794506616	0.0498803079423721	0	0	0	0.210397769528538	0	0.0574007588237924	0	0.0402143326913722	0	0.522746091162441	0	0.0138552373216095	0.01	0.187380305764674	1.09330454988245
TCGA-CN-4737-01	0.0923511539444165	0	0.0668881160178039	0.0191139796042489	0	0.0320775496709892	0	0.0226225504279011	0.00792562425560144	0	0.0286103411548802	0.000856778806848192	0	0.463315839861463	0	0.123212192734271	0	0.0749795172687153	0	0.0635203395551032	0	0.00452601669775785	0	0.424221083392618	0.921833027562458
TCGA-CN-A6V7-01	0	0.023340667815621	0	0.215334717216587	0	0	0.104835503654318	0.124256254610727	0.00722959935418477	0	0.0456335599614928	0	0.0276359707096018	0.0733834500731073	0.0632718980006444	0.0713752425474766	0.0326369849788186	0.00637053684747138	0	0.141413637465418	0.0632819767645305	0	0.22	0.0956540265166228	1.04412101412695
TCGA-CN-A49A-01	0.336655992777355	0	0.0237044560299622	0	0	0.0761754190580739	0	0.0710008100772282	0	0	0	0.00117773129196701	0	0.332642578729736	0.0161735942738321	0.0355653119019723	0	0	0	0.106904105859873	0	0	0.04	0.148696290110842	1.0562994246369
TCGA-F7-8489-01	0	0	0.0512695122742653	0.100607374274984	0	0.1778807894726	0.053654464552405	0.0716832329655137	0	0	0	0.0683380571175879	0	0.0841453070233278	0.111172284143418	0.0813563131381402	0.0436272701320386	0.0147771661557735	0	0.141488228749945	0	0	0.02	0.169747845542629	1.01992772157474
TCGA-CR-6487-01	0	0.0452992347459274	0	0.284988595589184	0	0.0180453744441885	0.141067277434456	0.0894710901892831	0.0136567447917116	0.0778291802614163	0	0.00226401922003231	0	0.0386574596143625	0.113165910647765	0.0938335413708815	0.0379882761921303	0	0.0389753194148637	0.00475797608379846	0	0	0	0.564088432966673	0.829007342401563
TCGA-CN-A498-01	0	0	0.170834295556094	0.0475706943261482	0	0.106070395934723	0.0137451137669923	0.101875814016653	0	0	0	0.0551938275198742	0.002150641844242	0.047152107039116	0.104487579051236	0.0397869712963302	0.073124865594379	0.0462522153034128	0	0.172557984551979	0.0191974941988205	0	0	0.280208351996932	0.965159871769154
TCGA-HD-8634-01	0.00245126910352392	0	0	0.0271259097547756	0	0.0617871243291485	0.0364119340121544	0.00376669685512271	0.00193159397840673	0	0.0370636440086908	0	0	0.196832711296527	0.123027248860542	0.0525250536419676	0	0.0487963543769612	0	0.399199881534354	0	0.00908057824782504	0.01	0.222345315981288	1.04498096954373
TCGA-T3-A92M-01	0	0	0.0761650587124672	0.164885241882002	0	0.00190386753476393	0.053517686119827	0.0735422678774657	0.0139253791636654	0.0559540516569585	0	0.0313347098763921	0	0.0995329952146003	0.186790297147607	0.125743276985138	0.0323515895069101	0.0288296565088285	0	0.0555239218133748	0	0	0	0.563665385250225	0.828399701596539
TCGA-CN-A497-01	0.00986331384827476	0	0.088430706271581	0.0395262838268578	0	0.216023993836822	0.0291615627137171	0.0765396551874713	0	0	0.0473467859803247	0	0.0125539378479466	0.0685408022792826	0.0329795388972572	0.0397073539965155	0.0299278931400417	0.0590658981660311	0	0.247786698049422	0	0.0025455759584552	0	0.266759957465808	0.974878965117937
TCGA-CV-A6JD-01	0	0	0	0.145617667823857	0	0	0	0.0598198471236444	0.0562587472684881	0.00402976647081503	0	0.17031084742001	0	0.00204834481531873	0.143634177244084	0.146654744222764	0.172281902067151	0	0	0.0917240740598525	0	0.00761988148401566	0	0.274525605817938	0.98533990089616
TCGA-QK-A8ZB-01	0	0.0187826865552066	0.293064617090691	0	0.00754965820781487	0	0	0.0207916165235902	0.0115678608108747	0.0451615396757447	0	0.0279632416140127	0	0.310180428793282	0.0703520501302703	0.0351670833830526	0.0045264183194816	0.0131801838377568	0	0.140944881865636	0	0.0007677331925853	0	0.366503263249948	0.934819150313891
TCGA-CN-4731-01	0	0	0.106528788296582	0.0319000914969067	0	0.035844902323021	0	0.0140528308710492	0.0453572722273978	0.0513617291249166	0	0.0658433126636522	0	0.142948521503876	0.0145988375647304	0.0353140417648624	0.0390427490114752	0.0430005199185745	0	0.368513406558749	0	0.00569299667420788	0	0.243617212536694	1.00387017946661
TCGA-CV-7423-01	0	0	0	0	0	0.133838140070059	0	0.0212647702451484	0	0	0	0.0111906301112134	0	0.261154810165059	0.0263064965213617	0	0.0118083016942488	0.0229903430969533	0	0.511303713104458	0	0.000142794991498277	0	0.413191690594713	0.946433169858407
TCGA-D6-8568-01	0	0	0	0	0	0.109629816580134	0	0.0200767059795391	0	0.026067569053101	0	0.0090749569479848	0.0289858203198025	0.000236370210453621	0.11527045481716	0.0416263766609907	0	0.0592178232414674	0	0.486729557122966	0	0.103084549066401	0.16	0.106028189787992	1.11705637574565
