	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CQ-5332-01	0	0	0.0532731563512224	0.0516934844283793	0	0.0340335533996515	0	0.00660488363140558	0.0630965027070042	0	0.00899561963111351	0	0	0.218586942177333	0	0.11769609132157	0.000300892677427998	0.022748860493786	0	0.410261472584669	0.012708540596438	0	0	0.422329150740469	0.920235374785311
TCGA-F7-7848-01	0	0.0708040191525035	0.0238773584549555	0.112861354717068	0	0.0834103920924256	0.0772525159042435	0	0.0328418582152758	0.0684147083007334	0.0279464878884304	0	0	0.120136753568274	0.0334391189340916	0.146925565724376	0.0032916558402763	0.0130045148858212	0	0.160757463325417	0	0.0250362329961085	0	0.296930315179754	0.961513955764823
TCGA-CV-7414-01	0.0060749273254556	0	0.0377884091762916	0	0	0.15908841476312	0	0.0934507473825239	0.148374346227578	0	0.0534230864479543	0.159759119654911	0.0156415017781607	0.157302183809916	0.0739756332956727	0	0.00766996012600557	0	0.063953542353601	0.0234981276588104	0	0	0	0.293798233189433	0.975757422182147
TCGA-BA-A6DA-01	0	0.012312432181965	0.0510904553584681	0.109247092995868	0.00773897595729959	0.0876665690836136	0.0760188721164855	0	0	0	0	0.0571019628073434	0	0.108547533411173	0.0373944671346371	0.0892532176127495	0	0.0194823128962049	0	0.281641864252489	0	0.0625042441917036	0.07	0.137647865613078	1.03998442404094
TCGA-CQ-6227-01	0.028311651981399	0	0	0.00832010564336623	0	0	0	0.0356645144610407	0.0360098773143099	0.0574757128476413	0	0.0120353225234722	0	0.266937266117173	0.148798715221885	0.109066832486012	0	0	0	0.297380001403702	0	0	0	0.324622504057426	0.980588780956119
TCGA-CV-7432-01	0	0	0	0.0224895942658121	0	0.226260249671822	0.141274677551026	0	0	0	0.0561762303559201	0	0.0108334501423642	0.0587150218991489	0.125604745822725	0.103789954268702	0.0392081543953027	0	0	0.211662536043444	0	0.00398538558373264	0.01	0.200226186075712	1.00970285678711
TCGA-UF-A7JD-01	0.0218595806261965	0	0.0168820640193611	0	0	0.0704735202783112	0	0.0261500210510869	0.0267146921073598	0	0.00971838079313689	0	0	0.190022669336343	0.00602236463394885	0.0406289907576125	0	0.0201339459303462	0	0.558989490972158	0.0046802993148139	0.00772398017932561	0.01	0.202301826121006	1.09032562624104
TCGA-CQ-6225-01	0.0945898755475626	0	0.018627109865394	0.0461676433866381	0.0377112283459389	0	0	0.00491278784130661	0.108901383155924	0	0.0258919665510458	0	0.0142357710236474	0.162103424012881	0	0.0471077804007314	0	0.0241540843434507	0	0.393865884049954	0.0217310614755246	0	0.07	0.135828987405171	1.06632323691816
TCGA-BA-4074-01	0.000122057977387536	0	0.00796684453665193	0.00897011808963794	0	0.157076435136481	0	0.0110514031429538	0	0	0	0.0197877418422598	0.00644295860672427	0	0.0733904168114111	0.0362015543241201	0.0390323838790314	0.0163439866919682	0	0.559327512079894	0.0255274108389576	0.0387591760425214	0	0.262973251809319	1.03409178809376
TCGA-CV-A6JE-01	0	0	0.00890050979399964	0.211864559025853	0	0	0.18033845618807	0.0454775731610638	0.0132005164806212	0	0.0210540040231938	0.113814581087541	0	0.103194435499979	0.0575563074552308	0.0726511223900276	0.0802763437552497	0.0133947944533053	0	0.0782767966858656	0	0	0	0.578618826521263	0.822652414181037
