	MLL2	FGFR3	MLL3	KDM6A	ZFP36L1	STAG2	CRIPAK	ARID1A	TP53	GANAB
12T	0	0	0	0	0	0	0	0	0	0
13T	0	1	0	0	0	0	1	0	0	0
14T	0	0	0	0	0	0	0	0	0	0
15T	0	1	0	1	0	1	1	0	0	0
16T	0	1	1	0	0	0	0	1	0	0
17T	1	1	1	0	0	0	0	0	0	0
18T	0	1	1	0	0	1	0	0	0	0
19T	1	0	0	0	0	0	0	1	0	1
23T	0	1	0	1	1	0	1	0	0	0
25T	0	0	0	0	0	0	0	0	0	0
28T	0	0	0	0	0	0	0	0	1	1
29T	0	1	0	1	0	0	0	0	1	0
02T	1	0	0	0	1	1	0	1	0	0
30T	0	0	0	1	1	0	1	1	0	0
31T	1	0	0	0	1	0	0	0	1	0
32T	0	0	0	0	0	0	0	0	0	0
33T	1	1	1	0	0	0	0	0	0	1
34T	0	1	1	1	1	1	0	0	0	0
35T	1	1	1	0	0	0	0	0	0	0
36T	0	0	0	0	0	0	0	1	0	0
37T	0	1	0	0	0	0	0	0	0	0
38T	0	1	0	1	0	0	0	0	0	0
39T	1	1	0	0	0	0	0	0	0	0
03T	0	0	0	0	0	0	0	0	0	0
04T	0	0	1	0	0	0	0	0	1	1
05T	0	1	0	0	0	0	0	0	0	0
06T	0	1	0	1	1	1	0	0	0	0
07T	0	0	0	0	0	0	0	0	0	0
08T	1	0	0	0	0	0	0	0	1	0
09T	0	0	0	1	0	0	0	0	0	0
