Gene	a1	a2	a3	b1	b2	b3	c1	c2	c3	d1	d2	d3	e1	e2	e3	f1	f2	f3
A	126.917145989738	100.595384326084	140.719839081961	71.0593255742042	121.060704283969	191.40051883582	649.396040560361	964.639122561049	955.049390891715	454.963479116033	970.00484868696	490.374217657851	947.545597477451	692.286119115014	863.75892125339	549.344223676294	984.511933007548	1058.44520568904
B	2.03882965445362	1.77521266457796	1.03091457202902	0.789548061935603	0	4.46415204281797	0	0	0	0	0	0	0	0	0	0	0	0
C	221.722724921831	194.681655548716	179.379135533049	142.908199210344	105.786690192067	255.014685445976	64.9396040560361	89.3184372741712	72.3522265827057	92.1445020994498	35.1132976900257	119.742541521103	68.4338487067048	91.004748052678	178.235967877684	97.9029309522107	125.839871136303	157.022090953869
D	0	2.36695021943728	2.57728643007255	0	1.13140845125205	2.79009502676123	0	5.95456248494474	14.4704453165411	0	13.1674866337596	11.4040515734384	0	22.7511870131695	27.4209181350283	0	3.7011726804795	0
E	158.009298220156	110.063185203833	139.688924509932	55.2683643354922	132.940493022116	282.915635713589	12755.2205633397	8991.38935226657	13689.0412694479	20271.7904618789	7347.45754163788	11318.5211866376	11075.7552060698	7618.39747983847	16500.5374877533	11073.9093010389	11170.1391496871	11712.684858559
F	3.56795189529384	3.55042532915592	7.21640200420314	1.57909612387121	6.22274648188627	10.6023611016927	0	5.95456248494474	7.23522265827057	0	13.1674866337596	0	47.3772798738726	19.5010174398596	20.5656886012712	0	37.011726804795	17.4468989948743
G	1984.29096119699	1667.51642959356	2366.46440009262	1356.44357040537	1888.8864093653	3141.64700013314	1888.66015129638	1816.14155790815	2619.15060229395	2032.93807756911	1154.3496615596	2634.33591346427	3221.65503142334	2388.8746363828	6437.06053219788	3187.28430766642	2579.71735829421	3937.18353984331
H	13.7621001675619	18.9356017554982	13.4018894363773	4.73728837161361	13.0111971893986	22.3207602140898	108.232673426727	214.364249458011	180.880566456764	103.662564861881	237.014759407674	125.444567307822	221.093972744739	237.262378851625	253.643492749011	201.244913623989	370.11726804795	267.519117921407
I	1405.15079246729	1833.17793601898	2049.64163806152	1636.46781996569	1710.27106916027	2040.2313533623	3446.29738467224	5419.43220595011	7067.30778352009	3988.29228208819	3857.87970003046	7232.71839789338	9349.84027369205	10739.6531317542	13829.2502511762	8206.97987683822	10225.0124473841	13835.7492502936
J	45.59486347239	32.7862305819879	38.250026017534	38.5738843277627	31.3619389210318	41.4260173271533	290.737022163708	652.91534268868	660.055430081929	482.146293005866	415.287718266085	750.647248463991	790.836163095829	936.597656839031	1125.66139142517	681.188677135063	844.678924512872	1061.46473355115
