id	GO_0000122	GO_0001525	GO_0007155	GO_0007165	GO_0043547	GO_0045944
Ctrl4_1163	5.102	1.147	2.331	6.956	2.070	6.084
Ctrl4_1164	5.008	1.823	3.108	6.914	1.914	5.933
Ctrl4_1165	5.553	1.512	3.178	8.422	2.422	6.915
Ctrl4_1166	5.129	1.547	2.603	7.880	1.858	6.722
Ctrl4_1167	5.388	1.470	3.116	8.976	2.177	6.341
Ctrl4_1168	5.873	1.121	2.781	8.044	1.866	7.103
Ctrl4_1169	5.282	1.091	3.685	8.443	2.492	7.063
Ctrl4_1170	5.462	1.300	2.886	8.477	2.362	6.097
Ctrl4_1171	5.091	1.290	2.959	8.044	2.624	6.745
Ctrl4_1172	4.618	1.109	3.180	7.594	1.693	6.879
Ctrl4_1173	5.098	1.032	2.809	7.689	1.649	6.553
Ctrl4_1174	5.080	0.904	2.909	8.711	2.174	7.655
Ctrl4_1175	5.129	1.248	2.382	7.518	1.981	5.806
Ctrl4_1176	5.347	1.580	3.158	8.280	2.005	6.575
Ctrl4_1177	5.334	1.410	2.927	8.145	2.653	6.821
Ctrl4_1178	4.962	1.221	2.730	8.053	2.522	6.553
Ctrl4_1179	4.573	1.355	3.552	8.467	2.269	5.702
Ctrl4_1180	4.744	1.383	2.875	7.674	1.928	6.189
Ctrl4_1181	5.919	1.368	2.433	7.004	2.073	6.727
Ctrl4_1182	4.965	1.394	2.570	8.718	2.273	6.655
Ctrl4_1183	5.344	1.223	3.254	8.381	2.489	7.261
Ctrl4_1184	5.018	1.456	2.881	8.218	1.813	6.642
Ctrl4_1185	4.678	1.627	2.632	8.754	2.606	7.142
Ctrl4_1186	5.597	1.423	3.011	8.874	2.172	6.710
Ctrl4_1187	6.095	1.225	2.254	8.384	2.438	8.134
Ctrl4_1188	4.655	1.013	3.230	8.700	1.896	6.491
Ctrl4_1189	5.484	1.427	3.273	7.330	2.227	5.995
Ctrl4_1190	5.142	1.705	2.586	8.038	2.145	6.769
Ctrl4_1191	5.055	1.357	2.816	7.885	2.642	6.624
Ctrl4_1192	5.305	1.121	2.903	7.114	2.642	6.813
Ctrl4_1193	5.472	1.547	2.700	8.373	2.279	7.013
Ctrl4_1194	4.944	1.547	2.746	7.624	2.427	6.383
Ctrl4_1195	5.162	0.886	2.668	7.732	1.920	7.766
Ctrl4_1196	6.347	1.926	3.111	8.484	2.233	7.501
Ctrl4_1197	5.754	1.217	2.465	7.762	2.272	7.250
Ctrl4_1198	5.161	1.316	2.986	8.758	2.297	6.879
Ctrl4_1199	4.737	1.207	2.693	7.415	2.258	6.037
Ctrl4_1200	5.194	1.742	3.150	8.035	3.240	7.218
Ctrl4_1201	5.138	1.352	2.961	7.740	2.346	6.479
Ctrl4_1202	5.720	1.170	2.784	7.803	2.473	6.982
Ctrl4_1203	6.204	1.671	3.131	8.583	2.360	6.748
Ctrl4_1204	4.953	1.664	3.505	9.123	2.335	7.041
Ctrl4_1205	5.075	1.344	2.866	7.619	2.713	6.327
Ctrl4_1206	5.571	1.489	3.291	9.548	2.574	6.751
Ctrl4_1207	5.239	1.416	2.517	8.635	2.591	6.589
Ctrl4_1208	5.189	1.361	3.063	8.198	2.204	7.533
Ctrl4_1209	5.114	1.302	3.403	8.533	2.914	6.776
Ctrl4_1210	5.680	1.196	3.022	8.248	1.858	6.371
Ctrl4_1211	5.254	1.470	2.819	9.228	2.727	7.112
Ctrl4_1212	5.542	1.320	3.424	8.190	1.688	7.763
Ctrl4_1213	5.508	1.413	3.245	7.201	2.108	7.146
Ctrl4_1214	5.976	1.083	2.735	8.083	1.548	6.863
Ctrl4_1215	4.599	1.430	3.535	8.148	1.624	6.557
Ctrl4_1216	4.345	1.441	2.883	8.810	2.275	6.955
Ctrl4_1217	5.843	1.650	2.489	8.484	2.182	7.299
Ctrl4_1218	5.529	1.245	2.732	8.796	2.536	6.743
Ctrl4_1219	5.806	1.357	3.020	8.404	2.732	7.562
Ctrl4_1220	5.163	1.504	2.804	8.672	2.013	6.293
Ctrl4_1221	5.529	1.296	3.002	9.651	2.186	5.506
Ctrl4_1222	5.539	1.663	2.709	8.341	2.580	6.874
