"","x"
"160","TCGA-XF-A9SV-01A"
"161","TCGA-XF-AAN2-01A"
"162","TCGA-FD-A6TH-01A"
"163","TCGA-FD-A62O-01A"
"164","TCGA-CU-A3YL-01A"
"165","TCGA-KQ-A41Q-01A"
"166","TCGA-GC-A3OO-01A"
"167","TCGA-E7-A677-01A"
"168","TCGA-UY-A8OC-01A"
"169","TCGA-G2-A2EF-01A"
"170","TCGA-FD-A6TD-01A"
"171","TCGA-ZF-AA4V-01A"
"172","TCGA-GV-A3JX-01A"
"173","TCGA-YF-AA3M-01A"
"174","TCGA-DK-A1A5-01A"
"175","TCGA-GC-A3RC-01A"
"176","TCGA-FD-A3SR-01A"
"177","TCGA-GU-A762-01A"
"178","TCGA-K4-A54R-01A"
"179","TCGA-DK-A2I4-01A"
"180","TCGA-XF-A8HC-01A"
"181","TCGA-UY-A78K-01A"
"182","TCGA-FJ-A3Z7-01A"
"183","TCGA-BT-A42C-01A"
"184","TCGA-GC-A4ZW-01A"
"185","TCGA-UY-A78N-01A"
"186","TCGA-XF-AAN0-01A"
"187","TCGA-DK-AA71-01A"
"188","TCGA-ZF-A9R4-01A"
"189","TCGA-HQ-A2OE-01A"
"190","TCGA-CF-A3MI-01A"
"191","TCGA-H4-A2HQ-01A"
"192","TCGA-HQ-A5ND-01A"
"193","TCGA-E7-A3X6-01A"
"194","TCGA-G2-A3IE-01A"
"195","TCGA-E7-A85H-01A"
"196","TCGA-ZF-A9RL-01A"
"197","TCGA-GD-A6C6-01A"
"198","TCGA-G2-AA3D-01A"
"199","TCGA-GV-A3JZ-01A"
"200","TCGA-ZF-A9R5-01A"
"201","TCGA-E5-A4TZ-01A"
"202","TCGA-XF-AAMY-01A"
"203","TCGA-GC-A3BM-01A"
"204","TCGA-G2-A2EK-01A"
"205","TCGA-GU-A42R-01A"
"206","TCGA-E7-A5KF-01A"
"207","TCGA-CF-A3MF-01A"
"208","TCGA-E7-A6ME-01A"
"209","TCGA-CF-A47W-01A"
"210","TCGA-DK-AA76-01A"
"211","TCGA-XF-AAMH-01A"
"212","TCGA-ZF-A9R2-01A"
"213","TCGA-CF-A8HY-01A"
"214","TCGA-DK-A3IM-01A"
"215","TCGA-XF-AAMG-01A"
"216","TCGA-ZF-AA4T-01A"
"217","TCGA-CU-A3KJ-01A"
"218","TCGA-BT-A2LA-01A"
"219","TCGA-GV-A3JW-01A"
"220","TCGA-ZF-A9RM-01A"
"221","TCGA-KQ-A41P-01A"
"222","TCGA-CF-A9FL-01A"
"223","TCGA-4Z-AA7Y-01A"
"224","TCGA-MV-A51V-01A"
"225","TCGA-KQ-A41N-01A"
"226","TCGA-DK-A1AD-01A"
"227","TCGA-CF-A5UA-01A"
"228","TCGA-BT-A20W-01A"
"229","TCGA-CF-A9FM-01A"
"230","TCGA-E7-A519-01A"
"231","TCGA-E5-A4U1-01A"
"232","TCGA-FD-A3NA-01A"
"233","TCGA-KQ-A41O-01A"
"234","TCGA-DK-A6B5-01A"
"235","TCGA-ZF-AA4U-01A"
"236","TCGA-K4-A6MB-01A"
"237","TCGA-FD-A3B5-01A"
"238","TCGA-DK-A6AW-01A"
"239","TCGA-XF-A8HF-01A"
"240","TCGA-DK-A2I6-01A"
"241","TCGA-GU-AATQ-01A"
"242","TCGA-CF-A47X-01A"
"243","TCGA-ZF-A9RC-01A"
"244","TCGA-E7-A4IJ-01A"
"245","TCGA-DK-A1AG-01A"
"246","TCGA-CF-A3MG-01A"
"247","TCGA-FD-A3SM-01A"
"248","TCGA-FJ-A3ZF-01A"
"249","TCGA-G2-A2EL-01A"
"250","TCGA-GU-A763-01A"
"251","TCGA-DK-A1AA-01A"
"252","TCGA-DK-A3IS-01A"
"253","TCGA-XF-A9T0-01A"
"254","TCGA-GV-A6ZA-01A"
"255","TCGA-4Z-AA87-01A"
"256","TCGA-FJ-A3ZE-01A"
"257","TCGA-CF-A7I0-01A"
"258","TCGA-GC-A3RB-01A"
"259","TCGA-CF-A5U8-01A"
"260","TCGA-4Z-AA7O-01A"
"261","TCGA-2F-A9KT-01A"
"262","TCGA-2F-A9KQ-01A"
"263","TCGA-PQ-A6FI-01A"
"264","TCGA-DK-AA6P-01A"
"265","TCGA-4Z-AA7M-01A"
"266","TCGA-CF-A3MH-01A"
"267","TCGA-E7-A8O7-01A"
"268","TCGA-E7-A6MF-01A"
"269","TCGA-UY-A9PF-01A"
"270","TCGA-CF-A47S-01A"
"271","TCGA-4Z-AA89-01A"
"272","TCGA-DK-AA77-01A"
"273","TCGA-DK-AA6U-01A"
"274","TCGA-GU-A767-01A"
"275","TCGA-DK-A1AE-01A"
"276","TCGA-DK-A1AC-01A"
"277","TCGA-H4-A2HO-01A"
"278","TCGA-FD-A43N-01A"
"279","TCGA-DK-AA75-01A"
"280","TCGA-GV-A3QH-01A"
"281","TCGA-DK-AA6W-01A"
"282","TCGA-4Z-AA7R-01A"
"283","TCGA-ZF-AA4R-01A"
"284","TCGA-CF-A27C-01A"
"285","TCGA-UY-A9PD-01A"
"286","TCGA-S5-AA26-01A"
"287","TCGA-BT-A20N-01A"
"288","TCGA-4Z-AA80-01A"
"289","TCGA-E7-A678-01A"
"290","TCGA-BT-A20T-01A"
"291","TCGA-CF-A47Y-01A"
"292","TCGA-E7-A7DU-01A"
"293","TCGA-FD-A3SJ-01A"
"294","TCGA-CF-A9FF-01A"
"295","TCGA-FD-A43X-01A"
"296","TCGA-E7-A3Y1-01A"
"297","TCGA-XF-A9T2-01A"
"298","TCGA-GU-AATP-01A"
"299","TCGA-GU-A42P-01A"
"300","TCGA-YC-A9TC-01A"
"301","TCGA-G2-A3VY-01A"
"302","TCGA-G2-AA3F-01A"
"303","TCGA-DK-A3X2-01A"
"304","TCGA-CU-A72E-01A"
"305","TCGA-DK-A6B0-01A"
"306","TCGA-FJ-A3Z9-01A"
"307","TCGA-2F-A9KP-01A"
"308","TCGA-HQ-A5NE-01A"
"309","TCGA-FD-A5BT-01A"
"310","TCGA-DK-A3IQ-01A"
"311","TCGA-R3-A69X-01A"
"312","TCGA-BT-A42F-01A"
"313","TCGA-DK-A1A3-01A"
"314","TCGA-DK-AA6X-01A"
"315","TCGA-XF-AAMR-01A"
"316","TCGA-FD-A3SP-01A"
"317","TCGA-UY-A9PB-01A"
"318","TCGA-UY-A9PE-01A"
"319","TCGA-E7-A97P-01A"
"320","TCGA-UY-A9PH-01A"
"321","TCGA-E7-A7XN-01A"
"322","TCGA-E7-A7DV-01A"
"323","TCGA-BT-A20O-01A"
"324","TCGA-CF-A1HR-01A"
"325","TCGA-ZF-AA54-01A"
"326","TCGA-BT-A3PK-01A"
"327","TCGA-FD-A62P-01A"
"328","TCGA-LC-A66R-01A"
"329","TCGA-DK-AA6T-01A"
"330","TCGA-FD-A43U-01A"
"331","TCGA-FD-A3B8-01A"
"332","TCGA-BT-A0S7-01A"
"333","TCGA-ZF-A9RF-01A"
"334","TCGA-FD-A3SQ-01A"
"335","TCGA-4Z-AA7Q-01A"
"336","TCGA-DK-AA6S-01A"
"337","TCGA-DK-A6B2-01A"
"338","TCGA-GU-A766-01A"
"339","TCGA-G2-AA3C-01A"
"340","TCGA-DK-A3IU-01A"
"341","TCGA-2F-A9KO-01A"
"342","TCGA-XF-A9SP-01A"
"343","TCGA-DK-AA74-01A"
"344","TCGA-FJ-A871-01A"
"345","TCGA-XF-A9SM-01A"
"346","TCGA-FD-A5BX-01A"
"347","TCGA-XF-A9SL-01A"
"348","TCGA-FD-A3B7-01A"
"349","TCGA-DK-A3IK-01A"
"350","TCGA-4Z-AA7W-01A"
"351","TCGA-FD-A6TA-01A"
"352","TCGA-K4-A4AC-01A"
"353","TCGA-ZF-AA53-01A"
"354","TCGA-CU-A0YR-01A"
"355","TCGA-E7-A6MD-01A"
"356","TCGA-FD-A3SL-01A"
"357","TCGA-BT-A42E-01A"
"358","TCGA-DK-AA6R-01A"
"359","TCGA-ZF-AA5P-01A"
"360","TCGA-ZF-AA4W-01A"
"361","TCGA-GU-A42Q-01A"
"362","TCGA-BT-A20J-01A"
"363","TCGA-FD-A5BR-01A"
"364","TCGA-4Z-AA82-01A"
"365","TCGA-K4-AAQO-01A"
"366","TCGA-XF-A9SZ-01A"
"367","TCGA-FD-A6TB-01A"
"368","TCGA-4Z-AA86-01A"
"369","TCGA-DK-A3IN-01A"
"370","TCGA-BT-A20Q-01A"
"371","TCGA-XF-A9SK-01A"
"372","TCGA-FD-A43Y-01A"
"373","TCGA-DK-A3IT-01A"
"374","TCGA-4Z-AA84-01A"
"375","TCGA-K4-A83P-01A"
"376","TCGA-CU-A0YO-01A"
"377","TCGA-S5-A6DX-01A"
"378","TCGA-K4-A5RJ-01A"
"379","TCGA-C4-A0F0-01A"
"380","TCGA-XF-A8HE-01A"
"381","TCGA-4Z-AA7N-01A"
"382","TCGA-BT-A20X-01A"
"383","TCGA-SY-A9G0-01A"
"384","TCGA-ZF-AA4N-01A"
"385","TCGA-GV-A40E-01A"
"386","TCGA-DK-A3WW-01A"
"387","TCGA-FD-A6TK-01A"
"388","TCGA-K4-A5RH-01A"
"389","TCGA-CU-A5W6-01A"
"390","TCGA-GU-A764-01A"
"391","TCGA-FD-A5BS-01A"
"392","TCGA-K4-A3WS-01A"
"393","TCGA-FD-A43P-01A"
"394","TCGA-YC-A8S6-01A"
"395","TCGA-FD-A62N-01A"
"396","TCGA-FD-A6TG-01A"
