"Gene_Clusters","Gene"
1,"CD79A"
1,"IGLL5"
1,"MS4A1"
1,"TCL1A"
1,"LINC00926"
1,"CD79B"
1,"VPREB3"
1,"BANK1"
1,"SPIB"
1,"FCRLA"
1,"GNG7"
1,"FCER2"
1,"KIAA0125"
1,"BLNK"
1,"EAF2"
1,"P2RX5"
1,"PNOC"
1,"MARCH1"
1,"HLA-DOB"
1,"BACE2"
1,"CD40"
1,"MEF2C"
1,"CD72"
1,"PPAPDC1B"
1,"PKIG"
1,"CD19"
1,"QRSL1"
1,"LTB"
1,"C16orf74"
1,"SWAP70"
1,"POU2AF1"
1,"CD22"
1,"BLK"
1,"TLR10"
1,"RBM5"
1,"ZNF493"
1,"BIRC3"
1,"CD37"
1,"FCRL1"
1,"TTN-AS1"
1,"AC079767.4"
1,"ADAM28"
1,"PLEKHF2"
1,"SMIM14"
1,"CYB561A3"
1,"NEK8"
1,"SNX29P2"
1,"CDCA7L"
1,"FAM129C"
1,"SNHG7"
1,"SNX2"
1,"RALGPS2"
1,"FCGR2B"
1,"FCRL2"
1,"PDLIM1"
1,"MTRF1"
1,"MTIF2"
1,"RPUSD2"
1,"SLC48A1"
1,"STRBP"
1,"HVCN1"
1,"TNFRSF13C"
1,"ADK"
1,"CD180"
1,"AFF3"
1,"TPD52"
1,"NAT9"
1,"TCF4"
1,"RP11-428G5.5"
1,"CCDC66"
1,"IL4R"
1,"KCNG1"
1,"SEL1L3"
1,"COBLL1"
1,"NR2C1"
1,"KIAA0226L"
1,"BCL7A"
1,"TMEM154"
1,"MYC"
1,"CD200"
1,"HLA-DQB2"
1,"C15orf57"
1,"KIAA0040"
1,"EARS2"
1,"ARL4A"
1,"IFT57"
1,"VIPR1"
1,"STAG3"
1,"MACROD2"
1,"RP11-693J15.5"
1,"BTLA"
2,"HLA-DRA"
2,"IGJ"
2,"HLA-DQA1"
2,"HLA-DQB1"
2,"GZMB"
2,"CD74"
2,"LY86"
2,"HLA-DRB1"
2,"HLA-DPB1"
2,"HLA-DRB5"
2,"AL928768.3"
2,"HLA-DPA1"
2,"HLA-DQA2"
2,"HLA-DMA"
