"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"GBE1","OK","negbinomial.size",0.702058261839002,0.888155229219594,"GBE1",43,FALSE
"SLC25A36","OK","negbinomial.size",0.702360386363009,0.888429659023952,"SLC25A36",96,FALSE
"RNF44","OK","negbinomial.size",0.702841983511913,0.88888383251557,"RNF44",147,FALSE
"SMAD2","OK","negbinomial.size",0.702889919727981,0.88888383251557,"SMAD2",174,FALSE
"OAZ1","OK","negbinomial.size",0.70301769077657,0.888937611182014,"OAZ1",2406,TRUE
"DLD","OK","negbinomial.size",0.703164203334384,0.889015071819951,"DLD",176,FALSE
"ST6GAL1","OK","negbinomial.size",0.703886203332453,0.88949652549089,"ST6GAL1",178,FALSE
"ZNF131","OK","negbinomial.size",0.703838229781489,0.88949652549089,"ZNF131",177,FALSE
"CEP57L1","OK","negbinomial.size",0.70385522332324,0.88949652549089,"CEP57L1",29,FALSE
"UBE2R2","OK","negbinomial.size",0.703693384401537,0.88949652549089,"UBE2R2",187,TRUE
"ZBTB11-AS1","OK","negbinomial.size",0.704059391150026,0.889550965946766,"ZBTB11-AS1",23,FALSE
"ZCCHC6","OK","negbinomial.size",0.704099891918355,0.889550965946766,"ZCCHC6",66,FALSE
"ACSS2","OK","negbinomial.size",0.704300674287827,0.889696842092484,"ACSS2",36,FALSE
"KMT2C","OK","negbinomial.size",0.704885130764488,0.890017836963335,"KMT2C",159,FALSE
"PCNXL3","OK","negbinomial.size",0.704896175247428,0.890017836963335,"PCNXL3",20,FALSE
"GOLGA8A","OK","negbinomial.size",0.704716115370163,0.890017836963335,"GOLGA8A",18,FALSE
"ARRDC2","OK","negbinomial.size",0.704878799855224,0.890017836963335,"ARRDC2",192,FALSE
"VPS9D1","OK","negbinomial.size",0.70540700925372,0.890554999091742,"VPS9D1",23,FALSE
"CEP57","OK","negbinomial.size",0.705846424116667,0.891001877580027,"CEP57",246,FALSE
"CEP164","OK","negbinomial.size",0.705994112303546,0.891080440946668,"CEP164",97,FALSE
"TCEAL1","OK","negbinomial.size",0.706592763732286,0.891620200895484,"TCEAL1",84,FALSE
"UBFD1","OK","negbinomial.size",0.706515928561193,0.891620200895484,"UBFD1",36,FALSE
"DPAGT1","OK","negbinomial.size",0.706862670356972,0.89172792084438,"DPAGT1",83,FALSE
"PARP11","OK","negbinomial.size",0.706933407990512,0.89172792084438,"PARP11",96,FALSE
"PPP2R5E","OK","negbinomial.size",0.706934668356395,0.89172792084438,"PPP2R5E",113,FALSE
"SCAF8","OK","negbinomial.size",0.707596414729495,0.892241759569467,"SCAF8",37,FALSE
"SAMD9","OK","negbinomial.size",0.707566139826615,0.892241759569467,"SAMD9",96,FALSE
"NKRF","OK","negbinomial.size",0.707598710360519,0.892241759569467,"NKRF",34,FALSE
"DEGS1","OK","negbinomial.size",0.707714322518816,0.892279646382084,"DEGS1",355,TRUE
"TTTY15","OK","negbinomial.size",0.708075198912519,0.892626713522697,"TTTY15",54,FALSE
"SLC25A39","OK","negbinomial.size",0.708171107959944,0.892639709151009,"SLC25A39",301,FALSE
"RP13-977J11.2","OK","negbinomial.size",0.708351426429323,0.892759085666544,"RP13-977J11.2",56,FALSE
"GAA","OK","negbinomial.size",0.708497487941778,0.892835263354304,"GAA",79,FALSE
"PRR14","OK","negbinomial.size",0.708682666274707,0.892960710960929,"PRR14",136,FALSE
"SPTAN1","OK","negbinomial.size",0.709217521171286,0.893202955051153,"SPTAN1",157,FALSE
"TM9SF3","OK","negbinomial.size",0.70919427555443,0.893202955051153,"TM9SF3",91,FALSE
"C11orf73","OK","negbinomial.size",0.709217536231641,0.893202955051153,"C11orf73",341,FALSE
"WNK1","OK","negbinomial.size",0.709204849114731,0.893202955051153,"WNK1",235,FALSE
"TCF20","OK","negbinomial.size",0.709338239710864,0.893247091378443,"TCF20",30,FALSE
"LAGE3","OK","negbinomial.size",0.709512580917877,0.893349909807953,"LAGE3",305,FALSE
"NCKAP1L","OK","negbinomial.size",0.709591225828469,0.893349909807953,"NCKAP1L",283,TRUE
"NENF","OK","negbinomial.size",0.710282909427854,0.893357879569855,"NENF",396,FALSE
"MGAT5","OK","negbinomial.size",0.710243387207126,0.893357879569855,"MGAT5",42,FALSE
"SH3BP5-AS1","OK","negbinomial.size",0.710141341154576,0.893357879569855,"SH3BP5-AS1",29,FALSE
"LSM5","OK","negbinomial.size",0.709980645383766,0.893357879569855,"LSM5",308,FALSE
"GDPD5","OK","negbinomial.size",0.710221894705498,0.893357879569855,"GDPD5",28,FALSE
"C16orf62","OK","negbinomial.size",0.709951910858293,0.893357879569855,"C16orf62",74,FALSE
"MBTD1","OK","negbinomial.size",0.709719773898946,0.893357879569855,"MBTD1",17,FALSE
"ZNF773","OK","negbinomial.size",0.709816532076095,0.893357879569855,"ZNF773",22,FALSE
"CROCCP2","OK","negbinomial.size",0.710820879199703,0.893366661271027,"CROCCP2",125,FALSE
"ZBTB37","OK","negbinomial.size",0.710470469542932,0.893366661271027,"ZBTB37",23,FALSE
"MRPS28","OK","negbinomial.size",0.710395396975164,0.893366661271027,"MRPS28",140,FALSE
"GADD45G","OK","negbinomial.size",0.710749187523273,0.893366661271027,"GADD45G",30,FALSE
"MKL2","OK","negbinomial.size",0.710749709239615,0.893366661271027,"MKL2",29,FALSE
"C19orf60","OK","negbinomial.size",0.710733205728716,0.893366661271027,"C19orf60",741,FALSE
"NF2","OK","negbinomial.size",0.710889581437187,0.893366661271027,"NF2",40,FALSE
"DDX46","OK","negbinomial.size",0.711282325623014,0.893623911207651,"DDX46",429,FALSE
"BCL9L","OK","negbinomial.size",0.711437064714799,0.893623911207651,"BCL9L",74,FALSE
"CALML4","OK","negbinomial.size",0.711356973954337,0.893623911207651,"CALML4",20,FALSE
"NDUFA7.1","OK","negbinomial.size",0.711342587047021,0.893623911207651,"NDUFA7.1",426,FALSE
"NME2","OK","negbinomial.size",0.711615317952961,0.893740158450377,"NME2",50,FALSE
"ZSWIM6","OK","negbinomial.size",0.711929499353344,0.893836975292389,"ZSWIM6",19,FALSE
"MED13L","OK","negbinomial.size",0.712026620034726,0.893836975292389,"MED13L",55,FALSE
"STAT3","OK","negbinomial.size",0.712035265990974,0.893836975292389,"STAT3",467,FALSE
"SNAP29","OK","negbinomial.size",0.711964173961354,0.893836975292389,"SNAP29",223,FALSE
"SPICE1","OK","negbinomial.size",0.712197025567092,0.893839222080727,"SPICE1",32,FALSE
"ATP5EP2","OK","negbinomial.size",0.712208486408588,0.893839222080727,"ATP5EP2",745,FALSE
"SND1","OK","negbinomial.size",0.71255734352858,0.894169431806984,"SND1",248,FALSE
"CCM2","OK","negbinomial.size",0.71300652139933,0.89462543678886,"CCM2",369,FALSE
"ATP5I","OK","negbinomial.size",0.713293208168634,0.894698368465973,"ATP5I",763,FALSE
"ZCCHC18","OK","negbinomial.size",0.713305333028002,0.894698368465973,"ZCCHC18",19,FALSE
"SRP14-AS1","OK","negbinomial.size",0.713322040221145,0.894698368465973,"SRP14-AS1",37,FALSE
"ACTR3","OK","negbinomial.size",0.7134198671678,0.894713454579173,"ACTR3",1095,FALSE
"MYSM1","OK","negbinomial.size",0.715019806242909,0.894847793729279,"MYSM1",42,FALSE
"RP11-284N8.3","OK","negbinomial.size",0.714604318449698,0.894847793729279,"RP11-284N8.3",18,FALSE
"GGCX","OK","negbinomial.size",0.714690013402799,0.894847793729279,"GGCX",79,FALSE
"RFC4","OK","negbinomial.size",0.71437313564963,0.894847793729279,"RFC4",78,FALSE
"ZNF518B","OK","negbinomial.size",0.714209432722772,0.894847793729279,"ZNF518B",27,FALSE
"RPL26L1","OK","negbinomial.size",0.714736478204728,0.894847793729279,"RPL26L1",223,FALSE
"REPS1","OK","negbinomial.size",0.71517633948908,0.894847793729279,"REPS1",80,FALSE
"EPHA1","OK","negbinomial.size",0.713880120056974,0.894847793729279,"EPHA1",23,FALSE
"CFP","OK","negbinomial.size",0.713969425148816,0.894847793729279,"CFP",549,TRUE
"FDFT1","OK","negbinomial.size",0.714460490393361,0.894847793729279,"FDFT1",336,FALSE
"ZNF703","OK","negbinomial.size",0.71511999703271,0.894847793729279,"ZNF703",80,TRUE
"RP11-809O17.1","OK","negbinomial.size",0.715479668225395,0.894847793729279,"RP11-809O17.1",16,FALSE
"TMEM203","OK","negbinomial.size",0.714525313941487,0.894847793729279,"TMEM203",207,FALSE
"GTPBP4","OK","negbinomial.size",0.71495267844541,0.894847793729279,"GTPBP4",148,FALSE
"VIM-AS1","OK","negbinomial.size",0.714806665952772,0.894847793729279,"VIM-AS1",223,FALSE
"CHCHD1","OK","negbinomial.size",0.715544435603023,0.894847793729279,"CHCHD1",221,FALSE
"ERLIN1","OK","negbinomial.size",0.714499222706017,0.894847793729279,"ERLIN1",19,FALSE
"ADM","OK","negbinomial.size",0.714160885802068,0.894847793729279,"ADM",28,TRUE
"NOMO1","OK","negbinomial.size",0.715515441646754,0.894847793729279,"NOMO1",79,FALSE
"MYBBP1A","OK","negbinomial.size",0.715586474099392,0.894847793729279,"MYBBP1A",35,FALSE
"TRMT6","OK","negbinomial.size",0.714168431806177,0.894847793729279,"TRMT6",81,FALSE
"TM9SF4","OK","negbinomial.size",0.713794134030541,0.894847793729279,"TM9SF4",93,FALSE
"HSH2D","OK","negbinomial.size",0.71544737489912,0.894847793729279,"HSH2D",219,FALSE
"RTCB","OK","negbinomial.size",0.715203558515593,0.894847793729279,"RTCB",285,FALSE
"SRSF1","OK","negbinomial.size",0.715682975930489,0.894861159832511,"SRSF1",352,FALSE
"TARS2","OK","negbinomial.size",0.715785640159807,0.894882227021516,"TARS2",41,FALSE
