"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"CD79A","OK","negbinomial.size",2.18929265455045e-84,2.28299438016521e-80,"CD79A",417,TRUE
"HLA-DRA","OK","negbinomial.size",2.79270614262652e-66,1.45611698276547e-62,"HLA-DRA",1478,TRUE
"IGLL5","OK","negbinomial.size",3.12217298024856e-64,1.0852673279344e-60,"IGLL5",107,TRUE
"NKG7","OK","negbinomial.size",9.63340500868935e-60,2.51142868576531e-56,"NKG7",788,TRUE
"MS4A1","OK","negbinomial.size",1.08388852776147e-51,2.26055791349933e-48,"MS4A1",415,TRUE
"GNLY","OK","negbinomial.size",2.59711903835333e-50,4.51379288865809e-47,"GNLY",475,TRUE
"GZMA","OK","negbinomial.size",3.8237122806666e-49,5.69623880897019e-46,"GZMA",521,TRUE
"IGJ","OK","negbinomial.size",5.38873432669578e-49,7.02421519484795e-46,"IGJ",68,TRUE
"HLA-DQA1","OK","negbinomial.size",3.49474930691989e-46,3.64432457725606e-43,"HLA-DQA1",576,TRUE
"CCL5","OK","negbinomial.size",3.23420198438536e-46,3.64432457725606e-43,"CCL5",835,TRUE
"HLA-DQB1","OK","negbinomial.size",3.3514732170392e-44,3.17719660975316e-41,"HLA-DQB1",635,TRUE
"GZMB","OK","negbinomial.size",2.85377672679136e-42,2.47993197558169e-39,"GZMB",318,TRUE
"TCL1A","OK","negbinomial.size",4.17815417539292e-41,3.35152244161518e-38,"TCL1A",264,TRUE
"CST7","OK","negbinomial.size",5.04650222595046e-40,3.75892322944367e-37,"CST7",518,TRUE
"LINC00926","OK","negbinomial.size",1.09427600847257e-39,7.60740681090127e-37,"LINC00926",215,TRUE
"CTSW","OK","negbinomial.size",6.45201039833295e-37,4.2050977771135e-34,"CTSW",790,TRUE
"CD79B","OK","negbinomial.size",2.09403821308509e-36,1.28450767565008e-33,"CD79B",640,TRUE
"GZMH","OK","negbinomial.size",4.93519905797165e-36,2.85912532091825e-33,"GZMH",264,TRUE
"PRF1","OK","negbinomial.size",5.94440040993654e-36,3.26253723551675e-33,"PRF1",412,TRUE
"CD74","OK","negbinomial.size",2.88548571553922e-34,1.50449225208215e-31,"CD74",2227,TRUE
"LY86","OK","negbinomial.size",7.50611280227928e-34,3.72732115724611e-31,"LY86",506,TRUE
"PPBP","OK","negbinomial.size",2.02366873877189e-33,9.59218982177876e-31,"PPBP",76,TRUE
"VPREB3","OK","negbinomial.size",2.28030354760268e-33,1.03386979975656e-30,"VPREB3",183,TRUE
"IL32","OK","negbinomial.size",1.43792883709522e-32,6.24780079717875e-30,"IL32",1457,TRUE
"FGFBP2","OK","negbinomial.size",2.84858567495683e-32,1.18820205673799e-29,"FGFBP2",290,TRUE
"HLA-DRB1","OK","negbinomial.size",3.03359122860942e-32,1.21670343584381e-29,"HLA-DRB1",1213,TRUE
"HLA-DPB1","OK","negbinomial.size",6.34738912225227e-32,2.45150273210543e-29,"HLA-DPB1",1368,TRUE
"GZMM","OK","negbinomial.size",2.32832478229884e-31,8.67134672493298e-29,"GZMM",645,TRUE
"HLA-DRB5","OK","negbinomial.size",2.70215186270463e-30,9.71656538768409e-28,"HLA-DRB5",927,TRUE
"AL928768.3","OK","negbinomial.size",8.78190499136483e-30,3.05259017499841e-27,"AL928768.3",18,TRUE
"CD247","OK","negbinomial.size",1.96556816002126e-29,6.61191766861344e-27,"CD247",707,TRUE
"HLA-DPA1","OK","negbinomial.size",3.49936160617395e-29,1.14035446341193e-26,"HLA-DPA1",1302,TRUE
"HLA-DQA2","OK","negbinomial.size",4.99540696081633e-29,1.57854859961796e-26,"HLA-DQA2",329,TRUE
"CD3D","OK","negbinomial.size",4.74046136051118e-28,1.45392738433561e-25,"CD3D",1372,TRUE
"HLA-DMA","OK","negbinomial.size",2.34347609226124e-27,6.98221962574292e-25,"HLA-DMA",701,TRUE
"CD7","OK","negbinomial.size",1.00089552056886e-26,2.8992606912478e-24,"CD7",970,TRUE
"CCL4","OK","negbinomial.size",2.30582578000704e-26,6.4986895226793e-24,"CCL4",300,TRUE
"HCST","OK","negbinomial.size",3.1574682403255e-25,8.66475758160904e-23,"HCST",1425,TRUE
"SRGN","OK","negbinomial.size",2.1374146867288e-24,5.71511803928408e-22,"SRGN",1580,TRUE
"GIMAP7","OK","negbinomial.size",7.94511168142827e-24,2.07129061534835e-21,"GIMAP7",1425,TRUE
"ARHGAP24","OK","negbinomial.size",1.62937960338627e-23,4.14418792783221e-21,"ARHGAP24",86,TRUE
"ID2","OK","negbinomial.size",1.92166196709059e-23,4.77121214114777e-21,"ID2",1022,TRUE
"FCGR3A","OK","negbinomial.size",2.62205365458112e-23,6.29987145577382e-21,"FCGR3A",491,TRUE
"HLA-DMB","OK","negbinomial.size",2.65817361003115e-23,6.29987145577382e-21,"HLA-DMB",478,TRUE
"BANK1","OK","negbinomial.size",6.28025360542134e-23,1.45534410216297e-20,"BANK1",251,TRUE
"SPON2","OK","negbinomial.size",4.18389705948237e-22,9.48471272527873e-20,"SPON2",211,TRUE
"SPIB","OK","negbinomial.size",4.41979797701209e-22,9.80630921367705e-20,"SPIB",108,TRUE
"IRF8","OK","negbinomial.size",4.69550862276775e-22,1.02009924829629e-19,"IRF8",292,TRUE
"FCRLA","OK","negbinomial.size",8.91864129326903e-22,1.86007182812419e-19,"FCRLA",115,TRUE
"GZMK","OK","negbinomial.size",8.90404170380344e-22,1.86007182812419e-19,"GZMK",298,TRUE
"S100A4","OK","negbinomial.size",9.99464913436654e-22,2.0436117877093e-19,"S100A4",2144,TRUE
"GNG7","OK","negbinomial.size",2.31004837514722e-21,4.63253547231447e-19,"GNG7",140,TRUE
"FCER2","OK","negbinomial.size",3.23430375941535e-21,6.36364520814779e-19,"FCER2",151,TRUE
"ANXA1","OK","negbinomial.size",8.05827872520044e-21,1.55614315826648e-18,"ANXA1",1565,TRUE
"PF4","OK","negbinomial.size",1.07655176730213e-20,2.04114215080483e-18,"PF4",41,TRUE
"LYAR","OK","negbinomial.size",2.80280874770882e-20,5.21923028948349e-18,"LYAR",481,TRUE
"KLRD1","OK","negbinomial.size",3.53376222394924e-20,6.4649249949724e-18,"KLRD1",158,TRUE
"LGALS1","OK","negbinomial.size",4.35614750322519e-20,7.83205278683315e-18,"LGALS1",1258,TRUE
"KIAA0125","OK","negbinomial.size",1.39964138886299e-19,2.47380684797683e-17,"KIAA0125",90,TRUE
"KLRG1","OK","negbinomial.size",1.7143173021722e-19,2.97948347117528e-17,"KLRG1",303,TRUE
"XCL2","OK","negbinomial.size",2.18864959284964e-19,3.74151441872721e-17,"XCL2",138,TRUE
"CCL3","OK","negbinomial.size",2.38814993082555e-19,4.01671410945949e-17,"CCL3",370,TRUE
"CD8B","OK","negbinomial.size",2.91199173670243e-19,4.8200396556084e-17,"CD8B",336,TRUE
"BTK","OK","negbinomial.size",3.53246135732356e-19,5.75570422408908e-17,"BTK",218,TRUE
"SAMD3","OK","negbinomial.size",3.73464552445737e-19,5.99152054292945e-17,"SAMD3",309,TRUE
"NAPA-AS1","OK","negbinomial.size",4.39288935733172e-19,6.94076518458412e-17,"NAPA-AS1",26,TRUE
"NCF1","OK","negbinomial.size",4.71535865298245e-19,7.33906866168671e-17,"NCF1",437,TRUE
"TYROBP","OK","negbinomial.size",5.71615524634673e-19,8.76589219248584e-17,"TYROBP",1049,TRUE
"FCER1G","OK","negbinomial.size",2.01636769934379e-18,3.04734527083435e-16,"FCER1G",945,TRUE
"GAPT","OK","negbinomial.size",1.09889746916762e-17,1.61398631105351e-15,"GAPT",169,TRUE
"BLNK","OK","negbinomial.size",1.09476661645838e-17,1.61398631105351e-15,"BLNK",107,TRUE
"EAF2","OK","negbinomial.size",2.13698272608255e-17,3.09506331494289e-15,"EAF2",250,TRUE
"SDPR","OK","negbinomial.size",1.53776202472454e-16,2.19668251970239e-14,"SDPR",42,TRUE
"IGFBP7","OK","negbinomial.size",1.57573169180784e-16,2.2205040651584e-14,"IGFBP7",228,TRUE
"RARRES3","OK","negbinomial.size",1.79270923417111e-16,2.49258291919152e-14,"RARRES3",1245,TRUE
"P2RX5","OK","negbinomial.size",1.87627493408447e-16,2.57444671218853e-14,"P2RX5",140,TRUE
"CLIC3","OK","negbinomial.size",2.51106697937898e-16,3.40070213778754e-14,"CLIC3",160,TRUE
"PNOC","OK","negbinomial.size",4.01202178789413e-16,5.36376451335384e-14,"PNOC",94,TRUE
"LAT","OK","negbinomial.size",6.3761498340029e-16,8.41651778088382e-14,"LAT",580,TRUE
"MARCH1","OK","negbinomial.size",8.69409095810462e-16,1.13327475638894e-13,"MARCH1",201,TRUE
"HLA-DOB","OK","negbinomial.size",8.98353856393784e-16,1.15654740919437e-13,"HLA-DOB",124,TRUE
"ZAP70","OK","negbinomial.size",1.09460447232388e-15,1.3920165167553e-13,"ZAP70",379,TRUE
"CD2","OK","negbinomial.size",1.59345879005009e-15,2.00199858586052e-13,"CD2",840,TRUE
"BACE2","OK","negbinomial.size",2.71384798559046e-15,3.36904842782587e-13,"BACE2",33,TRUE
"ITGB2","OK","negbinomial.size",2.86415406812634e-15,3.51381160263782e-13,"ITGB2",1243,TRUE
"RP5-887A10.1","OK","negbinomial.size",2.94106146231838e-15,3.56620801500652e-13,"RP5-887A10.1",35,TRUE
"GNG11","OK","negbinomial.size",3.42851770167395e-15,4.10949225207539e-13,"GNG11",38,TRUE
"MT2A","OK","negbinomial.size",3.8353978521354e-15,4.54494645478045e-13,"MT2A",837,TRUE
"TIGIT","OK","negbinomial.size",4.04112365328561e-15,4.73492555690589e-13,"TIGIT",183,TRUE
"CD40","OK","negbinomial.size",4.25535306096188e-15,4.9305357466345e-13,"CD40",160,TRUE
"MEF2C","OK","negbinomial.size",5.69131176119067e-15,6.52186802699959e-13,"MEF2C",189,TRUE
"CD3E","OK","negbinomial.size",6.02825487528987e-15,6.83289585212204e-13,"CD3E",1281,TRUE
"HOPX","OK","negbinomial.size",7.32041291625151e-15,8.20830816028718e-13,"HOPX",392,TRUE
"MYO1F","OK","negbinomial.size",9.41947725980332e-15,1.04496073260882e-12,"MYO1F",626,TRUE
"DOK2","OK","negbinomial.size",1.01211225768381e-14,1.11097964453966e-12,"DOK2",637,TRUE
"CD72","OK","negbinomial.size",1.04512558917781e-14,1.1352676712444e-12,"CD72",121,TRUE
"CD8A","OK","negbinomial.size",1.07049298612622e-14,1.15083514013652e-12,"CD8A",311,TRUE
"PPAPDC1B","OK","negbinomial.size",1.11022001802238e-14,1.18136472938137e-12,"PPAPDC1B",210,TRUE
"CD1C","OK","negbinomial.size",1.13384688429986e-14,1.19431871812918e-12,"CD1C",70,TRUE
"CTSC","OK","negbinomial.size",1.26905583257738e-14,1.32337142221169e-12,"CTSC",707,TRUE
"TSPAN13","OK","negbinomial.size",1.39354701143426e-14,1.43880279556796e-12,"TSPAN13",123,TRUE
"CD300A","OK","negbinomial.size",1.88997938366207e-14,1.93222598164981e-12,"CD300A",336,TRUE
"GIMAP4","OK","negbinomial.size",2.37184070907061e-14,2.40131601108624e-12,"GIMAP4",1212,TRUE
"PKIG","OK","negbinomial.size",2.78790841944533e-14,2.79541432672845e-12,"PKIG",114,TRUE
"CD19","OK","negbinomial.size",3.2546103224527e-14,3.23229299452731e-12,"CD19",91,TRUE
"CLU","OK","negbinomial.size",3.36926700814754e-14,3.31459588310967e-12,"CLU",51,TRUE
"AKR1C3","OK","negbinomial.size",3.64706697744414e-14,3.55435648979322e-12,"AKR1C3",105,TRUE
"NGFRAP1","OK","negbinomial.size",4.54221826756992e-14,4.38576408279807e-12,"NGFRAP1",240,TRUE
"TPST2","OK","negbinomial.size",6.21020041399112e-14,5.94128164377059e-12,"TPST2",379,TRUE
"QRSL1","OK","negbinomial.size",6.30888006487617e-14,5.98081830150260e-12,"QRSL1",177,TRUE
"PPP1R14A","OK","negbinomial.size",6.66657431830752e-14,6.2629763055235e-12,"PPP1R14A",59,TRUE
"MATK","OK","negbinomial.size",6.88821885182102e-14,6.41342376667764e-12,"MATK",184,TRUE
"LTB","OK","negbinomial.size",9.84500874071784e-14,9.00559220598295e-12,"LTB",1857,TRUE
"C16orf74","OK","negbinomial.size",9.79718787703938e-14,9.00559220598295e-12,"C16orf74",127,TRUE
"IL2RB","OK","negbinomial.size",1.07738513107853e-13,9.76954099729298e-12,"IL2RB",174,TRUE
"TUBB1","OK","negbinomial.size",1.32561602646665e-13,1.19168309689605e-11,"TUBB1",51,TRUE
"GIMAP5","OK","negbinomial.size",1.34163169508562e-13,1.19577224926093e-11,"GIMAP5",754,TRUE
"PRSS23","OK","negbinomial.size",2.38310451684971e-13,2.10601812726345e-11,"PRSS23",100,TRUE
"PTGDR","OK","negbinomial.size",2.49692307391986e-13,2.18805998444002e-11,"PTGDR",123,TRUE
"KLRB1","OK","negbinomial.size",2.95202948313862e-13,2.56531362084746e-11,"KLRB1",145,TRUE
"SWAP70","OK","negbinomial.size",3.59005231400798e-13,3.09397235789052e-11,"SWAP70",137,TRUE
"CD63","OK","negbinomial.size",4.19969643762514e-13,3.58970774193073e-11,"CD63",910,TRUE
"FAM26F","OK","negbinomial.size",4.28627438111799e-13,3.63392432896735e-11,"FAM26F",605,TRUE
"POU2AF1","OK","negbinomial.size",4.62103038671734e-13,3.88613748973293e-11,"POU2AF1",69,TRUE
"PRR5","OK","negbinomial.size",4.78215615720265e-13,3.98946595258474e-11,"PRR5",160,TRUE
"CCR7","OK","negbinomial.size",9.25968536806326e-13,7.66349198556855e-11,"CCR7",518,TRUE
"SH2D1A","OK","negbinomial.size",1.32866284366571e-12,1.09096819950756e-10,"SH2D1A",259,TRUE
"XCL1","OK","negbinomial.size",1.41396368724961e-12,1.15193854145617e-10,"XCL1",86,TRUE
"APMAP","OK","negbinomial.size",1.56149222651757e-12,1.26226673938955e-10,"APMAP",324,TRUE
"S100A11","OK","negbinomial.size",2.2589329962926e-12,1.81201179117994e-10,"S100A11",1389,TRUE
"CD22","OK","negbinomial.size",2.62511307362075e-12,2.0896701627265e-10,"CD22",125,TRUE
"BLK","OK","negbinomial.size",3.0753108733599e-12,2.42949558995432e-10,"BLK",131,TRUE
"DOK3","OK","negbinomial.size",3.15978783792448e-12,2.47746372735914e-10,"DOK3",78,TRUE
"TLR10","OK","negbinomial.size",3.54796990201059e-12,2.76106195060943e-10,"TLR10",60,TRUE
"RBM5","OK","negbinomial.size",4.68838994164877e-12,3.6215207638158e-10,"RBM5",175,TRUE
"GPR56","OK","negbinomial.size",4.88403415634046e-12,3.74490501340576e-10,"GPR56",94,TRUE
"LCK","OK","negbinomial.size",5.13926383554272e-12,3.91184257496639e-10,"LCK",953,TRUE
"FCRL6","OK","negbinomial.size",7.39774368919286e-12,5.59012110079009e-10,"FCRL6",94,TRUE
"ZNF493","OK","negbinomial.size",7.6070830629324e-12,5.70695411368771e-10,"ZNF493",62,FALSE
"LINC00152","OK","negbinomial.size",9.76006315944890e-12,7.26985275905237e-10,"LINC00152",255,TRUE
"S100B","OK","negbinomial.size",1.33935512320115e-11,9.90552852818555e-10,"S100B",93,TRUE
"BIRC3","OK","negbinomial.size",1.3772453747831e-11,1.0043297040726e-09,"BIRC3",344,TRUE
"CD37","OK","negbinomial.size",1.36883608636859e-11,1.0043297040726e-09,"CD37",2031,TRUE
"PHACTR1","OK","negbinomial.size",1.41353526150795e-11,1.02363511854201e-09,"PHACTR1",123,TRUE
"MZB1","OK","negbinomial.size",1.60215507365362e-11,1.15222573159034e-09,"MZB1",70,TRUE
"GIMAP1","OK","negbinomial.size",1.67134990882064e-11,1.19375594857409e-09,"GIMAP1",858,TRUE
"S1PR5","OK","negbinomial.size",1.73620325400695e-11,1.23164132876085e-09,"S1PR5",117,TRUE
"FCRL1","OK","negbinomial.size",1.77032016827898e-11,1.24735802127117e-09,"FCRL1",115,TRUE
"ALOX5","OK","negbinomial.size",1.99998389530317e-11,1.39972027249808e-09,"ALOX5",226,TRUE
"TTN-AS1","OK","negbinomial.size",2.75204475196668e-11,1.91322151156723e-09,"TTN-AS1",29,TRUE
"VDAC3","OK","negbinomial.size",3.42859931725561e-11,2.36777706492328e-09,"VDAC3",449,TRUE
"TTC38","OK","negbinomial.size",3.8613574865848e-11,2.64909446513857e-09,"TTC38",127,TRUE
"RGS10","OK","negbinomial.size",3.98031416514893e-11,2.71285726236425e-09,"RGS10",1099,TRUE
"CD99","OK","negbinomial.size",4.13569489788189e-11,2.78238879968467e-09,"CD99",1336,TRUE
"CTSD","OK","negbinomial.size",4.11868783274264e-11,2.78238879968467e-09,"CTSD",639,TRUE
"PLA2G16","OK","negbinomial.size",5.29562417533325e-11,3.53992108335738e-09,"PLA2G16",108,TRUE
"FYN","OK","negbinomial.size",5.43862589330935e-11,3.61235610289362e-09,"FYN",438,TRUE
"PLEKHF1","OK","negbinomial.size",5.54328790085581e-11,3.65857001456483e-09,"PLEKHF1",124,TRUE
"MIS18BP1","OK","negbinomial.size",5.58670610982146e-11,3.66403593164894e-09,"MIS18BP1",165,TRUE
"ARL4C","OK","negbinomial.size",5.92800829818654e-11,3.86357940834308e-09,"ARL4C",523,TRUE
"AC079767.4","OK","negbinomial.size",7.11229512726378e-11,4.60664680665259e-09,"AC079767.4",45,TRUE
"ADAM28","OK","negbinomial.size",7.69056459225294e-11,4.95044491160578e-09,"ADAM28",89,TRUE
"PLEKHF2","OK","negbinomial.size",9.30221268025087e-11,5.95113336378258e-09,"PLEKHF2",239,TRUE
"SMIM14","OK","negbinomial.size",9.67698721072305e-11,6.0790134116518e-09,"SMIM14",270,TRUE
"ASCL2","OK","negbinomial.size",9.67527836900784e-11,6.0790134116518e-09,"ASCL2",173,TRUE
"CYB561A3","OK","negbinomial.size",9.62921689526663e-11,6.0790134116518e-09,"CYB561A3",245,TRUE
"NEK8","OK","negbinomial.size",1.38308679968388e-10,8.63642463898416e-09,"NEK8",28,TRUE
"MIR4435-1HG","OK","negbinomial.size",1.62865855577353e-10,1.01093163211943e-08,"MIR4435-1HG",168,TRUE
"SLC9A3R1","OK","negbinomial.size",1.73801941679836e-10,1.07242996913451e-08,"SLC9A3R1",433,TRUE
"TNFRSF13B","OK","negbinomial.size",1.74929098486647e-10,1.07303567001103e-08,"TNFRSF13B",37,TRUE
"PTGER2","OK","negbinomial.size",1.83947462203088e-10,1.12175680459287e-08,"PTGER2",365,TRUE
"HHEX","OK","negbinomial.size",1.8847841242947e-10,1.14270516558983e-08,"HHEX",205,TRUE
"SNX29P2","OK","negbinomial.size",2.11827970352398e-10,1.27684512996231e-08,"SNX29P2",91,TRUE
"IFITM1","OK","negbinomial.size",2.43099188855133e-10,1.45691858700076e-08,"IFITM1",1258,TRUE
"CD160","OK","negbinomial.size",3.53791361939302e-10,2.10819218417317e-08,"CD160",78,TRUE
"GLIPR2","OK","negbinomial.size",3.6780802694659e-10,2.17926255965855e-08,"GLIPR2",592,TRUE
"CDCA7L","OK","negbinomial.size",4.52243538549618e-10,2.66440430508216e-08,"CDCA7L",89,TRUE
"SPN","OK","negbinomial.size",4.72609246103337e-10,2.76874675189078e-08,"SPN",383,TRUE
"PLD4","OK","negbinomial.size",5.34069261796781e-10,3.11132640336136e-08,"PLD4",125,TRUE
"SH2D2A","OK","negbinomial.size",5.53832115326266e-10,3.20853405479017e-08,"SH2D2A",161,TRUE
"TPM1","OK","negbinomial.size",6.61117880161818e-10,3.80891561012566e-08,"TPM1",73,TRUE
"RNASE6","OK","negbinomial.size",6.96017715420707e-10,3.98795205297095e-08,"RNASE6",268,TRUE
"FAM129C","OK","negbinomial.size",7.00165731652146e-10,3.98979685774239e-08,"FAM129C",49,TRUE
"ABI3","OK","negbinomial.size",8.11015353161235e-10,4.59634136019856e-08,"ABI3",467,TRUE
"POU2F2","OK","negbinomial.size",9.65260130003554e-10,5.44093655982544e-08,"POU2F2",422,TRUE
"VPS26B","OK","negbinomial.size",9.98151135304464e-10,5.5960860424489e-08,"VPS26B",192,TRUE
"SNHG7","OK","negbinomial.size",1.07963868610832e-09,6.02057337900404e-08,"SNHG7",701,TRUE
"STOM","OK","negbinomial.size",1.40520991007894e-09,7.79443028845914e-08,"STOM",220,TRUE
"LYL1","OK","negbinomial.size",1.51859969702936e-09,8.37881356646677e-08,"LYL1",308,TRUE
"HBP1","OK","negbinomial.size",1.59652792659517e-09,8.76241748343918e-08,"HBP1",187,FALSE
"S100A6","OK","negbinomial.size",1.63547041379706e-09,8.92915469899251e-08,"S100A6",2065,TRUE
"SNX2","OK","negbinomial.size",1.75123386388749e-09,9.51138892323894e-08,"SNX2",565,TRUE
"PQBP1","OK","negbinomial.size",2.0533263851745e-09,1.10943458780309e-07,"PQBP1",422,TRUE
"S100A10","OK","negbinomial.size",2.19592908463287e-09,1.18036847910059e-07,"S100A10",1693,TRUE
"BNIP2","OK","negbinomial.size",2.22605046977349e-09,1.19042329737426e-07,"BNIP2",303,FALSE
"RALGPS2","OK","negbinomial.size",2.28355273147976e-09,1.21494325938117e-07,"RALGPS2",87,TRUE
"CCDC50","OK","negbinomial.size",2.37622381864505e-09,1.25783055740257e-07,"CCDC50",146,TRUE
"TNFRSF1A","OK","negbinomial.size",2.63669879407719e-09,1.38866136488065e-07,"TNFRSF1A",245,TRUE
"MED9","OK","negbinomial.size",3.34559552934433e-09,1.75315930552778e-07,"MED9",34,FALSE
"FCGR2B","OK","negbinomial.size",3.4002596601736e-09,1.77289538681451e-07,"FCGR2B",76,TRUE
"C1orf21","OK","negbinomial.size",3.53178627205333e-09,1.83231180323244e-07,"C1orf21",87,TRUE
"FCRL2","OK","negbinomial.size",3.84866330473502e-09,1.98682479909786e-07,"FCRL2",43,TRUE
"TIMP1","OK","negbinomial.size",3.94374854523643e-09,2.02588225762195e-07,"TIMP1",868,TRUE
"CX3CR1","OK","negbinomial.size",4.53307219953509e-09,2.31719984788e-07,"CX3CR1",202,TRUE
"AC092580.4","OK","negbinomial.size",5.14188794469071e-09,2.6155906091334e-07,"AC092580.4",126,TRUE
"ITM2C","OK","negbinomial.size",6.07400478012626e-09,3.07474377898818e-07,"ITM2C",163,TRUE
"PDLIM1","OK","negbinomial.size",6.6314418747593e-09,3.3246478783649e-07,"PDLIM1",165,TRUE
"MTRF1","OK","negbinomial.size",6.60298309889048e-09,3.3246478783649e-07,"MTRF1",32,TRUE
"GP9","OK","negbinomial.size",7.30129037120823e-09,3.64295961679232e-07,"GP9",16,TRUE
"GBP5","OK","negbinomial.size",8.17932094031405e-09,4.05402753047512e-07,"GBP5",197,TRUE
"MTIF2","OK","negbinomial.size",8.20291339595561e-09,4.05402753047512e-07,"MTIF2",67,TRUE
"RPUSD2","OK","negbinomial.size",8.30527002111287e-09,4.08525263113986e-07,"RPUSD2",68,FALSE
"SLC48A1","OK","negbinomial.size",8.45933589375415e-09,4.14150022066048e-07,"SLC48A1",25,TRUE
"YPEL2","OK","negbinomial.size",8.87673225654758e-09,4.32554037248963e-07,"YPEL2",60,TRUE
"CKLF","OK","negbinomial.size",9.23802920865336e-09,4.48065900408545e-07,"CKLF",570,TRUE
"WDYHV1","OK","negbinomial.size",9.51989828831652e-09,4.59599534030392e-07,"WDYHV1",46,FALSE
"CD9","OK","negbinomial.size",9.67623245790462e-09,4.64994249175251e-07,"CD9",78,TRUE
"STRBP","OK","negbinomial.size",9.91885570535429e-09,4.74467097685479e-07,"STRBP",84,TRUE
"UPP1","OK","negbinomial.size",1.11721409741779e-08,5.31977562003319e-07,"UPP1",389,TRUE
"DNAJC15","OK","negbinomial.size",1.13151781015445e-08,5.36339442013209e-07,"DNAJC15",383,TRUE
"HVCN1","OK","negbinomial.size",1.17044507064091e-08,5.52280597133188e-07,"HVCN1",326,TRUE
"CD3G","OK","negbinomial.size",1.31018580820131e-08,6.15433225582129e-07,"CD3G",578,TRUE
"PRKCQ-AS1","OK","negbinomial.size",1.81477053268877e-08,8.48629018604417e-07,"PRKCQ-AS1",445,TRUE
"FERMT3","OK","negbinomial.size",1.82916867851172e-08,8.51543347300012e-07,"FERMT3",485,TRUE
"LAG3","OK","negbinomial.size",1.84592419410365e-08,8.5552433316057e-07,"LAG3",83,TRUE
"TNFRSF13C","OK","negbinomial.size",1.94489975769416e-08,8.97407728904192e-07,"TNFRSF13C",32,TRUE
"GPKOW","OK","negbinomial.size",2.19456942508214e-08,1.0081484565972e-06,"GPKOW",113,TRUE
"ADK","OK","negbinomial.size",2.33534388927437e-08,1.06811254725233e-06,"ADK",310,TRUE
"OPTN","OK","negbinomial.size",2.35380403654774e-08,1.07185451935021e-06,"OPTN",378,TRUE
"TMEM173","OK","negbinomial.size",2.37036428639765e-08,1.07470255558933e-06,"TMEM173",340,TRUE
"C9orf142","OK","negbinomial.size",2.42819019205291e-08,1.09615442955531e-06,"C9orf142",639,TRUE
"PYHIN1","OK","negbinomial.size",2.52587928319921e-08,1.13533918815523e-06,"PYHIN1",157,TRUE
"CTSH","OK","negbinomial.size",2.5410688179012e-08,1.13726461944522e-06,"CTSH",468,TRUE
"CD180","OK","negbinomial.size",2.62730912802641e-08,1.17083673448972e-06,"CD180",78,TRUE
"RHOC","OK","negbinomial.size",2.64794013035818e-08,1.17500934805852e-06,"RHOC",496,TRUE
"MPP1","OK","negbinomial.size",2.69237322340818e-08,1.1896638971907e-06,"MPP1",174,TRUE
"AFF3","OK","negbinomial.size",2.84024276317632e-08,1.24970681579758e-06,"AFF3",66,TRUE
"HAVCR2","OK","negbinomial.size",2.96811575408778e-08,1.30048365897594e-06,"HAVCR2",122,TRUE
"TPD52","OK","negbinomial.size",3.24064472998806e-08,1.41395160018056e-06,"TPD52",209,TRUE
"PRMT2","OK","negbinomial.size",3.43191380351444e-08,1.49116654762703e-06,"PRMT2",575,TRUE
"FYB","OK","negbinomial.size",3.52578673054965e-08,1.52559767743451e-06,"FYB",976,TRUE
"NCF4","OK","negbinomial.size",4.2259614434423e-08,1.82100520381059e-06,"NCF4",167,TRUE
"PTCRA","OK","negbinomial.size",4.40956507912789e-08,1.89230224877143e-06,"PTCRA",20,TRUE
"NAT9","OK","negbinomial.size",4.53273846473506e-08,1.93718838976464e-06,"NAT9",170,TRUE
"HBEGF","OK","negbinomial.size",4.57113490199517e-08,1.94562427583697e-06,"HBEGF",35,TRUE
"EFHD2","OK","negbinomial.size",4.83790102131785e-08,2.05079804269522e-06,"EFHD2",511,TRUE
"KYNU","OK","negbinomial.size",5.1521594361167e-08,2.17491998101562e-06,"KYNU",131,TRUE
"ANXA2","OK","negbinomial.size",5.17956325932238e-08,2.17491998101562e-06,"ANXA2",1154,TRUE
"TCF4","OK","negbinomial.size",5.19327843568172e-08,2.17491998101562e-06,"TCF4",76,TRUE
"PYCARD","OK","negbinomial.size",5.44564536183194e-08,2.27148759332734e-06,"PYCARD",980,TRUE
"TNFRSF17","OK","negbinomial.size",5.89381587943364e-08,2.44863394385394e-06,"TNFRSF17",20,TRUE
"BCL11B","OK","negbinomial.size",6.5610614951007e-08,2.71502973297262e-06,"BCL11B",216,TRUE
"RP11-428G5.5","OK","negbinomial.size",7.01156605146775e-08,2.88998461599627e-06,"RP11-428G5.5",31,TRUE
"CTSA","OK","negbinomial.size",7.83522014155285e-08,3.21675888331154e-06,"CTSA",400,TRUE
"TMIGD2","OK","negbinomial.size",8.20818939335158e-08,3.3566666272106e-06,"TMIGD2",151,TRUE
"ABHD17A","OK","negbinomial.size",8.38717226766994e-08,3.41646220340868e-06,"ABHD17A",162,TRUE
"MRPL42","OK","negbinomial.size",8.45228832075456e-08,3.42958998477932e-06,"MRPL42",130,TRUE
"TXK","OK","negbinomial.size",8.93709204756537e-08,3.61224790201595e-06,"TXK",204,TRUE
"CCDC66","OK","negbinomial.size",9.78722121178803e-08,3.94058466395852e-06,"CCDC66",118,TRUE
