organ,colour,type.x,value,type.y
adrenal_gland,#41ab5d,other,3.8531,tumor
adrenal_gland,#41ab5d,other,3.6036,normal
bone_marrow,#41ab5d,other,5.8017,tumor
bone_marrow,#41ab5d,other,1.7229,normal
brain,purple,nervous_system,4.9084,tumor
brain,purple,nervous_system,5.41465,tumor
brain,purple,nervous_system,1.5316,normal
brain,purple,nervous_system,1.5366,normal
breast,#41ab5d,other,4.6092,normal
breast,#41ab5d,other,5.3562,tumor
colon,orange,digestion,3.8436,normal
colon,orange,digestion,3.8935,normal
colon,orange,digestion,5.73105,tumor
colon,orange,digestion,5.7318,tumor
esophagus,orange,digestion,3.8481,normal
esophagus,orange,digestion,5.27955,tumor
gall_bladder,orange,digestion,5.3115,tumor
gall_bladder,orange,digestion,2.8422,normal
kidney,orange,digestion,4.7426,tumor
kidney,orange,digestion,3.96165,normal
kidney,orange,digestion,3.6989,normal
kidney,orange,digestion,4.6282,tumor
kidney,orange,digestion,3.1731,tumor
kidney,orange,digestion,3.7614,normal
liver,orange,digestion,3.4843,tumor
liver,orange,digestion,2.6613,normal
lung,steelblue,respiratory,3.9365,normal
lung,steelblue,respiratory,3.9561,normal
lung,steelblue,respiratory,4.8978,tumor
lung,steelblue,respiratory,5.03415,tumor
ovary,#d95f02,reproductive,5.7761,tumor
ovary,#d95f02,reproductive,4.5031,normal
pancreas,orange,digestion,4.497,tumor
pancreas,orange,digestion,2.6161,normal
skin,#41ab5d,other,4.8329,normal
skin,#41ab5d,other,5.225,tumor
skin,#41ab5d,other,5.1498,tumor
stomach,orange,digestion,5.39785,tumor
stomach,orange,digestion,3.4054,normal
thyroid_gland,#41ab5d,other,4.63525,tumor
thyroid_gland,#41ab5d,other,4.0752,normal
urinary_bladder,orange,digestion,4.6532,normal
urinary_bladder,orange,digestion,5.037,tumor
uterine_cervix,#d95f02,reproductive,5.39885,tumor
uterine_cervix,#d95f02,reproductive,4.5286,normal
uterus,#d95f02,reproductive,4.5826,normal
uterus,#d95f02,reproductive,4.51195,normal
uterus,#d95f02,reproductive,5.4585,tumor
uterus,#d95f02,reproductive,5.6557,tumor
