organ,type.x,colour,value,type.y
adrenal_gland,other,#41ab5d,3.8531,tumor
adrenal_gland,other,#41ab5d,3.6036,normal
bone_marrow,other,#41ab5d,5.8017,tumor
bone_marrow,other,#41ab5d,1.7229,normal
brain,nervous_system,purple,4.9084,tumor
brain,nervous_system,purple,1.5366,normal
brain,nervous_system,purple,5.41465,tumor
brain,nervous_system,purple,1.5316,normal
breast,other,#41ab5d,5.3562,tumor
breast,other,#41ab5d,4.6092,normal
colon,digestion,orange,5.73105,tumor
colon,digestion,orange,5.7318,tumor
colon,digestion,orange,3.8935,normal
colon,digestion,orange,3.8436,normal
esophagus,digestion,orange,5.27955,tumor
esophagus,digestion,orange,3.8481,normal
gall_bladder,digestion,orange,2.8422,normal
gall_bladder,digestion,orange,5.3115,tumor
kidney,digestion,orange,3.1731,tumor
kidney,digestion,orange,3.96165,normal
kidney,digestion,orange,4.7426,tumor
kidney,digestion,orange,3.7614,normal
kidney,digestion,orange,4.6282,tumor
kidney,digestion,orange,3.6989,normal
liver,digestion,orange,2.6613,normal
liver,digestion,orange,3.4843,tumor
lung,respiratory,steelblue,5.03415,tumor
lung,respiratory,steelblue,3.9561,normal
lung,respiratory,steelblue,3.9365,normal
lung,respiratory,steelblue,4.8978,tumor
pancreas,digestion,orange,4.497,tumor
pancreas,digestion,orange,2.6161,normal
prostate,reproductive,#d95f02,4.9362,tumor
prostate,reproductive,#d95f02,4.2216,normal
skin,other,#41ab5d,4.8329,normal
skin,other,#41ab5d,5.225,tumor
skin,other,#41ab5d,5.1498,tumor
stomach,digestion,orange,3.4054,normal
stomach,digestion,orange,5.39785,tumor
testis,reproductive,#d95f02,5.2752,tumor
testis,reproductive,#d95f02,3.6771,normal
thyroid_gland,other,#41ab5d,4.63525,tumor
thyroid_gland,other,#41ab5d,4.0752,normal
urinary_bladder,digestion,orange,4.6532,normal
urinary_bladder,digestion,orange,5.037,tumor
