,tissue,type2,tpm
1,ACC,tumor,4.1327
2,ACC,tumor,4.9519
3,ACC,tumor,3.0619
4,ACC,tumor,2.7051
5,ACC,tumor,1.9749
6,ACC,tumor,3.1079
7,ACC,tumor,3.8491
8,ACC,tumor,2.9338
9,ACC,tumor,4.8812
10,ACC,tumor,3.3177
11,ACC,tumor,3.5424
12,ACC,tumor,3.5947
13,ACC,tumor,2.3337
14,ACC,tumor,4.1628
15,ACC,tumor,3.5424
16,ACC,tumor,3.0808
17,ACC,tumor,3.9543
18,ACC,tumor,3.1145
19,ACC,tumor,3.8808
20,ACC,tumor,4.0575
21,ACC,tumor,4.3399
22,ACC,tumor,3.162
23,ACC,tumor,5.1563
24,ACC,tumor,3.6312
25,ACC,tumor,2.5487
26,ACC,tumor,3.4765
27,ACC,tumor,3.8837
28,ACC,tumor,3.5669
29,ACC,tumor,3.3938
30,ACC,tumor,2.8582
31,ACC,tumor,3.3633
32,ACC,tumor,2.9655
33,ACC,tumor,4.208
34,ACC,tumor,4.735
35,ACC,tumor,3.9829
36,ACC,tumor,4.2578
37,ACC,tumor,2.6418
38,ACC,tumor,2.5511
39,ACC,tumor,4.7587
40,ACC,tumor,4.0584
41,ACC,tumor,4.1828
42,ACC,tumor,4.5898
43,ACC,tumor,4.8017
44,ACC,tumor,3.5851
45,ACC,tumor,3.0446
46,ACC,tumor,5.1396
47,ACC,tumor,4.0722
48,ACC,tumor,4.6662
49,ACC,tumor,1.6045
50,ACC,tumor,4.5066
51,ACC,tumor,2.2813
52,ACC,tumor,5.1073
53,ACC,tumor,3.2481
54,ACC,tumor,3.3364
55,ACC,tumor,4.0722
56,ACC,tumor,1.8996
57,ACC,tumor,4.001
58,ACC,tumor,2.6114
59,ACC,tumor,4.162
60,ACC,tumor,3.7507
61,ACC,tumor,3.1327
62,ACC,tumor,4.3385
63,ACC,tumor,4.1351
64,ACC,tumor,4.1978
65,ACC,tumor,1.8957
66,ACC,tumor,3.8778
67,ACC,tumor,3.0978
68,ACC,tumor,4.6306
69,ACC,tumor,4.2929
70,ACC,tumor,4.1136
71,ACC,tumor,3.8531
72,ACC,tumor,3.2617
73,ACC,tumor,4.041
74,ACC,tumor,5.5996
75,ACC,tumor,4.7442
76,ACC,tumor,3.2496
77,ACC,tumor,4.5066
78,ACC,normal,3.7614
79,ACC,normal,3.6417
80,ACC,normal,2.5634
81,ACC,normal,3.5947
82,ACC,normal,4.0807
83,ACC,normal,2.1734
84,ACC,normal,3.5645
85,ACC,normal,2.7763
86,ACC,normal,3.0305
87,ACC,normal,2.59
88,ACC,normal,3.9204
89,ACC,normal,3.4971
90,ACC,normal,4.3765
91,ACC,normal,2.6418
92,ACC,normal,3.5324
93,ACC,normal,3.9938
94,ACC,normal,3.6972
95,ACC,normal,2.5876
96,ACC,normal,3.5274
97,ACC,normal,3.6646
98,ACC,normal,3.8866
99,ACC,normal,4.0392
100,ACC,normal,3.5887
101,ACC,normal,3.7846
102,ACC,normal,3.6195
103,ACC,normal,3.186
104,ACC,normal,1.5758
105,ACC,normal,2.8994
106,ACC,normal,3.5899
107,ACC,normal,3.0995
108,ACC,normal,3.1604
109,ACC,normal,3.9079
110,ACC,normal,3.5682
111,ACC,normal,3.6894
112,ACC,normal,3.7625
113,ACC,normal,4.1244
114,ACC,normal,3.6006
115,ACC,normal,3.2572
116,ACC,normal,3.242
117,ACC,normal,3.7378
118,ACC,normal,3.2959
119,ACC,normal,4.0242
120,ACC,normal,3.027
121,ACC,normal,3.8044
122,ACC,normal,4.0696
123,ACC,normal,3.9728
124,ACC,normal,3.1278
125,ACC,normal,3.492
126,ACC,normal,3.8157
127,ACC,normal,4.2427
128,ACC,normal,3.9608
129,ACC,normal,3.755
130,ACC,normal,3.8401
131,ACC,normal,3.8491
132,ACC,normal,2.5213
133,ACC,normal,3.5682
134,ACC,normal,4.0653
135,ACC,normal,2.0638
136,ACC,normal,3.7857
137,ACC,normal,3.3192
138,ACC,normal,3.245
139,ACC,normal,3.8611
140,ACC,normal,3.4984
141,ACC,normal,4.1506
142,ACC,normal,3.5935
143,ACC,normal,3.793
144,ACC,normal,3.716
145,ACC,normal,3.9524
146,ACC,normal,2.5731
147,ACC,normal,3.795
148,ACC,normal,3.402
149,ACC,normal,1.9302
150,ACC,normal,2.9562
151,ACC,normal,3.7345
152,ACC,normal,4.6628
153,ACC,normal,2.1541
154,ACC,normal,-9.9658
155,ACC,normal,3.4197
156,ACC,normal,3.3032
157,ACC,normal,2.9765
158,ACC,normal,3.5947
159,ACC,normal,4.1764
160,ACC,normal,3.7226
161,ACC,normal,3.4183
162,ACC,normal,3.0481
163,ACC,normal,3.4856
164,ACC,normal,3.4277
165,ACC,normal,4.01
166,ACC,normal,3.7094
167,ACC,normal,3.5411
168,ACC,normal,4.3506
169,ACC,normal,3.9337
170,ACC,normal,3.9468
171,ACC,normal,3.9356
172,ACC,normal,3.6646
173,ACC,normal,3.6195
174,ACC,normal,2.2144
175,ACC,normal,3.7656
176,ACC,normal,4.1844
177,ACC,normal,4.0295
178,ACC,normal,3.2602
179,ACC,normal,3.5657
180,ACC,normal,2.7615
181,ACC,normal,3.7182
182,ACC,normal,3.8401
183,ACC,normal,3.0074
184,ACC,normal,0.605
185,ACC,normal,1.6604
186,ACC,normal,3.869
187,ACC,normal,2.1345
188,ACC,normal,3.5098
189,ACC,normal,3.8239
190,ACC,normal,3.1781
191,ACC,normal,3.7039
192,ACC,normal,4.1547
193,ACC,normal,3.8511
194,ACC,normal,3.8147
195,ACC,normal,3.772
196,ACC,normal,3.7248
197,ACC,normal,3.8886
198,ACC,normal,3.5633
199,ACC,normal,3.5669
200,ACC,normal,3.6066
201,ACC,normal,2.8381
202,ACC,normal,2.5924
203,ACC,normal,3.5274
204,ACC,normal,3.6172
205,ACC,normal,3.652
206,BLCA,tumor,5.1651
207,BLCA,tumor,5.865
208,BLCA,tumor,5.6419
209,BLCA,tumor,5.2917
210,BLCA,tumor,5.1132
211,BLCA,tumor,4.4317
212,BLCA,tumor,3.2313
213,BLCA,tumor,5.4006
214,BLCA,tumor,4.717
215,BLCA,tumor,5.6268
216,BLCA,tumor,5.1035
217,BLCA,tumor,4.7523
218,BLCA,tumor,5.2548
219,BLCA,tumor,6.563
220,BLCA,tumor,4.6381
221,BLCA,tumor,3.6184
222,BLCA,tumor,4.1652
223,BLCA,tumor,4.2009
224,BLCA,tumor,4.5717
225,BLCA,tumor,5.48
226,BLCA,tumor,4.079
227,BLCA,tumor,4.8228
228,BLCA,tumor,5.6338
229,BLCA,tumor,6.1757
230,BLCA,tumor,4.8778
231,BLCA,tumor,4.4861
232,BLCA,tumor,5.278
233,BLCA,tumor,5.1958
234,BLCA,tumor,4.4751
235,BLCA,tumor,3.2541
236,BLCA,tumor,4.7693
237,BLCA,tumor,5.5404
238,BLCA,tumor,5.4172
239,BLCA,tumor,5.2806
240,BLCA,tumor,5.2377
241,BLCA,tumor,3.5827
242,BLCA,tumor,5.9702
243,BLCA,tumor,4.7924
244,BLCA,tumor,4.3583
245,BLCA,tumor,4.6399
246,BLCA,tumor,6.0159
247,BLCA,tumor,5.2483
248,BLCA,tumor,2.7336
249,BLCA,tumor,5.6591
250,BLCA,tumor,4.5626
251,BLCA,tumor,5.037
252,BLCA,tumor,5.0427
253,BLCA,tumor,3.2647
254,BLCA,tumor,4.6253
255,BLCA,tumor,3.2096
256,BLCA,tumor,6.4293
257,BLCA,tumor,5.9969
258,BLCA,tumor,4.4686
259,BLCA,tumor,3.7072
260,BLCA,tumor,5.5286
261,BLCA,tumor,5.4333
262,BLCA,tumor,5.0027
263,BLCA,tumor,4.7798
264,BLCA,tumor,4.7033
265,BLCA,tumor,5.3191
266,BLCA,tumor,4.3385
267,BLCA,tumor,6.0128
268,BLCA,tumor,4.7099
269,BLCA,tumor,5.8202
270,BLCA,tumor,5.5323
271,BLCA,tumor,4.8485
272,BLCA,tumor,3.1294
273,BLCA,tumor,5.4121
274,BLCA,tumor,3.3842
275,BLCA,tumor,5.442
276,BLCA,tumor,6.4604
277,BLCA,tumor,4.565
278,BLCA,tumor,6.2717
279,BLCA,tumor,5.2958
280,BLCA,tumor,5.5435
281,BLCA,tumor,5.2502
282,BLCA,tumor,4.3793
283,BLCA,tumor,3.7625
284,BLCA,tumor,5.4932
285,BLCA,tumor,5.1498
286,BLCA,tumor,4.5361
287,BLCA,tumor,4.2795
288,BLCA,tumor,3.1426
289,BLCA,tumor,4.2274
290,BLCA,tumor,7.3071
291,BLCA,tumor,5.7701
292,BLCA,tumor,4.7656
293,BLCA,tumor,4.5904
294,BLCA,tumor,6.2987
295,BLCA,tumor,4.9964
296,BLCA,tumor,2.9911
297,BLCA,tumor,6.2902
298,BLCA,tumor,5.5361
299,BLCA,tumor,3.9299
300,BLCA,tumor,4.0497
301,BLCA,tumor,3.4048
302,BLCA,tumor,3.64396440401
303,BLCA,tumor,4.9117
304,BLCA,tumor,4.7334
305,BLCA,tumor,5.3972
306,BLCA,tumor,5.1256
307,BLCA,tumor,4.5796
308,BLCA,tumor,5.9716
309,BLCA,tumor,3.4048
310,BLCA,tumor,3.4856
311,BLCA,tumor,5.9437
312,BLCA,tumor,5.9435
313,BLCA,tumor,2.1345
314,BLCA,tumor,6.863
315,BLCA,tumor,6.2702
316,BLCA,tumor,4.7296
317,BLCA,tumor,4.8675
318,BLCA,tumor,5.5239
319,BLCA,tumor,5.9528
320,BLCA,tumor,5.3744
321,BLCA,tumor,6.8605
322,BLCA,tumor,4.7603
323,BLCA,tumor,5.5107
324,BLCA,tumor,6.1496
325,BLCA,tumor,5.3886
326,BLCA,tumor,5.6775
327,BLCA,tumor,3.2343
328,BLCA,tumor,2.128
329,BLCA,tumor,3.6566
330,BLCA,tumor,6.2447
331,BLCA,tumor,5.569
332,BLCA,tumor,5.5245
333,BLCA,tumor,4.573
334,BLCA,tumor,1.683
335,BLCA,tumor,4.4602
336,BLCA,tumor,5.2895
337,BLCA,tumor,4.0841
338,BLCA,tumor,6.1006
339,BLCA,tumor,5.8179
340,BLCA,tumor,4.8758
341,BLCA,tumor,5.2724
342,BLCA,tumor,5.4954
343,BLCA,tumor,5.6005
344,BLCA,tumor,3.8847
345,BLCA,tumor,4.7442
346,BLCA,tumor,4.9393
347,BLCA,tumor,6.4446
348,BLCA,tumor,4.2001
349,BLCA,tumor,4.6531
350,BLCA,tumor,1.8524
351,BLCA,tumor,3.8075
352,BLCA,tumor,3.7688
353,BLCA,tumor,5.3576
354,BLCA,tumor,4.079
355,BLCA,tumor,4.7735
356,BLCA,tumor,1.2934
357,BLCA,tumor,4.9402
358,BLCA,tumor,3.3307
359,BLCA,tumor,4.6491
360,BLCA,tumor,5.3792
361,BLCA,tumor,5.306
362,BLCA,tumor,5.753
363,BLCA,tumor,6.29
364,BLCA,tumor,2.0673
365,BLCA,tumor,6.4177
366,BLCA,tumor,3.2267
367,BLCA,tumor,6.2099
368,BLCA,tumor,5.6488
369,BLCA,tumor,5.7277
370,BLCA,tumor,5.1445
371,BLCA,tumor,4.3958
372,BLCA,tumor,4.8228
373,BLCA,tumor,5.5198
374,BLCA,tumor,5.3491
375,BLCA,tumor,5.9086
376,BLCA,tumor,4.6787
377,BLCA,tumor,6.3189
378,BLCA,tumor,4.7629
379,BLCA,tumor,6.1014
380,BLCA,tumor,5.3789
381,BLCA,tumor,3.603
382,BLCA,tumor,4.957
383,BLCA,tumor,5.6857
384,BLCA,tumor,5.682
385,BLCA,tumor,5.1672
386,BLCA,tumor,4.46603400701
387,BLCA,tumor,6.0074
388,BLCA,tumor,4.3399
389,BLCA,tumor,5.0734
390,BLCA,tumor,5.4223
391,BLCA,tumor,3.2328
392,BLCA,tumor,5.1688
393,BLCA,tumor,5.1019
394,BLCA,tumor,5.2791
395,BLCA,tumor,6.0226
396,BLCA,tumor,3.6635
397,BLCA,tumor,5.8455
398,BLCA,tumor,5.8822
399,BLCA,tumor,3.3661
400,BLCA,tumor,3.9617
401,BLCA,tumor,3.9223
402,BLCA,tumor,5.3363
403,BLCA,tumor,5.7247
404,BLCA,tumor,4.976
405,BLCA,tumor,5.2296
406,BLCA,tumor,4.5173
407,BLCA,tumor,4.4257
408,BLCA,tumor,6.5967
409,BLCA,tumor,1.196
410,BLCA,tumor,6.3409
411,BLCA,tumor,4.5436
412,BLCA,tumor,4.4647
413,BLCA,tumor,5.0497
414,BLCA,tumor,4.7258
415,BLCA,tumor,3.3563
416,BLCA,tumor,5.4712
417,BLCA,tumor,5.9521
418,BLCA,tumor,5.9108
419,BLCA,tumor,2.6805
420,BLCA,tumor,5.6758
421,BLCA,tumor,5.2173
422,BLCA,tumor,1.8484
423,BLCA,tumor,5.6077
424,BLCA,tumor,5.7916
425,BLCA,tumor,1.2756
426,BLCA,tumor,5.0691
427,BLCA,tumor,2.4171
428,BLCA,tumor,4.4562
429,BLCA,tumor,5.5693
430,BLCA,tumor,4.9241
431,BLCA,tumor,3.4752
432,BLCA,tumor,3.4791
433,BLCA,tumor,6.3563
434,BLCA,tumor,5.4473
435,BLCA,tumor,4.437
436,BLCA,tumor,4.862
437,BLCA,tumor,6.5626
438,BLCA,tumor,4.4067
439,BLCA,tumor,5.9418
440,BLCA,tumor,5.1273
441,BLCA,tumor,5.2426
442,BLCA,tumor,5.1102
443,BLCA,tumor,5.7458
444,BLCA,tumor,4.5192
445,BLCA,tumor,5.9468
446,BLCA,tumor,5.0811
447,BLCA,tumor,3.1344
448,BLCA,tumor,6.0061
449,BLCA,tumor,4.3548
450,BLCA,tumor,5.797
451,BLCA,tumor,5.2965
452,BLCA,tumor,3.9847
453,BLCA,tumor,5.9969
454,BLCA,tumor,4.2056
455,BLCA,tumor,2.5511
456,BLCA,tumor,5.1831
457,BLCA,tumor,4.8753
458,BLCA,tumor,5.8258
459,BLCA,tumor,5.6306
460,BLCA,tumor,6.2608
461,BLCA,tumor,2.0254
462,BLCA,tumor,2.8137
463,BLCA,tumor,4.5021
464,BLCA,tumor,4.986
465,BLCA,tumor,3.1781
466,BLCA,tumor,0.9862
467,BLCA,tumor,5.5113
468,BLCA,tumor,4.6787
469,BLCA,tumor,5.17
470,BLCA,tumor,5.6585
471,BLCA,tumor,3.0163
472,BLCA,tumor,6.2112
473,BLCA,tumor,5.1843
474,BLCA,tumor,2.2813
475,BLCA,tumor,3.5249
476,BLCA,tumor,5.5687
477,BLCA,tumor,5.6265
478,BLCA,tumor,3.4384
479,BLCA,tumor,4.7231
480,BLCA,tumor,5.337
481,BLCA,tumor,4.1027
482,BLCA,tumor,5.2777
483,BLCA,tumor,4.9686
484,BLCA,tumor,6.5981
485,BLCA,tumor,5.0291
486,BLCA,tumor,6.1767
487,BLCA,tumor,5.726
488,BLCA,tumor,5.5787
489,BLCA,tumor,5.7918
490,BLCA,tumor,4.3046
491,BLCA,tumor,4.4855
492,BLCA,tumor,4.1962
493,BLCA,tumor,5.6775
494,BLCA,tumor,5.7099
495,BLCA,tumor,5.9006
496,BLCA,tumor,4.7861
497,BLCA,tumor,4.97
498,BLCA,tumor,4.5192
499,BLCA,tumor,4.856
500,BLCA,tumor,2.362
501,BLCA,tumor,5.8038
502,BLCA,tumor,4.3793
503,BLCA,tumor,6.1033
504,BLCA,tumor,5.656
505,BLCA,tumor,5.7866
506,BLCA,tumor,3.8808
507,BLCA,tumor,4.0357
508,BLCA,tumor,4.3896
509,BLCA,tumor,4.8758
510,BLCA,tumor,3.4304
511,BLCA,tumor,5.3937
512,BLCA,tumor,5.7748
513,BLCA,tumor,5.3169
514,BLCA,tumor,5.1799
515,BLCA,tumor,5.6047
516,BLCA,tumor,5.4155
517,BLCA,tumor,5.4229
518,BLCA,tumor,4.9284
519,BLCA,tumor,5.2702
520,BLCA,tumor,5.7586
521,BLCA,tumor,3.9524
522,BLCA,tumor,4.6323
523,BLCA,tumor,3.5337
524,BLCA,tumor,5.9665
525,BLCA,tumor,5.3699
526,BLCA,tumor,4.2064
527,BLCA,tumor,5.2991
528,BLCA,tumor,5.7156
529,BLCA,tumor,5.5838
530,BLCA,tumor,2.8301
531,BLCA,tumor,5.2499
532,BLCA,tumor,6.0997
533,BLCA,tumor,4.6577
534,BLCA,tumor,6.1088
535,BLCA,tumor,4.2973
536,BLCA,tumor,3.2988
537,BLCA,tumor,3.7475
538,BLCA,tumor,5.2884
539,BLCA,tumor,5.0233
540,BLCA,tumor,5.306
541,BLCA,tumor,6.2882
542,BLCA,tumor,4.6352
543,BLCA,tumor,5.4033
544,BLCA,tumor,5.76
545,BLCA,tumor,4.3213
546,BLCA,tumor,5.2765
547,BLCA,tumor,2.5462
548,BLCA,tumor,4.8876
549,BLCA,tumor,4.935
550,BLCA,tumor,4.9796
551,BLCA,tumor,4.8329
552,BLCA,tumor,3.2915
553,BLCA,tumor,4.9878
554,BLCA,tumor,5.0505
555,BLCA,tumor,4.1044
556,BLCA,tumor,3.9506
557,BLCA,tumor,5.8699
558,BLCA,tumor,2.9205
559,BLCA,tumor,5.445
560,BLCA,tumor,5.8273
561,BLCA,tumor,4.9246
562,BLCA,tumor,4.858
563,BLCA,tumor,6.8338
564,BLCA,tumor,6.0547
565,BLCA,tumor,5.7148
566,BLCA,tumor,5.1736
567,BLCA,tumor,2.694
568,BLCA,tumor,3.871
569,BLCA,tumor,6.5105
570,BLCA,tumor,4.1044
571,BLCA,tumor,4.4236
572,BLCA,tumor,5.6165
573,BLCA,tumor,5.3342
574,BLCA,tumor,4.6804
575,BLCA,tumor,4.9298
576,BLCA,tumor,5.7887
577,BLCA,tumor,5.8164
578,BLCA,tumor,5.7345
579,BLCA,tumor,4.8739
580,BLCA,tumor,5.0251
581,BLCA,tumor,4.6725
582,BLCA,tumor,5.0794
583,BLCA,tumor,5.5145
584,BLCA,tumor,5.0348
585,BLCA,tumor,4.8694
586,BLCA,tumor,4.4529
587,BLCA,tumor,2.876
588,BLCA,tumor,5.5753
589,BLCA,tumor,6.348
590,BLCA,tumor,3.1245
591,BLCA,tumor,5.2254
592,BLCA,tumor,2.96
593,BLCA,tumor,3.741
594,BLCA,tumor,4.9695
595,BLCA,tumor,6.3577
596,BLCA,tumor,5.6282
597,BLCA,tumor,5.7074
598,BLCA,tumor,4.5117
599,BLCA,tumor,5.1878763416
600,BLCA,tumor,5.8709
601,BLCA,tumor,3.6254
602,BLCA,tumor,3.5174
603,BLCA,tumor,4.2088
604,BLCA,tumor,4.7913
605,BLCA,tumor,7.032
606,BLCA,tumor,5.2698
607,BLCA,tumor,4.7453
608,BLCA,tumor,5.7898
609,BLCA,tumor,5.0175
610,BLCA,tumor,4.8983
611,BLCA,tumor,4.836
612,BLCA,tumor,4.7693
613,BLCA,normal,4.8269
614,BLCA,normal,4.5205
615,BLCA,normal,3.8954
616,BLCA,normal,5.6617
617,BLCA,normal,4.6787
618,BLCA,normal,4.1425
619,BLCA,normal,4.3583
620,BLCA,normal,4.2691
621,BLCA,normal,5.2954
622,BLCA,normal,5.5407
623,BLCA,normal,4.0619
624,BLCA,normal,5.2068
625,BLCA,normal,4.5423
626,BLCA,normal,3.7539
627,BLCA,normal,5.7616
628,BLCA,normal,4.3958
629,BLCA,normal,4.836
630,BLCA,normal,4.6277
631,BLCA,normal,4.764
632,BLCA,normal,4.0269
633,BLCA,normal,4.706
634,BLCA,normal,3.7898
635,BLCA,normal,4.504
636,BLCA,normal,5.0339
637,BLCA,normal,4.7767
638,BLCA,normal,4.7077
639,BLCA,normal,4.3227
640,BLCA,normal,4.8445
641,BRCA,tumor,4.9566
642,BRCA,tumor,4.3744
643,BRCA,tumor,4.2442
644,BRCA,tumor,5.4738
645,BRCA,tumor,5.5778
646,BRCA,tumor,3.6042
647,BRCA,tumor,4.9933
648,BRCA,tumor,5.085
649,BRCA,tumor,5.2799
650,BRCA,tumor,4.8064
651,BRCA,tumor,6.0594
652,BRCA,tumor,4.964
653,BRCA,tumor,5.5847
654,BRCA,tumor,6.0991
655,BRCA,tumor,4.3611
656,BRCA,tumor,4.7971
657,BRCA,tumor,5.3551
658,BRCA,tumor,5.0365
659,BRCA,tumor,5.0215
660,BRCA,tumor,4.3541
661,BRCA,tumor,6.1926
662,BRCA,tumor,5.3537
663,BRCA,tumor,6.1805
664,BRCA,tumor,5.6944
665,BRCA,tumor,5.9752
666,BRCA,tumor,3.5971
667,BRCA,tumor,4.1946
668,BRCA,tumor,5.0972
669,BRCA,tumor,6.04
670,BRCA,tumor,3.7646
671,BRCA,tumor,7.2651
672,BRCA,tumor,6.5062
673,BRCA,tumor,6.1745
674,BRCA,tumor,4.404
675,BRCA,tumor,4.8028
676,BRCA,tumor,4.0357
677,BRCA,tumor,6.0676
678,BRCA,tumor,5.5008
679,BRCA,tumor,4.652
680,BRCA,tumor,5.3893
681,BRCA,tumor,4.8022
682,BRCA,tumor,3.7625
683,BRCA,tumor,5.4948
684,BRCA,tumor,5.5283
685,BRCA,tumor,4.3827
686,BRCA,tumor,3.0393
687,BRCA,tumor,2.5876
688,BRCA,tumor,5.5778
689,BRCA,tumor,5.5675
690,BRCA,tumor,5.853
691,BRCA,tumor,4.5748
692,BRCA,tumor,4.9313
693,BRCA,tumor,3.0056
694,BRCA,tumor,4.8161
695,BRCA,tumor,3.7237
696,BRCA,tumor,5.9944
697,BRCA,tumor,4.8233
698,BRCA,tumor,6.7614
699,BRCA,tumor,5.6276
700,BRCA,tumor,4.6451
701,BRCA,tumor,5.347
702,BRCA,tumor,5.738
703,BRCA,tumor,6.601
704,BRCA,tumor,5.9853
705,BRCA,tumor,5.3579
706,BRCA,tumor,5.579
707,BRCA,tumor,3.2647
708,BRCA,tumor,5.4938
709,BRCA,tumor,4.402
710,BRCA,tumor,5.7926
711,BRCA,tumor,5.4845
712,BRCA,tumor,3.5947
713,BRCA,tumor,5.1518
714,BRCA,tumor,3.0252
715,BRCA,tumor,6.0119
716,BRCA,tumor,5.7088
717,BRCA,tumor,5.975
718,BRCA,tumor,3.8147
719,BRCA,tumor,4.4189
720,BRCA,tumor,7.1283
721,BRCA,tumor,5.359
722,BRCA,tumor,5.8711
723,BRCA,tumor,5.5015
724,BRCA,tumor,4.6253
725,BRCA,tumor,5.4702
726,BRCA,tumor,5.7637
727,BRCA,tumor,5.1123
728,BRCA,tumor,5.3434
729,BRCA,tumor,5.3558
730,BRCA,tumor,6.109
731,BRCA,tumor,5.6764
732,BRCA,tumor,4.19227556805
733,BRCA,tumor,5.4542
734,BRCA,tumor,5.558
735,BRCA,tumor,5.76
736,BRCA,tumor,5.366
737,BRCA,tumor,4.9663
738,BRCA,tumor,4.435
739,BRCA,tumor,3.6113
740,BRCA,tumor,5.2869
741,BRCA,tumor,4.182
742,BRCA,tumor,5.4735
743,BRCA,tumor,5.5999
744,BRCA,tumor,4.5868
745,BRCA,tumor,5.3844
746,BRCA,tumor,5.7968
747,BRCA,tumor,5.1599
748,BRCA,tumor,5.0884
749,BRCA,tumor,6.4416
750,BRCA,tumor,5.804
751,BRCA,tumor,6.1328
752,BRCA,tumor,5.8997
753,BRCA,tumor,5.5423
754,BRCA,tumor,4.9407
755,BRCA,tumor,3.1924
756,BRCA,tumor,5.9885
757,BRCA,tumor,5.625
758,BRCA,tumor,5.7679
759,BRCA,tumor,6.0121
760,BRCA,tumor,4.1563
761,BRCA,tumor,5.0383
762,BRCA,tumor,4.7709
763,BRCA,tumor,6.586
764,BRCA,tumor,5.1664
765,BRCA,tumor,5.7385
766,BRCA,tumor,5.8982
767,BRCA,tumor,5.9432
768,BRCA,tumor,5.3657
769,BRCA,tumor,4.2995
770,BRCA,tumor,5.0113
771,BRCA,tumor,4.2781
772,BRCA,tumor,4.9621
773,BRCA,tumor,3.417
774,BRCA,tumor,5.6393
775,BRCA,tumor,5.8235
776,BRCA,tumor,5.7077
777,BRCA,tumor,5.7853
778,BRCA,tumor,5.2161
779,BRCA,tumor,5.5729
780,BRCA,tumor,6.6851
781,BRCA,tumor,5.898
782,BRCA,tumor,4.844
783,BRCA,tumor,6.1599
784,BRCA,tumor,4.8172
785,BRCA,tumor,6.0334
786,BRCA,tumor,5.5832
787,BRCA,tumor,3.0463
788,BRCA,tumor,4.8793
789,BRCA,tumor,4.3017
790,BRCA,tumor,5.9688
791,BRCA,tumor,5.4499
792,BRCA,tumor,5.3775
793,BRCA,tumor,5.3093
794,BRCA,tumor,4.7608
795,BRCA,tumor,6.2531
796,BRCA,tumor,4.8319
797,BRCA,tumor,3.5718
798,BRCA,tumor,4.9374
799,BRCA,tumor,4.402
800,BRCA,tumor,4.6548
801,BRCA,tumor,5.4627
802,BRCA,tumor,5.8148
803,BRCA,tumor,6.6289
804,BRCA,tumor,4.7404
805,BRCA,tumor,6.2935
806,BRCA,tumor,6.5956
807,BRCA,tumor,6.0579
808,BRCA,tumor,4.9631
809,BRCA,tumor,5.7853
810,BRCA,tumor,5.4081
811,BRCA,tumor,5.822
812,BRCA,tumor,5.5653
813,BRCA,tumor,5.6639
814,BRCA,tumor,5.5614
815,BRCA,tumor,6.1404
816,BRCA,tumor,4.6497
817,BRCA,tumor,5.9317
818,BRCA,tumor,5.8684
819,BRCA,tumor,5.8951
820,BRCA,tumor,5.81
821,BRCA,tumor,5.0095
822,BRCA,tumor,6.733
823,BRCA,tumor,6.5902
824,BRCA,tumor,5.9535
825,BRCA,tumor,5.8548
826,BRCA,tumor,3.7961
827,BRCA,tumor,5.3381
828,BRCA,tumor,5.2664
829,BRCA,tumor,3.6669
830,BRCA,tumor,4.8238
831,BRCA,tumor,5.6303
832,BRCA,tumor,5.6121
833,BRCA,tumor,4.6821
834,BRCA,tumor,5.9828
835,BRCA,tumor,5.1772
836,BRCA,tumor,3.7815
837,BRCA,tumor,5.4489
838,BRCA,tumor,5.9454
839,BRCA,tumor,3.7783
840,BRCA,tumor,6.3707
841,BRCA,tumor,3.6703
842,BRCA,tumor,3.8983
843,BRCA,tumor,4.7549
844,BRCA,tumor,5.5485
845,BRCA,tumor,5.693
846,BRCA,tumor,5.0696
847,BRCA,tumor,4.6905
848,BRCA,tumor,4.691
849,BRCA,tumor,4.506
850,BRCA,tumor,5.5454
851,BRCA,tumor,4.5002
852,BRCA,tumor,4.0019
853,BRCA,tumor,6.0166
854,BRCA,tumor,5.5552
855,BRCA,tumor,4.1899
856,BRCA,tumor,4.6966
857,BRCA,tumor,4.7651
858,BRCA,tumor,5.2126
859,BRCA,tumor,5.7996
860,BRCA,tumor,6.0104
861,BRCA,tumor,5.3848
862,BRCA,tumor,5.0423
863,BRCA,tumor,5.0304
864,BRCA,tumor,4.5066
865,BRCA,tumor,6.5021
866,BRCA,tumor,6.8155
867,BRCA,tumor,5.1555
868,BRCA,tumor,6.8975
869,BRCA,tumor,5.2917
870,BRCA,tumor,3.5337
871,BRCA,tumor,6.4145
872,BRCA,tumor,5.2939
873,BRCA,tumor,4.8495
874,BRCA,tumor,5.6955
875,BRCA,tumor,4.958
876,BRCA,tumor,7.005
877,BRCA,tumor,6.4036
878,BRCA,tumor,4.2818
879,BRCA,tumor,5.0747
880,BRCA,tumor,6.1041
881,BRCA,tumor,4.7934
882,BRCA,tumor,5.7908
883,BRCA,tumor,5.643
884,BRCA,tumor,6.8975
885,BRCA,tumor,3.5461
886,BRCA,tumor,4.7809
887,BRCA,tumor,2.7401
888,BRCA,tumor,5.2586
889,BRCA,tumor,6.0849
890,BRCA,tumor,5.0734
891,BRCA,tumor,5.8773
892,BRCA,tumor,5.3937
893,BRCA,tumor,3.0199
894,BRCA,tumor,4.3903
895,BRCA,tumor,2.9413
896,BRCA,tumor,5.7013
897,BRCA,tumor,4.9416
898,BRCA,tumor,5.9846
899,BRCA,tumor,6.4622
900,BRCA,tumor,4.4777
901,BRCA,tumor,5.0488
902,BRCA,tumor,4.2366
903,BRCA,tumor,5.5919
