"","cancer-uterus","cancer-skin","cancer-prostate","cancer-lung","cancer-liver","cancer-kidney","cancer-Head & Neck","cancer-Colon & Rectum","cancer-breast","cancer-bladder","cancer-blood","cancer-brain","cancer-pancreas","cancer-cPI","cvd-stroke-blood-1","cvd-stroke-blood-2","cvd-infarct-blood","cvd-hypertension-blood","cvd-heart-failure-blood","cvd-CAD-blood","cvd-CAD-plaque","ndd-parkinson-blood-1","ndd-parkinson-blood-2","ndd-MCI-blood","ndd-AD-brain","ndd-AD-blood","t2d-diabetes-islets-1","t2d-diabetes-liver","t2d-diabetes-islets-2","t2d-IR-adipose-tissue"
"danio-brain.txt",0.0355787099756088,0.000407427999695073,1.38964195439775e-05,0.704481109323461,0.00418045965754464,2.83182901601676e-08,0.887577689194306,2.36339280606228e-07,0.00560431596608557,0.00165098478579335,0.0915845236883083,8.59882458304909e-34,0.00691164520291624,4.20819637599608e-19,1.47951088990391e-24,1.16861844970913e-31,3.35926919040384e-18,0.0077437684173157,0.00200706034180987,0.00527270611327831,0.0111324607538505,1.47918066620936e-06,0.00115495195235207,1.79633138645274e-06,0.527143906120915,0.000162523298545601,0.7227849373111,7.63234404767742e-09,0.0441087158162978,4.56182270016448e-10
"danio-liver.txt",0.000107308908299507,4.74775947562482e-06,8.63566010472137e-07,0.00232899842241544,0.985599694991932,0.377345383876531,0.566650137212881,0.00191433682293619,1.16043036709618e-06,0.000307375735646633,0.340828112573786,0.0150047444685085,1.37512719479148e-07,8.30634049591514e-12,0.00062526390555176,2.12429717669276e-10,6.76942702707986e-05,0.589411360052976,2.57510646067628e-07,0.70689554560139,0.424448117472949,0.0345067287604148,8.48642614393925e-05,0.000150979016130159,0.356836519989181,0.0141143779286699,0.191512287257916,0.346435358773026,0.0312026954941748,0.000969040685978383
"danio-skin.txt",1.1014270113716e-07,0.0765278708177008,0.000115895813392325,0.000187380505569479,0.684375984536079,3.12951183760647e-06,3.02139595444574e-08,0.589411360052976,0.00109092864155449,0.00352106309270429,0.140801141001428,0.00011516377006056,2.19261850934587e-05,7.20915045605035e-10,5.73435083474691e-06,0.00115495195235207,0.704481109323461,0.65648976311162,0.887577689194306,0.129941840262928,0.923928836464112,0.0322166740812215,0.082174728823427,0.00560924688034591,4.57592369998587e-05,7.25286144112399e-05,3.41039162477418e-08,0.000162536726349051,6.52796600592425e-05,0.0223934223781852
"fibroblasts.txt",8.05281006026444e-120,8.42428939804788e-42,5.42443153813285e-52,7.7150737067505e-192,1.34628611804071e-32,1.9650292374849e-46,8.06072555759906e-65,8.33445136586563e-145,2.10024592644945e-88,2.99557922454459e-101,5.53386048826302e-09,3.81175830201433e-93,9.9198299777681e-34,4.9580999362688e-180,4.20261659514166e-45,1.05349224977062e-16,0.00580555475138611,0.822550426436076,8.7288714808571e-63,9.60682881561904e-38,1.55516373607981e-15,0.00694233592022816,0.00122892043585759,0.0184619842341065,0.347974978150578,2.36638010718905e-11,1.34409867438316e-64,0.00152162981543807,8.20983596607487e-97,0.00698306635872956
"go.txt",3.70895869030372e-07,3.25634086590212e-20,8.42428939804788e-42,1.50171041709437e-18,6.75316784226491e-05,0.0138966652375729,0.552276771711503,1.8693176393428e-19,1.29599359789443e-08,2.58269133595399e-09,6.71636124396879e-08,8.37530729695912e-15,0.0662482326328536,3.48742406132091e-84,8.01743586800015e-74,2.32169420966641e-36,3.04319188198855e-17,0.916823963563797,0.152604593394608,3.96421736046401e-20,3.28771810163337e-09,0.128565940614116,8.36151880894928e-12,1.85516741608589e-09,4.7480826557399e-18,3.13788773471726e-18,5.13512424402715e-05,5.15357977275658e-12,0.0777483606659192,1.52763509635011e-33
"human-blood-cross-cohort.txt",1.39631222896647e-09,0.493031306675463,3.82563818367807e-26,7.80160427294734e-48,3.25279992725977e-08,6.80994175883717e-11,1.61525862174883e-06,3.75187331161087e-26,0.000694627615466412,3.68491269179272e-09,1.26053230885741e-74,0.0111274733861295,3.92040275770169e-22,1.42634932608724e-47,5.37093137131634e-107,0.64627255474628,2.44252845303143e-29,3.05362887544274e-10,2.02589217583154e-05,1.72253943139267e-78,1.21094084647552e-35,3.68525003561346e-22,7.84324544840643e-16,3.9612805178551e-07,7.43775083671724e-12,4.63162522500362e-35,0.369414135606435,0.000424080709121209,0.551976819010206,1.91235087842098e-07
"human-blood-SAFHS.txt",0.00038673234724387,0.00034294828465023,1.38239028087676e-25,3.24759031135711e-38,0.96794586099066,5.62902827153786e-09,5.29824396257342e-17,4.17587440347615e-19,0.347974978150578,1.47441453818943e-09,9.39885844645598e-55,0.00014745161443566,3.63687797586651e-23,8.23786320953629e-56,1.31696002782169e-58,1.00167593918086e-17,2.98837996338482e-32,6.65578272338511e-05,6.80264397162034e-22,1.79611157556327e-48,1.09154693306811e-14,1.05121018380949e-09,9.9093681554044e-11,3.71399990185297e-48,1.78765824152957e-14,3.33920463394524e-46,0.168199715099602,1.92124403697536e-28,0.0124722542529969,4.57377477212868e-18
"human-blood.txt",0.41070778938935,0.0893255013554759,0.0873586960807707,0.110967161862774,0.79183334065347,0.000162523298545601,0.000332105787786002,0.976080859209238,0.857839899890244,0.895261853594597,0.000309538373934274,0.0423360137096792,0.000287551875096931,0.0374817427998086,0.0167792741723035,0.625866636175031,2.71708366498796e-09,0.0184864630181878,0.000958584441527475,2.64937809846121e-09,7.84170423558492e-05,0.735311787398246,0.690508745566576,8.90680788393273e-05,0.715472843467557,0.292850529819445,0.00500161730404539,6.06515700827173e-06,0.00348012712271229,0.000288266163807258
"human-brain.txt",0.0042520104496653,1.07846245706826e-06,7.51817767643309e-05,3.90166536363515e-13,1.51745468835435e-08,6.81964340419848e-14,5.31342446567233e-06,0.079816323957489,0.000946247511202656,3.17387815503405e-07,2.48531526332318e-07,9.46741889611594e-109,2.36638010718905e-11,8.63200473840593e-11,2.23098209095608e-13,0.0765278708177008,9.68413327048357e-14,0.934834225987091,1.86565013899772e-18,4.2222642608249e-09,3.08954591244465e-11,0.697331123725161,0.10290195446334,0.0982421218995956,1.48062744076628e-62,0.206569711506594,2.55577855473127e-30,0.0125978399940164,1.03267990829016e-33,0.937193902037026
"human-breast.txt",1.81077100682373e-37,3.5375201970358e-12,9.05431741270445e-20,9.15273394184214e-34,2.90817688824791e-23,0.0811468549488619,4.28781005510144e-17,2.41997773924073e-36,4.62525576164479e-20,1.42199048387295e-34,1.68713256790949e-11,0.0521118346798657,0.146371054243516,2.03678189002747e-15,0.0107889107427061,0.365833523434684,5.44182114518432e-19,0.000202235571849228,1.43457267003435e-08,7.63234404767742e-09,0.000991961307145983,0.0473633099479846,0.5427301028213,8.44537353312376e-36,1.34587879502223e-06,2.8086198865916e-19,0.00135518377068845,4.64842232194595e-21,0.100597338054467,1.86574031115467e-12
"human-daa.txt",0.000132199025030925,0.0470241976428756,0.554159364565997,0.000127242561983908,0.0281159527732822,1.08205463131635e-11,4.3670575810043e-05,0.142601836566146,0.158903289136805,0.125236977301421,0.18385694900167,3.77498376443127e-29,0.0188173235402607,4.19330696754783e-06,5.8954376929493e-05,0.729656965729026,0.104315174880509,0.0234162237970084,0.665825739650102,0.000734703624072918,0.10845750586746,0.093196032721725,0.0208498363542805,0.164124770920235,1.8479723734211e-23,0.032618064905236,8.51032920730814e-06,0.494811727158063,0.0005486882477923,0.953487273721069
"human-muscle.txt",0.00108796073199899,0.0276309757845913,0.159269873872259,0.293181161393164,0.0206772896876148,0.199483189219321,0.382595375998199,0.287864642077765,0.169981907699056,0.478579877313133,0.0113029668021425,0.0167914103571952,0.0208498363542805,0.124444466091615,0.0873586960807707,0.000540782549098709,5.73662153655875e-14,0.944589638848696,0.191512287257916,0.00317391475289132,4.54937252764122e-05,8.12258885462003e-07,0.000671769990670612,7.02997689062675e-13,0.944589638848696,0.000411670758813069,0.494811727158063,1.48661234922605e-06,0.302288358515786,4.12015994548206e-08
"human-skin.txt",7.08509770465606e-100,4.9617691562976e-16,2.21764647490283e-24,7.38180550107123e-61,2.76512287428356e-29,0.00142111235745565,1.25872194318583e-16,3.09809712463058e-65,5.12808059802421e-85,2.7225261602967e-93,0.125227392767533,3.92035216203488e-07,0.106242009512192,1.54930629041144e-41,2.56667185603324e-09,0.0121168377712467,5.36734659662706e-25,0.000958346666963982,3.66412332456421e-16,6.61183889295908e-05,6.74452501611591e-27,0.0419876897532821,0.683921190410356,6.71671442391047e-41,0.00335651698531364,2.25093590841352e-28,0.127758894000548,7.81143903619184e-13,0.0556058543885166,4.2154521412822e-28
"kegg.txt",6.10526840474126e-06,0.00143156424497279,1.89023298633624e-06,0.000149999091108609,0.516831549688158,0.519621573265704,0.602373192281609,4.57592369998587e-05,0.000337946629675108,0.022788761429679,0.240741141498387,0.0612832990369982,0.334689444734535,1.68518275852378e-09,0.00683127228558705,8.14296917433849e-05,0.000167031737792142,0.664760929733732,0.998862290821457,0.215331118766774,0.0263014568576787,0.00019684487028871,0.202065320596506,6.22331357677243e-06,0.00126849178353528,0.00098739945261658,0.00207793283422381,0.0190646535857137,0.0109176638813634,0.00185517393225488
"metabolic.txt",0.793405957386639,0.446984790028191,0.0051247572526435,0.760004165233967,0.0651801824199366,0.0417074053815243,0.233944623337961,0.872423264256362,0.992357168649896,0.319227240288922,0.0744722812675134,0.104917118034728,0.00254626524734262,5.60765309592275e-06,0.0297829875812541,0.000117372851494362,0.0158562972578692,0.312521763951033,0.443950331634281,0.514051865434283,0.527143906120915,0.00115495195235207,0.801230675574049,0.116790787891529,0.0953371374854715,0.11709752539477,0.329850231291711,0.793130705493643,0.90747552571681,0.124444466091615
"mouse-blood.txt",0.405406645877356,0.00126297937343908,0.0048786654301593,2.05143411212371e-12,0.144609311558228,0.00118341512993677,2.87115788249177e-09,0.00278646086316589,0.0891680763047255,0.000702368188956615,1.34674564479609e-23,0.233944623337961,1.90858918500346e-08,7.16986420183058e-16,3.7016966052091e-60,0.346435358773026,1.07193665229989e-93,0.00339216576796429,2.07543708453023e-23,4.86194223069573e-37,1.86604737188025e-16,0.00193746792397501,1.23083169910596e-06,2.08790716690541e-15,0.0171273336738174,4.82503045881977e-31,4.74775947562482e-06,4.97231584729183e-10,7.03518978456236e-09,0.00162680824674585
"mouse-brain.txt",3.19283144224839e-08,0.0528592701182273,0.0123719054019968,8.41313389602428e-16,5.33576951750694e-20,3.40726544626384e-09,0.230569090415746,8.75754289443604e-06,0.0307707761736445,1.26378001277481e-08,8.4457437585612e-15,0.00185745561556595,0.00769442342056095,0.0135103980819817,2.56823437233599e-09,0.263678601004884,0.0318674408802739,0.000151427253825123,0.17493706571782,0.00193193646794598,1.22819328717247e-20,8.69844213065599e-06,0.923928836464112,0.554159364565997,6.36544728616608e-13,0.147755483111406,1.48697251678924e-10,0.749277569623866,5.20458261264414e-11,0.0119014109344007
"mouse-liver.txt",6.84577009900063e-30,0.00660215638912781,1.06402364343303e-32,3.27601305061513e-17,0.000912398000362689,8.60898587650071e-39,1.25398275384652e-10,9.07233663167803e-10,0.0203506792410309,2.55805195945e-17,3.08418039824029e-07,0.118882020463838,3.7395547917503e-08,4.73180618604964e-40,7.06367313601759e-17,2.36638010718905e-11,1.04654589170425e-10,0.0245988259720654,0.0510183162654737,0.000920320489300179,1.91842585143659e-24,0.438132728769542,6.60151433918695e-08,7.61742009591317e-21,2.85354922567357e-25,3.82149079483547e-20,5.3097489379905e-22,2.92085084022711e-18,6.2446275766859e-06,3.14753791009955e-27
"mouse-longitudinal.txt",0.193584193833138,0.806837543767236,0.97603625007839,7.55306721819941e-05,0.0101423785166729,0.0166944753853086,0.761656804517548,0.35079880931899,0.887577689194306,0.424448117472949,0.00133878716648612,0.00692171424035769,0.331657215916693,0.977173176794461,1.20340978777452e-05,0.308644075882184,0.779903789996612,0.976232166658027,0.506994318450881,2.99305691174339e-06,1.00690873099675e-06,0.0514055913283698,0.696273282779619,0.106242009512192,0.142683026019147,0.991084179301747,0.00817337725384315,0.0102337414351085,0.00313761102217346,0.0995107153265575
"mouse-skin.txt",1.89597403090644e-156,1.45404537100116e-39,2.66357907743314e-71,8.13470700051282e-149,2.2369587157423e-28,0.732704399165459,1.91009223508084e-32,5.21368232423079e-108,4.93837080723919e-114,9.33742593073065e-137,0.000538714535981197,4.35076184555086e-43,1.56284814318688e-28,3.36071944661297e-73,6.63634465975029e-33,2.34853780289338e-38,2.08848277514454e-24,4.08798189820595e-06,1.30722961780883e-08,4.45899184452096e-05,0.0470241976428756,0.885598346821068,3.22994666239356e-09,3.91985092588689e-64,3.59144165675111e-19,4.31728151079873e-47,0.0206772896876148,8.03359775671527e-08,0.011024053957515,3.2444073019745e-09
"notho-brain.txt",9.5279746927683e-51,3.04956946163102e-20,1.09125133738306e-14,7.07760646996361e-74,7.19268358991417e-21,0.00323494656127768,3.78531652266683e-15,2.08271712340104e-39,2.52413580025637e-39,4.08039917390662e-52,0.00462690237706032,1.93891932459176e-22,2.13595051502174e-14,4.33549527933819e-20,4.29387529980381e-08,4.19705040909022e-10,0.0374817427998086,0.516377394405588,0.000374315147502548,1.85516741608589e-09,0.129941840262928,0.0664140521132206,0.217094726643687,0.0030336450495988,0.255240784212113,1.82897844266263e-06,0.00317391475289132,0.38480242919463,0.00422577754909304,0.62031169163425
"notho-liver.txt",1.13741631979389e-39,4.99701294949011e-20,1.12635226196229e-34,3.40988636820247e-43,4.51100275521951e-11,0.607515159007132,6.63044120982359e-06,3.17498002302033e-24,3.04322954822059e-26,7.14698789737166e-41,0.230869834203628,2.44141762926502e-09,9.54461951817673e-10,5.63956086648289e-44,1.92191092992349e-23,5.55851234113468e-28,1.7145043665953e-23,0.0549800105787396,0.744677503832872,6.80994175883717e-11,0.483075847541795,0.350483296495298,7.46267185127117e-06,4.42232240061242e-09,1.50325027962399e-08,1.57755116178846e-13,1.86574031115467e-12,1.62582998917162e-12,8.01268522029482e-07,3.75346449080224e-11
"notho-longitudinal.txt",0.000506403043911194,6.97931035707432e-06,0.200363175996677,1.49123180851961e-11,1.48697251678924e-10,0.00425174325047287,1.96790525701812e-07,3.12951183760647e-06,3.27562269348967e-05,9.51790729711834e-06,0.749803412896404,8.4778815286477e-14,4.31193531600912e-10,0.786927218220697,0.0318674408802739,0.161911681588042,0.18495070126649,0.259492518753669,0.349318567309838,0.000186091593845278,0.0491852065324322,0.367146611871625,0.28344155146602,0.554159364565997,0.344133285773261,0.841185419223018,0.00649442616752828,0.757805794689374,0.210102645893228,0.229681338061661
"notho-skin.txt",0.000566858510821548,1.47310123508967e-09,7.51817767643309e-05,2.44687866067582e-27,3.82106960184881e-19,0.270653807067224,1.35899865285306e-07,1.05857924038884e-08,0.00142567963083601,1.37944827166936e-11,0.00193381780232735,0.0288281368785585,0.00574982512307425,0.522867583547562,0.972744817590346,0.500150196594587,1.35030218622718e-05,0.735311787398246,0.000393399916254783,0.0020201489212666,1.06548863321729e-06,0.348620117829521,0.00013022150020178,0.224591100877524,0.38957372476539,0.979988058962473,6.14621795623828e-07,0.581632567344897,4.46797712736409e-13,0.0625701754040806
