,cancer-uterus,cancer-skin,cancer-prostate,cancer-lung,cancer-liver,cancer-kidney,cancer-Head & Neck,cancer-Colon & Rectum,cancer-breast,cancer-bladder,cancer-blood,cancer-brain,cancer-pancreas,cvd-stroke-blood-1,cvd-stroke-blood-2,cvd-infarct-blood,cvd-heart-failure-blood,cvd-CAD-blood,cvd-CAD-plaque,ndd-parkinson-blood-1,ndd-parkinson-blood-2,ndd-MCI-blood,ndd-AD-brain,ndd-AD-blood,t2d-diabetes-islets-1,t2d-diabetes-liver,t2d-diabetes-islets-2,t2d-IR-adipose-tissue,aging-danio-brain,aging-danio-skin,aging-danio-liver,aging-notho-brain,aging-notho-skin,aging-notho-liver,aging-mouse-brain,aging-mouse-skin,aging-mouse-liver,aging-mouse-blood,aging-human-skin,aging-human-blood,aging-human-fibroblasts
nucleic acid metabolic process,0.096337842,0.052952821,0.091388981,0.235400858,0.137413395,0.133289343,0.144836688,0.290498185,0.092708677,0.197624546,0.191026064,0.190366216,0.055427252,-0.066974596,0.051633124,-0.105575718,-0.000164962,-0.034312108,0.018475751,0.042560211,0.041240515,0.012537116,0.11778291,-0.035466843,0.152837347,0.080501485,0.103596173,-0.00082481,0.124546354,0.063840317,-0.045529528,-0.096997691,-0.053777631,0.001319696,0.063180468,-0.210326625,0.120587265,-0.186407126,-0.03926097,-0.021115144,-0.303200264
cell cycle process,0.270207852,0.20273837,0.074232926,0.322335863,0.254371495,0.230616958,0.320686242,0.361596833,0.30847905,0.30451996,-0.143022105,0.232596503,0.347904982,0.110854503,-0.025239195,-0.171395579,0.015176509,0.03365226,0.084295612,0.109534807,0.038931046,-0.041075553,0.020620257,-0.005443748,-0.048828769,-0.057736721,0.035796767,0.025404157,-0.027053778,0.19548004,0.051138238,-0.366380732,-0.378093039,-0.431210822,-0.012207192,-0.372484329,-0.007588255,-0.115803365,-0.109864731,-0.052952821,-0.417683933
organelle organization,0.075552623,0.149455625,0.113163972,0.105245793,0.115143517,0.07373804,0.107225338,0.077037281,0.123721544,0.088749588,-0.047344111,0.043549984,0.180468492,0.147146156,0.018475751,-0.005938634,0.062355658,0.07208842,0.027878588,0.081821181,0.106730452,0.019135599,0.094358298,0.078851864,-0.094688222,0.028208512,-0.092048829,0.023094688,0.052292973,0.166611679,0.046189376,-0.117947872,-0.13378423,-0.044374794,0.021115144,-0.075717585,0.062355658,-0.024414385,-0.073903002,0.005278786,-0.124381392
defense response,-0.218409766,0.107885186,-0.036951501,-0.23160673,-0.219399538,0.237545365,0.14582646,-0.068624216,-0.134279116,-0.147476081,-0.169251072,0.206202573,0.086110195,0.471461564,0.031672715,0.255361267,0.018475751,0.211151435,0.323325635,0.13460904,0.230616958,0.211151435,0.257340812,0.309468822,0.176839327,0.068294292,0.202573408,0.116133289,0.137578357,0.356977895,0.276806335,0.329924117,0.363906302,0.368855163,0.25800066,0.263279446,0.245463543,0.202573408,-0.029033322,0.116463213,0.240514682
response to chemical,0.002804355,0.130649951,-0.040580666,-0.122236886,-0.059386341,0.031837677,0.024909271,-0.025239195,-0.022764764,-0.058066645,-0.075717585,0.083800726,0.095018146,0.29643682,0.032167601,0.15704388,-0.076872319,0.167106565,0.21313098,0.070603761,0.076047509,0.112339162,0.155559221,0.172715275,0.111679314,0.037116463,0.080831409,0.091224018,-0.024084461,0.124051468,0.059551303,0.018475751,0.07208842,0.167766414,0.142692181,0.152589904,0.12421643,0.160673045,0.003134279,0.119927417,0.133619268
regulation of nitrogen compound metabolic process,-0.026064005,0.07373804,0.000989772,0.022764764,0.058561531,0.048828769,0.041570439,0.07291323,-0.010062686,-0.008578027,0.135598812,0.058231607,0.041240515,0.121412075,0.111184428,-0.003959089,0.044539756,0.118442758,0.00082481,0.083635764,0.083470802,0.058891455,0.165951831,0.063180468,0.07769713,0.099307159,0.018475751,0.011877268,0.043549984,0.079511712,0.062850544,0.026888816,0.022764764,0.139557902,0.053447707,0.029363246,0.128670406,-0.031012867,-0.047179149,0.055427252,-0.023094688
regulation of molecular function,-0.077862092,0.112834048,-0.035961729,-0.128340482,-0.042560211,0.048498845,0.091388981,0.009567799,-0.023424612,-0.101286704,0.001649621,-0.064665127,0.130649951,0.236225668,0.111184428,0.112834048,-0.056746948,0.111184428,0.029363246,0.000989772,0.021115144,0.071593533,0.054437479,0.092708677,0.064995051,0.111184428,0.052457935,0.056417024,-0.063015506,0.098977235,0.123061696,0.09534807,0.129330254,0.138568129,0.024414385,0.088749588,0.137248433,0.111844276,0.013196965,0.079181788,0.079181788
immune response,-0.226327945,0.153414715,-0.055427252,-0.245793468,-0.115143517,0.202573408,0.161002969,-0.06730452,-0.161992742,-0.242164302,-0.145496536,0.206202573,0.086110195,0.443418014,0.213790828,0.239194985,-0.082151105,0.211151435,0.322005939,0.086770043,0.228637413,0.234576048,0.22599802,0.341471462,0.17551963,0.111184428,0.160343121,0.172220389,0.137578357,0.328604421,0.219729462,0.329924117,0.260310129,0.357967667,0.280765424,0.208182118,0.280765424,0.206202573,0.006268558,0.166611679,0.204223029
catabolic process,0.128010558,0.049158694,0.108545035,0.13460904,0.040910591,0.015836358,0.118442758,0.134938964,0.113493896,0.058396569,0.030353019,0.102276476,0.091388981,0.008578027,-0.002639393,0.098977235,-0.038601122,0.009897724,0.119762455,0.013856813,0.011877268,0.006268558,0.006268558,0.024414385,0.077532168,-0.018805675,0.105905642,0.061365886,0.009567799,-0.123721544,0.064995051,0.012537116,0.013196965,-0.102936325,0.099637083,-0.002639393,-0.069943913,0.083140878,0.040250742,0.025404157,-0.090729132
regulation of cellular component organization,-0.102606401,0.181788189,-0.141207522,-0.096997691,0.055097328,0.020455295,0.167931376,-0.019465523,-0.028703398,-0.041900363,0.04486968,-0.057406796,0.180138568,0.229297262,0.02243484,0.149785549,0.010557572,0.116133289,0.037281425,-0.031342791,0.132629495,0.139557902,0.120752227,0.1586935,0.067634444,0.099637083,0.020455295,0.026064005,-0.058726493,0.104585945,0.132629495,-0.001979545,0.038931046,0.105905642,0.038931046,0.088089739,0.105245793,0.13460904,-0.001319696,0.021774992,0.038271198
positive regulation of immune system process,-0.226327945,0.074232926,-0.03926097,-0.276146486,-0.107555262,0.421972946,0.183437809,-0.209831739,-0.092378753,-0.257670736,-0.232266579,0.261299901,0.184757506,0.380072583,0.213790828,0.275486638,-0.282415045,0.19234576,0.485648301,0.081161333,0.256021115,0.174529858,0.384031673,0.309468822,0.315077532,0.163972286,0.16265259,0.168921148,0.233916199,0.256021115,0.066974596,0.317387001,0.331903662,0.425932036,0.412735071,0.285054437,0.453975586,0.304849885,-0.094688222,0.180138568,0.252721874
cellular response to DNA damage stimulus,0.293797427,0.140052788,0.062850544,0.42230287,0.239359947,0.244143847,0.3878258,0.34938964,0.29165292,0.306664467,0.009732761,0.202573408,0.236060706,-0.049488618,-0.013196965,-0.170240845,-0.015836358,-0.045034642,0.098482349,-0.014516661,0.052952821,-0.077532168,0.05047839,-0.051468162,0.083140878,0.027383702,0.066314748,0.094688222,0.055592214,0.035466843,-0.000329924,-0.294787199,-0.16908611,-0.272352359,0.070273837,-0.250577367,-0.017156054,-0.093038601,-0.075717585,-0.045529528,-0.404322006
multicellular organismal process,-0.093203563,0.031342791,-0.041405477,-0.205707687,-0.094358298,0.014846585,-0.004948862,-0.063180468,-0.085285384,-0.097327615,-0.079016826,0.054107555,0.057406796,0.288848565,0.21395579,0.148135929,0.073078192,0.152589904,0.138073243,-0.026064005,0.146816232,0.166611679,0.183602771,0.208841966,-0.031672715,0.136093698,-0.057571758,0.069119103,-0.023424612,0.194985153,0.156054108,0.010062686,0.018805675,0.25404157,0.172220389,0.145496536,0.251072253,0.294127351,0.001979545,0.141867371,0.193500495
regulation of immune response,-0.214450676,0.046849225,-0.111514352,-0.276146486,-0.236555592,0.357967667,0.14582646,-0.166281755,-0.15308479,-0.257670736,-0.195645002,0.191026064,0.100296932,0.437149456,0.212471132,0.239194985,-0.127020785,0.238865061,0.408446057,-0.001979545,0.230616958,0.187396899,0.348399868,0.309468822,0.315077532,0.153414715,0.237545365,0.116133289,0.107225338,0.213790828,0.097987463,0.337512372,0.363906302,0.425932036,0.306499505,0.343451006,0.383371824,0.25239195,-0.051798086,0.195974926,0.252721874
intracellular signal transduction,-0.171890465,0.021774992,-0.067964368,-0.099967008,-0.069943913,0.187396899,0.200263939,-0.122401848,-0.017485978,-0.073573078,-0.061035962,0,0.193005609,0.295941933,0.129330254,0.081161333,-0.087099967,0.183437809,0.161662818,0.014516661,0.161002969,0.018475751,0.155724183,0.097987463,0.133289343,0.091388981,0.155394259,0.073243154,-0.06169581,0.202903332,0.049158694,0.190366216,0.180138568,0.17551963,0.151105246,0.172880238,0.201583636,0.116463213,-0.075222699,0.021774992,0.142857143
