"list1","list2"
"Module_1","Aen,Eef1a1,Eef1a2,Eprs,Gspt1,Imp3,Ipo7,Kcna2,Kcna3,Larp4b,Mrpl2,Mrto4,Qars,Rexo4,Rpl13,Rpl14,Rpl19,Rpl21,Rpl22,Rpl22l1,Rpl23,Rpl23a,Rpl26,Rpl27,Rpl28,Rpl30,Rpl31,Rpl32,Rpl34,Rpl35,Rpl35a,Rpl36,Rpl36a,Rpl37,Rpl37a,Rpl38,Rpl39,Rpl4,Rpl6,Rpl7,Rpl7a,Rpl8,Rplp0,Rplp2,Rps10,Rps14,Rps15,Rps17,Rps18,Rps23,Rps24,Rps25,Rps26,Rps27,Rps27l,Rps28,Rps3a,Rps5,Rps6,Rps8,Rpsa,Srp14,Srp19,Srpr,Ssr4,Surf6,Trex1"
"Module_2","Abt1,Bms1,Cirh1a,Csnk2a1,Dcaf13,Ddx52,Dhx33,Dhx37,Dimt1,Esf1,Fbl,Fbll1,Gar1,Heatr1,Imp4,Krr1,Mphosph10,Nat10,Ngdn,Noc2l,Noc4l,Nol10,Nol11,Nol12,Nol6,Nom1,Nop14,Pdcd11,Pno1,Pop1,Pus7,Pwp2,Rbm19,Rcl1,Rps7,Rrp12,Rrp7a,Rrp8,Rrp9,Rsl1d1,Srfbp1,Tbl3,Tfb2m,Utp11l,Utp14a,Utp15,Utp18,Utp3,Utp6,Wdr3,Wdr36,Wdr43,Wdr46,Wdr75"
"Module_3","Aurkaip1,Gfm1,Grwd1,Hspbp1,Mrpl12,Mrpl15,Mrpl18,Mrpl20,Mrpl21,Mrpl23,Mrpl3,Mrpl30,Mrpl34,Mrpl40,Mrpl41,Mrpl43,Mrpl47,Mrpl52,Mrpl54,Mrpl57,Mrps12,Mrps18b,Mrps24,Mrps25,Mrps33,Mrps36,Mrps5,Mrps6,Mrrf,Rpl27a,Rpl3,Rpl3l,Rps2,Rps20,Rps29,Sil1,Tars"
"Module_4","Asb6,Btbd1,Btbd9,Btrc,Cacybp,Fbxo11,Fbxo30,Fbxw11,Fem1aa,Fem1b,Fem1c,Fzr1,Gm28048,Ivns1abp,Kbtbd8,Klhl11,Klhl9,Lrrc41,Rlim,Rnf115,Rnf126,Rnf25,Sh3rf3,Stub1,Trim32,Ttc1,Ube2a,Ube2j1,Ube2o,Ube2s,Ubox5,Vhl"
"Module_5","Abcf2,Bop1,Brix1,Dusp12,Ebna1bp2,Eif6,Ftsj1,Ftsj3,Gcn1l1,Gnl2,Gnl3,Gnl3l,Kiaa0020,Las1l,Mak16,Mdn1,Metap2,Nip7,Nmd3,Noc3l,Nsa2,Ppan,Rbm28,Rrp1,Rrp1b,Rrs1,Rsl24d1,Wdr12,Wdr74,Znf593"
"Module_6","Denr,Eif1a,Eif1b,Eif2a,Eif3a,Eif3c,Eif3d,Eif3e,Eif3f,Eif3g,Eif3h,Eif3i,Eif3j2,Eif3l,Eif5b,Rps19"
"Module_7","Clpb,Dnaja1,Dnajb6,Dnajc7,Eef2,Hspa13,Hspa1l,Hspa2,Hspa5,Hspa8,Hspa9,Hsph1,Hyou1,Rps19bp1"
"Module_8","Ahsa1,Ahsa2,Ambra1,Fkbp4,Fnip1,Hax1,Hsp90aa1,Hsp90ab1,Hsp90b1,Pdap1,Ppid,Ttc4,Wee1"
"Module_9","Hivep3,Lta,Odc1,Psmb5,Psmb6,Psmb7,Psmc2,Psmc5,Psmd4,Psme3,Tnfsf11"
"Module_10","Cd3eap,Ddx21,Mybbp1a,Myo1c,Polr1a,Polr1b,Polr1e,Rrn3,Taf1d,Twistnb,Znrd1"
"Module_11","Gins1,Gins4,Mcm2,Mcm3,Mcm5,Mcm6,Mcm7,Orc3,Orc4,Tipin,Top1"
"Module_12","Abcc1,Abcc4,Apob,Ldlr,Lrp10,Lrpap1,M6pr,Snx9,Tfrc,Trip10"
"Module_13","Aebp2,Asxl1,Bmi1,Ezh2,Mtf2,Ptcd1,Tcf12,Tnfrsf10b,Ubap2l,Zfp277"
"Module_14","Atxn2l,Ccrn4l,Cnot8,Eif4e,Eif4e2,Eif4enif1,Eif4g1,Lsm14b,Paip2b,Pum1"
"Module_15","Bcorl1,Fbxl6,Kdm2b,Nacc1,Nkrf,Plagl2,Zfp106,Znf22,Znf281,Znf800"
"Module_16","Alyref,Ccdc97,Csde1,Papolg,Prpf3,Sart1,Snrpd1,Wbp4,Ybx1,Ybx3"
"Module_17","Ddx20,Gemin4,Gemin5,Gemin6,Smn1,Snupn,Strap,Tgs1,Zpr1"
"Module_18","Ak6,Ell,Gtf2e2,Nabp1,Pou2f2,Snapc2,Snapc5,Zc3h8"
"Module_19","Aven,Bcl2l1,Cd274,Irf1,Irf8,Mcl1,Pdcd1,Tpt1"
"Module_20","Fam134b,Fundc2,Gabarap,Gphn,Map1lc3b,Mocs3,Nbr1,Tax1bp1"
"Module_21","Ankhd1,Ankrd17,Ankrd52,Nfkb1,Nfkb2,Nfkbia,Nfkbib,Tnfrsf18"
