nodeName	altName	nodeAttr[nodesPresent, ]
Glmn	NA	114
Gltscr2	NA	128
Gm16286	NA	32
Gm17296	NA	50
Gm28048	NA	4
Gnb2l1	NA	32
Gng12	NA	83
Gnl2	NA	5
Gnl3	NA	5
Gnl3l	NA	5
Gorasp1	NA	156
Gpatch4	NA	38
Gphn	NA	20
Gpn1	NA	133
Gpr68	NA	83
Grap	NA	74
Grpel1	NA	55
Grpel2	NA	55
Grsf1	NA	58
Grwd1	NA	3
Gspt1	NA	1
Gstcd	NA	66
Gtf2e2	NA	18
Gzmb	NA	82
H1f0	NA	45
H2-T23	NA	86
H2afy	NA	41
H2afy2	NA	41
Hax1	NA	8
Hdac7	NA	195
Hdlbp	NA	116
Heatr1	NA	2
Hells	NA	52
Hemk1	NA	200
Hgh1	NA	106
Hist1h1a	NA	45
Hist1h1b	NA	45
Hist1h1c	NA	45
Hist1h1e	NA	45
Hivep3	NA	9
Hk2	NA	106
Hmg20b	NA	172
Hmga1	NA	91
Hmgcr	NA	164
Hmgcs1	NA	60
Hook1	NA	152
Hook2	NA	152
Hsd17b12	NA	162
Hsd17b7	NA	61
Hsp90aa1	NA	8
Hsp90ab1	NA	8
Hsp90b1	NA	8
Hspa13	NA	7
Hspa1l	NA	7
Hspa2	NA	7
Hspa5	NA	7
Hspa8	NA	7
Hspa9	NA	7
Hspbp1	NA	3
Hspd1	NA	199
Hspe1	NA	33
Hsph1	NA	7
Hyou1	NA	7
Iars	NA	37
Icam1	NA	145
Id1	NA	147
Id3	NA	147
Ift20	NA	135
Ift27	NA	135
Igtp	NA	184
Iigp1	NA	184
Ikbkap	NA	62
Il12rb1	NA	44
Il2	NA	82
Il2ra	NA	119
Il2rg	NA	118
Imp3	NA	1
Imp4	NA	2
Impad1	NA	185
Impdh2	NA	129
Ing2	NA	96
Ipo4	NA	175
Ipo5	NA	54
Ipo7	NA	1
Irf1	NA	19
Irf4	NA	44
Irf8	NA	19
Isyna1	NA	185
Itga5	NA	111
Itgb1	NA	111
Itpkc	NA	81
Ivns1abp	NA	4
Jade3	NA	96
Jak2	NA	118
Jund	NA	70
Katna1	NA	193
Katnal1	NA	193
Kbtbd8	NA	4
Kcna2	NA	1
Kcna3	NA	1
Kcnn4	NA	145
Kdm2b	NA	15
Kdm4a	NA	197
Kdm4c	NA	197
Kdm5b	NA	107
Kdm5c	NA	107
Kdm5d	NA	107
Kiaa0020	NA	5
Kif20b	NA	58
Klhdc10	NA	22
Klhdc2	NA	22
Klhl11	NA	4
Klhl9	NA	4
Kpna2	NA	56
Krr1	NA	2
Ksr1	NA	207
Kti12	NA	62
Ktn1	NA	126
Lag3	NA	170
Larp1	NA	95
Larp4b	NA	1
Larp7	NA	65
Lars	NA	37
Las1l	NA	5
Lats1	NA	79
Lats2	NA	79
Lcp2	NA	74
Ldlr	NA	12
Lin7a	NA	43
Lman1	NA	171
Lonp2	NA	138
Lrp10	NA	12
Lrpap1	NA	12
Lrrc41	NA	4
LRWD1	NA	67
Lsg1	NA	64
Lsm12	NA	208
Lsm14b	NA	14
Lss	NA	200
Lta	NA	9
Ltv1	NA	31
M6pr	NA	12
Mad2l2	NA	40
Mafg	NA	92
Mafk	NA	92
Mak16	NA	5
Map1lc3b	NA	20
Map2k3	NA	179
Mapkapk5	NA	179
Mapre2	NA	204
Marcks	NA	186
Marcksl1	NA	186
Mat2a	NA	33
Mbd3	NA	196
Mcl1	NA	19
Mcm2	NA	11
Mcm3	NA	11
Mcm5	NA	11
Mcm6	NA	11
Mcm7	NA	11
Mcph1	NA	105
Mdn1	NA	5
Mecp2	NA	196
Med1	NA	103
Med19	NA	103
Med9	NA	103
Metap2	NA	5
Mettl23	NA	30
Mfsd2a	NA	155
Minpp1	NA	131
Mllt1	NA	22
Mllt10	NA	96
Mocs3	NA	20
Mphosph10	NA	2
Mpp6	NA	43
Mpp7	NA	43
Mrpl12	NA	3
Mrpl15	NA	3
Mrpl18	NA	3
Mrpl2	NA	1
Mrpl20	NA	3
Mrpl21	NA	3
Mrpl23	NA	3
Mrpl3	NA	3
Mrpl30	NA	3
Mrpl34	NA	3
Mrpl40	NA	3
Mrpl41	NA	3
Mrpl43	NA	3
Mrpl47	NA	3
Mrpl52	NA	3
Mrpl54	NA	3
Mrpl57	NA	3
Mrps12	NA	3
Mrps18b	NA	3
Mrps24	NA	3
Mrps25	NA	3
Mrps33	NA	3
Mrps36	NA	3
Mrps5	NA	3
Mrps6	NA	3
Mrrf	NA	3
Mrto4	NA	1
Msmo1	NA	61
Mterf3	NA	141
Mtf2	NA	13
Mthfd1	NA	26
Mthfd2	NA	26
Mul1	NA	158
Mybbp1a	NA	10
Myo1c	NA	10
Naa10	NA	32
Naa15	NA	32
Naa16	NA	32
Naa25	NA	32
Naa50	NA	132
Nabp1	NA	18
Naca	NA	157
Nacc1	NA	15
Nadk	NA	203
Nat10	NA	2
Nbr1	NA	20
Ncl	NA	29
Ncln	NA	187
Nemf	NA	87
Nfat5	NA	44
Nfil3	NA	146
Nfkb1	NA	21
Nfkb2	NA	21
Nfkbia	NA	21
Nfkbib	NA	21
Nfx1	NA	54
Ngdn	NA	2
Nifk	NA	128
Nip7	NA	5
Nkrf	NA	15
Nle1	NA	110
Nmd3	NA	5
Nme1	NA	24
Nme2	NA	24
Nmes1	NA	101
Noa1	NA	64
Nob1	NA	31
Noc2l	NA	2
Noc3l	NA	5
Noc4l	NA	2
Nol10	NA	2
Nol11	NA	2
Nol12	NA	2
Nol6	NA	2
Nol9	NA	140
Nolc1	NA	38
Nom1	NA	2
Nomo1	NA	187
Nop14	NA	2
Nop2	NA	104
Notch1	NA	42
Notch2	NA	42
Npm1	NA	39
Nptn	NA	112
Nrp1	NA	35
Nrros	NA	22
Nsa2	NA	5
Nsun2	NA	104
Nsun5	NA	104
Nubp1	NA	73
Nudc	NA	94
Nudcd3	NA	159
Nudt10	NA	52
Nudt4	NA	52
Nudt5	NA	188
Nudt9	NA	188
