probe_id gsym biotype
CUST_17_PI426075208 HOTTIP antisense
CUST_80_PI426075208 HOTTIP antisense
ASHG19A3A034088 HOXA-AS2 antisense
ASHG19A3A034089 HOXA-AS2 antisense
ASHG19A3H0000544 HOXA-AS2 antisense
CUST_44_PI426247286 HOXA-AS2 antisense
ASHG19A3H0000029 HOXA-AS3 antisense
ASHG19A3H0000031 HOXA-AS3 antisense
ASHG19A3H0000548 HOXA-AS3 antisense
CUST_29_PI426075208 HOXA-AS3 antisense
CUST_31_PI426075208 HOXA-AS3 antisense
CUST_48_PI426247286 HOXA-AS3 antisense
ASHG19A3A034091 HOXA11-AS antisense
ASHG19A3A034092 HOXA11-AS antisense
ASHG19A3H0000004 HOXA11-AS antisense
ASHG19A3H0000078 HOXA11-AS antisense
CUST_4_PI426075208 HOXA11-AS antisense
CUST_78_PI426075208 HOXA11-AS antisense
ASHG19A3H0000043 HOXB-AS1 antisense
ASHG19A3H0000087 HOXB-AS1 antisense
ASHG19A3H0000088 HOXB-AS1 antisense
CUST_43_PI426075208 HOXB-AS1 antisense
CUST_87_PI426075208 HOXB-AS1 antisense
CUST_88_PI426075208 HOXB-AS1 antisense
ASHG19A3A000386 HOXB-AS3 antisense
ASHG19A3A007734 HOXB-AS3 antisense
ASHG19A3A007735 HOXB-AS3 antisense
ASHG19A3A007736 HOXB-AS3 antisense
ASHG19A3A007737 HOXB-AS3 antisense
ASHG19A3A055142 HOXB-AS3 antisense
ASHG19A3H0000092 HOXB-AS3 antisense
CUST_92_PI426075208 HOXB-AS3 antisense
ASHG19A3A047644 HOXC-AS3 antisense
ASHG19A3H0000105 HOXC-AS3 antisense
ASHG19A3H0000106 HOXC-AS3 antisense
CUST_105_PI426075208 HOXC-AS3 antisense
CUST_106_PI426075208 HOXC-AS3 antisense
ASHG19A3A014666 HOXD-AS2 antisense
ASHG19A3A014668 HOXD-AS2 antisense
ASHG19A3H0000203 HOXD-AS2 antisense
ASHG19A3H0000204 HOXD-AS2 antisense
CUST_203_PI426075208 HOXD-AS2 antisense
CUST_204_PI426075208 HOXD-AS2 antisense
ASHG19A3A007366 IDI2-AS1 antisense
ASHG19A3A007367 IDI2-AS1 antisense
ASHG19A3A007570 IDI2-AS1 antisense
ASHG19A3A043505 IDI2-AS1 antisense
ASHG19A3A044772 KCNQ1OT1 antisense
ASHG19A3A044773 KCNQ1OT1 antisense
ASHG19A3A044774 KCNQ1OT1 antisense
ASHG19A3A044775 KCNQ1OT1 antisense
ASHG19A3A045990 KCNQ1OT1 antisense
ASHG19A3A045991 KCNQ1OT1 antisense
ASHG19A3A045992 KCNQ1OT1 antisense
ASHG19A3A045993 KCNQ1OT1 antisense
ASHG19A3A045994 KCNQ1OT1 antisense
ASHG19A3A007418 KLF3-AS1 antisense
ASHG19A3A024076 KLF3-AS1 antisense
ASHG19A3A024077 KLF3-AS1 antisense
ASHG19A3A024078 KLF3-AS1 antisense
ASHG19A3A000404 LINC00173 lincRNA
ASHG19A3A007503 LINC00173 lincRNA
ASHG19A3A048051 LINC00173 lincRNA
ASHG19A3A049079 LINC00173 lincRNA
ASHG19A3A049080 LINC00173 lincRNA
ASHG19A3A032108 LINC00271 lincRNA
ASHG19A3A032109 LINC00271 lincRNA
ASHG19A3A032110 LINC00271 lincRNA
ASHG19A3A032111 LINC00271 lincRNA
ASHG19A3A027086 LINC00461 lincRNA
ASHG19A3A027087 LINC00461 lincRNA
ASHG19A3A027088 LINC00461 lincRNA
ASHG19A3A027090 LINC00461 lincRNA
ASHG19A3A027092 LINC00461 lincRNA
CUST_164_PI426073487 LINC00461 lincRNA
CUST_645_PI426073487 LINC00461 lincRNA
ASHG19A3A007210 LINC00470 lincRNA
ASHG19A3A007211 LINC00470 lincRNA
ASHG19A3A007212 LINC00470 lincRNA
ASHG19A3A010110 LINC00470 lincRNA
ASHG19A3A000081 LINC00598 lincRNA
ASHG19A3A007319 LINC00598 lincRNA
ASHG19A3A049471 LINC00598 lincRNA
ASHG19A3A049472 LINC00598 lincRNA
ASHG19A3A049475 LINC00598 lincRNA
ASHG19A3L0003580 LINC00598 lincRNA
ASHG19A3A007321 LINC00623 lincRNA
ASHG19A3A030459 LINC00623 lincRNA
ASHG19A3A030461 LINC00623 lincRNA
ASHG19A3A050967 LINC00623 lincRNA
ASHG19A3A040479 LINC00632 antisense
ASHG19A3A041622 LINC00632 antisense
ASHG19A3A041623 LINC00632 antisense
ASHG19A3A041625 LINC00632 antisense
