,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.AZ.4315.01A.01R.1410.07,0.0830955637397661,-0.183591281419148,0.293835919776439,0.0542837421466857,-0.0816539963457224,0.0576320424462689,0.132951552396157,0.154644269399943,-0.13328981409722,-0.127804205448213,-0.027169425578521,0.0557901823166143,0.13304929257622,0.0808033989957513,-0.0210877297676182,0.295041691839304,0.00342435213371855,0.111090387781371,-0.0581548684728334,-0.0524407670940723,0.00457595399903182,-0.0431857319780801,0.0925591994526707,-0.101506373117034
TCGA.AA.3667.01A.01R.0905.07,0.00771643593996788,-0.206119972379399,0.256824709638682,0.0146271159567487,-0.0181664361727695,0.112997337368439,0.124085419228019,0.0924187775869026,-0.143933030600517,0.0226766254240212,0.198744709760698,0.146659165023487,0.188159775714944,0.153727307840865,-0.0196752542618307,0.192645971598371,0.0233358027964518,0.183851234582402,0.00411555983378776,-0.153756491807042,0.0252135534905145,0.172934407267585,-0.030179528096609,-0.00888373889532638
TCGA.F4.6854.01A.11R.1928.07,0.0969547700591006,-0.203440205336406,0.261914532363414,-0.0168981463013118,-0.105570277268302,0.0664946125138055,0.085412982050096,0.126584154893889,-0.159786010592553,-0.101234317226458,0.0033583870763398,0.137728652105998,0.152902205464252,0.314407106991116,0.00265004296614538,0.280554071921275,0.0600114926160776,0.182198955165266,-0.0321214032481735,-0.0349202923368656,0.0138657854651969,-0.0492919680585153,0.0393061445635067,-0.0829663962920046
TCGA.AA.3815.01A.01R.1022.07,0.254525825800339,-0.147311296078449,0.329707143381945,0.202577917980395,0.0334701978984924,0.0907685856169466,0.124287051282853,0.2032246898747,-0.114291052565912,-0.0416977644752125,0.0434505862764671,0.071477596978042,0.147566108509031,0.105291618385477,0.182722085760232,0.308844117780346,0.037643603016407,0.136094839631912,0.0198014063199487,-0.0510390471460482,0.0525956960234966,0.0508174337939768,0.0638700365668624,0.0263422170722287
TCGA.AA.3509.01A.01R.1410.07,0.0533174901884462,-0.19756691339991,0.269475563662959,-0.0970001259231317,-0.0902506746171174,0.0894590928939263,0.0819387704213681,0.12329851545777,-0.114633454090908,-0.0773422091498097,-0.0207747071316698,0.0778240085871926,0.11802286938232,0.179528775589031,0.00267195128785651,0.314931736210397,0.0598432881315575,0.153845145845504,-0.0480541949143526,-0.0603237587097747,0.00223853276756141,-0.0535109830659884,0.0569973125331205,-0.166937041328698
TCGA.DM.A0XF.01A.11R.A155.07,0.0266710921535944,-0.214153236254471,0.275850664407459,-0.0193172472635694,-0.202522810586396,0.0557255831682842,0.0730928567444665,0.0820420749518307,-0.152707133263079,-0.120216603801668,0.0401112784622164,0.1110145883288,0.139170173089238,-0.0705291618385477,-0.0429519665959481,0.285698795528583,0.0633485607618643,0.111604867732312,-0.0487769614237243,-0.0541092351031819,0.0517538225502525,-0.142091589318508,0.0701719643878539,-0.0138277327153341
TCGA.AA.3710.01A.01R.1022.07,0.280989087327414,-0.185613776789128,0.29907778498252,0.203142653909456,0.0209584905069586,0.0955929659285909,0.153875534094981,0.230595132365812,-0.134972811457931,0.137491226371771,0.198960604199359,0.0556875717456254,0.128606948467775,0.0915411355735805,0.171506583304226,0.3026381906958,0.0309551628130609,0.149949573559327,0.0209045376286753,-0.0303683412459198,0.102749225784024,-0.00665595726899364,0.0700409319124667,0.0127462340672074
TCGA.AA.A00U.01A.01R.A002.07,-0.0537589446233576,-0.213728388106226,0.28238244091175,-0.0239829820159773,-0.114177891260821,0.0237483879698908,0.0919383905362387,0.0711992375067994,-0.18715160453313,-0.119916360733957,0.0792366642707433,0.0228055628794984,0.144763892946529,0.0114329857087679,0.0250139466295077,0.274966517153969,0.0691966872590191,0.148298598688921,-0.0267351609261233,-0.0511526085951961,0.0146917767614488,0.00334301987455148,0.0800652584391044,-0.100424874468907
TCGA.AY.A54L.01A.11R.A28H.07,-0.151644218994281,-0.201750137596097,0.303165298018983,-0.095717171973855,-0.240284791911024,0.0705805183468824,0.00406215218279347,-0.0050483327475808,-0.167827551799218,-0.177100936140759,0.0730515783885784,0.00983266764003704,0.0883379092065465,0.00254924681344148,-0.0640043708121974,0.309113066753552,0.0756002600280136,0.126828297545752,-0.0240739919130336,-0.047342554851494,-0.00817682307889759,-0.0838087148140413,0.0697204738962167,-0.269215913480108
TCGA.AA.3854.01A.01R.0905.07,-0.019432802680893,-0.214341393935697,0.274751302884459,-0.0951205111504889,-0.0926864197708319,0.0833766970112814,0.12675001653762,0.139789852441862,-0.0634598516003469,-0.144361307848419,0.126810937866111,0.0195348411954532,0.135434876948676,-0.0308227114716107,-0.0628071073010077,0.265575086097717,0.0321727773939885,0.134736520833548,-0.00129840105645541,-0.0670133448227013,-0.0338302559157789,0.0281174390711243,0.052741665839379,-0.189107763615295
TCGA.A6.A567.01A.31R.A28H.07,-0.137229710071199,-0.203532548768898,0.284330531684597,-0.124555871865753,-0.142055305021285,0.0697757455481517,0.0481250135032183,0.0934084377622812,-0.125141187302704,-0.112824424043541,0.0354524757048099,-0.0219455844474274,0.161424279935926,0.0580919273850908,-0.0564587537469617,0.305429038655254,0.109073975132246,0.123034016893714,-0.0477588783137983,-0.0599646773417946,-0.0593088442828877,0.0197084213320606,0.0147009860055675,-0.22696021629973
TCGA.AA.3543.01A.01R.0826.07,0.241316381431021,-0.186035609339735,0.298973508996394,0.199338881806916,-0.0545113829374206,0.0813309711394464,0.149540843779207,0.174710654072754,-0.0793352097104323,-0.0338638452049412,0.117754418433081,0.0685703568046182,0.137305297562951,0.011819235225956,0.173813199122484,0.274260177645871,0.0238838685185371,0.150752575939334,0.0117079426889001,-0.0620083753874961,0.0361571064404653,0.0763913621770259,0.0491951515525743,0.10096562379297
TCGA.AZ.5407.01A.01R.1723.07,-0.0841179516930182,-0.139652828335182,0.322482466757644,0.0244522317253082,-0.143941016334149,0.0729069952093686,0.0892857428350501,0.0544988456733078,-0.107305826809787,-0.152518594259011,0.0799299777476261,-0.0113861620649826,0.104016268802481,0.0310544611819235,0.100527254645527,0.286388402127811,0.058076478905144,0.118369947840776,-0.014292350668704,-0.0445941197343951,-0.0438747819154346,0.0442930396859912,0.0989913158922196,-0.11363460795674
TCGA.CM.6171.01A.11R.1653.07,0.0367495824034222,-0.204859057859277,0.27457643977831,-0.0845934849908177,-0.0737779537413319,0.119474794075888,0.086632772308142,0.115112727712517,-0.129219493837796,0.0287564737921282,0.0912721274851651,-0.0132867437005821,0.121490939164866,0.0697566628041715,-0.0315461557160501,0.313015799023097,0.0953253223309984,0.154003500670442,0.0295026874345655,-0.0352734469314074,0.0615946214677634,-0.0186496162228478,0.0658523851504558,-0.0760911548860564
TCGA.CM.6170.01A.11R.1653.07,-0.024145304086276,-0.16946433599145,0.271560275333733,-0.06913843407755,-0.0876744108849294,0.109495527303558,0.0526470830871137,0.14399925095706,-0.10120558033281,-0.0386822272757352,0.0293283188894249,0.0405839542654805,0.167887397939418,0.186172267284666,0.00321184464049122,0.308718014433154,0.10300681350104,0.192261554808054,-0.00291654803577648,-0.0448375407353572,0.00100644553623109,-0.057294191038037,0.0104978436661852,-0.0306682116647354
