SYMBOL,ENTREZID,gene_id,gene_type
A1BG,1,ENSG00000121410,protein_coding
A1CF,29974,ENSG00000148584,protein_coding
A2M,2,ENSG00000175899,protein_coding
A2ML1,144568,ENSG00000166535,protein_coding
A3GALT2,127550,ENSG00000184389,protein_coding
A4GALT,53947,ENSG00000128274,protein_coding
A4GNT,51146,ENSG00000118017,protein_coding
AAAS,8086,ENSG00000094914,protein_coding
AACS,65985,ENSG00000081760,protein_coding
AADAC,13,ENSG00000114771,protein_coding
AADACL2,344752,ENSG00000197953,protein_coding
AADACL3,126767,ENSG00000188984,protein_coding
AADACL4,343066,ENSG00000204518,protein_coding
AADAT,51166,ENSG00000109576,protein_coding
AAGAB,79719,ENSG00000103591,protein_coding
AAK1,22848,ENSG00000115977,protein_coding
AAMDC,28971,ENSG00000087884,protein_coding
AAMP,14,ENSG00000127837,protein_coding
AANAT,15,ENSG00000129673,protein_coding
AAR2,25980,ENSG00000131043,protein_coding
AARD,441376,ENSG00000205002,protein_coding
AARS,16,ENSG00000090861,protein_coding
AARS2,57505,ENSG00000124608,protein_coding
AARSD1,80755,ENSG00000266967,protein_coding
AASDH,132949,ENSG00000157426,protein_coding
AASDHPPT,60496,ENSG00000149313,protein_coding
AASS,10157,ENSG00000008311,protein_coding
AATF,26574,ENSG00000275700,protein_coding
AATK,9625,ENSG00000181409,protein_coding
ABAT,18,ENSG00000183044,protein_coding
ABCA1,19,ENSG00000165029,protein_coding
ABCA10,10349,ENSG00000154263,protein_coding
ABCA12,26154,ENSG00000144452,protein_coding
ABCA13,154664,ENSG00000179869,protein_coding
ABCA2,20,ENSG00000107331,protein_coding
ABCA3,21,ENSG00000167972,protein_coding
ABCA4,24,ENSG00000198691,protein_coding
ABCA5,23461,ENSG00000154265,protein_coding
ABCA6,23460,ENSG00000154262,protein_coding
ABCA7,10347,ENSG00000064687,protein_coding
ABCA8,10351,ENSG00000141338,protein_coding
ABCA9,10350,ENSG00000154258,protein_coding
ABCB1,5243,ENSG00000085563,protein_coding
ABCB10,23456,ENSG00000135776,protein_coding
ABCB11,8647,ENSG00000073734,protein_coding
ABCB4,5244,ENSG00000005471,protein_coding
ABCB5,340273,ENSG00000004846,protein_coding
ABCB6,10058,ENSG00000115657,protein_coding
ABCB7,22,ENSG00000131269,protein_coding
ABCB8,11194,ENSG00000197150,protein_coding
ABCB9,23457,ENSG00000150967,protein_coding
ABCC1,4363,ENSG00000103222,protein_coding
ABCC10,89845,ENSG00000124574,protein_coding
ABCC11,85320,ENSG00000121270,protein_coding
ABCC12,94160,ENSG00000140798,protein_coding
ABCC2,1244,ENSG00000023839,protein_coding
ABCC3,8714,ENSG00000108846,protein_coding
ABCC4,10257,ENSG00000125257,protein_coding
ABCC5,10057,ENSG00000114770,protein_coding
ABCC6,368,ENSG00000091262,protein_coding
ABCC8,6833,ENSG00000006071,protein_coding
ABCC9,10060,ENSG00000069431,protein_coding
ABCD1,215,ENSG00000101986,protein_coding
ABCD2,225,ENSG00000173208,protein_coding
ABCD3,5825,ENSG00000117528,protein_coding
ABCD4,5826,ENSG00000119688,protein_coding
ABCE1,6059,ENSG00000164163,protein_coding
ABCF1,23,ENSG00000204574,protein_coding
ABCF2,10061,ENSG00000033050,protein_coding
ABCF3,55324,ENSG00000161204,protein_coding
ABCG1,9619,ENSG00000160179,protein_coding
ABCG2,9429,ENSG00000118777,protein_coding
ABCG4,64137,ENSG00000172350,protein_coding
ABCG5,64240,ENSG00000138075,protein_coding
ABCG8,64241,ENSG00000143921,protein_coding
ABHD1,84696,ENSG00000143994,protein_coding
ABHD10,55347,ENSG00000144827,protein_coding
ABHD11,83451,ENSG00000106077,protein_coding
ABHD12,26090,ENSG00000100997,protein_coding
ABHD12B,145447,ENSG00000131969,protein_coding
ABHD13,84945,ENSG00000139826,protein_coding
ABHD14A,25864,ENSG00000248487,protein_coding
ABHD14A-ACY1,100526760,ENSG00000114786,protein_coding
ABHD14B,84836,ENSG00000114779,protein_coding
ABHD15,116236,ENSG00000168792,protein_coding
ABHD16A,7920,ENSG00000204427,protein_coding
ABHD16B,140701,ENSG00000183260,protein_coding
ABHD17A,81926,ENSG00000129968,protein_coding
ABHD17B,51104,ENSG00000107362,protein_coding
ABHD17C,58489,ENSG00000136379,protein_coding
ABHD2,11057,ENSG00000140526,protein_coding
ABHD3,171586,ENSG00000158201,protein_coding
ABHD4,63874,ENSG00000100439,protein_coding
ABHD5,51099,ENSG00000011198,protein_coding
ABHD6,57406,ENSG00000163686,protein_coding
ABHD8,79575,ENSG00000127220,protein_coding
ABI1,10006,ENSG00000136754,protein_coding
ABI2,10152,ENSG00000138443,protein_coding
ABI3,51225,ENSG00000108798,protein_coding
ABI3BP,25890,ENSG00000154175,protein_coding
ABL1,25,ENSG00000097007,protein_coding
ABL2,27,ENSG00000143322,protein_coding
ABLIM1,3983,ENSG00000099204,protein_coding
ABLIM2,84448,ENSG00000163995,protein_coding
ABLIM3,22885,ENSG00000173210,protein_coding
ABO,28,ENSG00000175164,protein_coding
ABR,29,ENSG00000159842,protein_coding
ABRA,137735,ENSG00000174429,protein_coding
ABRACL,58527,ENSG00000146386,protein_coding
ABT1,29777,ENSG00000146109,protein_coding
ABTB1,80325,ENSG00000114626,protein_coding
ABTB2,25841,ENSG00000166016,protein_coding
ACAA1,30,ENSG00000060971,protein_coding
ACAA2,10449,ENSG00000167315,protein_coding
ACACA,31,ENSG00000278540,protein_coding
ACACB,32,ENSG00000076555,protein_coding
ACAD10,80724,ENSG00000111271,protein_coding
ACAD11,84129,ENSG00000240303,protein_coding
ACAD8,27034,ENSG00000151498,protein_coding
ACAD9,28976,ENSG00000177646,protein_coding
ACADL,33,ENSG00000115361,protein_coding
ACADM,34,ENSG00000117054,protein_coding
ACADS,35,ENSG00000122971,protein_coding
ACADSB,36,ENSG00000196177,protein_coding
ACADVL,37,ENSG00000072778,protein_coding
ACAN,176,ENSG00000157766,protein_coding
ACAP1,9744,ENSG00000072818,protein_coding
ACAP2,23527,ENSG00000114331,protein_coding
ACAP3,116983,ENSG00000131584,protein_coding
ACAT1,38,ENSG00000075239,protein_coding
ACAT2,39,ENSG00000120437,protein_coding
ACBD3,64746,ENSG00000182827,protein_coding
ACBD4,79777,ENSG00000181513,protein_coding
ACBD5,91452,ENSG00000107897,protein_coding
ACBD7,414149,ENSG00000176244,protein_coding
ACCS,84680,ENSG00000110455,protein_coding
ACCSL,390110,ENSG00000205126,protein_coding
ACD,65057,ENSG00000102977,protein_coding
ACE,1636,ENSG00000159640,protein_coding
ACE2,59272,ENSG00000130234,protein_coding
ACER1,125981,ENSG00000167769,protein_coding
ACER2,340485,ENSG00000177076,protein_coding
ACER3,55331,ENSG00000078124,protein_coding
ACHE,43,ENSG00000087085,protein_coding
ACIN1,22985,ENSG00000100813,protein_coding
ACKR1,2532,ENSG00000213088,protein_coding
ACKR2,1238,ENSG00000144648,protein_coding
ACKR3,57007,ENSG00000144476,protein_coding
ACKR4,51554,ENSG00000129048,protein_coding
ACLY,47,ENSG00000131473,protein_coding
ACMSD,130013,ENSG00000153086,protein_coding
ACO1,48,ENSG00000122729,protein_coding
ACO2,50,ENSG00000100412,protein_coding
ACOT1,641371,ENSG00000184227,protein_coding
ACOT11,26027,ENSG00000162390,protein_coding
ACOT12,134526,ENSG00000172497,protein_coding
ACOT13,55856,ENSG00000112304,protein_coding
ACOT2,10965,ENSG00000119673,protein_coding
ACOT4,122970,ENSG00000177465,protein_coding
ACOT6,641372,ENSG00000205669,protein_coding
ACOT7,11332,ENSG00000097021,protein_coding
ACOT8,10005,ENSG00000101473,protein_coding
ACOT9,23597,ENSG00000123130,protein_coding
ACOX1,51,ENSG00000161533,protein_coding
ACOX2,8309,ENSG00000168306,protein_coding
ACOX3,8310,ENSG00000087008,protein_coding
ACOXL,55289,ENSG00000153093,protein_coding
ACP1,52,ENSG00000143727,protein_coding
ACP2,53,ENSG00000134575,protein_coding
ACP5,54,ENSG00000102575,protein_coding
ACP6,51205,ENSG00000162836,protein_coding
ACPP,55,ENSG00000014257,protein_coding
ACR,49,ENSG00000100312,protein_coding
ACRBP,84519,ENSG00000111644,protein_coding
ACRV1,56,ENSG00000134940,protein_coding
ACSBG1,23205,ENSG00000103740,protein_coding
ACSBG2,81616,ENSG00000130377,protein_coding
ACSF2,80221,ENSG00000167107,protein_coding
ACSF3,197322,ENSG00000176715,protein_coding
ACSL1,2180,ENSG00000151726,protein_coding
ACSL3,2181,ENSG00000123983,protein_coding
ACSL4,2182,ENSG00000068366,protein_coding
ACSL5,51703,ENSG00000197142,protein_coding
ACSL6,23305,ENSG00000164398,protein_coding
ACSM1,116285,ENSG00000166743,protein_coding
ACSM2A,123876,ENSG00000183747,protein_coding
ACSM2B,348158,ENSG00000066813,protein_coding
ACSM3,6296,ENSG00000005187,protein_coding
ACSM4,341392,ENSG00000215009,protein_coding
ACSM5,54988,ENSG00000183549,protein_coding
ACSM6,142827,ENSG00000173124,protein_coding
ACSS1,84532,ENSG00000154930,protein_coding
ACSS2,55902,ENSG00000131069,protein_coding
ACSS3,79611,ENSG00000111058,protein_coding
ACTA1,58,ENSG00000143632,protein_coding
ACTA2,59,ENSG00000107796,protein_coding
ACTB,60,ENSG00000075624,protein_coding
ACTBL2,345651,ENSG00000169067,protein_coding
ACTC1,70,ENSG00000159251,protein_coding
ACTG1,71,ENSG00000184009,protein_coding
ACTG2,72,ENSG00000163017,protein_coding
ACTL10,170487,ENSG00000182584,protein_coding
ACTL6A,86,ENSG00000136518,protein_coding
ACTL6B,51412,ENSG00000077080,protein_coding
ACTL7A,10881,ENSG00000187003,protein_coding
ACTL7B,10880,ENSG00000148156,protein_coding
ACTL8,81569,ENSG00000117148,protein_coding
ACTL9,284382,ENSG00000181786,protein_coding
ACTN1,87,ENSG00000072110,protein_coding
ACTN2,88,ENSG00000077522,protein_coding
ACTN3,89,ENSG00000248746,protein_coding
