SYMBOL,ENTREZID,gene_id,gene_type
ACTN4,81,ENSG00000130402,protein_coding
ACTR10,55860,ENSG00000131966,protein_coding
ACTR1A,10121,ENSG00000138107,protein_coding
ACTR1B,10120,ENSG00000115073,protein_coding
ACTR2,10097,ENSG00000138071,protein_coding
ACTR3,10096,ENSG00000115091,protein_coding
ACTR3B,57180,ENSG00000133627,protein_coding
ACTR3C,653857,ENSG00000106526,protein_coding
ACTR5,79913,ENSG00000101442,protein_coding
ACTR6,64431,ENSG00000075089,protein_coding
ACTR8,93973,ENSG00000113812,protein_coding
ACTRT1,139741,ENSG00000123165,protein_coding
ACTRT2,140625,ENSG00000169717,protein_coding
ACTRT3,84517,ENSG00000184378,protein_coding
ACVR1,90,ENSG00000115170,protein_coding
ACVR1B,91,ENSG00000135503,protein_coding
ACVR1C,130399,ENSG00000123612,protein_coding
ACVR2A,92,ENSG00000121989,protein_coding
ACVR2B,93,ENSG00000114739,protein_coding
ACVRL1,94,ENSG00000139567,protein_coding
ACY1,95,ENSG00000243989,protein_coding
ACY3,91703,ENSG00000132744,protein_coding
ACYP1,97,ENSG00000119640,protein_coding
ACYP2,98,ENSG00000170634,protein_coding
ADA,100,ENSG00000196839,protein_coding
ADAD1,132612,ENSG00000164113,protein_coding
ADAD2,161931,ENSG00000140955,protein_coding
ADAL,161823,ENSG00000168803,protein_coding
ADAM10,102,ENSG00000137845,protein_coding
ADAM11,4185,ENSG00000073670,protein_coding
ADAM12,8038,ENSG00000148848,protein_coding
ADAM15,8751,ENSG00000143537,protein_coding
ADAM17,6868,ENSG00000151694,protein_coding
ADAM18,8749,ENSG00000168619,protein_coding
ADAM19,8728,ENSG00000135074,protein_coding
ADAM2,2515,ENSG00000104755,protein_coding
ADAM20,8748,ENSG00000134007,protein_coding
ADAM21,8747,ENSG00000139985,protein_coding
ADAM22,53616,ENSG00000008277,protein_coding
ADAM23,8745,ENSG00000114948,protein_coding
ADAM28,10863,ENSG00000042980,protein_coding
ADAM29,11086,ENSG00000168594,protein_coding
ADAM30,11085,ENSG00000134249,protein_coding
ADAM32,203102,ENSG00000197140,protein_coding
ADAM33,80332,ENSG00000149451,protein_coding
ADAM7,8756,ENSG00000069206,protein_coding
ADAM8,101,ENSG00000151651,protein_coding
ADAM9,8754,ENSG00000168615,protein_coding
ADAMDEC1,27299,ENSG00000134028,protein_coding
ADAMTS1,9510,ENSG00000154734,protein_coding
ADAMTS10,81794,ENSG00000142303,protein_coding
ADAMTS12,81792,ENSG00000151388,protein_coding
ADAMTS13,11093,ENSG00000160323,protein_coding
ADAMTS14,140766,ENSG00000138316,protein_coding
ADAMTS15,170689,ENSG00000166106,protein_coding
ADAMTS16,170690,ENSG00000145536,protein_coding
ADAMTS17,170691,ENSG00000140470,protein_coding
ADAMTS18,170692,ENSG00000140873,protein_coding
ADAMTS19,171019,ENSG00000145808,protein_coding
ADAMTS2,9509,ENSG00000087116,protein_coding
ADAMTS20,80070,ENSG00000173157,protein_coding
ADAMTS3,9508,ENSG00000156140,protein_coding
ADAMTS4,9507,ENSG00000158859,protein_coding
ADAMTS5,11096,ENSG00000154736,protein_coding
ADAMTS6,11174,ENSG00000049192,protein_coding
ADAMTS7,11173,ENSG00000136378,protein_coding
ADAMTS8,11095,ENSG00000134917,protein_coding
ADAMTS9,56999,ENSG00000163638,protein_coding
ADAMTSL1,92949,ENSG00000178031,protein_coding
ADAMTSL2,9719,ENSG00000197859,protein_coding
ADAMTSL3,57188,ENSG00000156218,protein_coding
ADAMTSL4,54507,ENSG00000143382,protein_coding
ADAMTSL5,339366,ENSG00000185761,protein_coding
ADAP1,11033,ENSG00000105963,protein_coding
ADAP2,55803,ENSG00000184060,protein_coding
ADAR,103,ENSG00000160710,protein_coding
ADARB1,104,ENSG00000197381,protein_coding
ADARB2,105,ENSG00000185736,protein_coding
ADAT1,23536,ENSG00000065457,protein_coding
ADAT2,134637,ENSG00000189007,protein_coding
ADAT3,113179,ENSG00000213638,protein_coding
ADCK1,57143,ENSG00000063761,protein_coding
ADCK2,90956,ENSG00000133597,protein_coding
ADCK5,203054,ENSG00000173137,protein_coding
ADCY1,107,ENSG00000164742,protein_coding
ADCY10,55811,ENSG00000143199,protein_coding
ADCY2,108,ENSG00000078295,protein_coding
ADCY3,109,ENSG00000138031,protein_coding
ADCY4,196883,ENSG00000129467,protein_coding
ADCY5,111,ENSG00000173175,protein_coding
ADCY6,112,ENSG00000174233,protein_coding
ADCY7,113,ENSG00000121281,protein_coding
ADCY8,114,ENSG00000155897,protein_coding
ADCY9,115,ENSG00000162104,protein_coding
ADCYAP1,116,ENSG00000141433,protein_coding
ADCYAP1R1,117,ENSG00000078549,protein_coding
ADD1,118,ENSG00000087274,protein_coding
ADD2,119,ENSG00000075340,protein_coding
ADD3,120,ENSG00000148700,protein_coding
ADGB,79747,ENSG00000118492,protein_coding
ADH1A,124,ENSG00000187758,protein_coding
ADH1B,125,ENSG00000196616,protein_coding
ADH1C,126,ENSG00000248144,protein_coding
ADH4,127,ENSG00000198099,protein_coding
ADH5,128,ENSG00000197894,protein_coding
ADH6,130,ENSG00000172955,protein_coding
ADH7,131,ENSG00000196344,protein_coding
ADHFE1,137872,ENSG00000147576,protein_coding
ADI1,55256,ENSG00000182551,protein_coding
ADIG,149685,ENSG00000182035,protein_coding
ADIPOQ,9370,ENSG00000181092,protein_coding
ADIPOR1,51094,ENSG00000159346,protein_coding
ADIPOR2,79602,ENSG00000006831,protein_coding
ADIRF,10974,ENSG00000148671,protein_coding
ADK,132,ENSG00000156110,protein_coding
ADM,133,ENSG00000148926,protein_coding
ADM2,79924,ENSG00000128165,protein_coding
ADM5,199800,ENSG00000224420,protein_coding
ADNP,23394,ENSG00000101126,protein_coding
ADNP2,22850,ENSG00000101544,protein_coding
ADO,84890,ENSG00000181915,protein_coding
ADORA1,134,ENSG00000163485,protein_coding
ADORA2A,135,ENSG00000128271,protein_coding
ADORA2B,136,ENSG00000170425,protein_coding
ADORA3,140,ENSG00000121933,protein_coding
ADPGK,83440,ENSG00000159322,protein_coding
ADPRH,141,ENSG00000144843,protein_coding
ADPRHL1,113622,ENSG00000153531,protein_coding
ADPRHL2,54936,ENSG00000116863,protein_coding
ADPRM,56985,ENSG00000170222,protein_coding
ADRA1A,148,ENSG00000120907,protein_coding
ADRA1B,147,ENSG00000170214,protein_coding
ADRA1D,146,ENSG00000171873,protein_coding
ADRA2A,150,ENSG00000150594,protein_coding
ADRA2B,151,ENSG00000274286,protein_coding
ADRA2C,152,ENSG00000184160,protein_coding
ADRB1,153,ENSG00000043591,protein_coding
ADRB2,154,ENSG00000169252,protein_coding
ADRB3,155,ENSG00000188778,protein_coding
ADRM1,11047,ENSG00000130706,protein_coding
ADSL,158,ENSG00000239900,protein_coding
ADSS,159,ENSG00000035687,protein_coding
ADSSL1,122622,ENSG00000185100,protein_coding
ADTRP,84830,ENSG00000111863,protein_coding
AEBP1,165,ENSG00000106624,protein_coding
AEBP2,121536,ENSG00000139154,protein_coding
AEN,64782,ENSG00000181026,protein_coding
AES,166,ENSG00000104964,protein_coding
AFAP1,60312,ENSG00000196526,protein_coding
AFAP1L1,134265,ENSG00000157510,protein_coding
AFAP1L2,84632,ENSG00000169129,protein_coding
AFF1,4299,ENSG00000172493,protein_coding
AFF2,2334,ENSG00000155966,protein_coding
AFF2,2334,ENSG00000281817,protein_coding
AFF3,3899,ENSG00000144218,protein_coding
AFF4,27125,ENSG00000072364,protein_coding
AFG3L2,10939,ENSG00000141385,protein_coding
AFM,173,ENSG00000079557,protein_coding
AFMID,125061,ENSG00000183077,protein_coding
AFP,174,ENSG00000081051,protein_coding
AFTPH,54812,ENSG00000119844,protein_coding
AGA,175,ENSG00000038002,protein_coding
AGAP1,116987,ENSG00000157985,protein_coding
AGAP2,116986,ENSG00000135439,protein_coding
AGAP3,116988,ENSG00000133612,protein_coding
AGAP4,119016,ENSG00000188234,protein_coding
AGAP5,729092,ENSG00000172650,protein_coding
AGAP6,414189,ENSG00000204149,protein_coding
AGBL1,123624,ENSG00000166748,protein_coding
AGBL2,79841,ENSG00000165923,protein_coding
AGBL3,340351,ENSG00000146856,protein_coding
AGBL4,84871,ENSG00000186094,protein_coding
AGBL5,60509,ENSG00000084693,protein_coding
AGER,177,ENSG00000204305,protein_coding
AGFG1,3267,ENSG00000173744,protein_coding
AGFG2,3268,ENSG00000106351,protein_coding
AGGF1,55109,ENSG00000164252,protein_coding
AGK,55750,ENSG00000006530,protein_coding
AGL,178,ENSG00000162688,protein_coding
AGMAT,79814,ENSG00000116771,protein_coding
AGMO,392636,ENSG00000187546,protein_coding
AGO1,26523,ENSG00000092847,protein_coding
AGO2,27161,ENSG00000123908,protein_coding
AGO3,192669,ENSG00000126070,protein_coding
AGO4,192670,ENSG00000134698,protein_coding
AGPAT1,10554,ENSG00000204310,protein_coding
AGPAT2,10555,ENSG00000169692,protein_coding
AGPAT3,56894,ENSG00000160216,protein_coding
AGPAT4,56895,ENSG00000026652,protein_coding
AGPAT5,55326,ENSG00000155189,protein_coding
AGPS,8540,ENSG00000018510,protein_coding
AGR2,10551,ENSG00000106541,protein_coding
AGR3,155465,ENSG00000173467,protein_coding
AGRN,375790,ENSG00000188157,protein_coding
AGRP,181,ENSG00000159723,protein_coding
AGT,183,ENSG00000135744,protein_coding
AGTPBP1,23287,ENSG00000135049,protein_coding
AGTR1,185,ENSG00000144891,protein_coding
AGTR2,186,ENSG00000180772,protein_coding
AGTRAP,57085,ENSG00000177674,protein_coding
AGXT,189,ENSG00000172482,protein_coding
AGXT2,64902,ENSG00000113492,protein_coding
AHCTF1,25909,ENSG00000153207,protein_coding
AHCY,191,ENSG00000101444,protein_coding
AHCYL1,10768,ENSG00000168710,protein_coding
AHCYL2,23382,ENSG00000158467,protein_coding
AHDC1,27245,ENSG00000126705,protein_coding
AHI1,54806,ENSG00000135541,protein_coding
AHNAK,79026,ENSG00000124942,protein_coding
AHNAK2,113146,ENSG00000185567,protein_coding
AHR,196,ENSG00000106546,protein_coding
AHRR,57491,ENSG00000063438,protein_coding
AHSA1,10598,ENSG00000100591,protein_coding
AHSG,197,ENSG00000145192,protein_coding
AHSP,51327,ENSG00000169877,protein_coding
AICDA,57379,ENSG00000111732,protein_coding
AIDA,64853,ENSG00000186063,protein_coding
AIF1,199,ENSG00000204472,protein_coding
AIF1L,83543,ENSG00000126878,protein_coding
AIFM1,9131,ENSG00000156709,protein_coding
AIFM2,84883,ENSG00000042286,protein_coding
AIFM3,150209,ENSG00000183773,protein_coding
AIG1,51390,ENSG00000146416,protein_coding
AIM2,9447,ENSG00000163568,protein_coding
AIMP1,9255,ENSG00000164022,protein_coding
AIMP2,7965,ENSG00000106305,protein_coding
AIP,9049,ENSG00000110711,protein_coding
AIPL1,23746,ENSG00000129221,protein_coding
AIRE,326,ENSG00000160224,protein_coding
AJAP1,55966,ENSG00000196581,protein_coding
AJUBA,84962,ENSG00000129474,protein_coding
AK1,203,ENSG00000106992,protein_coding
AK2,204,ENSG00000004455,protein_coding
AK3,50808,ENSG00000147853,protein_coding
AK4,205,ENSG00000162433,protein_coding
AK5,26289,ENSG00000154027,protein_coding
AK7,122481,ENSG00000140057,protein_coding
AK8,158067,ENSG00000165695,protein_coding
AK9,221264,ENSG00000155085,protein_coding
AKAP1,8165,ENSG00000121057,protein_coding
AKAP10,11216,ENSG00000108599,protein_coding
AKAP11,11215,ENSG00000023516,protein_coding
AKAP12,9590,ENSG00000131016,protein_coding
AKAP13,11214,ENSG00000170776,protein_coding
AKAP14,158798,ENSG00000186471,protein_coding
AKAP17A,8227,ENSGR0000197976,protein_coding
AKAP17A,8227,ENSG00000197976,protein_coding
AKAP2,11217,ENSG00000241978,protein_coding
AKAP3,10566,ENSG00000111254,protein_coding
AKAP4,8852,ENSG00000147081,protein_coding
AKAP5,9495,ENSG00000179841,protein_coding
AKAP6,9472,ENSG00000151320,protein_coding
AKAP7,9465,ENSG00000118507,protein_coding
AKAP8,10270,ENSG00000105127,protein_coding
AKAP8L,26993,ENSG00000011243,protein_coding
AKAP9,10142,ENSG00000127914,protein_coding
AKIP1,56672,ENSG00000166452,protein_coding
AKIRIN1,79647,ENSG00000174574,protein_coding
AKIRIN2,55122,ENSG00000135334,protein_coding
AKNA,80709,ENSG00000106948,protein_coding
AKNAD1,254268,ENSG00000162641,protein_coding
AKR1A1,10327,ENSG00000117448,protein_coding
AKR1B1,231,ENSG00000085662,protein_coding
AKR1B10,57016,ENSG00000198074,protein_coding
AKR1B15,441282,ENSG00000227471,protein_coding
AKR1C1,1645,ENSG00000187134,protein_coding
AKR1C2,1646,ENSG00000151632,protein_coding
AKR1C3,8644,ENSG00000196139,protein_coding
AKR1C4,1109,ENSG00000198610,protein_coding
AKR1D1,6718,ENSG00000122787,protein_coding
AKR1E2,83592,ENSG00000165568,protein_coding
AKR7A2,8574,ENSG00000053371,protein_coding
AKR7A3,22977,ENSG00000162482,protein_coding
AKT1,207,ENSG00000142208,protein_coding
AKT1S1,84335,ENSG00000204673,protein_coding
AKT2,208,ENSG00000105221,protein_coding
AKT3,10000,ENSG00000117020,protein_coding
AKTIP,64400,ENSG00000166971,protein_coding
ALAD,210,ENSG00000148218,protein_coding
ALAS1,211,ENSG00000023330,protein_coding
ALAS2,212,ENSG00000158578,protein_coding
ALB,213,ENSG00000163631,protein_coding
ALCAM,214,ENSG00000170017,protein_coding
ALDH16A1,126133,ENSG00000161618,protein_coding
ALDH18A1,5832,ENSG00000059573,protein_coding
ALDH1A1,216,ENSG00000165092,protein_coding
ALDH1A2,8854,ENSG00000128918,protein_coding
ALDH1A3,220,ENSG00000184254,protein_coding
ALDH1B1,219,ENSG00000137124,protein_coding
ALDH1L1,10840,ENSG00000144908,protein_coding
ALDH1L2,160428,ENSG00000136010,protein_coding
ALDH2,217,ENSG00000111275,protein_coding
ALDH3A1,218,ENSG00000108602,protein_coding
ALDH3A2,224,ENSG00000072210,protein_coding
ALDH3B1,221,ENSG00000006534,protein_coding
ALDH3B2,222,ENSG00000132746,protein_coding
ALDH4A1,8659,ENSG00000159423,protein_coding
ALDH5A1,7915,ENSG00000112294,protein_coding
ALDH6A1,4329,ENSG00000119711,protein_coding
ALDH7A1,501,ENSG00000164904,protein_coding
ALDH8A1,64577,ENSG00000118514,protein_coding
ALDH9A1,223,ENSG00000143149,protein_coding
ALDOA,226,ENSG00000149925,protein_coding
ALDOB,229,ENSG00000136872,protein_coding
ALDOC,230,ENSG00000109107,protein_coding
ALG1,56052,ENSG00000033011,protein_coding
ALG10,84920,ENSG00000139133,protein_coding
ALG10B,144245,ENSG00000175548,protein_coding
ALG11,440138,ENSG00000253710,protein_coding
ALG12,79087,ENSG00000182858,protein_coding
ALG13,79868,ENSG00000101901,protein_coding
ALG14,199857,ENSG00000172339,protein_coding
ALG1L,200810,ENSG00000189366,protein_coding
ALG1L2,644974,ENSG00000251287,protein_coding
ALG2,85365,ENSG00000119523,protein_coding
ALG3,10195,ENSG00000214160,protein_coding
ALG5,29880,ENSG00000120697,protein_coding
ALG6,29929,ENSG00000088035,protein_coding
ALG8,79053,ENSG00000159063,protein_coding
ALG9,79796,ENSG00000086848,protein_coding
ALK,238,ENSG00000171094,protein_coding
ALKBH1,8846,ENSG00000100601,protein_coding
ALKBH2,121642,ENSG00000189046,protein_coding
ALKBH3,221120,ENSG00000166199,protein_coding
ALKBH4,54784,ENSG00000160993,protein_coding
ALKBH5,54890,ENSG00000091542,protein_coding
ALKBH6,84964,ENSG00000239382,protein_coding
ALKBH7,84266,ENSG00000125652,protein_coding
ALKBH8,91801,ENSG00000137760,protein_coding
ALLC,55821,ENSG00000151360,protein_coding
ALMS1,7840,ENSG00000116127,protein_coding
ALOX12,239,ENSG00000108839,protein_coding
ALOX12B,242,ENSG00000179477,protein_coding
ALOX15,246,ENSG00000161905,protein_coding
ALOX15B,247,ENSG00000179593,protein_coding
ALOX5,240,ENSG00000012779,protein_coding
ALOX5AP,241,ENSG00000132965,protein_coding
ALOXE3,59344,ENSG00000179148,protein_coding
ALPI,248,ENSG00000163295,protein_coding
ALPK1,80216,ENSG00000073331,protein_coding
ALPK2,115701,ENSG00000198796,protein_coding
ALPK3,57538,ENSG00000136383,protein_coding
ALPL,249,ENSG00000162551,protein_coding
ALPP,250,ENSG00000163283,protein_coding
ALS2,57679,ENSG00000003393,protein_coding
ALS2CL,259173,ENSG00000178038,protein_coding
ALS2CR12,130540,ENSG00000155749,protein_coding
ALX1,8092,ENSG00000180318,protein_coding
ALX3,257,ENSG00000156150,protein_coding
ALX4,60529,ENSG00000052850,protein_coding
ALYREF,10189,ENSG00000183684,protein_coding
AMACR,23600,ENSG00000242110,protein_coding
AMBN,258,ENSG00000178522,protein_coding
AMBP,259,ENSG00000106927,protein_coding
AMBRA1,55626,ENSG00000110497,protein_coding
AMD1,262,ENSG00000123505,protein_coding
AMDHD1,144193,ENSG00000139344,protein_coding
AMDHD2,51005,ENSG00000162066,protein_coding
AMELX,265,ENSG00000125363,protein_coding
AMELY,266,ENSG00000099721,protein_coding
AMER1,139285,ENSG00000184675,protein_coding
AMER2,219287,ENSG00000165566,protein_coding
AMER3,205147,ENSG00000178171,protein_coding
AMFR,267,ENSG00000159461,protein_coding
AMH,268,ENSG00000104899,protein_coding
AMHR2,269,ENSG00000135409,protein_coding
AMIGO1,57463,ENSG00000181754,protein_coding
AMIGO2,347902,ENSG00000139211,protein_coding
AMIGO3,386724,ENSG00000176020,protein_coding
AMMECR1,9949,ENSG00000101935,protein_coding
AMMECR1L,83607,ENSG00000144233,protein_coding
AMN,81693,ENSG00000166126,protein_coding
AMN1,196394,ENSG00000151743,protein_coding
AMOT,154796,ENSG00000126016,protein_coding
AMOTL1,154810,ENSG00000166025,protein_coding
AMOTL2,51421,ENSG00000114019,protein_coding
