"","type","gene","immune_cells","cor","p.value","pvalue"
"cor415","BRCA","CD96","T.cells.CD4.naive",-0.0212028395124014,0.495007005596294,"p≥0.05"
"cor514","BRCA","CD96","T.cells.CD4.memory.resting",-0.000412858806361966,0.989400047138425,"p≥0.05"
"cor614","BRCA","CD96","T.cells.CD4.memory.activated",-0.0202868910060173,0.513831798537665,"p≥0.05"
"cor714","BRCA","CD96","T.cells.follicular.helper",-0.0550293433339725,0.0763709095749226,"p≥0.05"
"cor814","BRCA","CD96","T.cells.regulatory..Tregs.",-0.00917631363733081,0.767770418010702,"p≥0.05"
"cor914","BRCA","CD96","T.cells.gamma.delta",0.00153505921706626,0.960602928643741,"p≥0.05"
"cor1014","BRCA","CD96","NK.cells.resting",0.0403304201708719,0.194174511208386,"p≥0.05"
"cor1118","BRCA","CD96","NK.cells.activated",-0.0375381977926203,0.226903202660829,"p≥0.05"
"cor1216","BRCA","CD96","Monocytes",0.0433082520123362,0.163233502752557,"p≥0.05"
"cor1314","BRCA","CD96","Macrophages.M0",0.00732141107696729,0.813742903687014,"p≥0.05"
"cor1414","BRCA","CD96","Macrophages.M1",-0.0375733130406153,0.226468590293588,"p≥0.05"
"cor1514","BRCA","CD96","Macrophages.M2",0.0489154362180443,0.115256012445239,"p≥0.05"
"cor1614","BRCA","CD96","Dendritic.cells.resting",0.00161821242905383,0.958470689532412,"p≥0.05"
"cor1714","BRCA","CD96","Dendritic.cells.activated",0.0341749447003016,0.271313261642066,"p≥0.05"
"cor1814","BRCA","CD96","Mast.cells.resting",-0.0260769108540014,0.40131415224285,"p≥0.05"
"cor1914","BRCA","CD96","Mast.cells.activated",-0.00525364804612175,0.865750003295463,"p≥0.05"
"cor2014","BRCA","CD96","Eosinophils",0.0162825251340068,0.600283291555401,"p≥0.05"
"cor2116","BRCA","CD96","Neutrophils",0.0600198228493408,0.0532199282720537,"p≥0.05"
"cor100","THYM","CD96","B.cells.naive",0.170555291843218,0.0671782744341629,"p≥0.05"
"cor190","THYM","CD96","B.cells.memory",-0.130403544457234,0.162942119906875,"p≥0.05"
"cor227","THYM","CD96","Plasma.cells",0.177768659220227,0.0562456312518651,"p≥0.05"
"cor317","THYM","CD96","T.cells.CD8",0.00539987099214814,0.954123830469671,"p≥0.05"
"cor416","THYM","CD96","T.cells.CD4.naive",-0.155511626929201,0.0955282711984499,"p≥0.05"
"cor515","THYM","CD96","T.cells.CD4.memory.resting",-0.0503324595449519,0.591566931483673,"p≥0.05"
"cor615","THYM","CD96","T.cells.CD4.memory.activated",0.0989284893704042,0.290718013337832,"p≥0.05"
"cor715","THYM","CD96","T.cells.follicular.helper",0.112954161159629,0.227337212515346,"p≥0.05"
"cor815","THYM","CD96","T.cells.regulatory..Tregs.",-0.17193886361188,0.0649571530622324,"p≥0.05"
"cor915","THYM","CD96","T.cells.gamma.delta",-0.111422197495843,0.233744077785552,"p≥0.05"
"cor1015","THYM","CD96","NK.cells.resting",-0.0235672545387372,0.801726657993401,"p≥0.05"
"cor1119","THYM","CD96","NK.cells.activated",-0.111016146873882,0.235463200998333,"p≥0.05"
"cor1217","THYM","CD96","Monocytes",-0.0394163412934942,0.674417642741887,"p≥0.05"
"cor1315","THYM","CD96","Macrophages.M0",0.047373785214356,0.613566331167694,"p≥0.05"
"cor1415","THYM","CD96","Macrophages.M1",0.0769806660654174,0.411448099669094,"p≥0.05"
"cor1515","THYM","CD96","Macrophages.M2",0.103337270718325,0.269644510922277,"p≥0.05"
"cor1615","THYM","CD96","Dendritic.cells.resting",-0.0510069547003939,0.586602184944066,"p≥0.05"
"cor1715","THYM","CD96","Dendritic.cells.activated",0.0227294048803005,0.808638110788974,"p≥0.05"
"cor1815","THYM","CD96","Mast.cells.resting",0.0290409829126677,0.756972450323127,"p≥0.05"
"cor1915","THYM","CD96","Mast.cells.activated",0.054240607994458,0.563069279706173,"p≥0.05"
"cor2015","THYM","CD96","Eosinophils",0.188468741563013,0.0427563133491536,"p<0.05"
"cor2117","THYM","CD96","Neutrophils",0.00539056177910067,0.954202833750808,"p≥0.05"
"cor200","MESO","CD96","B.cells.naive",-0.0198250043986494,0.857082766315928,"p≥0.05"
"cor1100","MESO","CD96","B.cells.memory",0.00280102422080758,0.979702530844096,"p≥0.05"
"cor228","MESO","CD96","Plasma.cells",-0.123709331602845,0.25932176377797,"p≥0.05"
"cor318","MESO","CD96","T.cells.CD8",-0.00490033110328435,0.964497766437887,"p≥0.05"
"cor417","MESO","CD96","T.cells.CD4.naive",-0.0512198842410414,0.641546339555238,"p≥0.05"
"cor516","MESO","CD96","T.cells.CD4.memory.resting",0.0956815422952343,0.383710588948168,"p≥0.05"
"cor616","MESO","CD96","T.cells.CD4.memory.activated",0.0318948243930218,0.7719879301519,"p≥0.05"
"cor716","MESO","CD96","T.cells.follicular.helper",-0.150404977012116,0.16945294726856,"p≥0.05"
"cor816","MESO","CD96","T.cells.regulatory..Tregs.",0.0190043745824292,0.862939915837085,"p≥0.05"
"cor916","MESO","CD96","T.cells.gamma.delta",0.173224057528276,0.112872944477577,"p≥0.05"
"cor1016","MESO","CD96","NK.cells.resting",-0.0279034061003754,0.79988417646334,"p≥0.05"
"cor1120","MESO","CD96","NK.cells.activated",-0.181754192680084,0.0959571997770823,"p≥0.05"
"cor1218","MESO","CD96","Monocytes",0.175294921891964,0.108568244724982,"p≥0.05"
"cor1316","MESO","CD96","Macrophages.M0",-0.0844995278496059,0.44195927883557,"p≥0.05"
"cor1416","MESO","CD96","Macrophages.M1",-0.154393908817987,0.158291598741,"p≥0.05"
"cor1516","MESO","CD96","Macrophages.M2",0.0861348553984817,0.43314319583878,"p≥0.05"
"cor1616","MESO","CD96","Dendritic.cells.resting",0.125508231494365,0.252404612502851,"p≥0.05"
"cor1716","MESO","CD96","Dendritic.cells.activated",0.0773927183479438,0.481421661289881,"p≥0.05"
"cor1816","MESO","CD96","Mast.cells.resting",0.0482157144476707,0.661241233808654,"p≥0.05"
"cor1916","MESO","CD96","Mast.cells.activated",0.054908706332609,0.617698661938106,"p≥0.05"
"cor2016","MESO","CD96","Eosinophils",0.0333647510895437,0.761784954801611,"p≥0.05"
"cor2118","MESO","CD96","Neutrophils",0.0600531042587126,0.585095039057165,"p≥0.05"
"cor229","COAD","CD96","B.cells.naive",-0.10974671475075,0.205114050472152,"p≥0.05"
"cor1101","COAD","CD96","B.cells.memory",0.186271976093237,0.0305313243994439,"p<0.05"
"cor230","COAD","CD96","Plasma.cells",-0.0199674849096071,0.818195307061359,"p≥0.05"
"cor319","COAD","CD96","T.cells.CD8",-0.12855168310115,0.137300574654358,"p≥0.05"
"cor418","COAD","CD96","T.cells.CD4.naive",0.0302347387605108,0.727758442498065,"p≥0.05"
"cor517","COAD","CD96","T.cells.CD4.memory.resting",-0.0841437598993112,0.331900483605525,"p≥0.05"
"cor617","COAD","CD96","T.cells.CD4.memory.activated",-0.0211188357657553,0.807909300785796,"p≥0.05"
"cor717","COAD","CD96","T.cells.follicular.helper",-0.0563427276775789,0.516292012997792,"p≥0.05"
"cor817","COAD","CD96","T.cells.regulatory..Tregs.",-0.165231137209686,0.0554739621258898,"p≥0.05"
"cor917","COAD","CD96","T.cells.gamma.delta",0.0387001075076324,0.655857085299632,"p≥0.05"
"cor1017","COAD","CD96","NK.cells.resting",0.140749834153339,0.103466702355483,"p≥0.05"
"cor1121","COAD","CD96","NK.cells.activated",-0.0524873573167675,0.545448791063066,"p≥0.05"
"cor1219","COAD","CD96","Monocytes",-0.121006083026592,0.162103308341125,"p≥0.05"
"cor1317","COAD","CD96","Macrophages.M0",0.0588920372312346,0.497461104352307,"p≥0.05"
"cor1417","COAD","CD96","Macrophages.M1",-0.0473166642631669,0.585778921988426,"p≥0.05"
"cor1517","COAD","CD96","Macrophages.M2",0.0576411531560456,0.506655542104051,"p≥0.05"
"cor1617","COAD","CD96","Dendritic.cells.resting",0.0992706629961112,0.25199077552468,"p≥0.05"
"cor1717","COAD","CD96","Dendritic.cells.activated",-0.00892011689501044,0.918216419063737,"p≥0.05"
"cor1817","COAD","CD96","Mast.cells.resting",0.0476488073125133,0.583147643420958,"p≥0.05"
"cor1917","COAD","CD96","Mast.cells.activated",0.126903055821758,0.14245608299823,"p≥0.05"
"cor2017","COAD","CD96","Eosinophils",0.107880727697908,0.212968878000795,"p≥0.05"
"cor2119","COAD","CD96","Neutrophils",0.0901302614235146,0.298526449014208,"p≥0.05"
"cor231","STAD","CD96","B.cells.naive",-0.0499231400843839,0.34557969353059,"p≥0.05"
"cor1102","STAD","CD96","B.cells.memory",-0.0265338462024139,0.616315146201798,"p≥0.05"
"cor232","STAD","CD96","Plasma.cells",-0.01001943657409,0.849948682490767,"p≥0.05"
"cor320","STAD","CD96","T.cells.CD8",-0.0967439356183335,0.0671094830672228,"p≥0.05"
"cor419","STAD","CD96","T.cells.CD4.naive",-0.0664007208762464,0.209438110958995,"p≥0.05"
"cor518","STAD","CD96","T.cells.CD4.memory.resting",-0.00542354518612474,0.918436099217201,"p≥0.05"
"cor618","STAD","CD96","T.cells.CD4.memory.activated",0.0123314498092629,0.815884383262326,"p≥0.05"
"cor718","STAD","CD96","T.cells.follicular.helper",0.0499704272164543,0.345122432092544,"p≥0.05"
"cor818","STAD","CD96","T.cells.regulatory..Tregs.",0.0526209162823178,0.320108034097191,"p≥0.05"
"cor918","STAD","CD96","T.cells.gamma.delta",-0.00200461382893927,0.969807608374947,"p≥0.05"
"cor1018","STAD","CD96","NK.cells.resting",-0.0182826508854323,0.729923305218881,"p≥0.05"
"cor1122","STAD","CD96","NK.cells.activated",0.0773953986531266,0.143326432098256,"p≥0.05"
"cor1220","STAD","CD96","Monocytes",-0.0851770054497179,0.107141645645984,"p≥0.05"
"cor1318","STAD","CD96","Macrophages.M0",0.0586629458977751,0.267610227804278,"p≥0.05"
"cor1418","STAD","CD96","Macrophages.M1",-0.123965021659417,0.018789534047989,"p<0.05"
"cor1518","STAD","CD96","Macrophages.M2",0.0256210166199914,0.628502684746322,"p≥0.05"
"cor1618","STAD","CD96","Dendritic.cells.resting",0.0155928194196376,0.768429874966169,"p≥0.05"
"cor1718","STAD","CD96","Dendritic.cells.activated",0.0928235274184847,0.0790175735463509,"p≥0.05"
"cor1818","STAD","CD96","Mast.cells.resting",0.00271334956705956,0.959141102464171,"p≥0.05"
"cor1918","STAD","CD96","Mast.cells.activated",0.0509080977245349,0.336134689405193,"p≥0.05"
"cor2018","STAD","CD96","Eosinophils",-0.0591533792518078,0.263623843949011,"p≥0.05"
"cor2120","STAD","CD96","Neutrophils",0.131028032139654,0.0129664440816473,"p<0.05"
"cor233","SKCM","CD96","B.cells.naive",-0.0434200353906123,0.403700367418774,"p≥0.05"
"cor1103","SKCM","CD96","B.cells.memory",0.0261910559723128,0.614583874472625,"p≥0.05"
"cor234","SKCM","CD96","Plasma.cells",0.0437248530461116,0.400404808365811,"p≥0.05"
"cor321","SKCM","CD96","T.cells.CD8",0.0192762841480101,0.710957295676932,"p≥0.05"
"cor420","SKCM","CD96","T.cells.CD4.naive",-0.032678051593057,0.529795555677766,"p≥0.05"
"cor519","SKCM","CD96","T.cells.CD4.memory.resting",0.0242984171816704,0.640397808001163,"p≥0.05"
"cor619","SKCM","CD96","T.cells.CD4.memory.activated",0.100696828416232,0.0523105921341527,"p≥0.05"
"cor719","SKCM","CD96","T.cells.follicular.helper",-0.0682730610184304,0.188878161324786,"p≥0.05"
"cor819","SKCM","CD96","T.cells.regulatory..Tregs.",-0.0855255484820509,0.0995529989383856,"p≥0.05"
"cor919","SKCM","CD96","T.cells.gamma.delta",0.140923384311502,0.0064793288580884,"p<0.05"
"cor1019","SKCM","CD96","NK.cells.resting",0.0367571289994352,0.479691513076071,"p≥0.05"
"cor1123","SKCM","CD96","NK.cells.activated",-0.0736604492805194,0.156232588432561,"p≥0.05"
"cor1221","SKCM","CD96","Monocytes",-0.0265895986946201,0.609206766106779,"p≥0.05"
"cor1319","SKCM","CD96","Macrophages.M0",0.0213488315538449,0.681496130714053,"p≥0.05"
"cor1419","SKCM","CD96","Macrophages.M1",0.0613931518009667,0.237508293314899,"p≥0.05"
"cor1519","SKCM","CD96","Macrophages.M2",-0.0501060982244572,0.335163992065409,"p≥0.05"
"cor1619","SKCM","CD96","Dendritic.cells.resting",-0.0432195996481312,0.405876181103286,"p≥0.05"
"cor1719","SKCM","CD96","Dendritic.cells.activated",0.0235721842649796,0.650421485400701,"p≥0.05"
"cor1819","SKCM","CD96","Mast.cells.resting",0.0351133769305535,0.499566928229112,"p≥0.05"
"cor1919","SKCM","CD96","Mast.cells.activated",-0.00857040631544294,0.869143332504598,"p≥0.05"
"cor2019","SKCM","CD96","Eosinophils",0.0911626754836224,0.0790845208144966,"p≥0.05"
"cor2121","SKCM","CD96","Neutrophils",0.0132221320098511,0.799362595380294,"p≥0.05"
"cor235","CHOL","CD96","B.cells.naive",-0.298667383002119,0.0768277629382501,"p≥0.05"
"cor1104","CHOL","CD96","B.cells.memory",0.167537485940959,0.328730108035615,"p≥0.05"
"cor236","CHOL","CD96","Plasma.cells",0.128559774131223,0.45491557839487,"p≥0.05"
"cor322","CHOL","CD96","T.cells.CD8",-0.0773559644832404,0.653843887692416,"p≥0.05"
"cor421","CHOL","CD96","T.cells.CD4.naive",-0.0897801888516199,0.602559227875871,"p≥0.05"
"cor520","CHOL","CD96","T.cells.CD4.memory.resting",-0.0253336675691863,0.883399636173538,"p≥0.05"
"cor620","CHOL","CD96","T.cells.CD4.memory.activated",0.014067578405882,0.935099540301333,"p≥0.05"
"cor720","CHOL","CD96","T.cells.follicular.helper",0.160760267948872,0.348947853638523,"p≥0.05"
"cor820","CHOL","CD96","T.cells.regulatory..Tregs.",-0.158522475928634,0.355785703315952,"p≥0.05"
"cor920","CHOL","CD96","T.cells.gamma.delta",0.197885569589228,0.247315058075821,"p≥0.05"
"cor1020","CHOL","CD96","NK.cells.resting",-0.0689878050646081,0.689307108486044,"p≥0.05"
"cor1124","CHOL","CD96","NK.cells.activated",0.272298503020017,0.108129481688915,"p≥0.05"
"cor1222","CHOL","CD96","Monocytes",-0.0432299862828972,0.802322198827508,"p≥0.05"
"cor1320","CHOL","CD96","Macrophages.M0",0.0459941403751995,0.789956992650605,"p≥0.05"
"cor1420","CHOL","CD96","Macrophages.M1",0.433175349962258,0.00831519366931333,"p<0.05"
"cor1520","CHOL","CD96","Macrophages.M2",-0.177583058716105,0.300127787080849,"p≥0.05"
"cor1620","CHOL","CD96","Dendritic.cells.resting",-0.0454193655193564,0.792524149658544,"p≥0.05"
"cor1720","CHOL","CD96","Dendritic.cells.activated",0.047207386099647,0.784545361827023,"p≥0.05"
"cor1820","CHOL","CD96","Mast.cells.resting",-0.148882227470189,0.386154693167449,"p≥0.05"
"cor1920","CHOL","CD96","Mast.cells.activated",0.0915666232448265,0.595329762671812,"p≥0.05"
"cor2020","CHOL","CD96","Eosinophils",0.0301838807461217,0.861274917474745,"p≥0.05"
"cor2122","CHOL","CD96","Neutrophils",0.0207085222081577,0.904579162233855,"p≥0.05"
"cor237","KIRC","CD96","B.cells.naive",-0.014866629012768,0.760186578440893,"p≥0.05"
"cor1105","KIRC","CD96","B.cells.memory",0.0234342827007438,0.630386456334913,"p≥0.05"
"cor238","KIRC","CD96","Plasma.cells",0.0134883451119004,0.781830250430192,"p≥0.05"
"cor323","KIRC","CD96","T.cells.CD8",0.010646429494805,0.826975346822142,"p≥0.05"
"cor422","KIRC","CD96","T.cells.CD4.naive",0.0219813606230237,0.651742894329273,"p≥0.05"
"cor521","KIRC","CD96","T.cells.CD4.memory.resting",-0.0237388032067869,0.625948295651679,"p≥0.05"
"cor621","KIRC","CD96","T.cells.CD4.memory.activated",-0.00815720804633183,0.866997008301014,"p≥0.05"
"cor721","KIRC","CD96","T.cells.follicular.helper",0.00473712852436506,0.922523071711227,"p≥0.05"
"cor821","KIRC","CD96","T.cells.regulatory..Tregs.",-0.0124656696231547,0.798000232149798,"p≥0.05"
"cor921","KIRC","CD96","T.cells.gamma.delta",0.0190932831782226,0.695036148873359,"p≥0.05"
"cor1021","KIRC","CD96","NK.cells.resting",-0.00348490520932454,0.942962445684697,"p≥0.05"
"cor1125","KIRC","CD96","NK.cells.activated",0.0553944266430761,0.255058764647882,"p≥0.05"
"cor1223","KIRC","CD96","Monocytes",-0.0418591010940211,0.38991914603799,"p≥0.05"
"cor1321","KIRC","CD96","Macrophages.M0",-0.0180633890383877,0.710726784031511,"p≥0.05"
"cor1421","KIRC","CD96","Macrophages.M1",0.0224901735299422,0.644230272213553,"p≥0.05"
"cor1521","KIRC","CD96","Macrophages.M2",0.0207663562664329,0.669824351338112,"p≥0.05"
"cor1621","KIRC","CD96","Dendritic.cells.resting",0.0666726252650848,0.170579028910375,"p≥0.05"
"cor1721","KIRC","CD96","Dendritic.cells.activated",-0.0512844004670928,0.292072321276236,"p≥0.05"
"cor1821","KIRC","CD96","Mast.cells.resting",-0.0235996583847974,0.62797456599732,"p≥0.05"
"cor1921","KIRC","CD96","Mast.cells.activated",0.0126726392252491,0.794720520012998,"p≥0.05"
"cor2021","KIRC","CD96","Eosinophils",-0.0448836620196076,0.356555974169537,"p≥0.05"
"cor2123","KIRC","CD96","Neutrophils",-0.0821665589609985,0.0910707142436658,"p≥0.05"
"cor239","THCA","CD96","B.cells.naive",0.00185839892225248,0.97014798736191,"p≥0.05"
"cor1106","THCA","CD96","B.cells.memory",-0.0376088202279093,0.448691493900417,"p≥0.05"
"cor240","THCA","CD96","Plasma.cells",0.00732162790436022,0.882786410446212,"p≥0.05"
"cor324","THCA","CD96","T.cells.CD8",0.0293426488335896,0.554519542650155,"p≥0.05"
"cor423","THCA","CD96","T.cells.CD4.naive",-0.0441462939439851,0.373783156451794,"p≥0.05"
"cor522","THCA","CD96","T.cells.CD4.memory.resting",0.000972847327296403,0.984370226998661,"p≥0.05"
"cor622","THCA","CD96","T.cells.CD4.memory.activated",0.031119247608247,0.530789489750495,"p≥0.05"
"cor722","THCA","CD96","T.cells.follicular.helper",-0.0334496421503834,0.500460546646713,"p≥0.05"
"cor822","THCA","CD96","T.cells.regulatory..Tregs.",0.00154521551310542,0.975176963961213,"p≥0.05"
"cor922","THCA","CD96","T.cells.gamma.delta",0.0346248726019558,0.485520256756127,"p≥0.05"
"cor1022","THCA","CD96","NK.cells.resting",0.119654848040315,0.0155980187387011,"p<0.05"
"cor1126","THCA","CD96","NK.cells.activated",-0.0528078529818382,0.287266917064515,"p≥0.05"
"cor1224","THCA","CD96","Monocytes",0.0621565274855745,0.210256635626952,"p≥0.05"
"cor1322","THCA","CD96","Macrophages.M0",0.00915019971392808,0.853808096331939,"p≥0.05"
"cor1422","THCA","CD96","Macrophages.M1",-0.0192192211353468,0.698716272597393,"p≥0.05"
"cor1522","THCA","CD96","Macrophages.M2",-0.0650931279474031,0.189461171941446,"p≥0.05"
"cor1622","THCA","CD96","Dendritic.cells.resting",0.0727104264731625,0.142617287609568,"p≥0.05"
"cor1722","THCA","CD96","Dendritic.cells.activated",-0.122904619572571,0.0129784334346257,"p<0.05"
"cor1822","THCA","CD96","Mast.cells.resting",0.0575933744891001,0.245754303622152,"p≥0.05"
"cor1922","THCA","CD96","Mast.cells.activated",-0.0617865264566297,0.212989233550563,"p≥0.05"
"cor2022","THCA","CD96","Eosinophils",0.0153326318241746,0.757495011434674,"p≥0.05"
"cor2124","THCA","CD96","Neutrophils",-0.000939047848975843,0.984913184048098,"p≥0.05"
"cor241","HNSC","CD96","B.cells.naive",0.0243876203883538,0.72852063308044,"p≥0.05"
"cor1107","HNSC","CD96","B.cells.memory",0.080205087924518,0.252962680668171,"p≥0.05"
"cor242","HNSC","CD96","Plasma.cells",-0.00907889523572276,0.897201133391467,"p≥0.05"
"cor325","HNSC","CD96","T.cells.CD8",-0.0830411185146861,0.236514686206005,"p≥0.05"
"cor424","HNSC","CD96","T.cells.CD4.naive",0.0120103970853697,0.864288735403113,"p≥0.05"
"cor523","HNSC","CD96","T.cells.CD4.memory.resting",0.0808795633147638,0.248981066900815,"p≥0.05"
"cor623","HNSC","CD96","T.cells.CD4.memory.activated",-0.102994265377561,0.141684420854746,"p≥0.05"
"cor723","HNSC","CD96","T.cells.follicular.helper",-0.0325051070381577,0.643594623725869,"p≥0.05"
"cor823","HNSC","CD96","T.cells.regulatory..Tregs.",-0.0176351489007257,0.801835391083223,"p≥0.05"
"cor923","HNSC","CD96","T.cells.gamma.delta",0.0671784442002445,0.338542460967007,"p≥0.05"
"cor1023","HNSC","CD96","NK.cells.resting",0.0635662665515993,0.365210433329316,"p≥0.05"
"cor1127","HNSC","CD96","NK.cells.activated",-0.0623349378204153,0.374590819174232,"p≥0.05"
"cor1225","HNSC","CD96","Monocytes",0.0785811399180602,0.262729227546165,"p≥0.05"
"cor1323","HNSC","CD96","Macrophages.M0",-0.0012672951112748,0.985611761397026,"p≥0.05"
"cor1423","HNSC","CD96","Macrophages.M1",-0.0720989983276772,0.304267004771822,"p≥0.05"
"cor1523","HNSC","CD96","Macrophages.M2",-0.0263895892854956,0.707216934920681,"p≥0.05"
"cor1623","HNSC","CD96","Dendritic.cells.resting",-0.0937962776686811,0.180995084865755,"p≥0.05"
"cor1723","HNSC","CD96","Dendritic.cells.activated",0.100158311864388,0.153040030472386,"p≥0.05"
"cor1823","HNSC","CD96","Mast.cells.resting",-0.150865036390783,0.0308327808332778,"p<0.05"
"cor1923","HNSC","CD96","Mast.cells.activated",0.110313812263189,0.115347659837632,"p≥0.05"
"cor2023","HNSC","CD96","Eosinophils",0.0106848705234494,0.879145175737873,"p≥0.05"
"cor2125","HNSC","CD96","Neutrophils",0.167623203288092,0.0162902900563138,"p<0.05"
"cor243","LAML","CD96","B.cells.naive",0.0102007342304156,0.923547497187613,"p≥0.05"
"cor1108","LAML","CD96","B.cells.memory",0.00931434649831392,0.930173306067541,"p≥0.05"
"cor244","LAML","CD96","Plasma.cells",-0.015348441743854,0.885185194035978,"p≥0.05"
"cor326","LAML","CD96","T.cells.CD8",0.121809788439546,0.250054441261508,"p≥0.05"
"cor425","LAML","CD96","T.cells.CD4.naive",-0.0281801253778941,0.790887928288418,"p≥0.05"
"cor524","LAML","CD96","T.cells.CD4.memory.resting",0.00291848159218668,0.978096249399855,"p≥0.05"
"cor624","LAML","CD96","T.cells.CD4.memory.activated",-0.101355996503226,0.339085694843765,"p≥0.05"
"cor724","LAML","CD96","T.cells.follicular.helper",-0.020840160772786,0.844551057236919,"p≥0.05"
"cor824","LAML","CD96","T.cells.regulatory..Tregs.",-0.0132576439849578,0.90073966335206,"p≥0.05"
"cor924","LAML","CD96","T.cells.gamma.delta",-0.00146780536847672,0.988982829591879,"p≥0.05"
"cor1024","LAML","CD96","NK.cells.resting",-0.173636001860562,0.0997610324290255,"p≥0.05"
"cor1128","LAML","CD96","NK.cells.activated",0.16148764577187,0.126201359821321,"p≥0.05"
"cor1226","LAML","CD96","Monocytes",0.0142403522638403,0.893423780697705,"p≥0.05"
"cor1324","LAML","CD96","Macrophages.M0",-0.0182775654554796,0.863468252926809,"p≥0.05"
"cor1424","LAML","CD96","Macrophages.M1",-0.132825779286016,0.209431209201766,"p≥0.05"
"cor1524","LAML","CD96","Macrophages.M2",0.061244028401521,0.564144678819179,"p≥0.05"
"cor1624","LAML","CD96","Dendritic.cells.resting",NA,NA,NA
"cor1724","LAML","CD96","Dendritic.cells.activated",0.0387491591310708,0.715357363437503,"p≥0.05"
"cor1824","LAML","CD96","Mast.cells.resting",0.0158610867144051,0.881377775865562,"p≥0.05"
"cor1924","LAML","CD96","Mast.cells.activated",-0.0756980339148284,0.475749853966321,"p≥0.05"
"cor2024","LAML","CD96","Eosinophils",-0.0897490999307965,0.397538437307724,"p≥0.05"
"cor2126","LAML","CD96","Neutrophils",-0.106447244024915,0.315252617599363,"p≥0.05"
"cor245","READ","CD96","B.cells.naive",-0.101028923118184,0.446438961811259,"p≥0.05"
"cor1109","READ","CD96","B.cells.memory",-0.0715770761344771,0.590078490929533,"p≥0.05"
"cor246","READ","CD96","Plasma.cells",-0.218987366755528,0.095638177118153,"p≥0.05"
"cor327","READ","CD96","T.cells.CD8",0.11198616376251,0.398424559884942,"p≥0.05"
"cor426","READ","CD96","T.cells.CD4.naive",0.030470594474659,0.818795475058972,"p≥0.05"
"cor525","READ","CD96","T.cells.CD4.memory.resting",-0.0416098630048099,0.754350154465606,"p≥0.05"
"cor625","READ","CD96","T.cells.CD4.memory.activated",0.157262505009246,0.234231387968726,"p≥0.05"
"cor725","READ","CD96","T.cells.follicular.helper",-0.182184711086854,0.167268274995178,"p≥0.05"
"cor825","READ","CD96","T.cells.regulatory..Tregs.",0.037353561823486,0.778804558344051,"p≥0.05"
"cor925","READ","CD96","T.cells.gamma.delta",NA,NA,NA
"cor1025","READ","CD96","NK.cells.resting",0.0483610779175868,0.716057056383828,"p≥0.05"
"cor1129","READ","CD96","NK.cells.activated",0.0346609093285826,0.794387586031549,"p≥0.05"
"cor1227","READ","CD96","Monocytes",0.0676383312740812,0.610747106784138,"p≥0.05"
"cor1325","READ","CD96","Macrophages.M0",0.0299170342852208,0.822033232107742,"p≥0.05"
"cor1425","READ","CD96","Macrophages.M1",-0.0319569132772127,0.810117051203661,"p≥0.05"
"cor1525","READ","CD96","Macrophages.M2",-0.112290256228223,0.3971367790907,"p≥0.05"
"cor1625","READ","CD96","Dendritic.cells.resting",0.0502285547971303,0.705581714760254,"p≥0.05"
"cor1725","READ","CD96","Dendritic.cells.activated",0.0674864865087841,0.611550136058968,"p≥0.05"
"cor1825","READ","CD96","Mast.cells.resting",0.0477895196788058,0.719273661460293,"p≥0.05"
"cor1925","READ","CD96","Mast.cells.activated",0.181423734291842,0.169079285177996,"p≥0.05"
"cor2025","READ","CD96","Eosinophils",0.180187777823408,0.172051118371514,"p≥0.05"
"cor2127","READ","CD96","Neutrophils",0.211006013247964,0.108667882528988,"p≥0.05"
"cor247","LGG","CD96","B.cells.naive",-0.0736497016422716,0.211915841731877,"p≥0.05"
"cor1130","LGG","CD96","B.cells.memory",0.0254421292556494,0.66667819182895,"p≥0.05"
"cor248","LGG","CD96","Plasma.cells",-0.0613406478472839,0.298688195730293,"p≥0.05"
"cor328","LGG","CD96","T.cells.CD8",-0.036316007565694,0.538621172686344,"p≥0.05"
"cor427","LGG","CD96","T.cells.CD4.naive",-0.00916871544832235,0.876666873443932,"p≥0.05"
"cor526","LGG","CD96","T.cells.CD4.memory.resting",0.00900449455670353,0.878858774677454,"p≥0.05"
"cor626","LGG","CD96","T.cells.CD4.memory.activated",-0.0235135630687666,0.690590951774549,"p≥0.05"
"cor726","LGG","CD96","T.cells.follicular.helper",0.0538515827430313,0.361678496728264,"p≥0.05"
"cor826","LGG","CD96","T.cells.regulatory..Tregs.",-0.00706767030096347,0.904775326781926,"p≥0.05"
"cor926","LGG","CD96","T.cells.gamma.delta",-0.0262768172467522,0.656430512304506,"p≥0.05"
"cor1026","LGG","CD96","NK.cells.resting",0.131247976365822,0.0256674879114959,"p<0.05"
"cor1131","LGG","CD96","NK.cells.activated",-0.134290866399262,0.0224066339681547,"p<0.05"
"cor1228","LGG","CD96","Monocytes",-0.00764528498208716,0.897034453478335,"p≥0.05"
"cor1326","LGG","CD96","Macrophages.M0",0.0507892583544156,0.389661850658482,"p≥0.05"
"cor1426","LGG","CD96","Macrophages.M1",-0.0560387993106595,0.342479734837717,"p≥0.05"
"cor1526","LGG","CD96","Macrophages.M2",0.00806173953563676,0.891459358365315,"p≥0.05"
"cor1626","LGG","CD96","Dendritic.cells.resting",0.0242765569196874,0.681092008534448,"p≥0.05"
"cor1726","LGG","CD96","Dendritic.cells.activated",-0.0193017641449104,0.743865788962638,"p≥0.05"
