GeneSym
ALX1
TRAF4
MECOM
POU1F1
POU2F1
POU3F2
LHX3
VSX1
PRRX2
CDX2
POU6F1
ZHX2
CUX1
ONECUT1
PBX1
GFI1
CDC5L
POU3F1
AR
NR3C1
PGR
FOXO4
SRY
SOX5
SOX9
HNF1A
LEF1
MAZ
PAX4
ZEB1
NF1
TCF4
MYB
PAX2
NKX2-1
DBP
FOXA1
FOXA2
FOXD3
FOXJ2
FOXI1
FOXJ1
FOXQ1
FOXL1
FOXC1
FOXF2
FOXO1
FOXO3
FOXD1
TEF
CEBPA
CEBPB
CEBPD
HLF
NFIL3
CEBPG
FOXM1
GATA4
SMAD3
BPTF
TP53
HOXA9
IL10
TGIF1
MEIS1
CRX
NFE2L1
GATA1
GATA6
GATA3
LMO2
GATA2
DDIT3
NR1H4
RXRA
PDX1
HAND1
EN1
TLX2
HOXA4
MSX1
CYP26A1
TCF3
MAX
MYC
SREBF1
HIF1A
MYCN
GTF2A2
SRF
MYOD1
REPIN1
TFAP4
UBP1
TCF12
NHLH1
MYOG
ZBTB18
EBF2
OR5I1
TFCP2
CBFA2T3
RUNX1
RUNX2
ESR1
ESRRA
SF1
RORA
HNF4A
NR2F2
PPARA
PITX2
PPARG
HSF1
HSF2
MAF
SMAD1
SMAD4
TEAD1
RREB1
SPZ1
SP3
ZIC1
ZIC2
ZIC3
HMGA1
REL
RELA
STAT1
STAT4
STAT6
STAT5A
STAT5B
STAT3
GCM1
PTF1A
TBP
BACH1
BACH2
JUN
MAFG
NFE2
NFE2L2
IRF1
IRF2
IRF8
STAT2
IRF7
PAX6
PAX8
AHR
NRF1
MTF1
E2F1
RB1
TFDP2
TFDP1
YY1
EGR1
EGR4
EGR3
EGR2
GTF3A
TFAP2A
TFAP2C
ZBTB14
FOXN1
PCBP1
ATF1
ATF2
CREB1
ATF3
E4F1
ATF4
PAX3
ATF6
XBP1
MIF
RFX1
NR1H3
RXRB
ELF1
SPI1
ELF2
ELK1
GABPB2
GABPB1
ETS1
ETV7
ETS2
ETV4
KAT2B
PAX5
NR6A1
HMX1
KLF12
HOXA5
REST
ALX4
HOXA3
ZNF423
