id	filename	md5	size	state
009270e7-74ff-48ae-bf18-6b027cf83fdf	009270e7-74ff-48ae-bf18-6b027cf83fdf/8c956a9c-7eee-4eda-9980-cea4225ab963.wxs.aliquot_ensemble_masked.maf.gz	85a056ffdc0fd1c0c1002c373b38102d	19800	validated
01f8653b-220e-4fd4-b5f8-27bd4afafdb2	01f8653b-220e-4fd4-b5f8-27bd4afafdb2/b7b831a2-b175-4719-91a5-b2f3d535dcb4.wxs.aliquot_ensemble_masked.maf.gz	77c7f3de730ebf356bc35b1e8c706c63	21222	validated
033ca7fc-d903-4b3a-a8e6-3142836aac24	033ca7fc-d903-4b3a-a8e6-3142836aac24/7e9ad9f4-5f6d-4c52-b38d-a5a0ab4a4044.wxs.aliquot_ensemble_masked.maf.gz	63040fdb5e93e003edaddc2c093bd338	49536	validated
04341fd6-7bc6-460a-9d0e-1c97b425aa9a	04341fd6-7bc6-460a-9d0e-1c97b425aa9a/5d3329f2-f514-437c-a114-9bcd458a43c0.wxs.aliquot_ensemble_masked.maf.gz	b7f7caebc66886908b7fcf7ea3113a2d	10408	validated
04c1e428-8f8a-4d1e-ac11-e92b1bbf1c3e	04c1e428-8f8a-4d1e-ac11-e92b1bbf1c3e/c1d92aba-b499-45d8-bdef-b5c504fe45e6.wxs.aliquot_ensemble_masked.maf.gz	db8c01a57fbe94d8c1c99894995b083b	27998	validated
05dc3be3-6e16-47b0-8275-91de2b413656	05dc3be3-6e16-47b0-8275-91de2b413656/3fb68406-64a0-40d4-8aed-cd918804da86.wxs.aliquot_ensemble_masked.maf.gz	1656ba25365bf86792825d103dcfab32	23670	validated
0682739a-77d9-4113-b10d-95433d55f902	0682739a-77d9-4113-b10d-95433d55f902/e0e860b0-87c8-475f-9197-e13585fabd8d.wxs.aliquot_ensemble_masked.maf.gz	bcd14fde22733538974e4cd94325592e	38520	validated
06863faf-a171-46c1-8c9c-7f15b2d7b51b	06863faf-a171-46c1-8c9c-7f15b2d7b51b/579ce8b5-5d20-4d7e-a367-638bdc70747c.wxs.aliquot_ensemble_masked.maf.gz	5f1f960c00ec9219d807bcbd3db3a860	41417	validated
06e089b8-d313-4eac-9b62-4ad05a740d75	06e089b8-d313-4eac-9b62-4ad05a740d75/0f4e9d2b-faa9-4b82-abf2-9c10cc2e0955.wxs.aliquot_ensemble_masked.maf.gz	2f9dc1ffbec37b4d5db99e16759cf0be	35247	validated
075ca860-dff5-476d-ba45-ab06416424ef	075ca860-dff5-476d-ba45-ab06416424ef/3220aec5-226f-45f4-ae44-b72d845c4032.wxs.aliquot_ensemble_masked.maf.gz	ceea47c7dfc2410cf2de1b36c1386ca1	21347	validated
0818c9f4-2beb-46d7-a430-77f884f821d0	0818c9f4-2beb-46d7-a430-77f884f821d0/1aae7ad5-114a-4175-a31c-5ddc1372f478.wxs.aliquot_ensemble_masked.maf.gz	82f27bfb84c62153fdb883d672de1290	7418	validated
0904444b-84ea-4e88-b919-414e780c09e3	0904444b-84ea-4e88-b919-414e780c09e3/0c8d4e37-8124-4c86-b9cc-cda779a94898.wxs.aliquot_ensemble_masked.maf.gz	6565505592a54f9af0aaa3206c50ec39	7143	validated
095f7c09-7d33-4b5e-9c4e-e375f7b52169	095f7c09-7d33-4b5e-9c4e-e375f7b52169/b98efd19-482d-4671-bdc4-19ed9f884c19.wxs.aliquot_ensemble_masked.maf.gz	22de4b3a34ba70ba95dbf81060caa825	31797	validated
098a2093-073c-421e-a145-c4e1d0ad5aba	098a2093-073c-421e-a145-c4e1d0ad5aba/dc6dafd7-b608-43a3-abe9-c56d6b0fb305.wxs.aliquot_ensemble_masked.maf.gz	f66b2713233f3eb727fd37231777ca7b	91758	validated
