GeneID	Subgroup	Feature_Start	Feature_End	bar_col
CER	IC21	0	1	e41a1c
VN	IC1	0	1	377eb8
VN	IC2	1	2	377eb8
VN	IC3	2	3	377eb8
VN	IC4	3	4	377eb8
VN	IC5	4	5	377eb8
SMN	IC6	0	1	4daf4a
SMN	IC7	1	2	4daf4a
SMN	IC8	2	3	4daf4a
AN	IC9	0	1	984ea3
DMN	IC10	0	1	ff7f00
DMN	IC11	1	2	ff7f00
CCN	IC12	0	1	ffff33
CCN	IC13	1	2	ffff33
CCN	IC14	2	3	ffff33
CCN	IC15	3	4	ffff33
CCN	IC16	4	5	ffff33
CCN	IC17	5	6	ffff33
CCN	IC18	6	7	ffff33
CCN	IC19	7	8	ffff33
CCN	IC20	8	9	ffff33
