,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
aDC,0,1,1,0.000108365337028979,1,1,0.0109600540382442,1,1,1,1,1.79870901427362e-05,1,0.929591833769256,0.0725658485252822,1,1,1,1,0.000911361709945384,1,1,0.000329731952008541,1
B cells,0.516988866741609,0,0.764277162246524,0.0581139527082072,2.93521174058601e-12,0.000147533113618926,0.000192522119974763,2.71488141632984e-09,2.06957427736651e-09,1.50730267025648e-07,1,1,1.03078788424435e-05,0.484909270236064,1.47488761595172e-11,4.30653123509954e-11,1,0.791747190464986,1.84729933219982e-10,1,6.34572881368071e-14,1,1,0.0352566872880238
CD8 T cells,0.120872000631666,0.00527087698101051,0,5.1166521301321e-06,0.0809393184825279,1,1,1,1,0.0434671777807666,1,1,0.0177677591863682,1,0.0886532342147102,1,1,0.319576702277091,1,1,0.0164126875553354,1,1,3.07870097436078e-05
Cytotoxic cells,4.83773826022227e-07,0.000317562583104957,2.14985383618996e-08,0,0.010008361643181,1,1.96486024841949e-07,0.0341796435317936,0.467400566180639,0.00517348101502532,0.10598439242052,7.64266420678599e-14,0.016969220620707,1,1.18249508359457e-10,0.229786212155366,1,1,0.142625735541717,0.0125794611075354,0.00317275974679642,1,1,0.225298135411223
DC,0.986110908782863,1.08310396331587e-14,0.000452174963589541,4.97928439959253e-05,0,5.84342843110231e-06,3.89077428380049e-10,4.02647618224262e-12,1.07093106188185e-06,9.14793305484924e-10,1,1,6.14484213041032e-05,1,1.29014449436673e-07,0.000158796889184776,1,0.278425002617825,1.40909284027179e-07,1,4.13504994774378e-13,1,1,0.0934857065213516
Eosinophils,0.190567224177316,6.64563574860027e-07,0.017161103476187,0.440558803990258,2.46558161649887e-08,0,1,0.331333997757459,0.300007118346091,0.00425206736662681,0.0844822051573216,1,0.0076537015961457,1,0.452290468788919,0.0182722669346723,1,1,0.000200850427238532,0.135069699010996,2.09085022433633e-05,1,1,1
iDC,5.48002701912211e-05,8.79096438240927e-07,0.00958463255230082,7.89100501373287e-10,1.47938185695836e-12,0.0584009144799177,0,4.22778357660776e-13,2.59075408665907e-06,4.82317248191003e-05,1,2.38108927259995e-06,0.300007118346091,1,2.60365668085914e-09,0.0126102507208874,1,1,0.000472615800754801,1,5.56404845075162e-08,1,1,0.103483066183531
Macrophages,0.0836932118625301,1.05227961873249e-11,0.0133278255079859,0.000178018976728092,1.49128747490467e-14,0.00212393588306063,1.55433219728227e-15,0,3.4726843343835e-10,6.29045108591676e-08,1,0.468922458852722,0.00525727096338922,1,7.17784938143667e-09,1.29153832484718e-06,1,1,0.00411004481459757,1,7.35325628134545e-14,0.256877839959588,0.438238023269342,0.000822398328230024
Mast cells,0.885666601314914,7.95990106679429e-12,0.317420252123047,0.00305490566131137,4.37114719135448e-09,0.00186018517541684,1.07948086944128e-08,1.31541073272102e-12,0,2.11954070806429e-05,0.581951436431378,0.859702883537098,0.00199007562210128,1,2.52871038163363e-07,0.00039176250290089,1,1,8.66370767222903e-07,1,5.21276147305876e-05,1,1,1
Neutrophils,0.162186983342644,6.02921068102594e-10,0.000232444800966667,2.51139855098316e-05,3.49157750185086e-12,2.05413882445739e-05,2.10618885672927e-07,2.4863443027339e-10,9.17550090071121e-08,0,0.539427413202683,1,0.000328668459217745,0.0572933239486156,2.05729027009129e-07,0.000116470510206757,1,1,0.0405423179724799,1,2.91720927440178e-08,0.470901448463897,1,0.0199140653274901
