,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
aDC,0,3.8431020930147e-13,5.12168205434408e-28,1.29944962327068e-89,2.24915430565326e-14,8.43957137349165e-24,7.23838310228678e-12,5.82524591656821e-35,0.00892005040456056,9.57911593250565e-23,3.46850250622474e-13,5.85125105870115e-61,1,5.22444737817543e-22,1.11855218529855e-84,1.58037125729175e-44,0.037446740181487,4.07800713293708e-09,4.24741435228261e-14,4.68318499155587e-37,3.58560025567219e-85,0.000240342330022932,5.98603621373937e-73,3.56259911295487e-47
B cells,2.74507292358193e-15,0,2.15314596895332e-11,4.21590135463265e-22,1.50311835776217e-47,4.82145098549887e-14,1.5452746284019e-37,4.04115745807248e-38,4.28174036840191e-22,2.14591936441289e-11,8.76962400812204e-16,7.16140318388619e-09,2.0717598952404e-08,1,6.16007764598555e-52,9.314342919969e-17,0.0706499521787878,0.000107511431263624,6.54379363822995e-52,1.64215715125069e-06,6.27587838416908e-56,1,3.86244353463416e-19,4.09542494950311e-29
CD8 T cells,2.37114909923337e-30,1.6691054022894e-13,0,1.79567339214004e-66,1.13629445281248e-10,4.66163116851747e-08,1.53436486808702e-05,0.0185471593218698,0.000116628235369442,6.72658691018968e-08,3.20015142764965e-22,1.22939200986494e-37,1.30954360889889e-11,4.54815118563662e-19,6.04336871350567e-36,1.99038006620954e-16,1,0.0338325241872467,1.24789872357315e-17,3.42195553179053e-23,1.24310053708928e-30,0.38194978211378,5.61215324488131e-12,9.92748477960016e-16
Cytotoxic cells,4.812776382484e-92,2.25449270301211e-24,6.87997468252889e-69,0,2.51637455432692e-09,1.86726085322236e-19,1.60564539239463e-05,1.56390649041004e-16,0.00351577103474969,1.42581633195553e-24,4.2211810200689e-24,1.81121103173128e-101,1.99374003621784e-06,2.1573465392651e-22,2.39119901062649e-155,5.5704584427942e-52,0.0338325241872467,3.59629060378874e-14,2.24222145137172e-28,2.16195884265919e-52,9.17864251398983e-86,0.120932834950384,8.57545817866251e-53,5.93388817563367e-37
DC,1.51969885517112e-16,6.18567225416533e-50,9.31388895747937e-13,2.1556857446598e-11,0,5.38910474721852e-25,2.39598840419593e-98,9.06750280501088e-50,1.48081917968448e-46,7.45176672645021e-22,0.00470105426200155,7.99547421752931e-15,2.17982433057777e-22,0.000112653437304326,4.15565154460153e-20,7.79493933197465e-05,1,0.00310610334605838,2.04525564696862e-25,0.00257960472348957,1.11585501821145e-33,0.00170587989920727,2.25989331971546e-15,1.70785421864135e-17
Eosinophils,4.24099063994555e-26,3.34822985104088e-16,4.4396487319214e-10,1.07313842139216e-21,2.6034322450331e-27,0,2.0710702546119e-15,2.02771075093522e-23,3.72401011883979e-20,3.44339894963443e-64,3.72700541510644e-06,2.87662626635756e-17,0.276127371049062,1,1.27603630408126e-27,2.54910457340517e-22,0.00470105426200155,0.106448563277396,3.25900114671236e-11,7.42995130030812e-06,3.06391276608607e-25,9.00760586128768e-09,3.64105420873797e-10,1.68378186758393e-15
iDC,5.48362356233847e-14,6.71858534087784e-40,1.78414519545002e-07,1.8889945792878e-07,8.80878089777916e-101,1.33617435781413e-17,0,1.51958909738118e-78,3.80260455255092e-55,2.02161256746962e-24,0.0706499521787878,6.01121518927019e-13,1.25378689812466e-07,0.00353315705559749,5.26585537521663e-15,0.000323561017974762,1,0.0706499521787878,7.73624512916723e-20,7.35883562142564e-05,2.25201370906627e-20,0.000435641081081365,5.2886899726538e-14,2.98092955676899e-07
Macrophages,2.61221789980637e-37,1.73440234252038e-40,0.000343465913367959,9.65374376796319e-19,3.70102155306567e-52,1.03454630149756e-25,5.71274096759843e-81,0,2.6879216978426e-27,5.71194805171599e-32,0.00340580917000326,3.14200966773587e-12,1,1,8.99848317925649e-41,1.29879901944425e-27,1.593915159523e-06,3.13923014927978e-09,1.76575975133183e-18,8.3158806953279e-11,2.25542945641728e-61,1,1.86892855249783e-55,3.38782485418659e-25
Mast cells,0.000156492112360712,2.30201095075372e-24,1.47630677682838e-06,5.58058894404712e-05,6.17007991535198e-49,2.08045258035743e-22,1.49708840651611e-57,1.26193506940967e-29,0,1.44777235395404e-23,1,2.91939255130365e-15,2.71555065063757e-22,9.18902353284629e-10,7.26083396728391e-06,3.52834517856336e-06,1,6.1030918130904e-06,3.11310798051797e-16,0.000576590889657614,7.47518403242825e-11,0.0250838880179274,3.98857070971863e-07,1
Neutrophils,4.96327250388894e-25,1.65070720339453e-13,6.53066690309678e-10,6.95520161929527e-27,4.07200367565585e-24,1.32438421139786e-66,9.90986552681188e-27,2.58459187860452e-34,7.31198158562645e-26,0,0.507588406601856,2.76404868190799e-36,0.0163638927957476,0.00353315705559749,5.78965782844543e-22,1.52474725091157e-14,0.575767506057947,0.0182399453790815,3.385272425367e-07,0.00293503399863381,5.34124245389112e-24,1.29514137279768e-08,1.69804731607522e-12,3.04959991903333e-13
