,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
aDC,0,6.2409455465636e-13,1.58116764527592e-33,3.99753230864711e-132,1.52031906014032e-49,0.854952569008571,2.76564250883986e-27,2.56448370576506e-37,3.14835977516441e-10,9.56225220917199e-25,0.000982657405359324,8.86054607780545e-10,0.00251849813886462,1.4501991914841e-08,1.47239641225356e-104,0.000868497894083088,0.00116660664831854,1.77118681148655e-06,2.54201697936294e-19,2.22682681144255e-06,2.18862134388631e-60,0.969065367650329,2.24967119146338e-06,1.41641549764248e-59
B cells,6.2409455465636e-13,0,1.68546857928508e-23,1.23067511556847e-18,1.88970377544235e-13,0.000191592875741335,9.16309612776481e-08,1.56712918462233e-05,3.06910051129582e-15,0.357289492361033,0.0197100249189484,0.0899556706317887,0.0162198822008217,1.92962068690589e-05,2.49227659552446e-52,6.55964525792132e-11,2.96548283499785e-05,1.81486222148063e-07,1.23952900003198e-57,4.89303331429827e-06,2.70078680693329e-06,0.372297658610903,0.117283191450271,1.21820812721518e-11
CD8 T cells,1.58116764527592e-33,1.68546857928508e-23,0,1.34167993778236e-58,3.62157287819387e-12,0.919060078665251,2.53769796538547e-07,7.52315262498151e-13,1.83143446543506e-08,3.4360664556835e-07,0.0145934906610614,0.0175482860476941,0.0111896776561611,0.00396809152222788,1.7007301114671e-53,1.56905276025839e-06,0.631864459509878,0.000105635458803666,6.00140569086946e-22,1.44111531828778e-09,8.42366700779742e-24,0.0893445564447494,0.0993750405049571,2.06123454182736e-14
Cytotoxic cells,3.99753230864711e-132,1.23067511556847e-18,1.34167993778236e-58,0,1.10817128072737e-59,0.439169887412622,4.60158848913704e-44,1.19024486363295e-41,3.02597600310715e-14,8.40561001898392e-31,1.64083249852662e-12,3.96187257185058e-12,2.64865532320149e-05,1.01646002864403e-09,2.35528551048988e-158,0.0425911572246655,3.79549234009362e-07,6.85440230638764e-07,1.3963075816636e-38,0.0021837981809357,1.07604741272926e-69,0.04945758587274,0.00358422385706497,2.4295342507912e-55
DC,1.52031906014032e-49,1.88970377544235e-13,3.62157287819387e-12,1.10817128072737e-59,0,6.8431496819633e-14,6.23474204430544e-118,6.47729500928504e-102,8.00257412691762e-55,1.20898236149518e-77,0.0589555413265543,7.59022873100598e-07,3.0793430438632e-16,1.08022638188493e-28,7.04735205253562e-59,0.817529390630967,1.16580080936524e-06,6.38859831802342e-21,2.47952173023142e-23,8.5669191027655e-06,1.12766149391935e-64,0.66039785390069,0.0656275346706147,7.5217744074231e-76
Eosinophils,0.854952569008571,0.000191592875741335,0.919060078665251,0.439169887412622,6.8431496819633e-14,0,6.84975038582642e-17,1.10432532405707e-11,1.61281319184604e-24,2.69820504380889e-07,0.926188810305066,0.259177790949527,1.90353234809986e-05,0.000403000624103449,0.00834721945056747,0.299283264635816,1.24008269876399e-07,1.15850791847242e-14,1.90962587296949e-08,0.00402165077992542,1.67446651667489e-06,0.490111812457908,0.000718274320515691,0.00153646781512048
iDC,2.76564250883986e-27,9.16309612776481e-08,2.53769796538547e-07,4.60158848913704e-44,6.23474204430544e-118,6.84975038582642e-17,0,3.25903549599117e-76,2.73042159749459e-77,8.72180222736329e-37,1.35376592891764e-07,7.80474927171558e-05,2.21908138415607e-31,1.40852701203309e-17,1.03029844066955e-44,4.68852960254431e-06,2.46090990199891e-20,8.83047500005734e-14,9.69538425354188e-24,0.413576088097122,8.44128554071304e-31,0.111585326712325,1.21823249217924e-09,8.22837461438324e-62
Macrophages,2.56448370576506e-37,1.56712918462233e-05,7.52315262498151e-13,1.19024486363295e-41,6.47729500928504e-102,1.10432532405707e-11,3.25903549599117e-76,0,1.72674294526032e-53,7.19612747571669e-102,0.000845237925721453,0.97605368129561,3.13844789549024e-17,6.94507425731574e-20,2.98980024358896e-39,1.21835598410736e-09,0.0214854171331515,4.75744581752953e-27,7.94401240207845e-20,3.30167058143397e-36,2.77164934527664e-97,4.38375601548095e-07,0.00102584127583653,7.51984008890521e-32
Mast cells,3.14835977516441e-10,3.06910051129582e-15,1.83143446543506e-08,3.02597600310715e-14,8.00257412691762e-55,1.61281319184604e-24,2.73042159749459e-77,1.72674294526032e-53,0,2.11842498252482e-24,0.0823398809159282,0.621931687951859,3.94907809188125e-17,1.53222255178329e-15,1.44410093400063e-21,0.0925962421700992,0.0081919701141742,7.02314957606563e-14,1.14056191081994e-16,3.78863933419811e-08,6.55075634373811e-22,0.947975391204837,0.000758586583283948,1.29375558361515e-30
Neutrophils,9.56225220917199e-25,0.357289492361033,3.4360664556835e-07,8.40561001898392e-31,1.20898236149518e-77,2.69820504380889e-07,8.72180222736329e-37,7.19612747571669e-102,2.11842498252482e-24,0,0.762053055713141,0.0109985276279342,4.51018775064506e-09,1.72654873456599e-17,1.54241583806159e-19,0.0371574199951494,0.242234854502074,2.01672864140407e-28,3.57247122801446e-12,5.01552606332076e-15,8.24473274569745e-66,0.627632804992941,0.095075759590416,1.06160323841775e-20
NK CD56bright cells,0.000982657405359324,0.0197100249189484,0.0145934906610614,1.64083249852662e-12,0.0589555413265543,0.926188810305066,1.35376592891764e-07,0.000845237925721453,0.0823398809159282,0.762053055713141,0,0.206737934187925,8.72037096400451e-11,0.00792269383446978,0.104091232833554,3.5888578770688e-31,4.77454340382066e-22,0.831409659806164,0.0141689386661941,1.72696851435966e-24,0.474408689372685,7.46754311252387e-08,1.11796328363442e-07,8.73228663213859e-07
NK CD56dim cells,8.86054607780545e-10,0.0899556706317887,0.0175482860476941,3.96187257185058e-12,7.59022873100598e-07,0.259177790949527,7.80474927171558e-05,0.97605368129561,0.621931687951859,0.0109985276279342,0.206737934187925,0,9.7613886530958e-17,2.63905825220106e-07,5.60443796179643e-05,6.27182428927676e-11,3.84321032322657e-14,9.61519873739829e-08,4.07674125380642e-05,1.89602345834268e-08,0.580819354107776,0.307884491721935,1.18556954740722e-18,4.49276822095144e-17
NK cells,0.00251849813886462,0.0162198822008217,0.0111896776561611,2.64865532320149e-05,3.0793430438632e-16,1.90353234809986e-05,2.21908138415607e-31,3.13844789549024e-17,3.94907809188125e-17,4.51018775064506e-09,8.72037096400451e-11,9.7613886530958e-17,0,4.48774897123719e-21,0.550728675704084,2.2828726769682e-30,4.55571337583463e-16,4.55977304477283e-26,0.000114163428296422,0.0416772948170919,2.68252628339883e-05,0.0484891497839945,9.67605400020109e-46,6.75058012873508e-24
pDC,1.4501991914841e-08,1.92962068690589e-05,0.00396809152222788,1.01646002864403e-09,1.08022638188493e-28,0.000403000624103449,1.40852701203309e-17,6.94507425731574e-20,1.53222255178329e-15,1.72654873456599e-17,0.00792269383446978,2.63905825220106e-07,4.48774897123719e-21,0,4.06001182098833e-11,0.00368980275319621,0.0015459609221246,1.3111415361539e-16,1.70183376430851e-05,0.000720019307149635,1.58567068654765e-12,0.031018689521589,3.0550434484758e-14,7.06143682027358e-21
T cells,1.47239641225356e-104,2.49227659552446e-52,1.7007301114671e-53,2.35528551048988e-158,7.04735205253562e-59,0.00834721945056747,1.03029844066955e-44,2.98980024358896e-39,1.44410093400063e-21,1.54241583806159e-19,0.104091232833554,5.60443796179643e-05,0.550728675704084,4.06001182098833e-11,0,2.59871414003518e-12,0.872232745884135,1.32830741672837e-07,7.49551492678682e-60,9.84711773355774e-10,1.4069304736522e-60,0.0502273554501116,2.75262526736715e-06,1.12652690048134e-59
T helper cells,0.000868497894083088,6.55964525792132e-11,1.56905276025839e-06,0.0425911572246655,0.817529390630967,0.299283264635816,4.68852960254431e-06,1.21835598410736e-09,0.0925962421700992,0.0371574199951494,3.5888578770688e-31,6.27182428927676e-11,2.2828726769682e-30,0.00368980275319621,2.59871414003518e-12,0,1.09768605425283e-94,0.0200288134657623,1.39626898982282e-05,1.09442107850831e-65,3.91369275108727e-08,2.07086779966919e-09,1.16072417379821e-70,6.60166763284433e-05
Tcm,0.00116660664831854,2.96548283499785e-05,0.631864459509878,3.79549234009362e-07,1.16580080936524e-06,1.24008269876399e-07,2.46090990199891e-20,0.0214854171331515,0.0081919701141742,0.242234854502074,4.77454340382066e-22,3.84321032322657e-14,4.55571337583463e-16,0.0015459609221246,0.872232745884135,1.09768605425283e-94,0,2.32496923693324e-10,0.000188518282598651,2.16186095096264e-37,0.00864897336979951,9.20218601478034e-05,1.00990641247767e-33,8.57870099197458e-10
Tem,1.77118681148655e-06,1.81486222148063e-07,0.000105635458803666,6.85440230638764e-07,6.38859831802342e-21,1.15850791847242e-14,8.83047500005734e-14,4.75744581752953e-27,7.02314957606563e-14,2.01672864140407e-28,0.831409659806164,9.61519873739829e-08,4.55977304477283e-26,1.3111415361539e-16,1.32830741672837e-07,0.0200288134657623,2.32496923693324e-10,0,1.71699330419787e-20,6.03567895507955e-09,5.12210094662177e-12,0.335831154022477,4.5411230573849e-05,1.53403500695179e-15
TFH,2.54201697936294e-19,1.23952900003198e-57,6.00140569086946e-22,1.3963075816636e-38,2.47952173023142e-23,1.90962587296949e-08,9.69538425354188e-24,7.94401240207845e-20,1.14056191081994e-16,3.57247122801446e-12,0.0141689386661941,4.07674125380642e-05,0.000114163428296422,1.70183376430851e-05,7.49551492678682e-60,1.39626898982282e-05,0.000188518282598651,1.71699330419787e-20,0,0.000829303193954887,4.29468550382683e-18,0.0144837008294931,0.330855532436926,3.45025274804405e-25
