,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
aDC,1,0.313269239780726,0.441527770764925,0.704178193052547,0.326505219016842,0.410678547788566,0.298835792608809,0.486041569245175,0.152859566105784,0.402398294814795,0.313783053983097,0.610899448911602,0.0856551096124086,0.396401948375677,0.690350928390669,0.538323589441669,0.136014041304262,0.264468279435633,0.323560629214806,0.498309239096324,0.691774657037728,0.187950225106478,0.65405425333188,0.551301483109223
B cells,0.313269239780726,1,0.293258455579833,0.39718568832998,0.553107330823957,0.322956799027499,0.501069255336523,0.5043804544383,0.397113198471047,0.293314597914256,0.340888605174255,0.261138660543861,0.254653773107421,-0.0261621077967784,0.57331558266026,0.350349967617065,0.128310458276604,0.194790252359499,0.573191199419363,0.226226467881094,0.590582203438204,0.045857812303331,0.372148945788842,0.449037237398673
CD8 T cells,0.441527770764925,0.293258455579833,1,0.631596788724613,0.284395836454574,0.249675812897847,0.209961091332087,0.144843271803568,0.193952364961192,0.247323558670716,0.398160523944996,0.501641605306404,0.295842189964263,0.371507052362088,0.491862600152865,0.347148653124841,-0.0679273796131564,0.137582867888371,0.358552519850283,0.405926404704496,0.45908614635518,0.104034615484401,0.300168113190255,0.34033615909937
Cytotoxic cells,0.704178193052547,0.39718568832998,0.631596788724613,1,0.267334360238046,0.374932622545803,0.209544878374506,0.348196144597089,0.162810696911095,0.416619808049528,0.413018712035107,0.734389908038553,0.224842857272407,0.399595622005835,0.833182406648744,0.573517352208232,0.137361269504283,0.324341290460442,0.444017854558471,0.575343760861425,0.693468106464617,0.120773853671953,0.577117292108556,0.497710462213138
DC,0.326505219016842,0.553107330823957,0.284395836454574,0.267334360238046,1,0.419799946544556,0.726812439325473,0.563499946551855,0.548315713945338,0.395124024724045,0.159538637397573,0.331140765028658,0.399541895139365,0.194324948679263,0.3805990487033,0.197395816451309,0.00021712128937434,0.16425820863614,0.42294834565704,0.16638974422231,0.478303239834057,0.17053115711026,0.336741463249683,0.357278891388452
Eosinophils,0.410678547788566,0.322956799027499,0.249675812897847,0.374932622545803,0.419799946544556,1,0.337143983791652,0.40770352786791,0.381022779219342,0.6232156757141,0.220330856766613,0.3551656091108,0.109875834751398,0.0843807759796378,0.438768445428223,0.398983795371686,0.159601091249871,0.122623214928479,0.291070204089736,0.215256539892778,0.421642926739128,0.259758698590222,0.278165106292754,0.338058509877095
iDC,0.298835792608809,0.501069255336523,0.209961091332087,0.209544878374506,0.726812439325473,0.337143983791652,1,0.672020503981905,0.58727548004464,0.415465653664065,0.128064126454673,0.31106061801498,0.243415642797067,0.162614440281385,0.332995710596555,0.185405084485191,-0.0190951486361961,0.128121418106975,0.37826195243092,0.197935455771005,0.382884808290202,0.18271005139013,0.322506654093822,0.237889058412945
Macrophages,0.486041569245175,0.5043804544383,0.144843271803568,0.348196144597089,0.563499946551855,0.40770352786791,0.672020503981905,1,0.43648063436742,0.46767545634573,0.163255418104177,0.303048920982036,0.041078466316672,0.059344410625804,0.518917238934088,0.43870093218398,0.226498491137913,0.266002515695228,0.366264451636524,0.286113307126653,0.612513634447345,0.0379836059812495,0.58858534520411,0.421305890426754
Mast cells,0.152859566105784,0.397113198471047,0.193952364961192,0.162810696911095,0.548315713945338,0.381022779219342,0.58727548004464,0.43648063436742,1,0.408864845332882,-0.00443433157683495,0.335610629770478,0.398747017324198,0.273041466995135,0.215500887989877,0.220786310717897,0.0696979694438588,0.216808046278345,0.345265019204547,0.180231549639205,0.286709844409389,0.141249342504874,0.235892173738224,0.0630966472493546
Neutrophils,0.402398294814795,0.293314597914256,0.247323558670716,0.416619808049528,0.395124024724045,0.6232156757141,0.415465653664065,0.46767545634573,0.408864845332882,1,0.0995912397775466,0.49384997302698,0.146524641797356,0.162609879665393,0.396024903455146,0.328264287179121,0.0973322009845379,0.145209485024359,0.237011215646006,0.16492508112934,0.412209776814687,0.257533903610116,0.306068058762813,0.314417788460642
NK CD56bright cells,0.313783053983097,0.340888605174255,0.398160523944996,0.413018712035107,0.159538637397573,0.220330856766613,0.128064126454673,0.163255418104177,-0.00443433157683495,0.0995912397775466,1,0.259293856537315,0.154770561032303,0.0110074613221829,0.407955653702267,0.183117031940263,-0.143782507072079,0.0330976065837608,0.313018164767008,0.290330760761783,0.428249342441261,0.0175146133327493,0.26899508027672,0.443810304427452
NK CD56dim cells,0.610899448911602,0.261138660543861,0.501641605306404,0.734389908038553,0.331140765028658,0.3551656091108,0.31106061801498,0.303048920982036,0.335610629770478,0.49384997302698,0.259293856537315,1,0.389020131767794,0.552939527336501,0.544683998744679,0.348067872084424,0.0364242982405792,0.261748003796337,0.299159266493306,0.488099099369144,0.514700946883024,0.227601053023155,0.516341039790727,0.372754704483528
NK cells,0.0856551096124086,0.254653773107421,0.295842189964263,0.224842857272407,0.399541895139365,0.109875834751398,0.243415642797067,0.041078466316672,0.398747017324198,0.146524641797356,0.154770561032303,0.389020131767794,1,0.412544148926546,0.107911872779477,-0.00983272013388758,-0.0363829034965263,0.204053896907157,0.276792722412134,0.109658431209739,0.222958485759265,0.129821260817147,0.0579825656071125,0.190460241005533
pDC,0.396401948375677,-0.0261621077967784,0.371507052362088,0.399595622005835,0.194324948679263,0.0843807759796378,0.162614440281385,0.059344410625804,0.273041466995135,0.162609879665393,0.0110074613221829,0.552939527336501,0.412544148926546,1,0.177883753140158,0.0886851717560903,0.0708033067592083,0.376087673978802,0.0843777162731956,0.353446116398744,0.227924114768671,0.170327591490158,0.235825380270163,0.0819430260159672
T cells,0.690350928390669,0.57331558266026,0.491862600152865,0.833182406648744,0.3805990487033,0.438768445428223,0.332995710596555,0.518917238934088,0.215500887989877,0.396024903455146,0.407955653702267,0.544683998744679,0.107911872779477,0.177883753140158,1,0.727693019786906,0.256662402431129,0.326053862257691,0.564643971435923,0.498423663097282,0.791413055080001,0.10577524886753,0.666861139614441,0.578146726383096
T helper cells,0.538323589441669,0.350349967617065,0.347148653124841,0.573517352208232,0.197395816451309,0.398983795371686,0.185405084485191,0.43870093218398,0.220786310717897,0.328264287179121,0.183117031940263,0.348067872084424,-0.00983272013388758,0.0886851717560903,0.727693019786906,1,0.366931294009828,0.335084447950302,0.404171668906917,0.38561636698985,0.609167209620913,0.0147474234290422,0.560327903138322,0.413420119642821
Tcm,0.136014041304262,0.128310458276604,-0.0679273796131564,0.137361269504283,0.00021712128937434,0.159601091249871,-0.0190951486361961,0.226498491137913,0.0696979694438588,0.0973322009845379,-0.143782507072079,0.0364242982405792,-0.0363829034965263,0.0708033067592083,0.256662402431129,0.366931294009828,1,0.637288362949272,0.040334644777869,0.0117753932073296,0.248058856520472,0.0288969838583352,0.170510651516094,0.165539627392023
Tem,0.264468279435633,0.194790252359499,0.137582867888371,0.324341290460442,0.16425820863614,0.122623214928479,0.128121418106975,0.266002515695228,0.216808046278345,0.145209485024359,0.0330976065837608,0.261748003796337,0.204053896907157,0.376087673978802,0.326053862257691,0.335084447950302,0.637288362949272,1,0.139737181553117,0.312066966206303,0.361072120939689,-0.0210302929105833,0.292776399641651,0.249789666151401
TFH,0.323560629214806,0.573191199419363,0.358552519850283,0.444017854558471,0.42294834565704,0.291070204089736,0.37826195243092,0.366264451636524,0.345265019204547,0.237011215646006,0.313018164767008,0.299159266493306,0.276792722412134,0.0843777162731956,0.564643971435923,0.404171668906917,0.040334644777869,0.139737181553117,1,0.267347261026958,0.577382014272108,-0.0119365032445321,0.417707958889233,0.379676274468981
Tgd,0.498309239096324,0.226226467881094,0.405926404704496,0.575343760861425,0.16638974422231,0.215256539892778,0.197935455771005,0.286113307126653,0.180231549639205,0.16492508112934,0.290330760761783,0.488099099369144,0.109658431209739,0.353446116398744,0.498423663097282,0.38561636698985,0.0117753932073296,0.312066966206303,0.267347261026958,1,0.433757956743898,0.0439368176614844,0.503170781564076,0.285475932643824
Th1 cells,0.691774657037728,0.590582203438204,0.45908614635518,0.693468106464617,0.478303239834057,0.421642926739128,0.382884808290202,0.612513634447345,0.286709844409389,0.412209776814687,0.428249342441261,0.514700946883024,0.222958485759265,0.227924114768671,0.791413055080001,0.609167209620913,0.248058856520472,0.361072120939689,0.577382014272108,0.433757956743898,1,-0.00547293415883584,0.711058232136056,0.644565938546968
Th17 cells,0.187950225106478,0.045857812303331,0.104034615484401,0.120773853671953,0.17053115711026,0.259758698590222,0.18271005139013,0.0379836059812495,0.141249342504874,0.257533903610116,0.0175146133327493,0.227601053023155,0.129821260817147,0.170327591490158,0.10577524886753,0.0147474234290422,0.0288969838583352,-0.0210302929105833,-0.0119365032445321,0.0439368176614844,-0.00547293415883584,1,-0.0277625073036246,0.0680809085021584
Th2 cells,0.65405425333188,0.372148945788842,0.300168113190255,0.577117292108556,0.336741463249683,0.278165106292754,0.322506654093822,0.58858534520411,0.235892173738224,0.306068058762813,0.26899508027672,0.516341039790727,0.0579825656071125,0.235825380270163,0.666861139614441,0.560327903138322,0.170510651516094,0.292776399641651,0.417707958889233,0.503170781564076,0.711058232136056,-0.0277625073036246,1,0.50536379147969
TReg,0.551301483109223,0.449037237398673,0.34033615909937,0.497710462213138,0.357278891388452,0.338058509877095,0.237889058412945,0.421305890426754,0.0630966472493546,0.314417788460642,0.443810304427452,0.372754704483528,0.190460241005533,0.0819430260159672,0.578146726383096,0.413420119642821,0.165539627392023,0.249789666151401,0.379676274468981,0.285475932643824,0.644565938546968,0.0680809085021584,0.50536379147969,1
