Gene
CCL5
CD40
NCK1
SRC
ST3GAL4
TAF9B
ADRA2C
AAAS
APP
BRD7
CSNK1G3
CHEK1
DPY19L4
EGFR
HCLS1
HPX
IL15
LEF1
MAST3
NCOA1
PADI2
PCNA
PRKACA
PTPN6
STK39
TESK1
TLK2
TRRAP
TTLL7
VTN
