"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"OCIAD2",0,-2.17062739532632,0.047,0.423,0,"High.ISGs","OCIAD2"
"CCR7",0,-2.195757407893,0.142,0.683,0,"High.ISGs","CCR7"
"CXCR4",0,-2.23594317871006,0.346,0.745,0,"High.ISGs","CXCR4"
"NPM1",0,-2.35129496785427,0.283,0.741,0,"High.ISGs","NPM1"
"CD7",0,-2.38223892963294,0.045,0.403,0,"High.ISGs","CD7"
"SELL",0,-2.41766338912143,0.14,0.487,0,"High.ISGs","SELL"
"LDHB",0,-2.49948999366004,0.113,0.579,0,"High.ISGs","LDHB"
"GIMAP7",0,-2.5555522613604,0.225,0.643,0,"High.ISGs","GIMAP7"
"CD3D",0,-2.56397969369069,0.058,0.481,0,"High.ISGs","CD3D"
"LTB",0,-2.81235676576523,0.089,0.541,0,"High.ISGs","LTB"
"WTAP",7.11823107521232e-307,0.978617415114065,0.431,0.129,1.00032501299959e-302,"High.ISGs","WTAP"
"INSIG1",2.21402861423423e-305,1.26156046726587,0.316,0.069,3.11137441158337e-301,"High.ISGs","INSIG1"
"EVL",1.23084837637696e-303,-1.63542829949622,0.104,0.353,1.72971122332255e-299,"High.ISGs","EVL"
"ATP6V1C1",4.21454699965993e-302,0.769229826664719,0.266,0.041,5.9227028986221e-298,"High.ISGs","ATP6V1C1"
"LCK",2.46712850547744e-301,-1.64338090748112,0.032,0.261,3.46705568874745e-297,"High.ISGs","LCK"
"ANXA1",1.1338385392546e-300,0.597612165110604,0.943,0.609,1.59338329921449e-296,"High.ISGs","ANXA1"
"ALDOA",1.809916430259e-298,0.758905831478661,0.619,0.244,2.54347555944297e-294,"High.ISGs","ALDOA"
"PIK3IP1",1.07992299412347e-297,-1.66050874305281,0.035,0.263,1.51761578364171e-293,"High.ISGs","PIK3IP1"
"FAU",1.11339975636073e-297,-0.633832441522143,0.944,0.924,1.56466067761374e-293,"High.ISGs","FAU"
"CDKN1A",9.09799806958885e-296,0.808825387472722,0.259,0.04,1.27854166871932e-291,"High.ISGs","CDKN1A"
"GLIPR2",1.09108868542742e-295,0.80580802426361,0.323,0.069,1.53330692963116e-291,"High.ISGs","GLIPR2"
"HLA-A",1.23419822615366e-295,-0.619891482556938,0.991,0.985,1.73441876721374e-291,"High.ISGs","HLA-A"
"GNG5",4.17185672663527e-295,0.718822983656896,0.762,0.364,5.86271025794054e-291,"High.ISGs","GNG5"
"PEBP1",4.54469466625154e-295,-1.54056404010644,0.049,0.282,6.38665941448329e-291,"High.ISGs","PEBP1"
"RHOH",3.86865438891281e-293,-1.63848015213422,0.052,0.284,5.43662001273918e-289,"High.ISGs","RHOH"
"RNF13",8.9498312737039e-293,0.781523455562066,0.354,0.085,1.25771978889361e-288,"High.ISGs","RNF13"
"C1QBP",1.13205921241483e-292,-1.57747733063874,0.092,0.333,1.59088281120656e-288,"High.ISGs","C1QBP"
"IL32",2.49094708129615e-292,-1.81933171987164,0.038,0.265,3.50052793334548e-288,"High.ISGs","IL32"
"BST2",2.11857798054072e-287,0.820304791174888,0.75,0.42,2.97723763605387e-283,"High.ISGs","BST2"
"IL7R",1.38708355663527e-284,-1.66443021989059,0.139,0.381,1.94926852213954e-280,"High.ISGs","IL7R"
"LIMD2",5.00809933210975e-284,-1.42966883198718,0.252,0.478,7.03788199141383e-280,"High.ISGs","LIMD2"
"FAM49B",1.85719181769542e-283,0.689365946883044,0.545,0.196,2.60991166140737e-279,"High.ISGs","FAM49B"
"LEPROT",2.80203832588142e-283,0.772779870695528,0.264,0.044,3.93770445936115e-279,"High.ISGs","LEPROT"
"PDCD4",9.8960678006299e-283,-1.62727916419574,0.063,0.292,1.39069440802252e-278,"High.ISGs","PDCD4"
"C9orf89",8.40333396143869e-282,0.767835728269524,0.319,0.071,1.18092052160098e-277,"High.ISGs","C9orf89"
"RHOA",6.02982297114892e-280,0.698709929779523,0.699,0.311,8.47371022135558e-276,"High.ISGs","RHOA"
"RRAGC",1.55391605710559e-277,0.744793921524681,0.31,0.068,2.18371823505049e-273,"High.ISGs","RRAGC"
"FERMT3",9.60911528570372e-277,0.768446618471109,0.289,0.059,1.35036897109994e-272,"High.ISGs","FERMT3"
"RABGAP1L",4.52615057580568e-276,0.946177690315421,0.369,0.105,6.36059940417972e-272,"High.ISGs","RABGAP1L"
"LGALS9",9.17129096763768e-274,0.775649209917817,0.355,0.094,1.28884151968212e-269,"High.ISGs","LGALS9"
"HLA-DQB1",3.22036780828489e-273,0.671969932883841,0.43,0.134,4.52558288098275e-269,"High.ISGs","HLA-DQB1"
"GSTP1",2.06088392148992e-268,0.664958311078347,0.657,0.29,2.89616017486978e-264,"High.ISGs","GSTP1"
"GCA",5.67687849991942e-268,0.741840334023573,0.251,0.042,7.97771735593677e-264,"High.ISGs","GCA"
"RSAD2",1.38450382498669e-264,1.93656699868683,0.507,0.303,1.9456432252538e-260,"High.ISGs","RSAD2"
"HMGB1",3.01566767733129e-264,-1.20395936265088,0.457,0.594,4.23791778695366e-260,"High.ISGs","HMGB1"
"EIF4E2",6.49539222385372e-261,0.695584469765352,0.387,0.113,9.12797469218164e-257,"High.ISGs","EIF4E2"
"SHKBP1",3.88275919779169e-260,0.709176634234157,0.342,0.088,5.45644150065666e-256,"High.ISGs","SHKBP1"
"RSL1D1",8.75249410032583e-260,-1.45402542438953,0.128,0.354,1.22998799591879e-255,"High.ISGs","RSL1D1"
"TNFSF10",7.29676908092801e-259,1.80886665826051,0.549,0.358,1.02541495894281e-254,"High.ISGs","TNFSF10"
"CHMP4B",1.87834222764065e-253,0.630275085723126,0.355,0.098,2.63963433250341e-249,"High.ISGs","CHMP4B"
"CLTA",4.62777638777946e-253,0.684966909917554,0.526,0.198,6.50341415774648e-249,"High.ISGs","CLTA"
"CREM",1.00869231171893e-251,-1.66122939704439,0.338,0.514,1.41751530565861e-247,"High.ISGs","CREM"
"ATP6V0D1",1.67423074679693e-249,0.670012775159468,0.355,0.099,2.35279646847372e-245,"High.ISGs","ATP6V0D1"
"RPS21",9.1443029508144e-246,-1.23990351889413,0.328,0.499,1.28504889367795e-241,"High.ISGs","RPS21"
"EEF1A1",9.8028860273283e-244,-0.846903536971409,0.795,0.794,1.37759957342045e-239,"High.ISGs","EEF1A1"
"BLOC1S1",2.44249592868725e-243,0.662221128976193,0.467,0.165,3.43243952858419e-239,"High.ISGs","BLOC1S1"
"TMBIM6",7.55854182505332e-241,0.5263544347494,0.946,0.689,1.06220188267474e-236,"High.ISGs","TMBIM6"
"RHOG",1.67940717811863e-240,0.613688584229541,0.563,0.223,2.36007090741011e-236,"High.ISGs","RHOG"
"PSMA4",4.183756674005e-240,0.689964588275537,0.705,0.365,5.87943325397923e-236,"High.ISGs","PSMA4"
"YWHAH",1.32001929776434e-239,0.683480755182741,0.349,0.101,1.85502311914823e-235,"High.ISGs","YWHAH"
"RSL24D1",5.16874228158918e-237,-1.38335469502538,0.153,0.364,7.26363352831727e-233,"High.ISGs","RSL24D1"
"C6orf48",2.0545346585248e-231,-1.40475752979244,0.138,0.348,2.8872375556249e-227,"High.ISGs","C6orf48"
"SSB",2.91429967428979e-231,0.855687742068369,0.532,0.241,4.09546533227944e-227,"High.ISGs","SSB"
"WAS",4.22841542013425e-230,0.671971645793631,0.265,0.059,5.94219218991466e-226,"High.ISGs","WAS"
"RPL36A",8.99989907001436e-229,-1.08795467879406,0.467,0.582,1.26475581630912e-224,"High.ISGs","RPL36A"
"STK17A",1.9822632683339e-228,-1.51090279119192,0.194,0.391,2.78567457098962e-224,"High.ISGs","STK17A"
"HSP90AA1",2.7875771900696e-228,0.635029998042209,0.819,0.522,3.91738222520481e-224,"High.ISGs","HSP90AA1"
"LPAR6",5.92097948179059e-228,0.723631202926788,0.262,0.059,8.32075246576032e-224,"High.ISGs","LPAR6"
"SOD1",6.41365496779063e-228,-1.32181106458481,0.376,0.528,9.01310932623617e-224,"High.ISGs","SOD1"
"SERPINB1",2.56537953272449e-226,0.95470505419219,0.456,0.177,3.60512785733772e-222,"High.ISGs","SERPINB1"
"PPP4C",4.90907417853888e-226,0.612732490979105,0.675,0.31,6.89872194310069e-222,"High.ISGs","PPP4C"
"SPCS3",5.99950585072014e-224,0.596603429061683,0.355,0.107,8.43110557201701e-220,"High.ISGs","SPCS3"
"ACTG1",3.38114274299948e-223,0.607712364211025,0.816,0.491,4.75151989673717e-219,"High.ISGs","ACTG1"
"ARRB2",4.90082185723103e-223,0.677470902494761,0.339,0.1,6.88712495596677e-219,"High.ISGs","ARRB2"
"NHP2L1",6.17146284858357e-223,-1.35621862412108,0.159,0.36,8.67275674111449e-219,"High.ISGs","NHP2L1"
"JUNB",1.31630666192044e-221,0.476132366744318,0.762,0.416,1.84980575199679e-217,"High.ISGs","JUNB"
"RPL17",2.40560356086075e-221,-1.21904552757429,0.271,0.452,3.38059468407761e-217,"High.ISGs","RPL17"
"RPL23",7.2611556580759e-218,-0.95392309899951,0.487,0.616,1.02041020462941e-213,"High.ISGs","RPL23"
"CFL1",2.46394781924678e-216,0.538106271582529,0.907,0.637,3.4625858703875e-212,"High.ISGs","CFL1"
"CD40",2.61981093675803e-215,0.627956920705247,0.253,0.058,3.68162030942607e-211,"High.ISGs","CD40"
"HMGN1",1.11200308518487e-214,-1.2194083905,0.274,0.454,1.5626979356103e-210,"High.ISGs","HMGN1"
"RAB5C",1.26529582785509e-211,0.558931741229909,0.498,0.193,1.77812022688476e-207,"High.ISGs","RAB5C"
"LEPROTL1",8.03877786239217e-211,-1.45466006333992,0.213,0.398,1.12968945300197e-206,"High.ISGs","LEPROTL1"
"UBE2D1",4.11697967540929e-209,0.589784453222672,0.289,0.077,5.78559153785268e-205,"High.ISGs","UBE2D1"
"RPS26",5.95211113241961e-208,-1.33128521086864,0.38,0.518,8.36450177438928e-204,"High.ISGs","RPS26"
"SNX3",2.18519611268901e-207,0.609288487025912,0.696,0.35,3.07085609716186e-203,"High.ISGs","SNX3"
"COX4I1",5.26143836742527e-207,-0.681531571294517,0.816,0.817,7.39389933774274e-203,"High.ISGs","COX4I1"
"SNX2",2.78985556252375e-206,0.532895611942878,0.426,0.155,3.92058402201462e-202,"High.ISGs","SNX2"
"APRT",5.46048704784832e-206,-1.35634821488479,0.146,0.337,7.67362244834124e-202,"High.ISGs","APRT"
"ERP29",2.59033570654913e-205,-1.29419925722709,0.196,0.384,3.64019876841349e-201,"High.ISGs","ERP29"
"AKIRIN2",2.58801380000114e-204,0.540608386778036,0.298,0.083,3.63693579314161e-200,"High.ISGs","AKIRIN2"
"LAMP2",2.41240931906576e-202,0.549079158470447,0.254,0.061,3.39015881608311e-198,"High.ISGs","LAMP2"
"CDC42",4.84298040429764e-201,0.50757589378488,0.467,0.18,6.80584036215948e-197,"High.ISGs","CDC42"
"CYSTM1",7.63746813122914e-201,0.55663633093157,0.498,0.202,1.07329339648163e-196,"High.ISGs","CYSTM1"
"RAB1A",1.46243733105162e-200,0.536975833559933,0.332,0.103,2.05516318132684e-196,"High.ISGs","RAB1A"
"CMTM6",4.36443218852993e-200,0.500935190691155,0.404,0.143,6.13333655454111e-196,"High.ISGs","CMTM6"
"LAPTM4A",1.83518833533666e-199,0.539068839558442,0.562,0.242,2.57899016764861e-195,"High.ISGs","LAPTM4A"
"ALOX5AP",1.51889186184172e-196,-1.62918479969086,0.125,0.318,2.13449873344617e-192,"High.ISGs","ALOX5AP"
"SAMSN1",4.47715120775341e-196,0.531956470224874,0.632,0.301,6.29174059225586e-192,"High.ISGs","SAMSN1"
"HEXB",8.03379524185495e-195,0.587429546862566,0.285,0.08,1.12898924533788e-190,"High.ISGs","HEXB"
"KLF6",1.57441559907318e-193,0.449374977486318,0.535,0.233,2.21252624137754e-189,"High.ISGs","KLF6"
"C1orf162",9.21822977365489e-193,0.758516573938618,0.291,0.088,1.29543783009172e-188,"High.ISGs","C1orf162"
"CFLAR",1.4858721626817e-192,0.602423437307876,0.468,0.194,2.08809615021659e-188,"High.ISGs","CFLAR"
"H2AFY",6.56802082831801e-192,0.553098233676962,0.363,0.125,9.23003967003531e-188,"High.ISGs","H2AFY"
"CALM2",3.50450383458169e-191,-0.920828293422583,0.57,0.637,4.92487923873764e-187,"High.ISGs","CALM2"
"UBE2F",8.68700033512878e-191,0.540937925279079,0.297,0.088,1.22078415709565e-186,"High.ISGs","UBE2F"
"APOL3",9.49324348719017e-191,0.664355368798281,0.262,0.071,1.33408550725483e-186,"High.ISGs","APOL3"
"TPT1",3.72417404061783e-190,-0.477129819934722,0.979,0.954,5.23358177928023e-186,"High.ISGs","TPT1"
"TPM3",7.09124945507166e-188,0.508986354054116,0.554,0.242,9.96533285921221e-184,"High.ISGs","TPM3"
"SH3GLB1",5.20247824025218e-187,0.500928115534121,0.416,0.155,7.31104267102638e-183,"High.ISGs","SH3GLB1"
"SERBP1",1.54648374729939e-181,-1.28797655564496,0.172,0.347,2.17327361007983e-177,"High.ISGs","SERBP1"
"PSENEN",8.20399673181285e-181,0.543806084237802,0.348,0.12,1.15290766072166e-176,"High.ISGs","PSENEN"
"POMP",1.01689527747286e-180,0.464821770963642,0.599,0.276,1.42904293343261e-176,"High.ISGs","POMP"
"RPS11",2.66729630682561e-179,-0.763736289327736,0.699,0.704,3.74835149998203e-175,"High.ISGs","RPS11"
"GBP5",2.71740277020048e-179,0.742998397351203,0.3,0.099,3.81876611296273e-175,"High.ISGs","GBP5"
"CNBP",5.94877075658073e-179,-1.14741876865708,0.372,0.494,8.3598075442229e-175,"High.ISGs","CNBP"
"ERP44",8.67026136864019e-177,0.468385562632447,0.339,0.114,1.21843183013501e-172,"High.ISGs","ERP44"
"SAMD9L",2.54641487680691e-176,0.677394460434051,0.506,0.245,3.57847682637675e-172,"High.ISGs","SAMD9L"
"MSN",6.03325014656076e-175,0.421247731131266,0.418,0.16,8.47852643096183e-171,"High.ISGs","MSN"
"UBE2A",1.2694379953886e-173,0.465968442597753,0.373,0.135,1.7839412149196e-169,"High.ISGs","UBE2A"
"RPL36AL",6.47717036394354e-171,-0.61889814563682,0.824,0.794,9.10236751244985e-167,"High.ISGs","RPL36AL"
"IL2RG",8.94013412939121e-170,-1.0963523454578,0.329,0.471,1.25635704920335e-165,"High.ISGs","IL2RG"
"ATP6V0E1",1.53651038307775e-168,0.476409167782429,0.848,0.527,2.15925804133916e-164,"High.ISGs","ATP6V0E1"
"MAP1LC3B",2.99050380975516e-168,0.419973970238451,0.51,0.219,4.20255500384893e-164,"High.ISGs","MAP1LC3B"
"TMEM50A",6.90792514596899e-165,0.513315910807624,0.668,0.349,9.70770720763022e-161,"High.ISGs","TMEM50A"
"CAPN2",9.47956221707816e-164,0.444962491354762,0.332,0.116,1.33216287836599e-159,"High.ISGs","CAPN2"
"CCDC23",6.23066701079786e-163,0.481280567727219,0.252,0.074,8.75595635027423e-159,"High.ISGs","CCDC23"
"CHMP2A",3.37876079934631e-162,0.439216824201627,0.442,0.181,4.74817255132137e-158,"High.ISGs","CHMP2A"
"TMEM219",5.67994386998696e-162,0.486365795976671,0.32,0.111,7.98202512049267e-158,"High.ISGs","TMEM219"
"RHEB",7.71077778821601e-162,0.440494498791862,0.431,0.175,1.083595602578e-157,"High.ISGs","RHEB"
"ZNF706",1.3029197499754e-161,0.47923417261416,0.586,0.282,1.83099312464043e-157,"High.ISGs","ZNF706"
"GPSM3",3.5078242830765e-161,0.474150959889789,0.515,0.229,4.92954546500741e-157,"High.ISGs","GPSM3"
"DNAJA1",2.11216464071959e-160,0.444716268833262,0.762,0.45,2.96822496960324e-156,"High.ISGs","DNAJA1"
"UQCRC1",3.4597278146251e-160,0.484425270254759,0.322,0.114,4.86195549789265e-156,"High.ISGs","UQCRC1"
"METTL9",5.78797260451268e-160,0.546802912465614,0.386,0.153,8.13383790112167e-156,"High.ISGs","METTL9"
"RPL38",7.13030037922228e-160,-0.959558781890809,0.42,0.514,1.00202111229211e-155,"High.ISGs","RPL38"
"ANAPC16",2.56469264254422e-157,-1.15987334523929,0.208,0.364,3.60416257056739e-153,"High.ISGs","ANAPC16"
"M6PR",2.59168424895891e-157,0.469888264795916,0.297,0.101,3.64209387506196e-153,"High.ISGs","M6PR"
"RALA",2.2982065091798e-156,0.511872543545465,0.454,0.202,3.22966960735038e-152,"High.ISGs","RALA"
"BAX",4.66398740648159e-156,0.393389718683943,0.423,0.174,6.55430150232858e-152,"High.ISGs","BAX"
"RAN",5.58498279755231e-155,-1.06912116510783,0.444,0.527,7.84857632540026e-151,"High.ISGs","RAN"
"BLOC1S2",1.23827306896056e-154,0.497891344958257,0.388,0.157,1.74014514381027e-150,"High.ISGs","BLOC1S2"
"CAPZA2",1.36027982828887e-154,0.390911501915276,0.324,0.115,1.91160124269434e-150,"High.ISGs","CAPZA2"
"IFNGR1",9.64553968587133e-152,0.44527930776148,0.297,0.103,1.3554876920555e-147,"High.ISGs","IFNGR1"
"RAB7A",1.63533878944156e-150,0.456801124226302,0.449,0.194,2.29814160080222e-146,"High.ISGs","RAB7A"
"PIM3",2.82928838948508e-150,0.365742799657315,0.375,0.15,3.97599897374338e-146,"High.ISGs","PIM3"
"RGCC",9.18015972750882e-150,-1.28111370431538,0.24,0.403,1.29008784650681e-145,"High.ISGs","RGCC"
"NDUFS5",2.92484839776756e-149,-1.1702714131887,0.245,0.384,4.11028945338275e-145,"High.ISGs","NDUFS5"
"SPATS2L",4.58710577536818e-149,0.473499522304442,0.296,0.105,6.4462597461249e-145,"High.ISGs","SPATS2L"
"PRELID1",1.60589883314033e-148,0.514176728836732,0.467,0.214,2.2567696302121e-144,"High.ISGs","PRELID1"
"SPCS1",2.77506464546735e-148,-1.10634832939733,0.226,0.371,3.89979834627527e-144,"High.ISGs","SPCS1"
"IFIH1",3.13943140025766e-148,0.561839022099134,0.354,0.144,4.41184294678208e-144,"High.ISGs","IFIH1"
"COMMD6",7.69287052370346e-148,-1.01782198848389,0.354,0.463,1.08107909469605e-143,"High.ISGs","COMMD6"
"RNH1",1.18205529394552e-147,0.433489090821627,0.407,0.17,1.66114230458164e-143,"High.ISGs","RNH1"
"PRR13",2.17312215594128e-147,0.433574846774863,0.697,0.366,3.05388856574428e-143,"High.ISGs","PRR13"
"TRMT112",2.65667672984251e-147,-1.04088250674001,0.306,0.43,3.73342780844767e-143,"High.ISGs","TRMT112"
"TMSB10",1.69718983134392e-146,0.467873651077004,0.969,0.857,2.38506086998761e-142,"High.ISGs","TMSB10"
"NAPA",3.09284854531572e-146,0.440882848323022,0.398,0.167,4.34638006073219e-142,"High.ISGs","NAPA"
"GIMAP4",1.24927084966705e-145,-1.26710097548447,0.211,0.365,1.75560032503711e-141,"High.ISGs","GIMAP4"
"SOCS1",8.24728298479754e-144,-1.09990340834874,0.199,0.362,1.1589906778536e-139,"High.ISGs","SOCS1"
"ENY2",9.8881099930102e-144,0.427724824509606,0.448,0.197,1.38957609731772e-139,"High.ISGs","ENY2"
"SHFM1",5.76268547027703e-143,0.379422297700096,0.421,0.178,8.09830189138031e-139,"High.ISGs","SHFM1"
"NDUFB8.1",1.17583813465027e-141,-1.08874726490357,0.25,0.387,1.65240533062402e-137,"High.ISGs","NDUFB8.1"
"EIF3F",2.60479054153392e-140,-1.06162526980788,0.284,0.412,3.66051214801762e-136,"High.ISGs","EIF3F"
"NANS",1.82485193807521e-139,0.440987318620972,0.278,0.098,2.56446442857709e-135,"High.ISGs","NANS"
"ISCU",2.02753379198615e-139,-0.980146668383199,0.334,0.45,2.84929323787813e-135,"High.ISGs","ISCU"
"IRF7",2.65780058568043e-139,0.587422117074131,0.664,0.429,3.73500716305671e-135,"High.ISGs","IRF7"
"OAS1",4.31698805395282e-139,0.729859877195508,0.572,0.371,6.0666633122199e-135,"High.ISGs","OAS1"
"CUTA",4.65810565089674e-139,-1.1652362625997,0.121,0.27,6.54603587120519e-135,"High.ISGs","CUTA"
"ISG15",8.89492455360449e-138,2.31633712077856,0.673,0.656,1.25000374751804e-133,"High.ISGs","ISG15"
"SAMHD1",2.69084184546503e-137,0.403402906929692,0.262,0.089,3.781440045432e-133,"High.ISGs","SAMHD1"
"RNF114",5.97274096337045e-136,0.518379498832925,0.322,0.127,8.39349287582449e-132,"High.ISGs","RNF114"
"RAB8A",1.28956664713543e-135,0.395438031869578,0.383,0.161,1.81222800921942e-131,"High.ISGs","RAB8A"
"PSME2",7.20570621283316e-135,0.41811015442983,0.864,0.629,1.01261789408944e-130,"High.ISGs","PSME2"
"BIRC3",4.59204152238696e-134,-1.10115508214657,0.251,0.396,6.4531959514104e-130,"High.ISGs","BIRC3"
"UBA52",2.11554549297044e-133,-0.48656438946071,0.898,0.837,2.97297608127136e-129,"High.ISGs","UBA52"
"RARRES3",2.26347964605904e-133,-1.42699706026987,0.193,0.334,3.18086794660677e-129,"High.ISGs","RARRES3"
"ATP5G2",1.42151637013047e-132,-0.883444083556401,0.424,0.508,1.99765695494436e-128,"High.ISGs","ATP5G2"
"NFE2L2",7.3798108962356e-132,0.325063941206531,0.431,0.191,1.03708482524799e-127,"High.ISGs","NFE2L2"
"NR3C1",7.81812036451799e-132,-1.21918144555685,0.114,0.257,1.09868045482571e-127,"High.ISGs","NR3C1"
"CD52",9.72156631024823e-132,-1.29690944275841,0.254,0.385,1.36617171357918e-127,"High.ISGs","CD52"
"CALR",3.80559198470953e-131,0.427320908469571,0.34,0.139,5.3479984161123e-127,"High.ISGs","CALR"
"UBC",1.29722148065634e-130,-0.829412618065329,0.856,0.805,1.82298534676635e-126,"High.ISGs","UBC"
"RPL22",1.39888225560172e-130,-1.03376104550675,0.301,0.413,1.9658492337971e-126,"High.ISGs","RPL22"
"ILK",1.50374766847631e-129,0.355607462363709,0.288,0.106,2.11321659850976e-125,"High.ISGs","ILK"
"IFIT2",1.71736682872318e-128,1.20399303356281,0.505,0.367,2.41341560440469e-124,"High.ISGs","IFIT2"
"OSTF1",6.12691577135916e-128,0.304776433137119,0.38,0.16,8.61015473349103e-124,"High.ISGs","OSTF1"
"LDHA",2.20948099114285e-127,-1.02400636756169,0.4,0.495,3.10498363685304e-123,"High.ISGs","LDHA"
"MYL12A",6.64880251152739e-127,0.422357331622794,0.898,0.686,9.34356216944944e-123,"High.ISGs","MYL12A"
"REEP5",9.64826708482514e-127,0.357807758895886,0.382,0.164,1.35587097343048e-122,"High.ISGs","REEP5"
"POLD4",4.4070150450378e-126,0.453990577186851,0.323,0.132,6.19317824279163e-122,"High.ISGs","POLD4"
"PPP1CA",1.84159443013902e-124,0.332280111216758,0.57,0.283,2.58799265267437e-120,"High.ISGs","PPP1CA"
"RPL28",1.7089728724021e-123,-0.410925247537111,0.966,0.915,2.40161957758667e-119,"High.ISGs","RPL28"
"BAZ1A",3.44194343006047e-123,0.324224283911237,0.514,0.25,4.83696310226398e-119,"High.ISGs","BAZ1A"
"DBNL",3.54592496020727e-123,0.346850454255045,0.341,0.141,4.98308834657928e-119,"High.ISGs","DBNL"
"MTCH1",7.68019655508209e-123,0.347077843613918,0.288,0.11,1.07929802188569e-118,"High.ISGs","MTCH1"
"PPP2R5C",1.01412892219906e-121,-1.13872927812933,0.127,0.263,1.42515537436634e-117,"High.ISGs","PPP2R5C"
"RTCB",2.5680558098421e-121,0.420225947480069,0.336,0.144,3.6088888295711e-117,"High.ISGs","RTCB"
"CD58",5.24320692913564e-120,0.318470109753422,0.287,0.111,7.36827869751431e-116,"High.ISGs","CD58"
"SEPT7",3.38040691195867e-119,-1.05334069375625,0.312,0.414,4.75048583337552e-115,"High.ISGs","SEPT7"
"DECR1",1.66144313143597e-117,0.339615825549466,0.291,0.114,2.33482603260697e-113,"High.ISGs","DECR1"
"TSC22D3",3.03801843989963e-117,-1.26100465975198,0.129,0.264,4.26932731359095e-113,"High.ISGs","TSC22D3"
"TOMM7",2.03991649062879e-116,-0.904373060755553,0.391,0.466,2.86669464428064e-112,"High.ISGs","TOMM7"
"EZR",5.07098622407508e-115,-1.20614302289952,0.162,0.291,7.12625694069271e-111,"High.ISGs","EZR"
"HMGA1",4.45376672706227e-114,0.41554040190113,0.35,0.155,6.2588783815406e-110,"High.ISGs","HMGA1"
"ACTR2",4.48740358427936e-114,0.330182290703308,0.296,0.118,6.30614825698778e-110,"High.ISGs","ACTR2"
"IFI35",4.60162989584016e-114,0.477268600957248,0.521,0.298,6.46667049262418e-110,"High.ISGs","IFI35"
"HLA-DQA1",6.37369886205138e-114,0.455793700247985,0.29,0.121,8.9569590108408e-110,"High.ISGs","HLA-DQA1"
"CIR1",2.5439325772563e-113,0.38211566814098,0.321,0.136,3.57498845081828e-109,"High.ISGs","CIR1"
"CD47",1.72812948101086e-112,0.420211786649324,0.57,0.311,2.42854035966457e-108,"High.ISGs","CD47"
"MDH1",2.97001259013139e-111,-1.05164102086094,0.156,0.283,4.17375869291164e-107,"High.ISGs","MDH1"
"WDR1",6.52704848275512e-111,0.309581569209301,0.304,0.125,9.17246123281577e-107,"High.ISGs","WDR1"
"HN1",1.09310851881562e-110,0.578535811275649,0.257,0.103,1.5361454014916e-106,"High.ISGs","HN1"
"OASL",4.55067078030891e-110,0.467602554748116,0.517,0.309,6.39505764756811e-106,"High.ISGs","OASL"
"ANP32B",7.83388343472087e-109,-1.05279656748093,0.14,0.267,1.10089563908132e-104,"High.ISGs","ANP32B"
"ACTR3",1.99630509950184e-108,0.311424762760036,0.576,0.301,2.80540755632994e-104,"High.ISGs","ACTR3"
"AP2S1",1.51498933482745e-107,0.327008651748805,0.378,0.173,2.12901451223302e-103,"High.ISGs","AP2S1"
"EIF6",5.32797581229011e-107,0.301535154953087,0.481,0.236,7.48740440901129e-103,"High.ISGs","EIF6"
"SKP1",2.08937668167525e-106,-0.654752751550097,0.647,0.636,2.93620105075823e-102,"High.ISGs","SKP1"
"IRF2",2.5129638012183e-106,0.364504962935132,0.279,0.115,3.53146802985208e-102,"High.ISGs","IRF2"
"ERH",4.79075255304936e-106,-1.0068404936941,0.274,0.375,6.73244456280027e-102,"High.ISGs","ERH"
"HLA-B",9.7066851308921e-106,-0.337524375140608,0.999,0.998,1.36408046144427e-101,"High.ISGs","HLA-B"
"RNF181",1.09073475300506e-105,0.325791905784794,0.348,0.154,1.53280954839801e-101,"High.ISGs","RNF181"
"TANK",3.15569469389394e-105,0.254833327266288,0.293,0.121,4.43469775332915e-101,"High.ISGs","TANK"
"PYURF",6.85428891289171e-102,-1.04192424595411,0.155,0.274,9.63233220928672e-98,"High.ISGs","PYURF"
"TMBIM4.1",7.76469923227116e-101,0.31680446415001,0.494,0.25,1.09117318311107e-96,"High.ISGs","TMBIM4.1"
"RAB2A",3.05414551092099e-100,0.270539469024785,0.3,0.128,4.29199068649726e-96,"High.ISGs","RAB2A"
"PCBP1",8.49172721604383e-100,0.32221884515551,0.69,0.396,1.19334242567064e-95,"High.ISGs","PCBP1"
"ARHGDIA",5.63031593928725e-99,0.250629215245625,0.372,0.172,7.91228298948037e-95,"High.ISGs","ARHGDIA"
"HNRNPF",2.16587933803966e-98,-0.983159413804546,0.29,0.38,3.04371023374713e-94,"High.ISGs","HNRNPF"
"NDUFA12",1.75074610045999e-97,0.414705195760469,0.548,0.31,2.46032349497643e-93,"High.ISGs","NDUFA12"
"KIF5B",1.95612095400985e-97,0.274841587852368,0.271,0.113,2.74893677667004e-93,"High.ISGs","KIF5B"
"GBP4",3.98011731125744e-97,0.318618526063922,0.428,0.224,5.59325885751008e-93,"High.ISGs","GBP4"
"C7orf73",5.73111104580193e-95,0.276315102840739,0.266,0.11,8.05393035266545e-91,"High.ISGs","C7orf73"
"VAMP2",8.83700269055404e-95,-1.04203727739827,0.168,0.281,1.24186398810356e-90,"High.ISGs","VAMP2"
