"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KYNU",0,2.96881899502562,0.828,0.034,0,"High.ISGs","KYNU"
"IGSF6",0,2.96591541643508,0.684,0.013,0,"High.ISGs","IGSF6"
"FAM26F",0,2.94340612547202,0.498,0.044,0,"High.ISGs","FAM26F"
"PLAUR",0,2.90607567162701,0.72,0.033,0,"High.ISGs","PLAUR"
"IFITM3",0,2.82062187428947,0.654,0.224,0,"High.ISGs","IFITM3"
"PSAP",0,2.81254997634467,0.942,0.175,0,"High.ISGs","PSAP"
"SPI1",0,2.79478592047754,0.808,0.032,0,"High.ISGs","SPI1"
"PLA2G7",0,2.71679148303998,0.585,0.01,0,"High.ISGs","PLA2G7"
"FCGR3A",0,2.67437517368441,0.495,0.032,0,"High.ISGs","FCGR3A"
"S100A11",0,2.62929620876002,0.997,0.478,0,"High.ISGs","S100A11"
"ANXA2",0,2.61158817654444,0.957,0.259,0,"High.ISGs","ANXA2"
"MAFB",0,2.60408809291716,0.626,0.01,0,"High.ISGs","MAFB"
"NINJ1",0,2.55023063141267,0.737,0.06,0,"High.ISGs","NINJ1"
"CD68",0,2.516133957633,0.754,0.047,0,"High.ISGs","CD68"
"NPC2",0,2.49680189036548,0.935,0.208,0,"High.ISGs","NPC2"
"FGL2",0,2.48556256625906,0.573,0.016,0,"High.ISGs","FGL2"
"S100A10",0,2.47412680616615,0.973,0.406,0,"High.ISGs","S100A10"
"CFP",0,2.43504857732569,0.613,0.014,0,"High.ISGs","CFP"
"FTH1",0,2.43058929809158,1,0.988,0,"High.ISGs","FTH1"
"CXCL16",0,2.39987733357513,0.565,0.021,0,"High.ISGs","CXCL16"
"IL4I1",0,2.39732789120611,0.533,0.021,0,"High.ISGs","IL4I1"
"C3AR1",0,2.36422689638093,0.619,0.035,0,"High.ISGs","C3AR1"
"LST1",0,2.34306079087042,0.622,0.027,0,"High.ISGs","LST1"
"CCL3",0,2.334265812709,0.425,0.043,0,"High.ISGs","CCL3"
"AIF1",0,2.33054060504247,0.562,0.029,0,"High.ISGs","AIF1"
"GPX1",0,2.32288189578387,0.751,0.122,0,"High.ISGs","GPX1"
"MARCKSL1",0,2.281414764689,0.658,0.13,0,"High.ISGs","MARCKSL1"
"CFD",0,2.27499614782169,0.538,0.012,0,"High.ISGs","CFD"
"CSTB",0,2.26889548046546,0.817,0.238,0,"High.ISGs","CSTB"
"PILRA",0,2.23992936192565,0.577,0.01,0,"High.ISGs","PILRA"
"CTSC",0,2.22855687688837,0.429,0.102,0,"High.ISGs","CTSC"
"SDCBP",0,2.22023862744212,0.91,0.23,0,"High.ISGs","SDCBP"
"GSTO1",0,2.21007100652975,0.894,0.209,0,"High.ISGs","GSTO1"
"TNFSF13B",0,2.15880341618494,0.555,0.107,0,"High.ISGs","TNFSF13B"
"PLEK",0,2.15414287324883,0.577,0.045,0,"High.ISGs","PLEK"
"GLUL",0,2.12145566613446,0.557,0.046,0,"High.ISGs","GLUL"
"HSPA1A",0,2.11464372592443,0.568,0.073,0,"High.ISGs","HSPA1A"
"S100A6",0,2.10769821368116,0.963,0.407,0,"High.ISGs","S100A6"
"RAC1",0,2.05127487991396,0.903,0.213,0,"High.ISGs","RAC1"
"GRN",0,2.02543537582345,0.643,0.052,0,"High.ISGs","GRN"
"LILRB4",0,2.00156498726956,0.512,0.015,0,"High.ISGs","LILRB4"
"HLA-DRA",0,1.97287252725322,0.976,0.257,0,"High.ISGs","HLA-DRA"
"HPSE",0,1.97001926261066,0.412,0.011,0,"High.ISGs","HPSE"
"SERPINA1",0,1.95615676242004,0.47,0.007,0,"High.ISGs","SERPINA1"
"RP11-290F20.3",0,1.92640108302707,0.439,0.005,0,"High.ISGs","RP11-290F20.3"
"CD300E",0,1.9240526382032,0.474,0.01,0,"High.ISGs","CD300E"
"SAT1",0,1.9196596295603,0.981,0.549,0,"High.ISGs","SAT1"
"TNFAIP6",0,1.90769257645132,0.26,0.005,0,"High.ISGs","TNFAIP6"
"HMOX1",0,1.90583649536713,0.42,0.01,0,"High.ISGs","HMOX1"
"CTSD",0,1.88665810847204,0.482,0.047,0,"High.ISGs","CTSD"
"CD86",0,1.88303298172985,0.462,0.017,0,"High.ISGs","CD86"
"HLA-DRB1",0,1.87035775584753,0.924,0.233,0,"High.ISGs","HLA-DRB1"
"MS4A6A",0,1.83540039264498,0.357,0.007,0,"High.ISGs","MS4A6A"
"CYP1B1",0,1.81801624326288,0.301,0.005,0,"High.ISGs","CYP1B1"
"ATP6V0B",0,1.8135427935131,0.856,0.245,0,"High.ISGs","ATP6V0B"
"IFI30",0,1.76566749890893,0.456,0.013,0,"High.ISGs","IFI30"
"ADA",0,1.76524356207514,0.487,0.076,0,"High.ISGs","ADA"
"CTSS",0,1.76316191134046,0.838,0.254,0,"High.ISGs","CTSS"
"CCL4",0,1.75845125383873,0.319,0.068,0,"High.ISGs","CCL4"
"SLC31A2",0,1.75039957195585,0.434,0.021,0,"High.ISGs","SLC31A2"
"CYBB",0,1.73821666563122,0.47,0.019,0,"High.ISGs","CYBB"
"ATF5",0,1.73633815416221,0.428,0.016,0,"High.ISGs","ATF5"
"WARS",0,1.7192959303752,0.476,0.075,0,"High.ISGs","WARS"
"CARD16",0,1.70957472817506,0.838,0.25,0,"High.ISGs","CARD16"
"BID",0,1.70581010435268,0.633,0.091,0,"High.ISGs","BID"
"NCF2",0,1.70541757428319,0.442,0.01,0,"High.ISGs","NCF2"
"CXCL2",0,1.69551335777575,0.252,0.005,0,"High.ISGs","CXCL2"
