,Gene1,Gene2,mutex_q,log_odds
110,MLLT3.KMT2A,CEBPA,0.379911995224584,0
111,MLLT3.KMT2A,DNMT3A,0.0422786850087291,-3.09742226797974
112,MLLT3.KMT2A,EZH2,0.582149888484911,0
113,MLLT3.KMT2A,FLT3,0.984016582886635,1.71107055797791
114,MLLT3.KMT2A,FLT3_ITD,0.333669368398954,-0.341749293722057
115,MLLT3.KMT2A,GATA2,0.582149888484911,0
116,MLLT3.KMT2A,IDH1,0.274862354389298,0
117,MLLT3.KMT2A,IDH2,0.14743751858683,0
118,MLLT3.KMT2A,JAK2,0.556910388996968,0
119,MLLT3.KMT2A,KIT,0.735045689225447,0
120,MLLT3.KMT2A,KRAS,0.810300736681723,0.673186437997407
121,NPM1,ASXL1,0.00524101264231398,-0.962059150329736
122,NPM1,BCOR,8.0370303825686e-05,-3.09742226797974
123,NPM1,BCORL1,0.136994869448655,-1.19368993737035
124,NPM1,CBFB.MYH11,0.000261525359171487,-3.09742226797974
125,NPM1,CEBPA,0.0480402317998985,-0.590456893457998
126,NPM1,DNMT3A,0.99999730881483,1.62288248135562
127,NPM1,EZH2,0.0225241924544522,-1.74238319583016
128,NPM1,FLT3,0.985519496200309,1.31401471592632
129,NPM1,FLT3_ITD,0.99999730881483,1.61244795640325
130,NPM1,GATA2,0.00382836668287818,-3.09742226797974
131,NPM1,IDH1,0.626269482865586,0.552491982207572
132,NPM1,IDH2,0.508562711360392,0.446720703355657
133,NPM1,JAK2,0.0445079734453788,-1.10121985207519
134,NPM1,KIT,0.185890750905374,-1.08577514190743
135,NPM1,KRAS,0.047874893774123,-0.849925982793473
136,NPM1,MLLT3.KMT2A,0.261483605359476,-0.492760616368352
137,NRAS,ASXL1,0.484256153015284,0.308301359654517
138,NRAS,BCOR,0.366683283191058,0.0492479348343268
139,NRAS,BCORL1,0.684033816967366,0.424365059238648
140,NRAS,CBFB.MYH11,0.982078516728343,1.38679274139435
141,NRAS,CEBPA,0.0766920362189665,-0.826967215126146
142,NRAS,DNMT3A,0.239510506496224,0.149267358556337
143,NRAS,EZH2,0.375455140063691,-0.166537689092693
144,NRAS,FLT3,0.261483605359476,-0.00394166848533253
145,NRAS,FLT3_ITD,1.52997719630973e-08,-3.09742226797974
146,NRAS,GATA2,0.874569953104363,1.0106014113454
147,NRAS,IDH1,0.349759716904872,0.108146517808109
148,NRAS,IDH2,0.00368405935202227,-1.20894793896605
149,NRAS,JAK2,0.316586977205656,-0.288805037196405
150,NRAS,KIT,0.484102053175975,-0.283819998685837
151,NRAS,KRAS,0.368913728090511,-0.0289875368732523
152,NRAS,MLLT3.KMT2A,0.379911995224584,-0.488905712357106
153,NRAS,NPM1,0.0405867295320072,-0.254192128108521
154,PDS5B,ASXL1,0.644510909986724,0.129356021214042
155,PDS5B,BCOR,0.775412389771149,0.526563204814001
156,PDS5B,BCORL1,0.735045689225447,0
157,PDS5B,CBFB.MYH11,0.488290633253649,0
158,PDS5B,CEBPA,0.75623102573291,0.45579019199568
159,PDS5B,DNMT3A,0.771815411705906,0.767629544331668
160,PDS5B,EZH2,0.608676778368927,0
161,PDS5B,FLT3,0.823603559098412,0.852574917488047
162,PDS5B,FLT3_ITD,0.192310937825574,-1.04363015425076
163,PDS5B,GATA2,0.894749950991089,1.08479173304948
164,PDS5B,IDH1,0.850645695117395,0.954051133930333
165,PDS5B,IDH2,0.18053930524443,0
166,PDS5B,JAK2,0.580114953625013,0
167,PDS5B,KIT,0.755632532315512,0
168,PDS5B,KRAS,0.518283990779185,0
169,PDS5B,MLLT3.KMT2A,0.71807327464084,0
170,PDS5B,NPM1,0.703435021250973,0.580453214411033
171,PDS5B,NRAS,0.947438381973892,1.40399393821929
172,PHF6,ASXL1,0.496649867152598,-0.21551962620355
173,PHF6,BCOR,0.864921021772737,0.986308718776352
174,PHF6,BCORL1,0.923954126886671,1.28489424667816
175,PHF6,CBFB.MYH11,0.366683283191058,0
176,PHF6,CEBPA,0.634856049435018,0.111104356837078
177,PHF6,DNMT3A,0.561023788153381,0.305864391534971
178,PHF6,EZH2,0.508562711360392,0
179,PHF6,FLT3,0.177630100254344,0
180,PHF6,FLT3_ITD,0.363039630491481,-0.114745617885548
181,PHF6,GATA2,0.508562711360392,0
182,PHF6,IDH1,0.739912244521731,0.577940560428742
183,PHF6,IDH2,0.534738848189832,0.10095522218991
184,PHF6,JAK2,0.477533441994489,0
185,PHF6,KIT,0.684033816967366,0
186,PHF6,KRAS,0.743563615621561,0.425957628498282
187,PHF6,MLLT3.KMT2A,0.630503393612508,0
188,PHF6,NPM1,0.138293515313641,-0.762827101197935
189,PHF6,NRAS,0.26718919108353,-0.73672706126397
190,PHF6,PDS5B,0.923954126886671,1.28489424667816
191,PML.RARA,ASXL1,0.210233652078451,0
192,PML.RARA,BCOR,0.332709964252638,0
193,PML.RARA,BCORL1,0.658991404357543,0
194,PML.RARA,CBFB.MYH11,0.366683283191058,0
195,PML.RARA,CEBPA,0.305953779329962,0
196,PML.RARA,DNMT3A,0.0178878848325615,-3.09742226797974
197,PML.RARA,EZH2,0.508562711360392,0
198,PML.RARA,FLT3,0.457686264436409,-0.314966031400249
199,PML.RARA,FLT3_ITD,0.81849809754358,0.900407685701152
200,PML.RARA,GATA2,0.508562711360392,0
201,PML.RARA,IDH1,0.210233652078451,0
202,PML.RARA,IDH2,0.0895800276000548,-3.09742226797974
203,PML.RARA,JAK2,0.803681415101289,0.62509371731493
204,PML.RARA,KIT,0.684033816967366,0
205,PML.RARA,KRAS,0.406994322175373,0
206,PML.RARA,MLLT3.KMT2A,0.630503393612508,0
207,PML.RARA,NPM1,0.0125856462196119,-3.09742226797974
208,PML.RARA,NRAS,0.0789482474079243,-3.09742226797974
209,PML.RARA,PDS5B,0.923954126886671,1.28489424667816
210,PML.RARA,PHF6,0.569608349475545,0
211,PTPN11,ASXL1,0.239128836609552,-0.775838896405059
212,PTPN11,BCOR,0.669388874159385,0.395059186947048
213,PTPN11,BCORL1,0.820160554603417,0.725937003382936
214,PTPN11,CBFB.MYH11,0.205738461725215,0
215,PTPN11,CEBPA,0.132330764238668,0
216,PTPN11,DNMT3A,0.859512087103818,0.958742465608883
217,PTPN11,EZH2,0.864921021772737,0.979469633495687
218,PTPN11,FLT3,0.616787827297985,0.358945092473272
219,PTPN11,FLT3_ITD,0.253889742695668,-0.116938797531103
220,PTPN11,GATA2,0.661754021062276,0.18109531507071
221,PTPN11,IDH1,0.239128836609552,-0.775838896405059
222,PTPN11,IDH2,0.725365743732065,0.619680028678073
223,PTPN11,JAK2,0.286010446285422,0
224,PTPN11,KIT,0.548377568892296,0
225,PTPN11,KRAS,0.535894226688589,-0.133531392624523
226,PTPN11,MLLT3.KMT2A,0.803681415101289,0.628608659422374
227,PTPN11,NPM1,0.844443165862838,0.938139143101364
