gene,immune_cells,cor,p.value
ARHGAP31,aDC,0.285464266668829,1.53146828577378e-13
ARHGAP31,B.cells,0.199776926052023,3.19550496398649e-07
ARHGAP31,CD8.T.cells,0.190973249197043,1.05045370093954e-06
ARHGAP31,Cytotoxic.cells,0.214720872877266,3.73959549650311e-08
ARHGAP31,DC,0.398004019108761,7.11786461191625e-26
ARHGAP31,Eosinophils,0.254159019550696,5.94644545383596e-11
ARHGAP31,iDC,0.423095488877552,2.34971834287553e-29
ARHGAP31,Macrophages,0.662815902368599,1.02817348681152e-82
ARHGAP31,Mast.cells,0.463128501654482,1.49252336697346e-35
ARHGAP31,Neutrophils,0.423242166652005,2.23762213021437e-29
ARHGAP31,NK.CD56bright.cells,-0.14714263224315,0.000178803759036857
ARHGAP31,NK.CD56dim.cells,-0.0741327759070156,0.0600792073295211
ARHGAP31,NK.cells,0.388817618626029,1.13370496200714e-24
ARHGAP31,pDC,0.318052813553844,1.32472647510967e-16
ARHGAP31,T.cells,0.294870200803263,2.19053807231274e-14
ARHGAP31,T.helper.cells,0.311532360148914,5.8359759236345e-16
ARHGAP31,Tcm,0.277053153365816,8.20163498485786e-13
ARHGAP31,Tem,0.451832425912813,1.01580965965438e-33
ARHGAP31,TFH,0.35260442848508,2.73778182429094e-20
ARHGAP31,Tgd,0.516186473844182,3.86002251539009e-45
ARHGAP31,Th1.cells,0.384206827835207,4.402886909003e-24
ARHGAP31,Th17.cells,-0.152043229021175,0.000107296453075479
ARHGAP31,Th2.cells,0.00205025379877014,0.958585598477632
ARHGAP31,TReg,0.290871988762338,5.05123414405063e-14
PNPT1,aDC,-0.0693244718250656,0.0787550838813967
PNPT1,B.cells,-0.0775314398180387,0.0492217233607233
PNPT1,CD8.T.cells,-0.0436586974678879,0.268592944055784
PNPT1,Cytotoxic.cells,-0.279836896260572,4.73627735755084e-13
PNPT1,DC,-0.295989502329286,1.72959886386718e-14
PNPT1,Eosinophils,-0.313612906329832,3.65051387873881e-16
PNPT1,iDC,-0.461898932634751,2.3810608597947e-35
PNPT1,Macrophages,-0.145420248241536,0.000213162541187645
PNPT1,Mast.cells,-0.321940082041115,5.37785843604201e-17
PNPT1,Neutrophils,-0.187622322898178,1.6290707495691e-06
PNPT1,NK.CD56bright.cells,-0.40157361810905,2.37111106006247e-26
PNPT1,NK.CD56dim.cells,-0.00768648721825105,0.845639474796952
PNPT1,NK.cells,-0.330269549134808,7.45303411421919e-18
PNPT1,pDC,-0.266632482378883,6.06444316350287e-12
PNPT1,T.cells,-0.224963903711272,7.83365012427739e-09
PNPT1,T.helper.cells,0.359032441320489,5.00692595570468e-21
PNPT1,Tcm,0.355613361799063,1.2420107637306e-20
PNPT1,Tem,-0.0697862752385043,0.0767780288677395
PNPT1,TFH,-0.287937090326217,9.24951786435128e-14
PNPT1,Tgd,0.16216131276309,3.55582359758567e-05
PNPT1,Th1.cells,-0.1708024527934,1.31182088631953e-05
PNPT1,Th17.cells,-0.306020635364729,1.98683271488825e-15
PNPT1,Th2.cells,0.293249480723968,3.07839222704576e-14
PNPT1,TReg,-0.229893007988258,3.59285581207202e-09
