nes size p.value p.adj
ZNF726 -3.05656781364428 444 0.00223886830394142 0.010940722740713
ZNF846 -3.0557939100999 354 0.00224465484880495 0.010940722740713
NR2E1 3.05381551487296 205 0.00225950983224376 0.010940722740713
DLX1 3.05295010592667 329 0.0022660361166594 0.010940722740713
ZNF501 -3.05213160992964 275 0.002272224504092 0.010940722740713
FOXP2 -3.05171963813925 412 0.00227534514554908 0.010940722740713
ZNF554 -3.05160052638773 297 0.00227624813551668 0.010940722740713
ZNF518B 3.05154327148595 462 0.00227668230356171 0.010940722740713
THRA -3.05115923258657 271 0.00227959645977646 0.010940722740713
ZNF618 3.04968229887311 380 0.00229083556663753 0.010940722740713
TEAD4 3.0484460209906 435 0.00230028234233087 0.010940722740713
ZNF439 -3.04648298638967 242 0.00231535582142121 0.010940722740713
ZNF418 -3.04579206922391 333 0.0023206826275519 0.010940722740713
NR2F2 -3.04476411903854 379 0.0023286286514374 0.010940722740713
TFCP2 3.04426068236269 407 0.00233252928422029 0.010940722740713
ARNT -3.04260266301733 372 0.00234541797733286 0.010940722740713
ZNF443 -3.04257451604324 251 0.00234563734104108 0.010940722740713
SP140L 3.0410242777185 309 0.00235774818982096 0.0109580752167479
ZNF197 -3.03718433371769 390 0.00238799374626665 0.0110592901866108
RARB -3.03589442887374 308 0.00239823318943904 0.0110674648247611
ZNF90 -3.03433915228556 371 0.00241063262791997 0.0110784897238079
PBX1 -3.03346996850601 483 0.00241758772686465 0.0110784897238079
RXRB -3.02841828287095 347 0.00245837554498911 0.0112260086075377
ZNF813 -3.02655893958024 179 0.00247354592454043 0.0112559267506962
ZNF549 -3.02459549484963 257 0.00248965861088966 0.0112899102285482
DLX5 3.02197497045026 342 0.00251131312435154 0.0113487022159277
TCFL5 3.02057325413058 334 0.00252296670389023 0.0113520329475699
SPDEF -3.01979783599876 628 0.00252943460010938 0.0113520329475699
EBF1 -3.00821539192738 507 0.00262786814892557 0.0117534102825233
ZBTB16 -3.00699062094032 278 0.0026384790341719 0.0117605925550461
ZNF417 -3.00510548339232 388 0.00265488759923309 0.0117934802877497
ZNF667 -3.00259023781223 316 0.00267692597972909 0.0118510689136481
ZSCAN5A 2.99966084149916 315 0.00270280379121449 0.0118808199838703
SOX4 2.99927236280022 343 0.00270625266275644 0.0118808199838703
BNC1 2.99874539137761 698 0.00271093748483412 0.0118808199838703
PPARA -2.9960004915255 478 0.0027354599280621 0.0119226131292603
ZNF43 -2.99563594082036 360 0.00273873195924816 0.0119226131292603
NFYC -2.99142010006392 442 0.00277683194304043 0.012048314011996
HOXA1 2.9900553745702 453 0.00278926876693854 0.012062202018615
ZNF578 -2.98589547610214 314 0.00282749269615278 0.0121017525450034
ZNF426 -2.98549709042611 343 0.00283117831380107 0.0121017525450034
ZNF30 -2.98536449821926 307 0.00283240594743735 0.0121017525450034
FOXL1 2.98503276080946 311 0.00283547953964092 0.0121017525450034
CTCF 2.9838392167187 340 0.00284656309398065 0.0121094833900284
ZNF597 2.98272311868109 374 0.0028569632393203 0.0121142662030919
GRHL3 -2.97752597216145 751 0.00290585023243489 0.0122816841539158
ZNF134 -2.97262663491902 289 0.00295263380893828 0.0123860430862173
ZNF10 -2.97257610388669 440 0.00295311988840666 0.0123860430862173
ZNF860 -2.97196610945619 429 0.00295899344785591 0.0123860430862173
VAX2 2.9701410364246 639 0.00297663056040609 0.0124170005267548
ZNF737 -2.96923679770386 220 0.00298540441454902 0.0124170005267548
POU6F2 2.9639448720704 657 0.00303722692560504 0.0125575174969601
ZNF267 2.96225533680718 426 0.00305394411067044 0.0125575174969601
ZNF219 -2.96128062563005 304 0.00306362656452234 0.0125575174969601
WT1 2.96126802964371 270 0.00306375187184776 0.0125575174969601
ZNF384 2.96091507911033 319 0.00306726499351476 0.0125575174969601
SP8 2.95824497336033 243 0.00309396135664525 0.0126272297868084
STAT3 2.95637139456141 316 0.0031128201559178 0.0126327789790361
ZBTB18 -2.95575051917688 410 0.00311909275612049 0.0126327789790361
TFAP2A 2.95496948355002 475 0.00312699979405673 0.0126327789790361
ZNF607 -2.95427828784697 328 0.00313401254916362 0.0126327789790361
TFAP4 2.95123942257045 353 0.00316501476403171 0.0126958857158546
ZSCAN32 2.94953865559645 504 0.0031824875821759 0.0126958857158546
HOXC10 2.94907991203967 144 0.00318721551202738 0.0126958857158546
KLF9 -2.94768477763712 442 0.0032016334926369 0.0126958857158546
CEBPB 2.946220417464 389 0.00321683079919471 0.0126958857158546
ZNF778 -2.94605632880599 409 0.00321853782042084 0.0126958857158546
ZNF570 -2.94505090957894 269 0.00322901527518909 0.0126958857158546
TP53 -2.94433475076247 571 0.00323649729536356 0.0126958857158546
LHX1 2.94427146562171 160 0.00323715922157701 0.0126958857158546
RARA 2.94293939672954 233 0.00325112055091285 0.0127124653877011
ZNF619 -2.94099759093431 269 0.00327157078199109 0.0127542431082996
IRF9 2.93928689529509 349 0.00328968408693407 0.0127866887426664
IRF3 2.93711559244303 248 0.00331280597099649 0.012838351923209
ZNF354C -2.93269280745114 276 0.00336036199109764 0.0129841205928211
ZNF484 2.93160334980211 498 0.00337217141829205 0.0129841914549099
SMAD1 2.93085876546076 349 0.00338026423787854 0.0129841914549099
ZNF674 2.92990723357537 373 0.00339063208991651 0.012985822608302
ZNF131 2.92848646538405 415 0.0034061666181985 0.012988948971748
PURA -2.92801466157833 286 0.00341133958446367 0.012988948971748
ZNF518A -2.92644999166951 536 0.00342854621889596 0.0130002350718831
TFDP1 2.92593632732516 428 0.00343421217442546 0.0130002350718831
ZNF569 -2.92357977940248 305 0.00346031539348896 0.0130611904736895
ZNF672 -2.91974801126284 300 0.00350314522809442 0.0131491656058238
POU6F1 -2.919693385047 300 0.00350375928853497 0.0131491656058238
GBX1 -2.91804329780115 217 0.00352235436324208 0.0131761270361767
GATA6 2.91655342634827 242 0.00353922103513192 0.0131761270361767
PURG -2.91637814034768 320 0.00354121025244871 0.0131761270361767
KLF16 2.91252645676899 252 0.00358517828356574 0.013273464681973
ZNF254 -2.91230706596035 410 0.00358769757483651 0.013273464681973
ZNF699 2.91068918772597 366 0.00360632564570305 0.0133046929188932
ZBTB4 -2.9072496649536 353 0.00364622055685607 0.0134139832317015
GRHL1 -2.9044662190639 367 0.00367879900039761 0.0134958188048294
ADNP2 2.90293336153673 400 0.00369685290668356 0.0135240613336939
ZNF41 -2.8992075786978 177 0.00374107127463987 0.0136475952086024
ZBTB14 -2.89760455682781 282 0.00376024376328894 0.0136793268937475
TEF -2.89658616221912 371 0.00377247032725637 0.0136856840205467
IRX2 2.89437129192776 338 0.00379918627681252 0.0137077128120949
ZNF577 -2.89434251744987 288 0.00379953448543519 0.0137077128120949
E2F4 2.88926630923783 306 0.00386141900227671 0.0138925983938661
FOXD1 2.88523489670412 436 0.00391121714513174 0.0140215103704121
KLF2 -2.88463136595545 422 0.00391872227044443 0.0140215103704121
ZNF623 2.8828108757537 238 0.00394144003031176 0.0140619054675944
ZNF750 -2.8820040793348 488 0.00395154617657514 0.0140619054675944
SMAD4 -2.87825259645044 414 0.00399884804425216 0.014191563983134
ZFPM1 2.87194524886948 421 0.00407953640205829 0.0144365128816539
IRF6 2.87113741739498 435 0.0040899768500857 0.0144365128816539
ZNF585B -2.86795872099177 242 0.00413129430665776 0.0145430468045688
ZNF33A -2.86491836535219 207 0.00417116757927389 0.0146439377917519
FOXN3 -2.8634733803333 599 0.00419024021280129 0.0146714576887895
MLXIP 2.86189085002872 515 0.00421121907262254 0.0147054869220456
MEIS3 2.86012020160734 338 0.00423480462588901 0.0147316404161456
MEIS2 -2.85891843396768 350 0.00425088070664259 0.0147316404161456
ZNF777 2.85825451039591 246 0.00425978574754297 0.0147316404161456
ZNF746 2.85763914328983 370 0.00426805461652468 0.0147316404161456
ZNF571 -2.85711504809794 161 0.00427510851280184 0.0147316404161456
MLXIPL -2.85584151628678 531 0.00429229329637508 0.0147519343291207
ZNF557 -2.85197534306384 424 0.00434484706975139 0.0148920162835514
ZNF837 -2.85097452444463 458 0.00435854613854634 0.0148920162835514
ESRRG -2.85033935728343 447 0.00436726051807059 0.0148920162835514
SATB1 -2.84687688145438 335 0.00441504339070117 0.0149673839270989
TFE3 2.84657363498692 430 0.00441925073746012 0.0149673839270989
TAL1 -2.84625004048706 489 0.00442374440724362 0.0149673839270989
HOXD12 2.84474698661785 73 0.00444467124943501 0.0149993298495145
ZBTB20 -2.84350269888282 336 0.00446206314957957 0.0150185681708199
HEYL 2.84193883512176 324 0.00448400933846541 0.0150185681708199
MSX2 2.84187757227314 402 0.00448487104641634 0.0150185681708199
ZBTB24 2.84036037911042 450 0.00450625943343184 0.0150515980052736
SOX13 -2.83787380412568 546 0.00454151343599983 0.0150892635372736
ZNF320 -2.83781769144687 181 0.00454231186134847 0.0150892635372736
SETDB1 2.83712368144337 398 0.00455219742242404 0.0150892635372736
ZBTB7B -2.83605261818378 336 0.00456749202438207 0.0151016318578303
USF1 2.83518751555446 307 0.0045798795061965 0.0151043500886177
ZNF530 2.83317389582466 262 0.00460883062766144 0.0151452742919781
FOXP1 -2.83271291272546 424 0.00461548175207297 0.0151452742919781
NPAS2 -2.83032843470162 485 0.00465002427689172 0.0152203802145879
TP73 2.82945241346035 476 0.00466277335933728 0.0152239550182362
GTF3A -2.82220757121239 404 0.00476942965048233 0.0155333544227679
SIX1 -2.81380979348927 497 0.00489581871582473 0.0158862152410943
ZFP14 -2.81225564218423 227 0.0049195386950518 0.0158862152410943
ZNF396 -2.81173904321138 254 0.00492744619040737 0.0158862152410943
ZFP64 2.81141578769586 383 0.00493240005489269 0.0158862152410943
ZNF583 -2.81101204456156 221 0.00493859371200942 0.0158862152410943
ZNF589 -2.80809419351484 354 0.00498356478271741 0.0159914879759925
HIVEP1 2.80518374415853 284 0.00502879035521909 0.0160970593233239
ZNF853 -2.80330510986431 377 0.00505817924211294 0.0161515454528105
