	Tumor_C3L-00977	Tumor_C3L-00987	Tumor_C3L-00994	Tumor_C3L-00995	Tumor_C3L-00997	Tumor_C3L-00999	Tumor_C3L-01138	Tumor_C3L-01237	Tumor_C3L-02617	Tumor_C3L-02621	Tumor_C3L-02651	Tumor_C3L-03378	Tumor_C3L-04025	Tumor_C3L-04354	Tumor_C3L-04791	Tumor_C3L-04844	Tumor_C3L-04849	Tumor_C3N-00204	Tumor_C3N-00295	Tumor_C3N-00297	Tumor_C3N-00299	Tumor_C3N-00306	Tumor_C3N-00307	Tumor_C3N-00498	Tumor_C3N-00519	Tumor_C3N-00822	Tumor_C3N-00825	Tumor_C3N-00828	Tumor_C3N-00829	Tumor_C3N-00846	Tumor_C3N-00857	Tumor_C3N-00871	Tumor_C3N-01337	Tumor_C3N-01338	Tumor_C3N-01339	Tumor_C3N-01340	Tumor_C3N-01620	Tumor_C3N-01645	Tumor_C3N-01752	Tumor_C3N-01754	Tumor_C3N-01755	Tumor_C3N-01756	Tumor_C3N-01757	Tumor_C3N-01758	Tumor_C3N-01858	Tumor_C3N-01859	Tumor_C3N-01943	Tumor_C3N-01944	Tumor_C3N-01945	Tumor_C3N-01946	Tumor_C3N-01947	Tumor_C3N-01948	Tumor_C3N-02275	Tumor_C3N-02279	Tumor_C3N-02333	Tumor_C3N-02693	Tumor_C3N-02694	Tumor_C3N-02695	Tumor_C3N-02700	Tumor_C3N-02713	Tumor_C3N-02714	Tumor_C3N-02716	Tumor_C3N-02727	Tumor_C3N-02730	Tumor_C3N-02925	Tumor_C3N-03008	Tumor_C3N-03009	Tumor_C3N-03011	Tumor_C3N-03012	Tumor_C3N-03013	Tumor_C3N-03015	Tumor_C3N-03027	Tumor_C3N-03028	Tumor_C3N-03042	Tumor_C3N-03045	Tumor_C3N-03226	Tumor_C3N-03433	Tumor_C3N-03456	Tumor_C3N-03457	Tumor_C3N-03458	Tumor_C3N-03487	Tumor_C3N-03488	Tumor_C3N-03490	Tumor_C3N-03612	Tumor_C3N-03619	Tumor_C3N-03620	Tumor_C3N-03664	Tumor_C3N-03781	Tumor_C3N-03782	Tumor_C3N-03783	Tumor_C3N-03785	Tumor_C3N-03837	Tumor_C3N-03841	Tumor_C3N-03849	Tumor_C3N-03876	Tumor_C3N-03878	Tumor_C3N-03888	Tumor_C3N-03889	Tumor_C3N-03928	Tumor_C3N-03933	Tumor_C3N-04152	Tumor_C3N-04273	Tumor_C3N-04275	Tumor_C3N-04276	Tumor_C3N-04277	Tumor_C3N-04278	Tumor_C3N-04279	Tumor_C3N-04280	Tumor_C3N-04611
ADNP	0.518735576662377	1.91490110652439	1.42756613026112	2.06548950111846	1.21565406361842	0.93789684440927	1.60658572776545	2.24274268220392	2.84925448505837	1.7864415559573	1.56831072991486	2.76904851190268	1.33657972369005	2.86169015137376	2.14221384162744	0.998296977926681	1.64771197986066	2.49508010614383	2.37379438007331	1.49853873023881	0.431090009610008	2.43870934076577	2.46101659224063	2.81872100833945	2.33838542713324	2.263320801569	0.864691174747002	2.73913860242962	2.28918229747484	1.9097389942814	1.30151885688671	0.581238016450753	1.87608386731659	0.687796889394023	1.86783288311772	1.41418698993699	2.28806172852947	1.611606210302	1.24582588482533	1.2011894377254	3.37749649346587	2.83657164722897	1.08433873254779	0.661555098675295	1.57342009721811	2.06967343955076	0.999888808248748	1.42900858470027	1.67890404815044	1.02376091341938	1.35366162036913	0.53826342027901	1.19812051224292	0.356823226910657	1.17672405982763	2.56828743621737	1.87818269130113	0.418055834162007	1.70589508443474	3.34764014464268	1.69867147098356	1.83112175330864	2.0901333760475	0.490063471099471	0.943379609943516	0.358892123848891	2.77562100118985	3.12988294478301	0.911538260823715	1.30930239880775	0.727680138178163	1.83913274377646	1.29722320443595	0.403548812134201	0.433097645845272	0.339798804080584	2.15291588613794	2.62361450816701	2.21354130395015	0.512796550181568	0.806563768177552	1.16304761233824	2.5226525880418	2.34326072710132	0.943299644783556	1.05868369583367	0.971351860377353	1.52975649294684	1.36126682395149	0.924048995104089	1.97638648586515	-0.0988800650004287	1.79631228442457	1.82457527474661	1.29751417057522	2.20792135680355	1.43924708278492	0.860327841355841	0.844679175690019	0.550332754188767	1.55817682027434	1.83859235094945	2.30783512650917	3.31624543244791	2.22444772101603	2.14423572324334	1.92201368486959	-0.288782697058814	1.93254982419473
ADNP2	1.75239800180222	2.40647204775629	2.35391086943713	1.74891502376003	1.61139391051706	0.720565143620604	1.74449463095222	2.23434668453795	1.51788348267942	1.48339537067826	2.53133871887249	2.71686548016019	0.587647878040153	2.25788106968317	1.6353927916331	1.49537780969175	1.71037182076559	1.34378829155853	1.69052321240489	0.816851239116755	1.37287779897156	1.79888326741395	1.8454919375189	2.1534464451162	2.16324274876225	2.14095151136379	2.67849037702579	1.23115641869672	2.34039940250269	1.77089491448572	2.64054711566016	1.67269899743839	1.42250232569754	1.6871415346013	2.27136033415865	0.941361293479886	1.01705376088743	1.74283953656032	1.9436646667973	1.11463992955957	3.95042437317392	3.84818383532722	1.52480602805273	1.38011400922443	2.02870916085093	2.30092349879557	1.94271302233179	1.93661502988913	2.27175737560053	1.65215319446324	1.94899895037683	1.23390775931383	1.5045139093342	0.918852908939358	0.988720519610425	2.76243438394954	2.66274908907769	1.03295743337926	1.58684900884993	3.31378361808769	1.64373592311202	1.86336066758822	1.6415906937896	1.91452573003288	1.34827606319558	1.62564952265408	2.74086159483512	3.74159134101059	1.7311458633254	0.868790911764201	2.55909935066593	1.77233118747246	1.57281372601519	1.23080261528549	0.973940579868054	1.45432204172724	2.52748715168208	2.00341194584765	2.78238558230028	1.40318425810997	1.16872655532453	1.7268108801893	2.99173617992348	1.72822334412618	1.0579274115884	2.52276971987714	1.58045195987159	1.26133629882334	1.5703774164152	1.39341261606397	3.00954975998372	0.962578026881046	2.49070307876532	1.87389240305958	1.63465412086374	1.76072604146951	1.7633364500488	0.750276833666637	1.00471628211506	1.08611214320662	1.95333741365669	3.52128088998918	0.888010906195186	3.45974427015385	0.876993223516551	2.34029851377991	1.96089420388399	0.887308410862482	2.53591928657373
AEBP2	1.30466853585049	2.19165523449508	0.571992872831626	1.55789674006628	2.14308387572679	1.31690556533775	1.48183855402597	1.1835301995176	1.95592217614759	1.88082082237236	1.92393251656569	2.18904679698165	0.775631312004609	1.77444850355658	1.23524008040851	2.35593425491968	1.85611936157883	1.39701413394287	2.59449505637904	1.58537125673419	1.6266589725841	1.31669075331054	1.40208157967013	2.87749721760288	1.24409620530619	1.83678149774468	1.09831731786084	2.14627356741571	2.30200021662118	1.40891484588752	2.65327164598826	1.60654663182652	1.15489922403455	1.73989291994861	2.94699129062802	1.50087159350921	1.79616318444814	1.5178057458734	1.73582047886645	1.95494540454477	1.69072870065195	2.30110467549481	1.54475878864839	1.3929804805446	1.43459099663489	2.39932430951181	2.15645099787143	1.44223175386859	1.97106849268977	1.45193697313626	0.428366119056584	1.32385938508036	1.78997002336418	1.12795189783249	1.42135830787564	1.69684226096955	0.433257773287507	1.18974684662422	1.76157089034391	2.26279976746444	1.24766875325904	1.47310040550505	1.33882419796968	0.338510465389098	1.81385135327579	0.818736478932498	2.05824600673015	1.6489940927125	1.52728919605196	0.734680460914998	0.840013034685989	2.24831277221404	0.877952465558111	1.0788997875525	0.689347630158053	0.451196921600236	1.90599231321173	2.39575932721274	0.914463371705435	1.63439883196659	1.04347605873059	1.5202770788579	2.02525716224961	0.145609693936453	1.24318564666749	0.664816443086116	1.39031113248179	1.15820142156272	2.11525376968226	1.82842292109835	0.846463603628513	1.12490868310843	1.94894951239964	1.98582276339046	2.04189433804587	1.96018568822681	2.01290910739764	1.0048001201654	0.769457574054657	1.08820932886846	1.92792757546467	1.62383288225317	1.83919903112731	1.6730905691814	0.654472516472025	2.3369946756797	1.84283529680724	1.32191334869467	1.47648029889266
AHR	2.0322103354532	0.95849924601914	2.22041937445334	2.35164161162501	2.13131330307793	2.35315936081484	1.68730260360201	1.64893918485347	1.13897768347354	1.98938848541012	2.25116633953387	1.32578276599642	1.86127764331145	1.73626969647027	2.04391169470468	1.62991688886161	1.97850483700852	0.877420105792	1.52889074443401	1.94300276907384	1.72121830397386	2.23746813173477	2.02803995182808	1.13964557558374	1.94285309586907	1.37013078853889	2.35629078654706	1.57923082861772	1.54062433351521	2.44052840118204	1.54001944901032	1.60465633589043	2.04680952284166	1.90527352088297	1.27688039412231	2.25054875020162	1.95167082995027	2.41070911346639	1.41602760657989	1.87610134695356	1.80998240951486	1.6390499282867	1.96563860948077	2.33399228536206	1.88761640339216	1.76237145097941	1.23518285544983	2.16478208450951	1.96277202696229	2.26677162828288	2.29447121512097	2.48246486637253	1.888164962017	2.04829536666132	2.25220224259002	1.25722920446425	2.47494822348144	1.64897473715273	1.80621649990024	0.703981806978586	2.44663976058468	2.11600832636457	2.58987585670504	2.40695577898915	2.44055150610927	1.9175980330145	1.19739262098402	1.62548332286172	1.36483715993099	2.42459510313671	2.26872740421106	1.48690781117959	2.14228146671113	1.80491995565184	1.70229741965307	2.15037835432371	1.84804200067871	1.72875220496274	2.44737868877202	1.67135788554554	2.1843302682992	1.72182114609018	1.57352039231395	1.74001121396516	1.72541242482925	2.22613438002777	1.672972894874	1.99422239159104	1.11167905626824	2.38856855974555	0.991127898766292	1.85121017342072	1.82428984911207	1.66359768651784	1.90897910462546	2.01574852468685	1.77618425892617	1.97925913850673	2.18823135591462	2.23480714553161	1.22489863409986	0.723759567252754	1.99823637153671	1.5215685158476	2.41658521100867	1.61244884718111	1.5605571640248	1.04809403616915	2.40786450706427
AHRR	-1.68156601693268	-0.737589504214985	-1.35666265474295	-0.799247616703142	-0.746546095972402	-2.2966932162505	-0.406868943013289	-0.677238320250195	-0.614984447528574	-0.376621175365723	-1.20624530003335	-0.568040479218342	-1.43200756576183	-0.946193764782781	-0.750088739458693	-0.587171741003927	-0.668578380680615	-0.448239383025665	-0.353897040232762	-0.490372796018725	-1.80702343319669	-0.663470234400128	-0.794544417837165	-0.366097169665482	-0.599292184531726	-0.528087183477749	-1.91309145908895	0.139950491147599	-0.615660385090794	-1.42807860895419	-0.947238765260952	-0.752546232208569	-0.413941449380371	-0.798068378350692	-1.27439029011713	-0.979913741050093	-0.79586968811485	-0.893238901654371	-0.69739426846432	-0.640699647122335	-1.09565998793151	-1.51558088883604	-0.562010381494242	-1.71276778150046	-0.843089970726397	-0.846126332601341	-0.489350705884933	-1.33022436875671	-0.953191718808011	-1.30416935335216	-1.45720200073616	-2.5118032218085	-0.856409310250626	-1.51582329720323	-0.803822799819207	-0.796788689665293	-1.54324996807198	-0.469456400801396	-0.99138328547632	-0.167677552454049	-1.60886817920866	-0.96703938514484	-1.36802238285395	-1.02005703735973	-1.02848034824966	-0.914240058818238	-0.760264353822361	-0.794365006322113	-0.617873788289246	-1.12268598112297	-0.728172915274188	-0.401102444835052	-0.524856675714742	-0.61575749225978	-0.138482573949195	-0.884177434851982	-0.911143194266162	-0.447784568334737	-1.05527500983594	-0.454192430031034	-0.957425069735671	-0.675046100757066	-0.857699575321567	-0.483710203442368	-0.132320796068916	-1.80556631278516	-0.431121926802425	-1.51602546000347	-0.00579740234080255	-0.662998179449814	-0.737660285188015	-0.989171207276605	-1.06296269968765	-0.48901856340458	-0.86541757835703	-1.03375547908005	-0.353604003812819	-0.704479543067843	-0.763982049918158	-0.987720993609337	-0.367154449693959	-0.503093091714766	-0.243252181589981	-1.11319107095019	-0.68051916610363	-0.696262400735678	-0.777351506430846	-0.0630212709273536	-1.80253303268459
AIRE	-1.18664816048319	-0.590671538691815	-0.447370060539033	0.0305688334669199	-1.24627137582523	-0.717388740476833	-0.440808304536686	-0.229689684130894	0.179560856053198	-0.08212672193756	-0.216321034828904	-0.160923869157364	-0.13277555660193	-0.546905897592514	-0.232942112581863	-0.988968650384864	-1.96161005233068	0.0935680778306257	-0.281006626236069	-0.0749080502836673	-0.346758372759564	-0.0859537099301087	0.102222971108666	-0.563705015284469	0.299403102620919	-0.341150937034245	-0.856722275110159	-0.16646700899923	-0.0899678706627521	0.0127450141192049	-1.54257758535897	-1.11259125072942	-0.588222457230896	-1.03270003684625	-0.274174948840492	-0.690611669961715	-0.0991772538209512	-0.466255868829809	-0.959046367777801	-0.743013665519302	0.332196312049918	0.117412514195268	-1.11654191214984	-0.411609636030282	-0.719255679236595	-0.176477509806435	-0.752463277315753	-0.626805111362163	-0.886902533790065	-0.145176183939507	-0.359991498089113	-0.529923058091873	-0.38881182782393	-0.852245497590469	0.28768468914778	-0.00310010286914523	-0.544172400989535	-1.21969601777687	-0.299475456599908	-0.546129601661433	-0.323352560562326	0.391279147150942	0.32021373499514	-0.530655211870769	-0.136791653121429	-0.875231899493509	-0.86406589400935	0.749963017870965	-0.466482317612789	-0.318596674298151	-0.966901834879552	-0.541232754029256	-0.605840940851881	-0.641670715987608	-1.96840133317607	-0.223717459216191	-0.483881593258765	-0.539276838961222	0.373105116669978	-1.13510877667403	0.331790550117069	-0.835354731518936	-0.588291889421018	0.740068137027371	-1.50534873355338	0.0150647878291188	-0.869646107263829	-0.49175144656132	-0.928686717716987	-0.69095643527525	-0.818541720621076	-0.405002353617252	-0.438315779733625	-0.855133457616937	-1.32018743195064	-0.978425450200541	-0.892997853049128	-0.0604977387946028	-0.37671642559636	-0.528564176858895	-0.900117709231158	-0.373288155764623	0.361319089871023	-0.0318493125339035	-0.452988391056938	0.0184203986500464	-0.692005226501832	-0.0361002463522599	-0.982947876459225
ALX1	0.398005623973148	0.612781850756544	0.40036827257795	0.260034077683365	0.366616945610387	0.449430396506632	0.381486231843094	0.398664681897852	0.336857664989602	0.113922810273007	0.365089259827731	0.414566033180842	-0.014312983615537	0.381564648743609	0.354469294758866	0.578427605740232	0.508909204525125	0.649822857800585	0.521431642913497	0.346759890025644	0.231223570676568	0.415592398519803	0.52468990864435	0.572891619025374	0.198922370392311	0.754955821309019	0.289539083896748	0.105242356126365	0.463443517046957	0.209018563328641	1.5185317911745	0.992558548664855	0.300569934191855	0.597038084056631	2.49726650533688	0.457436309120619	0.599438122724397	0.487549891797612	0.6153802784263	0.374526374177628	0.718876864041435	1.08068070991433	0.324920852727205	0.428713996065179	0.596793369821341	0.390804351586587	0.187990164454312	0.455921599503828	0.669972354887779	0.213482154309851	0.213968368489357	0.153481874661951	0.414275992664455	0.383260501212159	0.15818227247747	0.331703005749121	0.181554257816121	-0.0274196815507168	0.188601425519121	0.354077598554554	0.212703204242603	0.145039951322894	0.178478454409975	-0.0152819992385618	0.0106549282487605	0.399638517479902	1.43345873291824	0.416025665186886	0.516875941874061	0.147507362346831	0.0643277539455563	0.0654898397732894	0.143497064886901	0.493977639961565	0.10787464682534	-0.00489159083101859	0.447434671478657	0.382811595195725	0.329735188748215	0.397618123712765	0.110643184369143	0.446614331513949	0.489390919981876	-0.373508350952239	0.0937903440466385	0.149299992317174	0.341286515798647	0.614340174072345	0.167893321617177	0.187151303456623	0.565661621607293	0.106131846242419	0.543701242027266	0.521632737953787	0.712687960043754	0.736546539208357	0.273675984600383	0.4108453406938	-0.0936573029738986	0.0606966012865971	0.543386052524718	1.76094426738281	0.101938800190269	0.905689555921903	0.0680766650984732	0.280809155550848	0.430856458350067	0.0898968176275386	0.451122085623343
ALX3	0.758670416066437	0.184279271318173	-0.25563652402511	-0.0883022144138616	0.193351926630607	-0.402622774852635	0.448594026481901	0.0144947470289029	0.104905518535068	-1.13112393651546	0.0325391477544583	0.084582502280878	-0.0391495985121413	0.22875310858447	-1.02334338624155	1.17748075226857	0.681280553019806	-0.248000299520651	0.273572706486451	0.14232650111803	0.456937355839073	-0.300545074094583	-0.63313320055724	0.210630387701176	-1.4220043519454	0.165792334958097	-0.00353796777359365	0.15511794787036	0.133029557877638	-0.111018668225952	0.352238926711512	0.164998911013744	0.0249820774281665	0.469704614831726	-0.783081232093021	-0.436963814057187	0.341579662545582	-0.122636116728179	1.05778839235553	0.622898839095774	-0.184325660655246	0.263882310873751	1.45668614006147	0.0636669624775876	0.103539871966037	-0.0640784217336216	0.310342673049567	0.143023131671704	-0.734133835782073	-0.0974123892653912	-0.169724532307021	-0.0764595886056431	0.364971411934082	0.571585479910923	0.0438098851102838	0.291217304827219	-0.424713404826755	1.3386588457244	0.560581226699303	-0.797549225044678	-0.113629513183195	0.26370474351357	-0.288626942324461	-0.414757633718984	0.0999165374960129	0.144352936709557	-0.132960646395408	0.902761447056222	0.202942899287084	-1.26008315900809	-0.000463483993020127	0.379342786782002	0.770167098084004	1.27461530275225	1.04068975002854	0.0692853591353067	0.604956735649258	0.748554580820802	-0.59551713168886	0.590480813097106	0.0860346885196847	0.55718150900723	0.0897011873703315	-1.12708455544939	0.704176044807742	-0.560328012576508	1.48621817920408	-0.124855628024217	1.02028588904057	-0.00527570035039832	0.867148367528014	0.725744187528276	-0.182173536019793	0.387422565537551	0.476274601656643	0.118161321189599	0.123105195672548	0.121040108349367	0.188382865487645	0.176527129099961	0.51111625158538	-0.0422941624211254	0.204566295045567	-0.0688070724348298	-0.561871135007151	-0.42002941998377	0.434330726608128	1.20454731761306	-0.271485653464364
ALX4	-0.415174949215657	-0.192916870405543	-0.164832084440357	-0.57125827131309	-1.56594781986039	-1.12943875297916	-0.829973465727153	-0.178941171522321	-0.463197274587167	-1.54787793302644	-0.704182462009494	-0.642677893309188	-0.997574122397172	-0.943449195735162	-0.469246722436956	-0.860850610405557	-0.310387392226033	-1.05506159988247	-0.47292949297183	-0.42599153679614	-0.363306744716334	-0.910104579978717	-0.586187809998327	-0.437239981824531	-1.71046317892977	-0.439523657593521	-0.378768885383761	-0.432013585159757	-0.245433160462037	-0.779745060748071	-0.627683290807811	-0.29654009756063	-0.502238322191235	-0.524011545782358	-0.655950198817719	-1.16476089499583	-0.192186439837472	-0.687988670035114	-0.276589710245908	-0.279831304829423	-0.570061211658887	-0.194964121302341	-0.486333302850216	-1.37907320564552	-1.15323808380347	-1.61958149669446	-1.55970213222151	-0.318996572758748	-2.05075807479273	-1.69132041840698	-0.256433709288167	-1.69966919159274	-0.5617815910174	-0.238865714024661	-0.540858485183852	-1.2690525161116	-0.433751577146156	-0.151631469549962	-0.311317592984517	-0.436607230090918	-0.494298157816575	-0.22990517492691	-1.05314210164243	-0.766569683773884	-1.11337683777842	-0.231687795338935	-0.83150549866752	-0.134798782147353	-0.278832776687979	-1.56151532319201	-0.577267246840158	-0.624705247722703	-0.202167650994663	-0.349769260766156	-0.177830334584342	-0.737896630963557	-0.710917799169141	-0.373231438897163	-1.00023243726656	-0.916417926508029	-0.32562329651894	-0.288264838662067	-0.426028709948504	-0.501955687499642	-0.419936209595546	-0.224076421483715	-0.268566058888027	-0.302522513928857	-0.258396687711084	-1.05135367827164	-0.141507851124956	-0.59251959683436	-1.46020298411149	-0.568595643527851	-0.521191047665078	-0.988122648448674	-0.854335557132773	-0.612319154841289	-0.54433406030141	-0.190857160735632	-0.572908005289892	-0.874818377092228	-0.578671209212735	-0.0736650477693167	-0.860144154136059	-0.495213607222871	-0.247796995086127	-0.114741724219312	-1.22520920279439
AR	-4.16015049663966	-3.05396382946296	-2.86013190793295	-2.85110694398624	-3.99513965029359	-3.26290933502564	-3.63389558163718	-3.16731625916003	-3.1606391864207	-3.33359430992772	-3.77594927964666	-3.50164334967399	-2.26326998383434	-2.95998588758909	-3.28155409174122	-4.08643395123992	-4.34150805137105	-3.32125738773927	-3.5846059201621	-3.82262027871619	-4.13897374588538	-3.48894942948298	-2.9878143400377	-3.6164627929694	-2.60439643937624	-3.83554403786124	-3.54664197258132	-3.35129377274864	-3.87259635173306	-2.83926844455764	-3.94869393597425	-3.61106095942246	-3.94391454389247	-4.11576801909314	-3.95216107771586	-3.86518649420535	-3.80711919306619	-4.07066502551296	-3.85112328478641	-3.80354195111009	-2.55520063502091	-2.80179144641879	-3.96951762249923	-3.46968526615691	-3.59749537158009	-3.64146338397941	-3.8127760928572	-3.72124915359651	-3.48664630744765	-3.6516829170395	-2.71425367151669	-3.69802292236094	-3.83501997453278	-3.92631598022872	-3.43870160987971	-3.31641025361921	-2.84344530847743	-3.73506596222653	-4.04828661730552	-2.97438377978811	-3.67009923658608	-3.0249796138017	-3.00506347991322	-2.78168313984652	-4.11589432705734	-3.43476712371744	-3.37149421511076	-3.08115404565181	-3.00560587661445	-2.60217091310931	-3.93345004392878	-3.55865071477939	-3.60931914879334	-3.46620081471736	-3.98417375704447	-3.55216995835135	-3.85022320412552	-3.7857183131751	-2.13865072072277	-3.93821605826429	-3.46939548656013	-3.43827344258351	-3.11951005416824	-2.07250615617509	-3.40915835606069	-2.40803888560613	-3.67165569674222	-3.29187307351648	-3.80230479401665	-3.5685403516365	-3.20260197286525	-3.99696476693942	-3.48565833872742	-4.11185074458933	-3.99717828973889	-3.83028097370015	-4.27269616845847	-3.02815490301516	-3.69475868054793	-3.75503197162024	-3.92844552003028	-3.20220938068576	-3.38743017131929	-2.31606257271747	-3.32823872975041	-3.26931872301048	-4.20908540497094	-3.15818017887061	-3.23271170605184
